lrknummer,naam,type,gemeente,bezoekdatum,jaar,kleur,kvk_vestiging,adres,postcode,plaats,Longitude,Latitude,lrk_url,houder/_text,houder_vanaf,geschillencommissie,kindplaatsen,soort,status
959017501,Kinderopvang Ninos,KDV,Amsterdam,3-02-12,2012,rood,19511000,Van Slingelandtplein 4,1051DD,Amsterdam,4.8639803,52.3845045,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31933,Smallsteps B.V.,09/24/2014,Aangesloten per 27-01-2016,64,Kinderdagverblijf,Geregistreerd
328724804,KinderRijk kinderdagverblijf MacGillavrylaan,KDV,Amsterdam,3-02-12,2012,geel,21035490,Carolina MacGillavrylaan 780,1098XC,Amsterdam,4.9457789,52.3566192,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32208,KinderRijk Dagopvang B.V.,01/01/2015,Aangesloten per 20-01-2016,60,Kinderdagverblijf,Geregistreerd
476846468,Partou KDV Van Eeghenstraat 110H,KDV,Amsterdam,4-02-12,2012,groen,20146159,Van Eeghenstraat 110 H,1071GM,Amsterdam,4.8690677,52.3564345,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31668,Partou B.V.,01/01/2005,Aangesloten per 29-12-2015,47,Kinderdagverblijf,Geregistreerd
871420302,De Kleine Wereld De Wittenstraat,KDV,Amsterdam,4-02-12,2012,geel,20129289,De Wittenstraat 25,1052AK,Amsterdam,4.8800855,52.3839753,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31507,De Kleine Wereld Ceintuurbaan Amsterdam B.V.,01/01/2005,Aangesloten per 08-02-2016,36,Kinderdagverblijf,Geregistreerd
159931617,Kindercentrum Gaya B.V.,KDV,Amsterdam,4-02-12,2012,oranje,,Asterweg 20 R 1,1031HN,Amsterdam,4.9041148,52.3907626,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=79068,,,,,,Niet meer geregistreerd
227339435,Kinderopvang Allkidsz,BSO,Amsterdam,5-02-12,2012,rood,,Koos Vorrinkweg 5,1069JR,Amsterdam,4.8000461,52.3531549,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Bso/GegevensOKO.jsf?selectedResultId=66467,,,,,,Niet meer geregistreerd
491994163,Bambini,KDV,Amsterdam,7-02-12,2012,rood,21284474,Overdam 8,1081CG,Amsterdam,4.8605706,52.3253528,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32083,Kinderdagverblijf Bambini B.V.,01/01/2005,Aangesloten per 21-04-2016,47,Kinderdagverblijf,Geregistreerd
114326794,Bambini,KDV,Amsterdam,7-02-12,2012,oranje,,Ter Kleef 15,1081AM,Amsterdam,4.8664915,52.3245522,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32118,,,,,,Niet meer geregistreerd
179440238,Partou KDV Maria Austriastraat 698a,KDV,Amsterdam,7-02-12,2012,geel,,Maria Austriastraat 698 A,1087JC,Amsterdam,5.0000358,52.35417,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31687,,,,,,Niet meer geregistreerd
659099986,Goudkust,BSO,Amsterdam,9-02-12,2012,oranje,21622388,Cornelis Krusemanstraat 10,1075NL,Amsterdam,4.8632076,52.351541,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Bso/GegevensOKO.jsf?selectedResultId=31418,Stichting Kinderopvang Humanitas,04/17/2008,Aangesloten per 14-01-2016,24,Buitenschoolse opvang,
173064796,Kinderopvang 't Kleurboompje,KDV,Amsterdam,10-02-12,2012,geel,10692924,Witte de Withstraat 143 H,1057XT,Amsterdam,4.8587652,52.3710119,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=69887,,08/27/2013,Aangesloten per 27-01-2016,16,Kinderdagverblijf,Geregistreerd
175439734,Kinderdagverblijf Together,KDV,Amsterdam,10-02-12,2012,oranje,12914355,De Clercqstraat 119 H,1053AK,Amsterdam,4.8658568,52.3698472,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32661,,08/01/2009,Aangesloten per 02-02-2016,16,Kinderdagverblijf,Geregistreerd
100819497,Amsterdamse Montessori,PSZ,Amsterdam,14-02-12,2012,geel,,Albrecht Durerstraat 34,1077MA,Amsterdam,4.875734,52.3486438,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Psz/GegevensOKO.jsf?selectedResultId=108812,,,,,,Niet meer geregistreerd
615819357,2 Voices,KDV,Amsterdam,14-02-12,2012,geel,17167,Derde Kostverlorenkade 34,1054TS,Amsterdam,4.8561072,52.3588124,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=30833,2 Voices B.V.,09/14/2012,Aangesloten per 03-12-2015,38,Kinderdagverblijf,Geregistreerd
100819497,Amsterdamse Montessori,PSZ,Amsterdam,14-02-12,2012,geel,,Albrecht Durerstraat 36,1077MA,Amsterdam,4.8757357,52.3485,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Psz/GegevensOKO.jsf?selectedResultId=96566,,,,,,Niet meer geregistreerd
834284133,IJsterk De Kleine Prins,KDV,Amsterdam,14-02-12,2012,geel,,Nieuwe Teertuinen 17,1013LV,Amsterdam,4.8854659,52.3856987,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=30985,,,,,,Niet meer geregistreerd
173158742,Kids & Zo Centrum B.V.,KDV,Amsterdam,14-02-12,2012,groen,16312368,Prinsengracht 617 A B,1016HV,Amsterdam,4.8827083,52.3666471,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=30784,Kids & Zo Centrum B.V.,01/01/2005,Aangesloten per 29-12-2015,40,Kinderdagverblijf,Geregistreerd
144452960,KSH KDV Gein,KDV,Amsterdam,15-02-12,2012,groen,16969952,Jacob Krusestraat 73,1106ZK,Amsterdam,4.9945249,52.298892,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31663,KSH Kinderdagverblijven B.V.,01/01/2005,Aangesloten per 08-01-2016,76,Kinderdagverblijf,Geregistreerd
206261032,KSH Kidsclub Gein,BSO,Amsterdam,15-02-12,2012,groen,29910919,Jacob Krusestraat 73,1106ZK,Amsterdam,4.9945249,52.298892,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Bso/GegevensOKO.jsf?selectedResultId=30766,KSH Kindercentra BV,05/20/2014,Aangesloten per 08-01-2016,96,Buitenschoolse opvang,
767442362,IJsterk De Kraai,KDV,Amsterdam,16-02-12,2012,geel,20988540,Kraijenhoffstraat 32,1018RL,Amsterdam,4.93019,52.3694125,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=30913,IJsterk Kinderopvang B.V.,01/01/2005,Aangesloten per 08-01-2016,50,Kinderdagverblijf,Geregistreerd
956219081,IJsterk De Kraai,BSO,Amsterdam,16-02-12,2012,oranje,,Kraijenhoffstraat 32,1018RL,Amsterdam,4.93019,52.3694125,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Bso/GegevensOKO.jsf?selectedResultId=30777,,,,,,Niet meer geregistreerd
209475237,Kinderdagverblijf Moentje,KDV,Amsterdam,16-02-12,2012,rood,,Javastraat 160,1095CL,Amsterdam,4.941718,52.3634077,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32462,,,,,,Niet meer geregistreerd
774520012,Titta Kinderdagverblijf,KDV,Amsterdam,16-02-12,2012,rood,,Buiksloterweg 95 B,1031CJ,Amsterdam,4.9154677,52.388442,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31280,,,,,,Niet meer geregistreerd
212536436,Kinderopvang De Tuuf,KDV,Amsterdam,17-02-12,2012,geel,,Lobo-Braakensiekstraat 4,1065HN,Amsterdam,4.8194647,52.35558,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31894,,,,,,Niet meer geregistreerd
909358527,Kinderdagverblijf Doodoo,KDV,Amsterdam,20-02-12,2012,oranje,7377606,Sarphatipark 114 H,1073ED,Amsterdam,4.8978982,52.3537434,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32509,,10/11/2009,Aangesloten per 13-04-2016,11,Kinderdagverblijf,Geregistreerd
278042363,BSO Doenja,BSO,Amsterdam,21-02-12,2012,geel,,Pieter Aertszstraat 106,1074VT,Amsterdam,4.9041609,52.3528257,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Bso/GegevensOKO.jsf?selectedResultId=31363,,,,,,Niet meer geregistreerd
490021281,Kinderopvang Doenja,KDV,Amsterdam,21-02-12,2012,rood,130281,Pieter Aertszstraat 106,1074VT,Amsterdam,4.9041609,52.3528257,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31719,Smallsteps B.V.,09/24/2014,Aangesloten per 27-01-2016,84,Kinderdagverblijf,Geregistreerd
204144644,Joop Gilliamsecr√®che,KDV,Amsterdam,21-02-12,2012,geel,27985636,Prins Hendrikkade 165 E,1011TB,Amsterdam,4.9089993,52.3722453,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32244,Joop Gilliamsecr√®che,01/01/2005,Niet aangesloten,8,Kinderdagverblijf,Geregistreerd
143477614,Partou BSO Vespuccistraat 25H,BSO,Amsterdam,22-02-12,2012,geel,19589832,Vespuccistraat 25 H,1057CK,Amsterdam,4.853581,52.3698559,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Bso/GegevensOKO.jsf?selectedResultId=31737,Partou B.V.,01/01/2014,Aangesloten per 29-12-2015,30,Buitenschoolse opvang,
325188142,Partou KDV Vespuccistraat 25H,KDV,Amsterdam,22-02-12,2012,geel,19589832,Vespuccistraat 25 H,1057CK,Amsterdam,4.853581,52.3698559,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31919,Partou B.V.,01/01/2014,Aangesloten per 29-12-2015,30,Kinderdagverblijf,Geregistreerd
168198848,Tante Cato - De Ark,BSO,Amsterdam,22-02-12,2012,geel,26198525,Zuid-Hollandstraat 7,1082EK,Amsterdam,4.8747406,52.3266284,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Bso/GegevensOKO.jsf?selectedResultId=31635,Tante Cato BSO & ZO,07/20/2007,Aangesloten per 26-01-2016,55,Buitenschoolse opvang,
752926275,Partou BSO Kelbergen 189,BSO,Amsterdam,22-02-12,2012,groen,,Kelbergen 189,1104LJ,Amsterdam,4.9740431,52.3101288,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Bso/GegevensOKO.jsf?selectedResultId=31640,,,,,,Niet meer geregistreerd
756702586,Partou BSO Reigersnest,BSO,Amsterdam,22-02-12,2012,geel,,Schonerwoerdstraat 3,1107GA,Amsterdam,4.9759286,52.2933642,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Bso/GegevensOKO.jsf?selectedResultId=31772,,,,,,Niet meer geregistreerd
721151292,Partou BSO Op Maat,BSO,Amsterdam,22-02-12,2012,groen,,Leksmondplein 26,1108EL,Amsterdam,4.9791846,52.3091221,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Bso/GegevensOKO.jsf?selectedResultId=31827,,,,,,Niet meer geregistreerd
683140966,Partou KDV IJburglaan 464,KDV,Amsterdam,22-02-12,2012,groen,,IJburglaan 464,1086ZJ,Amsterdam,4.9816939,52.3619426,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31953,,,,,,Niet meer geregistreerd
969719814,BSO Het Groeiwoud,BSO,Amsterdam,23-02-12,2012,groen,,Louis Bouwmeesterstraat 14,1065KW,Amsterdam,4.8207684,52.3557006,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Bso/GegevensOKO.jsf?selectedResultId=32003,,,,,,Niet meer geregistreerd
200994402,Stichting peuterspeelzaal 't Kalfje,PSZ,Amsterdam,23-02-12,2012,oranje,22085173,Kalfjeslaan 398,1081JA,Amsterdam,4.8586995,52.3220406,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Psz/GegevensOKO.jsf?selectedResultId=97995,Stichting peuterspeelzaal 't Kalfje,10/21/2004,Aangesloten per 28-01-2016,15,Peuterspeelzaal,Geregistreerd
206484744,Partou BSO Prinses Irenestraat 59,BSO,Amsterdam,23-02-12,2012,geel,20148461,Prinses Irenestraat 59,1077WV,Amsterdam,4.8697135,52.3413555,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Bso/GegevensOKO.jsf?selectedResultId=30831,Partou B.V.,03/07/2007,Aangesloten per 29-12-2015,60,Buitenschoolse opvang,
698182467,Partou KDV Prinses Irenestraat 59,KDV,Amsterdam,23-02-12,2012,geel,20148461,Prinses Irenestraat 59,1077WV,Amsterdam,4.8697135,52.3413555,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31696,Partou B.V.,03/07/2007,Aangesloten per 29-12-2015,53,Kinderdagverblijf,Geregistreerd
137418140,De Bongerd,KDV,Amsterdam,23-02-12,2012,geel,,Stenendokweg 3,1033JZ,Amsterdam,4.8926598,52.4075672,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31341,,,,,,Niet meer geregistreerd
104174948,vve/psz Klavertje Vier,PSZ,Amsterdam,23-02-12,2012,geel,21918147,Eudorinastraat 7,1035VE,Amsterdam,4.9027497,52.4188973,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Psz/GegevensOKO.jsf?selectedResultId=95707,Combiwel Ondernemend Welzijn B.V.,01/01/2010,Aangesloten per 07-01-2016,16,Peuterspeelzaal,Geregistreerd
202332123,De Boomsspijker / het Aapje,PSZ,Amsterdam,23-02-12,2012,geel,20867239,Recht Boomssloot 52,1011EC,Amsterdam,4.9034827,52.3719578,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Psz/GegevensOKO.jsf?selectedResultId=94287,Stichting IJsterk Peuterspeelzalen,09/08/2012,Aangesloten per 27-05-2016,32,Peuterspeelzaal,Geregistreerd
171863380,Stichting Impact Amsterdam,BSO,Amsterdam,23-02-12,2012,oranje,,Holendrechtplein 44,1106LP,Amsterdam,4.9643509,52.2992913,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Bso/GegevensOKO.jsf?selectedResultId=31632,,,,,,Niet meer geregistreerd
283371559,Kinderdagverblijf 't Vogeltje B.V.,KDV,Amsterdam,23-02-12,2012,rood,18227341,Bijlmerdreef 937,1103TW,Amsterdam,4.9694993,52.3208443,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32193,Kinderdagverblijf 't Vogeltje B.V.,02/16/2006,Aangesloten per 08-02-2016,35,Kinderdagverblijf,Geregistreerd
125087044,Kinderopvang Andreas,KDV,Amsterdam,24-02-12,2012,geel,,Louis Bouwmeesterstraat 80,1065KX,Amsterdam,4.8244814,52.352285,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31048,,,,,,Niet meer geregistreerd
181432237,IJsterk BSO Plancius,BSO,Amsterdam,24-02-12,2012,geel,,Eerste Breeuwersstraat 13,1013MK,Amsterdam,4.8843329,52.3863392,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Bso/GegevensOKO.jsf?selectedResultId=30728,,,,,,Niet meer geregistreerd
