Overheid,Regeling,Ontvanger,Beleid,Realisatie,Jaar
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Federatie ruimtelijke kwaliteit,2.1,17000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en kennisoverdracht wonen,Fryske Akademy,2.3,5000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Gemeente Almere,2.2,125000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Gemeente Amsterdam Bestuur en Organisatie,1.2,50000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Gemeente Oud-Beijerland,7.1,75000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Gemeente Rotterdam,7.1,3000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en kennisoverdracht wonen,Gemeente Rotterdam,2.3,75000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Gemeente Sittard-Geleen,7.1,85000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Gemeente Tilburg,7.1,75000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Gemeente Zaltbommel,7.1,75000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Gemeentebestuur van Gouda,7.1,75000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Gemeentelijke Ombudsman,6.2,8000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Subsidiering wet financiering politieke partijen,Groenlinks,1.2,858000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Het instituut fysieke veiligheid,2.1,4000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en kennisoverdracht wonen,Huiswerk,2.3,25000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,ISIZ,2.2,1000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Jonge SLA,6.4,2000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,KAW Holding,2.1,40000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Kracht in NL,6.4,25000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Kwaliteitsinstituut Nederlandse Gemeenten,6.1,190000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Kwaliteitsinstituut Nederlandse Gemeenten,6.2,100000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en kennisoverdracht wonen,Landelijke Studentenvakbond,2.3,30000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en kennisoverdracht wonen,Landelijke vereniging voor kleine kernen,2.3,15000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,LSA,6.4,70000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en kennisoverdracht wonen,LSA,2.3,441000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Movisie,6.4,18000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Comite 4/5 mei,Nationaal comite 4/5 mei,6.4,106000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Natuur en Milieu,2.1,15000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Professionaliseringsfonds Burgemeesters,Ned Genootschap van Burgemeesters,7.1,993000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Ned School voor Openbaar Bestuur,12.1,60000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Ned Ver voor raadsleden,7.1,176000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Nederlandse Brandwondenstichting,2.1,50000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Nederlandse Organisatie voor Wetenschappelijk onderzoek,1.2,250000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Nederlandse Woonbond,1.1,1001000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Nederlandse Woonbond,2.1,400000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Nederlandse Woonbond,2.1,305000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,NEPROM,2.1,200000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Netwerk Democratie,6.4,25000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder een regeling vallend,Netwerk Directeuren Sociaal Domein,1.1,137000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,NEWNRG,2.1,18000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,NIBUD,1.1,60000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,NL Confidental,7.1,31000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Nyenrode services,2.1,49000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Omnip Labs,1.2,26000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Subsidiering wet financiering politieke partijen,Onafhankelijke Senaatsfractie OSF,1.2,359000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Oorlogsgravenstichting,Oorlogsgravenstichting,1.1,3175000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Open State Foundation,6.2,18000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Subsidiering wet financiering politieke partijen,Partij van de Arbeijd,1.2,3703000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Subsidiering wet financiering politieke partijen,Partij voor de dieren,1.2,629000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Prodemos,Prodemos,6.4,4188000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Prodemos,7.1,119000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en kennisoverdracht wonen,Prov Zeeland,2.3,40000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Provincie noord Holland,2.2,17000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en kennisoverdracht wonen,Regio Achterhoek,2.3,10000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en kennisoverdracht wonen,Rijksuniversiteit Groningen,2.3,21000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Wet Bevordering Eigen Woningbezit,RVO,1.1,6747000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,BGSEW79,RVO,1.1,2000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,BGSEW84,RVO,1.1,2998000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Subsidieregeling VSO 2013,Sector Werkgevers Overheid,7.1,290000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Sociaal Economische Raad,2.1,249000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Subsidiering wet financiering politieke partijen,SP,1.2,1566000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,ST Almeers Theaters,2.2,10000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,St Gelderse Natuur en milieufederatie,2.1,64000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,St Gelderse Natuur en Milieufederatie,2.1,16000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,St KCAF,2.2,55000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overig niet onder een regeling vallend,St Kenniscenter for people and buildings,,180000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en kennisoverdracht wonen,ST Noorderpark Trust,2.3,10000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,St Parlementaire Geschiedenis,12.1,200000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,St Ruimte voor onderwijs en kinderopvang,2.1,96000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Subsidieregeling SVO 2015,St Verdeling Fin Overheidsbijdragen,7.1,1431000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Subsidiering wet financiering politieke partijen,Staatkundig Gereformeerde partij,1.2,939000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stadsregio Amsterdam,2.2,14000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stg Economisch inst voor de bouw,2.2,6000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stg Forum voor Stedelijke vernieuwing,2.2,7000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,A&O-fonds,Stichting A&O-fonds Rijk,,3400000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Stichting Agora Europa,6.4,144000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en kennisoverdracht wonen,Stichting agora Europa,2.3,5000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stichting Bouwkwaliteit,2.1,787000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Stichting Burgertop Amsterdam,6.4,4000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Subsidieregeling Stichting CAOP 2015,Stichting CAOP,7.1,2786000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder een regeling vallend,Stichting Coelo,1.1,32000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Stichting Decentraal Bestuur,7.1,20000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Stichting Duurzaam Den Haag,6.4,4000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder een regeling vallend,Stichting Europa Decentraal,1.1,471000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Stichting Europa Decentraal,12.1,106000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Stichting Expertgroep Klokkenluiders,7.1,74000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Stichting G1000 Groningen,6.4,4000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Stichting G1000 Nijmegen,6.4,4000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Stichting G1000 NU,6.4,130000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stichting geschillencommissies voor consumentenzaken,2.1,82000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stichting Holland Property Plaza,1.1,10000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Stichting Impact,7.1,115000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stichting instituut bouwkwaliteit,2.1,1272000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stichting Isocarp 2015,1.2,35000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Stichting Jonge Ambtenaren,7.1,5000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stichting Kences,1.2,118000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stichting kennis gebiedsontwikkeling,2.2,4000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stichting klantgericht bouwen,2.1,200000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en kennisoverdracht wonen,Stichting knooppunt innovatie elektrotechniek nederland,2.3,10000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Stichting Koninklijk Paleis Amsterdam,Stichting Koninklijk Paleis,12.1,173000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stichting kwaliteit voor installaties Nederland,2.1,30000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en kennisoverdracht wonen,Stichting lokale fondsen Nederland,2.3,24000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stichting Milieu Centraal,2.1,2983000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stichting Milieu Centraal,2.1,200000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Stichting Nederland Kennisland,7.1,76000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stichting Nederland Kennisland,1.2,628000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en kennisoverdracht wonen,Stichting Nederland Kennisland,2.3,10000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stichting nederlands normalisatie instituut,2.1,627000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stichting OVI,2.1,320000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stichting Pakhuis de Zwijger,1.2,236000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en kennisoverdracht wonen,Stichting pakhuis de Zwijger,2.3,36000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Stichting Platform 31,6.4,17000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stichting Platform 31,1.1,31000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stichting Platform 31,1.2,2889000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stichting Platform 31,2.1,2450000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stichting platform 31,2.2,47000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en kennisoverdracht wonen,Stichting platform 31,2.3,70000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stichting Platform Digital Manufacturing,1.2,13000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stichting platform sir wonen en zorg,2.2,18000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overig niet onder een regeling vallend,Stichting QIY Foundation,,100000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en kennisoverdracht wonen,Stichting samenwerkende brancheorganisaties filantropie,2.3,40000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stichting SBRCURNET,2.1,44000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Subsidiering wet financiering politieke partijen,Stichting Secretariaat CDA,1.2,1727000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en kennisoverdracht wonen,Stichting society impact,2.3,270000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stichting VACpunt Wonen,1.1,200000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stichting VACpunt Wonen,2.1,295000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Stichting VACPunt Wonen,2.1,30000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Tijdelijke regeling Blok voor Blok,Stichting VACPunt Wonen,2.1,16000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en kennisoverdracht wonen,Stichting woonlinie,2.3,600000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,TIAS Business School,2.1,96000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Trebbe West,2.1,13000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Triodos vastgoedfonds,2.1,75000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,TU Delft Faculteit Bouwkunde BK,1.1,10000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,TU Delft Faculteit Bouwkunde BK,2.1,15000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,TU Delft Faculteit Bouwkunde BK,2.2,30000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en kennisoverdracht wonen,TU Delft/OTB,2.3,20000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder een regeling vallend,Universiteit Leiden,1.1,97000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Universiteit Utrecht,1.1,86000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Universiteit Utrecht Fac Geowetenschappen,1.2,82000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Universiteit van Tilburg,7.1,1000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Universiteit van Tilburg,1.2,99000,2015
