Plaatsnaam,Provincie,Land,url_akkoord,docpdf,doctxt,Latitude,Longitude
Asten,Noord-Brabant,Nederland,http://www.documentcloud.org/documents/2684900-021-Asten-Coalitieakkoord-2014-2018.html,https://assets.documentcloud.org/documents/2684900/021-Asten-Coalitieakkoord-2014-2018.pdf,https://assets.documentcloud.org/documents/2684900/021-Asten-Coalitieakkoord-2014-2018.txt,51.402994,5.744078
Baarle-Nassau,Noord-Brabant,Nederland,http://www.documentcloud.org/documents/2684902-022-Baarle-Nassau-Coalitieprogramma-2014-2018.html,https://assets.documentcloud.org/documents/2684902/022-Baarle-Nassau-Coalitieprogramma-2014-2018.pdf,https://assets.documentcloud.org/documents/2684902/022-Baarle-Nassau-Coalitieprogramma-2014-2018.txt,51.445137,4.929523
Baarn,Utrecht,Nederland,http://www.documentcloud.org/documents/2684903-023-Baarn-Coalitieakkoord-Nieuwe-Energie-Voor.html,https://assets.documentcloud.org/documents/2684903/023-Baarn-Coalitieakkoord-Nieuwe-Energie-Voor.pdf,https://assets.documentcloud.org/documents/2684903/023-Baarn-Coalitieakkoord-Nieuwe-Energie-Voor.txt,52.213182,5.28641
Barendrecht,Zuid-Holland,Nederland,http://www.documentcloud.org/documents/2684904-024-Barendrecht-Coalitieakkoord-2014-2018-Een.html,https://assets.documentcloud.org/documents/2684904/024-Barendrecht-Coalitieakkoord-2014-2018-Een.pdf,https://assets.documentcloud.org/documents/2684904/024-Barendrecht-Coalitieakkoord-2014-2018-Een.txt,51.851509,4.548581
Barneveld,Gelderland,Nederland,http://www.documentcloud.org/documents/2684908-025-Barneveld-Coalitieakkoord-2014-2018-Samen.html,https://assets.documentcloud.org/documents/2684908/025-Barneveld-Coalitieakkoord-2014-2018-Samen.pdf,https://assets.documentcloud.org/documents/2684908/025-Barneveld-Coalitieakkoord-2014-2018-Samen.txt,52.14019,5.584151
Bedum,Groningen,Nederland,http://www.documentcloud.org/documents/2684910-026-Bedum-Bestuursakkoord-2014-2018-Ondertekend.html,https://assets.documentcloud.org/documents/2684910/026-Bedum-Bestuursakkoord-2014-2018-Ondertekend.pdf,https://assets.documentcloud.org/documents/2684910/026-Bedum-Bestuursakkoord-2014-2018-Ondertekend.txt,53.301675,6.599829
Beek,Limburg,Nederland,http://www.documentcloud.org/documents/2684911-027-Beek-Coalitieakkoord-Definitief-2014-2018.html,https://assets.documentcloud.org/documents/2684911/027-Beek-Coalitieakkoord-Definitief-2014-2018.pdf,https://assets.documentcloud.org/documents/2684911/027-Beek-Coalitieakkoord-Definitief-2014-2018.txt,50.939316,5.795647
Beemster,Noord-Holland,Nederland,http://www.documentcloud.org/documents/2684912-028-Beemster-Coalitieakkoord-Beemster-2014-2018.html,https://assets.documentcloud.org/documents/2684912/028-Beemster-Coalitieakkoord-Beemster-2014-2018.pdf,https://assets.documentcloud.org/documents/2684912/028-Beemster-Coalitieakkoord-Beemster-2014-2018.txt,52.547559,4.913332
Beesel,Limburg,Nederland,http://www.documentcloud.org/documents/2684913-029-Beesel-Coalitieakkoord-2014-2018-Definitief.html,https://assets.documentcloud.org/documents/2684913/029-Beesel-Coalitieakkoord-2014-2018-Definitief.pdf,https://assets.documentcloud.org/documents/2684913/029-Beesel-Coalitieakkoord-2014-2018-Definitief.txt,51.269698,6.046834
Bellingwedde,Groningen,Nederland,http://www.documentcloud.org/documents/2684914-030-Bellingwedde-Coalitieprogramma-2014-2018.html,https://assets.documentcloud.org/documents/2684914/030-Bellingwedde-Coalitieprogramma-2014-2018.pdf,https://assets.documentcloud.org/documents/2684914/030-Bellingwedde-Coalitieprogramma-2014-2018.txt,53.120304,7.167185
Bergeijk,Noord-Brabant,Nederland,http://www.documentcloud.org/documents/2684915-031-Bergeijk-Coalitieprogramma-CDA-LPB-Periode.html,https://assets.documentcloud.org/documents/2684915/031-Bergeijk-Coalitieprogramma-CDA-LPB-Periode.pdf,https://assets.documentcloud.org/documents/2684915/031-Bergeijk-Coalitieprogramma-CDA-LPB-Periode.txt,51.319716,5.3575
Bergen (L.),Limburg,Nederland,http://www.documentcloud.org/documents/2684916-032-Bergen-L-Coalitieprogramma-2014-2018.html,https://assets.documentcloud.org/documents/2684916/032-Bergen-L-Coalitieprogramma-2014-2018.pdf,https://assets.documentcloud.org/documents/2684916/032-Bergen-L-Coalitieprogramma-2014-2018.txt,51.599866,6.032998
Bergen (NH.),Noord-Holland,Nederland,http://www.documentcloud.org/documents/2684918-033-Bergen-NH-Coalitieakkoord-2014-2018.html,https://assets.documentcloud.org/documents/2684918/033-Bergen-NH-Coalitieakkoord-2014-2018.pdf,https://assets.documentcloud.org/documents/2684918/033-Bergen-NH-Coalitieakkoord-2014-2018.txt,52.674937,4.706395
Bergen op Zoom,Noord-Brabant,Nederland,http://www.documentcloud.org/documents/2684919-034-Bergen-Op-Zoom-Coalitieakkoord-2014-2018.html,https://assets.documentcloud.org/documents/2684919/034-Bergen-Op-Zoom-Coalitieakkoord-2014-2018.pdf,https://assets.documentcloud.org/documents/2684919/034-Bergen-Op-Zoom-Coalitieakkoord-2014-2018.txt,51.494576,4.287162
Berkelland,Gelderland,Nederland,http://www.documentcloud.org/documents/2684920-035-Berkelleland-Coalitie-Akkoord-2014-2018.html,https://assets.documentcloud.org/documents/2684920/035-Berkelleland-Coalitie-Akkoord-2014-2018.pdf,https://assets.documentcloud.org/documents/2684920/035-Berkelleland-Coalitie-Akkoord-2014-2018.txt,52.113504,6.52036
Bernheze,Noord-Brabant,Nederland,http://www.documentcloud.org/documents/2684921-036-Bernheze-Coalitieakkoord-20140508.html,https://assets.documentcloud.org/documents/2684921/036-Bernheze-Coalitieakkoord-20140508.pdf,https://assets.documentcloud.org/documents/2684921/036-Bernheze-Coalitieakkoord-20140508.txt,51.660272,5.501401
Best,Noord-Brabant,Nederland,http://www.documentcloud.org/documents/2684922-037-Best-Beleidsakkoord-2014-2018.html,https://assets.documentcloud.org/documents/2684922/037-Best-Beleidsakkoord-2014-2018.pdf,https://assets.documentcloud.org/documents/2684922/037-Best-Beleidsakkoord-2014-2018.txt,51.507764,5.397848
Beuningen,Gelderland,Nederland,http://www.documentcloud.org/documents/2684923-038-Beuningen-Coalitieakkoord-2014-2018.html,https://assets.documentcloud.org/documents/2684923/038-Beuningen-Coalitieakkoord-2014-2018.pdf,https://assets.documentcloud.org/documents/2684923/038-Beuningen-Coalitieakkoord-2014-2018.txt,51.859724,5.769107
Beverwijk,Noord-Holland,Nederland,http://www.documentcloud.org/documents/2684924-039-Beverwijk-Definitieve-Tekst-Coalitieakkoord.html,https://assets.documentcloud.org/documents/2684924/039-Beverwijk-Definitieve-Tekst-Coalitieakkoord.pdf,https://assets.documentcloud.org/documents/2684924/039-Beverwijk-Definitieve-Tekst-Coalitieakkoord.txt,52.486984,4.657447
het Bildt,Friesland,Nederland,http://www.documentcloud.org/documents/2684925-040-Het-Bildt-Collegeakkoord-1-0-2014-2018.html,https://assets.documentcloud.org/documents/2684925/040-Het-Bildt-Collegeakkoord-1-0-2014-2018.pdf,https://assets.documentcloud.org/documents/2684925/040-Het-Bildt-Collegeakkoord-1-0-2014-2018.txt,53.286297,5.643798
De Bilt,Utrecht,Nederland,http://www.documentcloud.org/documents/2684926-041-De-Bilt-Coalitieakkoord-Getekendpdf-2014-2018.html,https://assets.documentcloud.org/documents/2684926/041-De-Bilt-Coalitieakkoord-Getekendpdf-2014-2018.pdf,https://assets.documentcloud.org/documents/2684926/041-De-Bilt-Coalitieakkoord-Getekendpdf-2014-2018.txt,52.109272,5.180968
Binnenmaas,Zuid-Holland,Nederland,http://www.documentcloud.org/documents/2684927-042-Binnenmaas-Coalitieakkoord-2014-2018-Verder.html,https://assets.documentcloud.org/documents/2684927/042-Binnenmaas-Coalitieakkoord-2014-2018-Verder.pdf,https://assets.documentcloud.org/documents/2684927/042-Binnenmaas-Coalitieakkoord-2014-2018-Verder.txt,51.796189,4.548157
Bladel,Noord-Brabant,Nederland,http://www.documentcloud.org/documents/2684928-043-Bladel-Coalitieverklaring-2014.html,https://assets.documentcloud.org/documents/2684928/043-Bladel-Coalitieverklaring-2014.pdf,https://assets.documentcloud.org/documents/2684928/043-Bladel-Coalitieverklaring-2014.txt,51.362963,5.213639
Blaricum,Noord-Holland,Nederland,http://www.documentcloud.org/documents/2684929-044-Blaricum-Coalitieprogramma-2014-2018.html,https://assets.documentcloud.org/documents/2684929/044-Blaricum-Coalitieprogramma-2014-2018.pdf,https://assets.documentcloud.org/documents/2684929/044-Blaricum-Coalitieprogramma-2014-2018.txt,52.27267,5.24808
Bloemendaal,Noord-Holland,Nederland,http://www.documentcloud.org/documents/2684930-045-Bloemendaal-Coalitie-Akkoord-2014-2018.html,https://assets.documentcloud.org/documents/2684930/045-Bloemendaal-Coalitie-Akkoord-2014-2018.pdf,https://assets.documentcloud.org/documents/2684930/045-Bloemendaal-Coalitie-Akkoord-2014-2018.txt,52.404947,4.620185
Bodegraven-Reeuwijk,Zuid-Holland,Nederland,http://www.documentcloud.org/documents/2684931-046-Bodegraven-Reeuwijk-Coalitieakkoord-2014-2018.html,https://assets.documentcloud.org/documents/2684931/046-Bodegraven-Reeuwijk-Coalitieakkoord-2014-2018.pdf,https://assets.documentcloud.org/documents/2684931/046-Bodegraven-Reeuwijk-Coalitieakkoord-2014-2018.txt,52.082326,4.746084
Boekel,Noord-Brabant,Nederland,http://www.documentcloud.org/documents/2684932-047-Boekel-Coalitieakkoord-2014-2018-Def.html,https://assets.documentcloud.org/documents/2684932/047-Boekel-Coalitieakkoord-2014-2018-Def.pdf,https://assets.documentcloud.org/documents/2684932/047-Boekel-Coalitieakkoord-2014-2018-Def.txt,51.602879,5.674316
Ten Boer,Groningen,Nederland,http://www.documentcloud.org/documents/2684933-048-Ten-Boer-Bestuursakkoord-2014-2018.html,https://assets.documentcloud.org/documents/2684933/048-Ten-Boer-Bestuursakkoord-2014-2018.pdf,https://assets.documentcloud.org/documents/2684933/048-Ten-Boer-Bestuursakkoord-2014-2018.txt,53.275888,6.6926
Borger-Odoorn,Drenthe,Nederland,http://www.documentcloud.org/documents/2684934-049-Borger-Odoorn-Coalitieakkoord-2014-2018.html,https://assets.documentcloud.org/documents/2684934/049-Borger-Odoorn-Coalitieakkoord-2014-2018.pdf,https://assets.documentcloud.org/documents/2684934/049-Borger-Odoorn-Coalitieakkoord-2014-2018.txt,52.889372,6.888404
Borne,Overijssel,Nederland,http://www.documentcloud.org/documents/2684935-050-Borne-4-1-Raadsprogramma-2014-2018.html,https://assets.documentcloud.org/documents/2684935/050-Borne-4-1-Raadsprogramma-2014-2018.pdf,https://assets.documentcloud.org/documents/2684935/050-Borne-4-1-Raadsprogramma-2014-2018.txt,52.300237,6.753726
Borsele,Zeeland,Nederland,http://www.documentcloud.org/documents/2684937-051-Borsele-Collegeprogramma-2014-2018.html,https://assets.documentcloud.org/documents/2684937/051-Borsele-Collegeprogramma-2014-2018.pdf,https://assets.documentcloud.org/documents/2684937/051-Borsele-Collegeprogramma-2014-2018.txt,51.447691,3.803318
Boxmeer,Noord-Brabant,Nederland,http://www.documentcloud.org/documents/2684938-052-Boxmeer-Coalitie-Akkoord-2014-Web.html,https://assets.documentcloud.org/documents/2684938/052-Boxmeer-Coalitie-Akkoord-2014-Web.pdf,https://assets.documentcloud.org/documents/2684938/052-Boxmeer-Coalitie-Akkoord-2014-Web.txt,51.645269,5.956666
Boxtel,Noord-Brabant,Nederland,http://www.documentcloud.org/documents/2684939-053-Boxtel-Beleidsprogramma-2014-2018.html,https://assets.documentcloud.org/documents/2684939/053-Boxtel-Beleidsprogramma-2014-2018.pdf,https://assets.documentcloud.org/documents/2684939/053-Boxtel-Beleidsprogramma-2014-2018.txt,51.601437,5.312177
Breda,Noord-Brabant,Nederland,http://www.documentcloud.org/documents/2684940-054-Breda-Coalitieakkoord-2014-2018.html,https://assets.documentcloud.org/documents/2684940/054-Breda-Coalitieakkoord-2014-2018.pdf,https://assets.documentcloud.org/documents/2684940/054-Breda-Coalitieakkoord-2014-2018.txt,51.571915,4.768323
Brielle,Zuid-Holland,Nederland,http://www.documentcloud.org/documents/2684941-055-Brielle-Coalitieakkoord-Mei-2014.html,https://assets.documentcloud.org/documents/2684941/055-Brielle-Coalitieakkoord-Mei-2014.pdf,https://assets.documentcloud.org/documents/2684941/055-Brielle-Coalitieakkoord-Mei-2014.txt,51.902582,4.163685
Bronckhorst,Gelderland,Nederland,http://www.documentcloud.org/documents/2684942-056-Bronckhorst-Coalitieakkoord-2014-2018.html,https://assets.documentcloud.org/documents/2684942/056-Bronckhorst-Coalitieakkoord-2014-2018.pdf,https://assets.documentcloud.org/documents/2684942/056-Bronckhorst-Coalitieakkoord-2014-2018.txt,52.075595,6.180892
Brummen,Gelderland,Nederland,http://www.documentcloud.org/documents/2684943-057-Brummen-Coalitieakkoord-2014-2018-Schakelen.html,https://assets.documentcloud.org/documents/2684943/057-Brummen-Coalitieakkoord-2014-2018-Schakelen.pdf,https://assets.documentcloud.org/documents/2684943/057-Brummen-Coalitieakkoord-2014-2018-Schakelen.txt,52.090167,6.158015
Brunssum,Limburg,Nederland,http://www.documentcloud.org/documents/2684944-058-Brunssum-Coalitieakkoord-2014-2018-Het.html,https://assets.documentcloud.org/documents/2684944/058-Brunssum-Coalitieakkoord-2014-2018-Het.pdf,https://assets.documentcloud.org/documents/2684944/058-Brunssum-Coalitieakkoord-2014-2018-Het.txt,50.948896,5.972166
Bunnik,Utrecht,Nederland,http://www.documentcloud.org/documents/2684945-059-Bunnik-Coalitieakkoord-2014-2018-2014-04-22.html,https://assets.documentcloud.org/documents/2684945/059-Bunnik-Coalitieakkoord-2014-2018-2014-04-22.pdf,https://assets.documentcloud.org/documents/2684945/059-Bunnik-Coalitieakkoord-2014-2018-2014-04-22.txt,52.066529,5.200776
Bunschoten,Utrecht,Nederland,http://www.documentcloud.org/documents/2684946-060-Bunschoten-Coalitie-Akkoord-2014-2018.html,https://assets.documentcloud.org/documents/2684946/060-Bunschoten-Coalitie-Akkoord-2014-2018.pdf,https://assets.documentcloud.org/documents/2684946/060-Bunschoten-Coalitie-Akkoord-2014-2018.txt,52.240642,5.36707
Buren,Gelderland,Nederland,http://www.documentcloud.org/documents/2684948-061-Buren-Coalitieakkoord-15-April-2014.html,https://assets.documentcloud.org/documents/2684948/061-Buren-Coalitieakkoord-15-April-2014.pdf,https://assets.documentcloud.org/documents/2684948/061-Buren-Coalitieakkoord-15-April-2014.txt,51.910389,5.334058
Bussum,Noord-Holland,Nederland,http://www.documentcloud.org/documents/2684949-062-Bussum-Coalitieprogramma-2014-2015.html,https://assets.documentcloud.org/documents/2684949/062-Bussum-Coalitieprogramma-2014-2015.pdf,https://assets.documentcloud.org/documents/2684949/062-Bussum-Coalitieprogramma-2014-2015.txt,52.273789,5.166387
Capelle aan den IJssel,Zuid-Holland,Nederland,http://www.documentcloud.org/documents/2684950-063-Capelle-Aan-Den-IJssel-Coalitieakkoord-2014.html,https://assets.documentcloud.org/documents/2684950/063-Capelle-Aan-Den-IJssel-Coalitieakkoord-2014.pdf,https://assets.documentcloud.org/documents/2684950/063-Capelle-Aan-Den-IJssel-Coalitieakkoord-2014.txt,51.930151,4.577705
Castricum,Noord-Holland,Nederland,http://www.documentcloud.org/documents/2684961-064-Castricum-Coalitieakkoord-Definitief-1.html,https://assets.documentcloud.org/documents/2684961/064-Castricum-Coalitieakkoord-Definitief-1.pdf,https://assets.documentcloud.org/documents/2684961/064-Castricum-Coalitieakkoord-Definitief-1.txt,52.545259,4.672735
Coevorden,Drenthe,Nederland,http://www.documentcloud.org/documents/2684962-065-Coevorden-Coalitieakkoord-Web-2014-2018.html,https://assets.documentcloud.org/documents/2684962/065-Coevorden-Coalitieakkoord-Web-2014-2018.pdf,https://assets.documentcloud.org/documents/2684962/065-Coevorden-Coalitieakkoord-Web-2014-2018.txt,52.661357,6.741062
Cranendonck,Noord-Brabant,Nederland,http://www.documentcloud.org/documents/2684963-066-Cranendonck-Raadsprogramma-2014-2018.html,https://assets.documentcloud.org/documents/2684963/066-Cranendonck-Raadsprogramma-2014-2018.pdf,https://assets.documentcloud.org/documents/2684963/066-Cranendonck-Raadsprogramma-2014-2018.txt,51.304103,5.589696
Cromstrijen,Zuid-Holland,Nederland,http://www.documentcloud.org/documents/2684964-067-Cromstrijen-Hoofdlijnenakkoord-2014-2018.html,https://assets.documentcloud.org/documents/2684964/067-Cromstrijen-Hoofdlijnenakkoord-2014-2018.pdf,https://assets.documentcloud.org/documents/2684964/067-Cromstrijen-Hoofdlijnenakkoord-2014-2018.txt,51.736089,4.460849
Cuijk,Noord-Brabant,Nederland,http://www.documentcloud.org/documents/2684965-068-Cuijk-Coalitieakkoord-Cuijk-30-April-2014.html,https://assets.documentcloud.org/documents/2684965/068-Cuijk-Coalitieakkoord-Cuijk-30-April-2014.pdf,https://assets.documentcloud.org/documents/2684965/068-Cuijk-Coalitieakkoord-Cuijk-30-April-2014.txt,51.728927,5.879209
Culemborg,Gelderland,Nederland,http://www.documentcloud.org/documents/2684966-069-Culemborg-Coalitieakkoord-2014-Verbinden.html,https://assets.documentcloud.org/documents/2684966/069-Culemborg-Coalitieakkoord-2014-Verbinden.pdf,https://assets.documentcloud.org/documents/2684966/069-Culemborg-Coalitieakkoord-2014-Verbinden.txt,51.956108,5.240045
Dalfsen,Overijssel,Nederland,http://www.documentcloud.org/documents/2684967-070-Dalfsen-Coalitieakkoord-2014-2018.html,https://assets.documentcloud.org/documents/2684967/070-Dalfsen-Coalitieakkoord-2014-2018.pdf,https://assets.documentcloud.org/documents/2684967/070-Dalfsen-Coalitieakkoord-2014-2018.txt,52.507755,6.259667
Dantumadiel,Friesland,Nederland,http://www.documentcloud.org/documents/2684968-071-Dantumadiel-Coalitieakkoord-2014-2018.html,https://assets.documentcloud.org/documents/2684968/071-Dantumadiel-Coalitieakkoord-2014-2018.pdf,https://assets.documentcloud.org/documents/2684968/071-Dantumadiel-Coalitieakkoord-2014-2018.txt,53.272981,5.98593
Delft,Zuid-Holland,Nederland,http://www.documentcloud.org/documents/2684969-072-Delft-Coalitieakkoord-2014-2018.html,https://assets.documentcloud.org/documents/2684969/072-Delft-Coalitieakkoord-2014-2018.pdf,https://assets.documentcloud.org/documents/2684969/072-Delft-Coalitieakkoord-2014-2018.txt,52.011577,4.357068
Delfzijl,Groningen,Nederland,http://www.documentcloud.org/documents/2684970-073-Delfzijl-Coalitieakkoord-Verbindend-Delfzijl.html,https://assets.documentcloud.org/documents/2684970/073-Delfzijl-Coalitieakkoord-Verbindend-Delfzijl.pdf,https://assets.documentcloud.org/documents/2684970/073-Delfzijl-Coalitieakkoord-Verbindend-Delfzijl.txt,53.331027,6.92446
Deurne,Noord-Brabant,Nederland,http://www.documentcloud.org/documents/2684971-074-Deurne-Coalitieprogramma-Deurne-2014-2018.html,https://assets.documentcloud.org/documents/2684971/074-Deurne-Coalitieprogramma-Deurne-2014-2018.pdf,https://assets.documentcloud.org/documents/2684971/074-Deurne-Coalitieprogramma-Deurne-2014-2018.txt,51.46422,5.795068
Deventer,Overijssel,Nederland,http://www.documentcloud.org/documents/2684972-075-Deventer-Bestuursakkoord-2014-2018.html,https://assets.documentcloud.org/documents/2684972/075-Deventer-Bestuursakkoord-2014-2018.pdf,https://assets.documentcloud.org/documents/2684972/075-Deventer-Bestuursakkoord-2014-2018.txt,52.266075,6.155217
Diemen,Noord-Holland,Nederland,http://www.documentcloud.org/documents/2684973-076-Diemen-Coalitie-Akkoord-2014-Def-Tekst.html,https://assets.documentcloud.org/documents/2684973/076-Diemen-Coalitie-Akkoord-2014-Def-Tekst.pdf,https://assets.documentcloud.org/documents/2684973/076-Diemen-Coalitie-Akkoord-2014-Def-Tekst.txt,52.338993,4.959189
Dinkelland,Overijssel,Nederland,http://www.documentcloud.org/documents/2684975-077-Dinkelland-Coalitieprogramma-Dinkelland-2014.html,https://assets.documentcloud.org/documents/2684975/077-Dinkelland-Coalitieprogramma-Dinkelland-2014.pdf,https://assets.documentcloud.org/documents/2684975/077-Dinkelland-Coalitieprogramma-Dinkelland-2014.txt,52.407617,6.89726
Doesburg,Gelderland,Nederland,http://www.documentcloud.org/documents/2684976-078-Doesburg-Coalitieakkoord-Stroomopwaarts.html,https://assets.documentcloud.org/documents/2684976/078-Doesburg-Coalitieakkoord-Stroomopwaarts.pdf,https://assets.documentcloud.org/documents/2684976/078-Doesburg-Coalitieakkoord-Stroomopwaarts.txt,52.014288,6.139782
