AD officiele benaming,Nationale identificatie / Aansluitnummer,AD vestigingsadres,AD plaats,AD postcode,AD land,Internetadres aanbestedende dienst
Gemeente Zandvoort,262273306,Swaluestraat 2,Zandvoort,2042 KB,Nederland,
Nationale Politie - Eenheid Amsterdam en Eenheid Noord-Holland,321982273,James Wattstraat 84,Amsterdam,1097 DM,Nederland,http://www.politie.nl
Gemeente Hoogezand-Sappemeer,5681239,Gorecht-Oost 157,Hoogezand,9603 AE,Nederland,http://www.hoogezand-sappemeer.nl
Gemeente Sint-Michielsgestel,121791119,Meanderplein 1,Sint-Michielsgestel,5271GC,Nederland,http://www.sint-michielsgestel.nl
"Ministerie van Economische Zaken, Agentschap NL, namens Rijkswaterstaat Leefomgeving",12024663,Prinses Beatrixlaan 2,Den Haag,2595 AL,Nederland,http://www.agentschapnl.nl
Waterschap Velt en Vecht,331835633,Burgemeester Feithsingel 2,Coevorden,7742 BP,Nederland,http://www.veltenvecht.nl
"Provincie Groningen, voor deze Dienst Landelijk Gebied, Kernteam Groningen",532146326,Trompsingel 1,Groningen,9700 RM,Nederland,http://www.dienstlandelijkgebied.nl
"Rijkswaterstaat Zeeland, Uitvoerend Secretariaat van de Vlaams-Nederlandse Scheldecommissie",13347689,Jacob Obrechtlaan 3,Bergen op Zoom,4611 AP,Nederland,http://www.vnsc.eu
Belastingdienst,12629279,John F. Kenndylaan 8,Apeldoorn,7314 PS,Nederland,http://www.belastingdienst.nl
Tweede Kamer der Staten Generaal,57651992,Lange Houtstraat 1,Den Haag,2511 CV,Nederland,
Gemeente Helmond,50664505,Weg op den Heuvel 35,Helmond,5701NV,Nederland,http://www.drivenbyhelmond.nl/innovatiefkruispunt
"Ministerie van Defensie, Commando Dienstencentra (CDC)",271880387,Herculeslaan 1,Utrecht,3584AB,Nederland,http://www.defensie.nl/cdc
"Provincie Overijssel, voor deze Dienst Landelijk Gebied",532146326,LÃƒÂ¼beckplein 34,Zwolle,8017 JS,Nederland,http://www.dienstlandelijkgebied.nl
Stichting Nordwin College,38660910,Gardeniersweg 2,LEEUWARDEN,8933AA,Nederland,http://www.nordwincollege.nl
Belastingdienst,12629279,J.F.Kennedylaan 8,Apeldoorn,7314 PS,Nederland,http://www.belastingdienst.nl
"Belastingdienst/Centrum voor facilitaire dienstverlening, IUC Belastingdienst",12629279,John F. Kennedylaan 8,Apeldoorn,7314 PS,Nederland,http://www.belastingdienst.nl
Gemeente Wageningen,431780352,Markt 22,Wageningen,6701 CZ,Nederland,http://www.wageningen.nl
Gemeente Molenwaard,591952644,Melkwegplein 1,Bleskensgraaf,2971 VR,Nederland,http://www.gemeentemolenwaard.nl
Gemeente Breda,53425143,Claudius Prinsenlaan 10,Breda,4811 DJ,Nederland,http://www.breda.nl
Martinuscollege,522275679,De Aanloop 6,Grootebroek,1613 KW,Nederland,http://www.martinuscollege.nl
"Ministerie van Defensie, Commando Dienstencentra, Divisie Vastgoed & Beveiliging",31833604,Dr. Stolteweg 40,Zwolle,8004 DD,Nederland,http://www.defensie.nl/cdc/vastgoed/divisievastgoedenbeveiliging
Gemeente Tynaarlo,301666719,Kornoeljeplein 1,Vries,9481 AW,Nederland,http://www.tynaarlo.nl
"Belastingdienst/Centrum voor facilitaire dienstverlening, IUC Belastingdienst",12629279,Tiberdreef 12,Utrecht,3561 GG,Nederland,http://www.belastingdienst.nl
Gemeente Alkmaar,22159309,Langestraat 97,ALKMAAR,1811 JD,Nederland,http://www.alkmaar.nl
Gemeente Valkenswaard,351634883,De Hofnar 15,Valkenswaard,5554 DA,Nederland,http://www.valkenswaard.nl
Provincie Noord-Holland,24460435,Houtplein 33,Haarlem,2012 DE,Nederland,http://www.noord-holland.nl
Haagse Inkoop Samenwerking (HIS) namens het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,41335830,Wilhelmina van Pruisenweg 52,Den Haag,2595 AN,Nederland,http://www.de-werkmaatschappij.nl/bedrijfseenheden/haagse-inkoop-samenwerking
Haagse Inkoopsamenwerking (HIS) on behalf of the Dutch State Treasury Agency (DSTA),41625119,Wilhelmina van Pruisenweg 52,Den Haag,2595 AN,Nederland,http://www.de-werkmaatschappij.nl
BEL Combinatie,252767108,Zuidersingel 5,EEMNES,3755AZ,Nederland,http://www.belcombinatie.nl
Gemeenschappelijke regeling DCMR Milieudienst Rijnmond,54675975,Parallelweg 1,SCHIEDAM,3112NA,Nederland,http://www.dcmr.nl
Gemeente Enschede,54685354,7514AD 51,ENSCHEDE,7514AD,Nederland,
Haagse Inkoop Samenwerking (HIS) namens de Inspectie Gezondheidszorg,41625119,Wilhelmina van Pruisenweg 52,Den Haag,2595 AN,Nederland,
Universiteit van Amsterdam,56385074,Roeterstraat 31,Amsterdam,1018 WB,Nederland,http://www.uva.nl
Groningen Seaports,16392151,Handelskade Oost 1,Delfzijl,9934 AR,Nederland,http://www.groningen-seaports.com
"Ministerie van Volksgezondheid, Welzijn en Sport",41625119,2511 VX 5,Den Haag,2511 VX,Nederland,
Provincies Overijssel en Flevoland,221853294,p/a Luttenbergstraat 2,ZWOLLE,8012EE,Nederland,
Wageningen University and Research Centre,252057548,6708 PB 4,Wageningen,6708 PB,Nederland,
Gemeente Deurne,251662132,Markt 1,Deurne,5751 BE,Nederland,
Stichting Inkoopbureau Midden Nederland,39657867,3601GR 1,MAARSSEN,3601GR,Nederland,
gemeente Nijmegen,531887432,6511PP 6,Nijmegen,6511PP,Nederland,
"Gemeente Groningen, Dienst Ruimtelijke Ordening en Economische Zaken",23670183,Gedempte Zuiderdiep 98,Groningen,9711 HL,Nederland,http://www.groningen.nl
Provincie Noord-Holland,24460435,Houtplein 33,Haarlem,2001DA,Nederland,http://www.noord-holland.nl
Rijksgebouwendienst,552550970,(bezoekadres) Rijnstraat 8,Den Haag,2515 XP,Nederland,http://www.rijksgebouwendienst.nl
Hogeschool Leiden,261778818,2333 CK 11,Leiden,2333 CK,Nederland,
Stichting Openbaar Voortgezet Onderwijs Gouda,5697807,Krugerlaan 20,GOUDA,2806EJ,Nederland,http://www.stovog.nl
Ministerie van Veiligheid en Justitie/Bestuursdepartement/DBOB/Afdeling Inkoop,81541938,2511 EX 100,Den Haag,2511 EX,Nederland,
Gemeente Leiden,292140280,Postbus 9100,Leiden,2300 PC,Nederland,http://www.servicepunt71.nl
Stichting Nuffic,38704749,Kortenaerkade 11,S-GRAVENHAGE,2518AX,Nederland,http://www.nuffic.nl
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,41335830,2511 EZ 200,Den Haag,2511 EZ,Nederland,
Gemeente Den Helder,391946993,1784MC 20,Den Helder,1784MC,Nederland,
Servicepunt71,292140280,2312 LX 4,Leiden,2312 LX,Nederland,
Ministerie van Sociale Zaken en Werkgelegenheid,19637402,2595 BJ 4,Den Haag,2595 BJ,Nederland,
Gemeente Landgraaf,231646228,Raadhuisplein 1,Landgraaf,6371 LA,Nederland,http://www.landgraaf.nl
Rijkswaterstaat Dienst Verkeer en Scheepvaart,201842937,Schoemakerstraat 97,Delft,2628 VK,Nederland,http://www.rijkswaterstaat.nl
"Ministerie van Economische Zaken, Dienst ICT Uitvoering",151733690,Juliana van Stolberglaan 148,Den Haag,2595 CL,Nederland,http://www.minez.nl
Dienst Landelijk Gebied,532146326,Rosendaalsestraat 64,Arnhem,6800 ED,Nederland,http://www.dienstlandelijkgebied.nl
Gemeente Bergen op Zoom,511659779,Jacob Obrechtlaan 4,Bergen op Zoom,4611 AR,Nederland,http://www.bergenopzoom.nl
Gemeente Aa en Hunze,42168990,Spiekersteeg 1,GIETEN,9461BH,Nederland,http://www.aaenhunze.nl
Waterschap Vallei en Veluwe,6513549,7324AX 10,Apeldoorn,7324AX,Nederland,
"Provincie Groningen, afdeling Wegenbouw",61673630,Postbus 610,GRONINGEN,9700 AP,Nederland,http://www.provinciegroningen.nl
Het Waterschapshuis,31682635,Stationsplein 89,Amersfoort,3818 LE,Nederland,http://www.hetwaterschapshuis.nl
"Ministerie van Defensie, Commando Dienstencentra (CDC)",271880387,Herculeslaan 1,Utrecht,3509 AA,Nederland,http://www.defensie.nl/cdc
"Provincie Zeeland, voor deze de Dienst Landelijk Gebied",532146326,Piet Heinstraat 77,Goes,4461 GL,Nederland,http://www.dienstlandelijkgebied.nl
"Ministerie van Defensie, Commando Dienstencentra (CDC),Divisie Vatgoed en Beveiliging",271880387,Dr. Stolteweg 40,Zwolle,8004 DD,Nederland,http://www.defensie.nl/cdc/divisievastgoedenbeveiliging/
Gemeente Utrechtse Heuvelrug,251670300,3941 HV 2,Doorn,3941 HV,Nederland,
Gemeente Loppersum,581818661,Molenweg 12,LOPPERSUM,9919AH,Nederland,http://www.loppersum.nl
"Stichting Mainport en Groen, voor deze de Dienst Landelijk Gebied",532146326,St. Jacobsstraat 200,Utrecht,3511 BT,Nederland,http://www.dienstlandelijkgebied.nl
"Waterschap Regge & Dinkel, voor deze de Dienst Landelijk Gebied",532146326,LÃƒÂ¼beckplein 34,Zwolle,8017 JS,Nederland,http://www.dienstlandelijkgebied.nl
"Provincie FryslÃƒÂ¢n, voor deze Dienst Landelijk Gebied",532146326,Zuidersingel 3,Leeuwarden,8901 JA,Nederland,http://www.dienstlandelijkgebied.nl
Instituut Fysieke Veiligheid,7671490,Zilverstraat 91,Zoetermeer,2718 RP,Nederland,http://www.ifv.nl
Gemeente Overbetuwe & Gemeente Lingewaard,481953032,Kinkelenburglaan 6,Bemmel,6681 BJ,Nederland,http://www.lingewaard.nl
de gemeente Gennep,4396285,Ellen Hoffmannplein 1,GENNEP,6591CP,Nederland,http://www.gennep.nl
Sociale Verzekeringsbank,281871642,Van Heuven Goedhartlaan 1,Amstelveen,1181 KJ,Nederland,http://www.svb.nl
Universiteit Twente,13468653,7522 ND 5,Enschede,7522 ND,Nederland,
Gemeente Helmond,50664505,Weg op den Heuvel 35,Helmond,5701NV,Nederland,http://www.drivenbyhelmond.nl
Stichting ROC Nijmegen e.o.,371807110,6512BT 6,NIJMEGEN,6512BT,Nederland,
Universiteit Maastricht,562081502,Minderbroedersberg 4,MAASTRICHT,6211LK,Nederland,http://www.maastrichtuniversity.nl
Gemeente Arnhem,24287678,6811DG 38,ARNHEM,6811DG,Nederland,
Technische Universiteit Eindhoven,381687890,Den Dolech 2,Eindhoven,5612 AZ,Nederland,http://www.tue.nl
Gemeentehuis Smallingerland,10508761,Gauke Boelensstraat 2,DRACHTEN,9203RM,Nederland,http://www.smallingerland.nl
De Dienst voor het kadaster en de openbare registers (het Kadaster),362087152,Hofstraat 110,Apeldoorn,7311 KZ,Nederland,http://www.kadaster.nl
Universiteit Utrecht,271574282,3584 CS 8,Utrecht,3584 CS,Nederland,
Gemeente Middelburg Stadskantoor,53489385,Kanaalweg 3,MIDDELBURG,4337PA,Nederland,http://www.middelburg.nl
Het Waterschapshuis,31682635,3818 LE 89,Amersfoort,3818 LE,Nederland,
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,41335830,2511 DP 200,Den Haag,2511 DP,Nederland,
Ministerie van Veiligheid en Justitie/Bestuursdepartement/DBOB/Afdeling Inkoop,81541938,2511 DP 147,Den Haag,2511 DP,Nederland,
"Ministerie van Defensie, Commando Dienstencentra (CDC)",271880387,Spoorlaan 175,Tilburg,5038 CB,Nederland,
Gemeente Drechterland,332196881,Raadhuisplein 1,Hoogkarspel,1616 AV,Nederland,http://www.drechterland.nl
Ministerie van Economische Zaken - Dienst ICT Uitvoering,151733690,Juliana van Stolberglaan 148,Den Haag,2595 CL,Nederland,http://www.rijksoverheid.nl/ministeries/ez
Gemeente Dronten,162046567,De Rede 1,Dronten,8251 ER,Nederland,http://www.dronten.nl
waterschap Hoogheemraadschap De Stichtse Rijnlanden,481695372,Poldermolen 2,HOUTEN,3994DD,Nederland,http://www.hdsr.nl
"Gemeente Amsterdam, Dienst Maatschappelijke Ontwikkeling",592170316,Weesperstraat 101,Amsterdam,1018 VN,Nederland,http://www.amsterdam.nl/gemeente/organisatie-diensten/dmo
Waterschap Brabantse Delta,7358572,4836 AA 5,Breda,4836 AA,Nederland,
Politieacademie,532259254,Arnhemseweg 348,Apeldoorn,7334 AC,Nederland,http://www.politieacademie.nl
Scalda,201802958,Vlietstraat 11,Terneuzen,4535 HA,Nederland,http://www.scalda.nl
"Provincie Noord Brabant, voor deze de Dienst Landelijk Gebied",532146326,Prof Cobbenhagenlaan 125,Tilburg,5037 DB,Nederland,http://www.dienstlandelijkgebied.nl
"Bizob namens de gemeente Boxtel, Haaren, Schijndel, Sint-Michielsgestel en Vught",2819606,Markt 20,Schijndel,5482NG,Nederland,http://www.bizob.nl
College voor Zorgverzekeringen,111667634,1112XH 4,DIEMEN,1112XH,Nederland,
"Gemeente Apeldoorn, team inkoop",171929098,7300 ES 1,Apeldoorn,7300 ES,Nederland,
"Ministerie van Defensie, Commando Dienstencentra, Divisie Vastgoed & Beveiliging",31833604,Dr. Stolteweg 40,Zwolle,8025 AX,Nederland,http://www.defensie.nl/cdc
Universitair Medisch Centrum Groningen (UMCG),551914741,9713GZ 1,GRONINGEN,9713GZ,Nederland,
Erasmus Universiteit Rotterdam,21411034,3062PA 50,ROTTERDAM,3062PA,Nederland,
Hoogheemraadschap De Stichtse Rijnlanden,481695372,Poldermolen 2,HOUTEN,3994DD,Nederland,http://www.hdsr.nl
"Belastingdienst, IUC Belastingdienst",12629279,Tiberdreef 12,Utrecht,3561 GG,Nederland,http://www.belastingdienst.nl
Gemeente Scherpenzeel,541597226,3925CC 389,SCHERPENZEEL,3925CC,Nederland,
Gemeente Den Haag,221909103,Spui 70,Den Haag,2511 BT,Nederland,http://www.denhaag.nl
Stichting ICTU,81696165,2595 AN 104,Den Haag,2595 AN,Nederland,
Universiteit Leiden,151539485,2333 AL 62,Leiden,2333 AL,Nederland,
"Bizob namens de gemeenten Oss, Uden en Veghel",492182384,Stadhuisplein 1,Veghel,5461 KN,Nederland,http://www.veghel.nl
Gemeente Naarden,6469186,Raadhuisstraat 2,Naarden,1411 EC,Nederland,http://www.naarden.nl
Gemeente Opsterland,91964123,Hoofdstraat 82,BEETSTERZWAAG,9244CR,Nederland,http://www.opsterland.nl
Gemeente Eindhoven,261529808,Stadhuisplein 1,Eindhoven,5611 EM,Nederland,http://www.eindhoven.nl/slimlicht
Veiligheidsregio Brabant-Zuidoost,541574175,5611 KX 2,Eindhoven,5611 KX,Nederland,
GVB Exploitatie BV,5953591,Arlandaweg 100,AMSTERDAM,1043 HP,Nederland,http://www.gvb.nl
Gemeente Dongeradeel,51682937,Koningstraat 13,Dokkum,9101LP,Nederland,http://www.dongeradeel.nl
Politie,111668359,Kwekerijweg 6,Zeist,3709 JA,Nederland,http://www.politie.nl/
Gemeente Tynaarlo,301666719,Kornoeljeplein 1,Vries,9481 WA,Nederland,http://www.tynaarlo.nl
Rijksinstituut voor Volksgezondheid en Milieu (RIVM),50686124,3721 MA 9,Bilthoven,3721 MA,Nederland,
"Bizob namens de gemeente Best, Deurne, Geldrop-Mierlo, Nuenen, Son & Breugel, Veldhoven en Waalre",221959283,Markt 1,Oirschot,5688 AJ,Nederland,http://www.bizob.nl
Gemeente Waalre,362174090,Laan van Dienenvoorde 32,Waalre,5582 LA,Nederland,http://www.waalre.nl
Gemeente Almelo,3720748,7607EK 1,Almelo,7607EK,Nederland,
"Ministerie van Defensie, Commando Dienstencentra (CDC)",271880387,Herculeslaan 1,Utrecht,3584 AB,Nederland,http://www.defensie.nl/cdc
Universiteit Utrecht,271574282,Heidelberglaan 8,Utrecht,3584 CS,Nederland,http://www.uu.nl
Universiteit van Amsterdam,54385591,Spui 21,Amsterdam,1012 WX,Nederland,http://www.uva.nl
Gemeente Wijchen,55657128,Kasteellaan 22,Wijchen,6602 DE,Nederland,http://www.wijchen.nl
Oasen N.V.,151640909,2801SB 3,GOUDA,2801SB,Nederland,
Provincie Noord-Brabant,422043498,Brabantlaan 1,s-Hertogenbosch,5216TV,Nederland,http://www.saneringchemiepack.nl
Gemeente Velsen,262273306,Dudokplein 1,IJmuiden,1971 EN,Nederland,http://www.velsen.nl
"Ministerie van Defensie, Commando Dienstencentra, Divisie Vastgoed & Beveiliging",31833604,Herculeslaan 1,Utrecht,3509 AA,Nederland,http://www.defensie.nl/cdc/vastgoed/divisievastgoedenbeveiliging
Tilburg University,192189795,5037AB 2,TILBURG,5037AB,Nederland,
Tweede Kamer der Staten Generaal,57651992,Plein 2,Den Haag,2511 CR,Nederland,
Koning Willem I College,21372421,Vlijmenseweg 2,S-HERTOGENBOSCH,5223GW,Nederland,http://www.kw1c.nl
Stichting ROGplus Nieuwe Waterweg Noord,11675464,Uiverlaan 20,Maassluis,3145 XN,Nederland,http://www.rogplus.nl
Centraal Bureau voor de Statistiek,58668778,2492JP 312,S-GRAVENHAGE,2492JP,Nederland,
"BAR gemeente (Barendrecht, Albrandswaard, Ridderkerk)",421705862,Koningsplein 1,Ridderkerk,2981 EA,Nederland,http://www.ridderkerk.nl
Dienst Landelijk Gebied,532146326,Lubeckplein 34,Zwolle,8017 JS,Nederland,http://www.dienstlandelijkgebied.nl
Gemeente Alphen aan den Rijn,322097992,Stadhuisplein 1,ALPHEN AAN DEN RIJN,2405SH,Nederland,http://www.alphenaandenrijn.nl
Gemeente Leusden,281593175,3831NA 1,LEUSDEN,3831NA,Nederland,
"Ministerie van Defensie, Commando Dienstencentra, Divisie Vastgoed & Beveiliging",31833604,Herculeslaan 1,Utrecht,3509 AA,Nederland,http://www.defensie.nl/cdc/divisievastgoedenbeveiliging
"Bizob namens de gemeente Uden, Veghel, Sint-Oedenrode en Schijndel",492182384,Stadhuisplein 1,Veghel,5461 KN,Nederland,http://www.veghel.nl
CoÃƒÂ¶peratie Eduglas UA,5471160,Schweitzerlaan 6,GRONINGEN,9728NP,Nederland,http://www.eduglas.nl
"Gemeente Amsterdam, Stadsdeel Zuidoost",501665377,Anton de Komplein 150,Amsterdam Zuidoost,1102 CW,Nederland,http://www.zuidoost.amsterdam.nl
"GGD Noord- en Oost-Gelderland, GGD IJsselland en GGD Drenthe",41407676,Corr. adres: Ganzevoortsingel 40,Groningen,9711AN,Nederland,http://www.micta.nl
"Ministerie van Defensie, Koninklijke Marine",412151249,Rijkszee- en Marinehaven 1,Den Helder,1780 CA,Nederland,
Gemeente Halderberge,54674912,Parklaan 15,Oudenbosch,4731 GJ,Nederland,http://www.halderberge.nl
Stadsgewest Haaglanden,141781822,Grote Marktstraat 43,S-GRAVENHAGE,2511BH,Nederland,http://www.haaglanden.nl
Politie,111668359,Burgemeester Patijnlaan 35,Den Haag,2585 BG,Nederland,http://www.politie.nl/
Luchtverkeersleiding Nederland,351981909,Stationsplein-ZW 1001,SCHIPHOL,1117CV,Nederland,http://www.lvnl.nl
Regionaal Milieubedrijf Brabant-Noordoost,162175277,Gildekamp 8,CUIJK,5431SP,Nederland,http://www.rmb.nl
Gemeente Veldhoven,482173060,Meiveld 1,Veldhoven,5501 KA,Nederland,http://www.veldhoven.nl
"Politie, afdeling Politie Uitrusting",111668359,Hogekampweg 2,Apeldoorn,7316 MS,Nederland,http://www.politie.nl/
Gemeente de Ronde Venen,28663290,3641AL 111,Mijdrecht,3641AL,Nederland,
Radboud Universiteit Nijmegem,241988079,6525AJ 141,Nijmegen,6525AJ,Nederland,
"Gemeente Oldambt, Eemsmond, Delfzijl, werkorganisatie de Kompanjie en Groningen Seaports",132170319,Johan Modasstraat 6,Winschoten,9671 CD,Nederland,
"Provincie Utrecht, voor dezen de Dienst Landelijk Gebied",532146326,St. Jacobsstraat 200,Utrecht,3511 BT,Nederland,http://www.dienstlandelijkgebied.nl
Gemeente Moerdijk,541872553,Pastoor van Kessellaan 15,Zevenbergen,4761 BJ,Nederland,http://www.moerdijk.nl
Stichting voor Protestants Christelijk Primair Onderwijs De Vier Windstreken,351905228,Heuvellaan 2,GOUDA,2803DM,Nederland,http://www.d4w.nl
C.V. Beheermaatschappij LOC+,101967906,7772XP 1,HARDENBERG,7772XP,Nederland,
Gemeente Etten-Leur,142155573,Roosendaalseweg 4,Etten-Leur,4875 AA,Nederland,http://www.etten-leur.nl
Stichting Regionaal Inkoopbureau IJmond & Kennemerland,262273306,Raadhuisplein 1,Heemstede,2101 HA,Nederland,http://www.stichtingrijk.nl
Havenbedrijf Rotterdam NV,53367972,Wilhelminakade 909,Rotterdam,3072 AP,Nederland,http://www.tenderned.nl
"Ministerie van Defensie, CDC, Divisie Vastgoed & Beveiliging, Staf Afdeling Verwerving, Sectie Aanbesteden",271880387,Herculeslaan 1,Utrecht,3584AB,Nederland,
Ministerie van Buitenlandse Zaken,5910447,2594 AC 67,Den Haag,2594 AC,Nederland,
Gemeenschappelijke Gezondheidsdienst Hollands Noorden,61813089,1742NM 1,SCHAGEN,1742NM,Nederland,
Ministerie van Veiligheid en Justitie/Dienstencentrum/Inkoopuitvoeringscentrum VenJ Europees aanbesteden/contractmanagement,81541938,2511 DP 147,Den Haag,2511 DP,Nederland,
HTM Personenvervoer N.V.,321770422,Fluwelen Burgwal 58,S-GRAVENHAGE,2511CJ,Nederland,http://www.htm.net
"Provincie Overijssel, voor deze de Dienst Landelijk Gebied",532146326,LÃƒÂ¼beckplein 34,Zwolle,8017 JS,Nederland,http://www.dienstlandelijkgebied.nl
GGD Brabant-Zuidoost,141603727,5701PA 2,HELMOND,5701PA,Nederland,
Stichting Primair Onderwijs Deurne-Asten-Someren,202190579,Frits de Bruijnstraat 1,ASTEN,5721XR,Nederland,http://www.prodas.nl
gemeente 's-Hertogenbosch,491878990,5211 HH 1,s-Hertogenbosch,5211 HH,Nederland,
Stichting Routerings Instituut (Inter)Nationale Informatiestromen (Stichting Rinis),291659727,Van Heuven Goedhartlaan 1,AMSTELVEEN,1181KJ,Nederland,http://www.rinis.nl
Stichting Kennis en Innovatie in Energie- en Milieu Technologie,26516210,Mendelssohnlaan 13,ARNHEM,6815ET,Nederland,http://www.kiemt.nl
Gemeente Deventer,52675118,7411KT 4,DEVENTER,7411KT,Nederland,
"Gemeente Amsterdam, Dienst Economische Zaken",12475547,Weesperstraat 89,Amsterdam,1018 VN,Nederland,http://www.amsterdam.nl/ams
Stichting SVB-BGT versie 0.9,6709099,Stadhuisplein 7,AMERSFOORT,3811LM,Nederland,http://www.svb-bgt.nl
Rijksuniversiteit Groningen,461966837,Broerstraat 5,Groningen,9712 CP,Nederland,http://www.rug.nl
Gemeente Lansingerland,60484792,Tobias Asserlaan 1,BERKEL EN RODENRIJS,2662 SB,Nederland,http://www.lansingerland.nl
Ministerie van Economische Zaken,502035258,Prinses Beatrixlaan 2,Den Haag,2595 AL,Nederland,http://www.rijksoverheid.nl/ministeries/ez
Gemeente Utrecht,71663234,3526 KT 1,UTRECHT,3526 KT,Nederland,
Gemeente Opsterland,91964123,9244CR 82,BEETSTERZWAAG,9244CR,Nederland,
Provincie Flevoland,55378210,8232PH 1,LELYSTAD,8232PH,Nederland,
Gemeente Olst-Wijhe,502121442,Raadhuisplein 1,WIJHE,8131BN,Nederland,http://www.olst-wijhe.nl
Provincie Overijssel,221853294,8012EE 2,ZWOLLE,8012EE,Nederland,
Provincie Noord-Brabant,422043498,5216TV 1,s-Hertogenbosch,5216TV,Nederland,
"Ministerie van Infrastructuur en Milieu, BSK",607342,Koningskade 4,Den Haag,2596 AA,Nederland,http://www.rijksoverheid.nl/ministeries/ienm
Gemeente Cranendonck,201654182,Capucijnerplein 1,Budel,6021 CA,Nederland,
Gemeente Den Haag,221909103,Postbus 16460,Den Haag,2500 BL,Nederland,http://www.denhaag.nl
Rijkswaterstaat Programma's Projecten en Onderhoud,82067183,Zuiderwagenplein 2,Lelystad,8224 AD,Nederland,http://www.rijkswaterstaat.nl
Stichting voor Fundamenteel Onderzoek der Materie,111590197,Van Vollenhovenlaan 659,UTRECHT,3527JP,Nederland,http://www.amolf.nl
Recreatieschap Voorne-Putten-Rozenburg,121638882,Overschieseweg 204,SCHIEDAM,3112NB,Nederland,http://www.vvvzhe.nl
Samenwerking Vastgoedinformatie Heffing en Waardebepaling,412283596,Rijksstraatweg 3,KLAASWAAL,3286LS,Nederland,http://www.svhw.nl
Gemeente Kaag en Braassem,30670284,2371AS 1,ROELOFARENDSVEEN,2371AS,Nederland,
ProRail B.V.,381962604,Arthur van Schendelstraat 670,Utrecht,3511 MJ,Nederland,http://www.prorail.nl/zakenpartners
Gemeente Vught,34423267,5261EP 1,VUGHT,5261EP,Nederland,
Stichting Achterhoek VO,182282261,Holterweg 119 23,DOETINCHEM,7001 EK,Nederland,http://www.achterhoekvo.nl
Rijkswaterstaat Grote Projecten en Onderhoud (voorheen Dienst Infrastructuur),361633343,Griffioenlaan 2,Utrecht,3526 LA,Nederland,http://www.rijkswaterstaat.nl
Stichting voor Interconfessioneel Beroeps- en Algemeen Vormend Onderwijs en Volwassenen Educatie voor Rotterdam en omstreken Albeda College,221543670,3071 AL 1101,rotterdam,3071 AL,Nederland,
Koninklijk Nederlands Meteorologisch Instituut,282261342,Wilhelminalaan 10,De Bilt,3732 GK,Nederland,http://www.knmi.nl
"Rijkswaterstaat Programma's, Projecten en Onderhoud",132125978,Postbus 556,Rotterdam,3000 AN,Nederland,
Stichting Leiden Bio Science Park Foundation,421677073,Rijnsburgerweg 10,LEIDEN,2333AA,Nederland,http://www.leidenbiosciencepark.nl
Provincie Limburg,44667438,6229GA 10,Maastricht,6229GA,Nederland,
Gemeente Diemen,262273306,Den Hartoglaan 1,Diemen,1111 ZB,Nederland,http://www.diemen.nl
Gemeente Hattem,502188273,Markt 1,Hattem,8051 EZ,Nederland,http://www.hattem.nl
Brabant Water NV,411768430,5223 MA 200,s-Hertogenbosch,5223 MA,Nederland,
"Gemeente Wierden, voor deze Dienst Landelijk Gebied",532146326,LÃƒÂ¼beckplein 34,Zwolle,8000 GB,Nederland,http://www.dienstlandelijkgebied.nl
"Gemeente Amsterdam, stadsdeel West,",52049168,1055 EK 250,Amsterdam,1055 EK,Nederland,
Dienst Sociale Zaken en Werkgelegenheid Noardwest FryslÃƒÂ¢n,441758948,8801 KE 5,Franeker,8801 KE,Nederland,
GVB Infra B.V.,81781884,Arlandaweg 100,AMSTERDAM,1000 cc,Nederland,http://www.gvb.nl
TenneT TSO,531969787,6812AR 310,ARNHEM,6812AR,Nederland,
Dienst Sociale Zaken en Werkgelegenheid Noardwest FryslÃƒÂ¢n,441758948,Eise Eisingastraat 5,Franeker,8801 KE,Nederland,http://www.sozawe-nw-fryslan.nl
Waterschap Rivierenland,51595840,4003 BX 1,Tiel,4003 BX,Nederland,
"""De Haagse Scholen"", stichting voor primair en speciaal openbaar onderwijs",52784223,2517KW 60,S-GRAVENHAGE,2517KW,Nederland,
Gemeente Rotterdam - Serviceorganisatie,402137059,3011 XW 17,ROTTERDAM,3011 XW,Nederland,
"BAR gemeente (Barendrecht, Albrandswaard, Ridderkerk)",421705862,2981 EA 1,Ridderkerk,2981 EA,Nederland,
"Provincie Gelderland, voor deze de Dienst Landelijk Gebied",532146326,Roosendaalsestraat 64,Arnhem,6824CM,Nederland,http://www.dienstlandelijkgebied.nl
Rijkswaterstaat Centrale Informatievoorziening,362069499,Derde Werelddreef 1,Delft,2622 HA,Nederland,
Centraal Bureau Rijvaardigheidsbewijzen,43488710,2288DC 297,RIJSWIJK,2288DC,Nederland,
Hoofdkantoor Wetterskip FryslÃƒÂ¢n,151806378,8914AZ 113,LEEUWARDEN,8914AZ,Nederland,
Stichting Connekt,242097446,2629HT 6,DELFT,2629HT,Nederland,
Stichting het Juridisch Loket,531914125,Catharijnesingel 55,UTRECHT,3511GD,Nederland,http://www.juridischloket.nl
Stichting Infofilter,1872892,1964KP 4,HEEMSKERK,1964KP,Nederland,
