domeinnaam,organisatie,organisatie-onderdeel
gezondeschool.nl,VWS,RIVM
ggo-vergunningverlening.nl,VWS,RIVM
gorrijk.nl,BZK,
grotestedenbeleid.nl,BZK,
guatemala.nlambassade.org,BUZA,Postenweb
guatemala.nlembajada.org,BUZA,Postenweb
hackathonbuza.nl,BUZA,
handelingenbank.info,BZK,
handreikinggedragweggebruikers.nl,IenM,RWS
havenraad.nl,IenM,HR
herbestemmingsoestdijk.nl,BZK,RVB
hervorminglangdurigezorg.nl,VWS,
hetcak.nl,VWS,
hetcvte.nl,OCW,CVTE
hetgezondevoorbeeld.nl,VWS,
hetzorgverhaal.nl,VWS,
hiswa.nl,IenM,HISWA
hoepakjijdataan.nl,VWS,Trimbos
hoewerktnederland.nl,SZW,
holanda.es,BUZA,
hollandhollywood.com,BUZA,
hollandplusyou.com,BUZA,
hollandtrade.com,EZ,RVO
hollandtradeandinvest.com,EZ,RVO
hollandturkeytrade.com,BUZA,
hsl-zuid.nl,IenM,ProRail
huiselijkgeweld.nl,VWS,
humanrightstulip.nl,BUZA,
huurcommissie.nl,BZK,HC
ibestuurcongres.nl,BZK,
ibewustzijnoverheid.nl,BZK,ICTU
ibki.nl,IenM,IBKI
ictu.nl,BZK,ICTU
idensys.nl,BZK,Logius
igz.nl,VWS,
i-interimrijk.nl,BZK,
iipvv.nl,OCW,NWO
ilent.nl,IenM,ILT
implementatiewmo.nl,VWS,
industrialtechnologies2016.eu,EZ,RVO
innova58.nl,IenM,RWS
inspectiejeugdzorg.nl,VWS,
inspectieresultatenszw.nl,SZW,
inspectievanhetonderwijs.nl,OCW,IvhO
integriteitoverheid.nl,BZK,CAOP
internationalefuncties.nl,BUZA,
internetpillen.nl,VWS,
investinholland.com,EZ,
invoeringbasisggz.nl,VWS,
invoeringwmo.nl,VWS,
iob-evaluatie.nl,BUZA,IOB
ipkd.nl,BZK,UBR
ipkd.eu,BZK,
isis-web.nl,VWS,RIVM
iuc-noord.nl,OCW,DUO
ivho.docebosaas.com,OCW,IvhO
jaarberichtrvdk.nl,VenJ,RVDK
jaarverslagenrvo.nl,EZ,RVO
jaarverslagenzorg.nl,VWS,
jeugdinspecties.nl,VWS,
jeugdwerkloosheid.nl,SZW,UWV
kaart.pdok.nl,IenM,Kadaster
kansspelautoriteit.nl,VenJ,Kansspelautoriteit
kb.nl,OCW,KB
kbvg.nl,VenJ,KBG
kchul.nl,VWS,RIVM
kennisnetwerkbiociden.nl,VWS,RIVM
kennisopenbaarbestuur.nl,BZK,
kennisplatformveehouderij.nl,VWS,RIVM
kiesbeter.nl,VWS,RIVM
kiesraad.nl,BZK,Kiesraad
kimnet.nl,IenM,BSK
kinderombudsman.nl,NO,
kleinlef.nl,BZK,
knaw.nl,OCW,KNAW
koop.overheid.nl,BZK,
korpsnationalereserve.nl,DEF,
kosteneffectiviteit-preventie.rivm.nl,VWS,RIVM
kostenvanziekten.nl,VWS,RIVM
krachtontour.nl,VWS,
kroatie.nlambassade.org,BUZA,Postenweb
kwaliteitonderwijs.nl,OCW,IvhO
kwaliteitsafsprakenmbo.nl,OCW,
landelijkmeldpuntzorg.nl,VWS,
landelijkregisterkinderopvang.nl,SZW,
lavsinfo.nl,IenM,RWS
leburkinafaso.nlambassade.org,BUZA,Postenweb
lecanada.nlambassade.org,BUZA,Postenweb
leefbaarometer.nl,BZK,
leerwerkadvies.nl,SZW,UWV
leerwerkloketfriesland.nl,SZW,UWV
leerwerkloketrivierenland.nl,SZW,UWV
leidraadse.nl,IenM,RWS
lerwanda.nlambassade.org,BUZA,Postenweb
letterenfonds.nl,OCW,SNFF
liec.nl,VenJ,
lindenhorst-almata.nl,VWS,
lma.nl,IenM,RWS
loketgentherapie.nl,VWS,RIVM
loketgezondleven.nl,VWS,RIVM
lusaka.nlambassade.org,BUZA,Postenweb
lusaka.nlembassy.org,BUZA,Postenweb
lvnl.nl,IenM,LVNL
lza-lp.nl,VWS,CIBG
m.werkenvoornederland.nl,BZK,UBR
maakereenpuntvan.nl,VenJ,BD
maakhetzeniettemakkelijk.nl,VenJ,DPC
magazines.algemenerekenkamer.nl,AR,
magazines.defensie.nl,DEF,
magazines.p-direkt.nl,BZK,
magazines.rijksoverheid.nl,AZ,
magazines.rijksvastgoedbedrijf.nl,BZK,RVB
magazinesintern.rijksvastgoedbedrijf.nl,BZK,RVB
maror.nl,FIN,MAROR
mediafonds.nl,OCW,SNCM
medregeu2016.nl,VWS,CBG
meldplichttelecomwet.nl,EZ,AT
meldpuntvuurwerk.nl,IenM,ILT
mensenrechten.nl,VenJ,Commissie gelijke behandeling
mensenrechtentulp.nl,BUZA,
miavamiljaarverslag.nl,IenM,RWS
miavamiljaarverslag2009.nl,EZ,RVO
miavamiljaarverslag2010.nl,EZ,RVO
mijn.overheid.nl,BZK,
mijnagentschapszw.nl,SZW,Agentschap SZW
mijnenergie2050.nl,EZ,
mijnoctrooi.rvo.nl,EZ,RVO
mijnonlinewereld.buza.info,BUZA,
mijnpve.nl,EZ,RVO
mijnrvo.nl,EZ,RVO
milieuzones.nl,EZ,Dictu
ministerievanvolksgezondheid.nl,VWS,
mirtoostkantamsterdam.nl,IenM,
mjpo.nl,IenM,RWS
mondriaanfoundation.nl,OCW,MS
mongolia.nlmission.org,BUZA,
monitorgezondheid.nl,VWS,RIVM
motrainingen.nl,BZK,UBR
mrsa.rivm.nl,VWS,RIVM
multifunctionelelandbouw.net,EZ,
n18.nl,IenM,RWS
naarnederland.nl,SZW,
nabsokunming.nlmission.org,BUZA,
nationaalgeoregister.nl,IenM,Kadaster
nationaalkompas.nl,VWS,
nationaalovberaad.nl,IenM,
nationaleombudsman.nl,NO,
natura2000.nl,EZ,DGA&N
ncadierproevenbeleid.nl,EZ,RVO
ndw.nu,IenM,
nederlandelektrisch.nl,EZ,RVO
nederlandinnoveert.com,EZ,
netherlandsmission.org,BUZA,Postenweb
nevo-online.rivm.nl,VWS,RIVM
newtoholland.nl,BZK,
nicaragua.nlambassade.org,BUZA,Postenweb
nicaragua.nlembajada.org,BUZA,Postenweb
nidos.nl,VenJ,NIDOS
nieuweetiketten.nl,EZ,NVWA
niwo.nl,IenM,NIWO
nix18.nl,VWS,DPC
nkca.nl,VWS,RIVM
nl.espacenet.com,EZ,RVO
nlambassade.org,BUZA,Postenweb
nlatlantaconsulate.org,BUZA,Postenweb
nlbotschaft.org,BUZA,Postenweb
nlconsulaat.org,BUZA,Postenweb
nlconsulado.org,BUZA,Postenweb
nlconsulate.org,BUZA,Postenweb
nlconsulatehouston.org,BUZA,Postenweb
nlconsulateorlando.org,BUZA,Postenweb
nlembaixada.org,BUZA,Postenweb
nlembajada.org,BUZA,Postenweb
nlembassy.org,BUZA,Postenweb
nlintheusa.com,BUZA,
nlinunsc.nl,BUZA,
nlrepresentaciones.org,BUZA,Postenweb
nlrf2013.nl,BUZA,
nltr400.nl,BUZA,
nlvalidatie.nl,BZK,Logius
nlvertegenwoordiging.org,BUZA,Postenweb
nlvertegenwoordigingen.org,BUZA,Postenweb
nomorefoodtowaste.nl,EZ,DGA&N
nowakti.net,BUZA,
nvao.net,NVAO,
nwo.nl,OCW,NWO
nza.nl,VWS,NZA
ocwincijfers.nl,OCW,
odc-noord.nl,OCW,DUO
oecdguidelines.nl,BUZA,
oesorichtlijnen.nl,BUZA,
omgevingsloket.nl,IenM,RWS
omgevingswetportaal.nl,IenM,BSK
omgevingswijzer.org,IenM,RWS
ondernemersplein.nl,EZ,KvK
ondernemingsdossier.nl,EZ,DICTU
onderwijsincijfers.nl,OCW,
onderwijsinspecteur.nl,OCW,IvhO
onderwijspeilingen.nl,OCW,IvhO
onderwijstoezicht.nl,OCW,IvhO
onderwijsverslag.nl,OCW,IvhO
onderzoeksraad.nl,VenJ,ORV
onderzoeksraadintegriteitoverheid.nl,BZK,
onehealth.nl,VWS,RIVM
onsonderwijs2032.nl,OCW,
onswater.nl,IenM,BSK
ontdekjebodem.nl,IenM,RWS
operatiebrp.nl,BZK,
opnieuwthuis.nl,VenJ,
oteam.nl,IenM,BSK
ouders-uit-elkaar.nl,VenJ,RVR
overstroomik.nl,IenM,RWS
owinsp.nl,OCW,IvhO
parismou.org,IenM,ILT
pas.natura2000.nl,EZ,DGA&N
passendonderwijs.nl,OCW,
passievoorpubliekeverantwoording.nl,AR,
pdok.nl,IenM,Kadaster
pdokviewer.pdok.nl,IenM,Kadaster
peilonderwijs.nl,OCW,IvhO
peilpunt.nl,OCW,IvhO
peilpuntonderwijs.nl,OCW,IvhO
platformbeterbenutten.nl,IenM,BSK
platformparticipatie.nl,IenM,BSK
pluk.nl,IenM,BSK
politieacademie.nl,VenJ,Politie
politieenwetenschap.nl,VenJ,Politie
politievakblad-blauw.nl,VenJ,Politie
poraad.nl,OCW,
portoalegre.nlrepresentacao.org,BUZA,Postenweb
portoalegre.nlvertegenwoordiging.org,BUZA,Postenweb
portugal.nlembaixada.org,BUZA,Postenweb
prezies.nl,VWS,RIVM
processinnovation.nl,EZ,RVO
pt.rsonac.org,BUZA,
publiekeomroep.nl,OCW,NPO
puntenstelsel.nl,VenJ,Academie voor Wetgeving
q-bank.eu,EZ,NVWA
raadrvs.nl,VWS,RV&S
raadvanstate.nl,RvS,
raadvoorplantenrassen.nl,EZ,RVP
radarleefomgeving.nl,IenM,RWS
rbv.minfin.nl,FIN,
rdw.nl,IenM,RDW
rechtwijzer.nl,VenJ,Raad voor de Rechtsbijstand
recife.nlrepresentacao.org,BUZA,Postenweb
recife.nlvertegenwoordiging.org,BUZA,Postenweb
referentiegrootboekschema.nl,BZK,Logius
regelhulp.nl,VWS,
regionaalkompas.nl,VWS,RIVM
registerdirecteur.nl,VWS,CIBG
regulatoryscience.nl,VWS,CBG
rekenkamer.org,AR,
rekenkamer.nl,AR,
rekenkamer.net,AR,
rekentoolfunctiemixvo.nl,OCW,
rijksdienstvooridentiteitsgegevens.nl,BZK,RVIG
rijksictdashboard.nl,BZK,
rijksinnovatielab.nl,VenJ,DJI
rijksnormering.nl,BZK,
rijkstalentencentrum.nl,BZK,UBR
rijksvastgoedbedrijf.nl,BZK,RVB
rijschoolgegevens.nl,IenM,CBR
risicokaart.nl,IenM,
risicotoolboxbodem.nl,VWS,RIVM
rli.nl,IenM,BSK
rob-rfv.nl,BZK,ROB-RFV
roomie.nl,AZ,DPC
row-minvws.nl,VWS,
ruimtelijkeplannen.nl,IenM,Kadaster
ruimtevoorredzaamheid.nl,VWS,RV&S
rvo.nl,EZ,RVO
rwsenvironment.eu,IenM,RWS
rwsleefomgeving.nl,IenM,RWS
saip.nl,BZK,SAIP
samensnelinternet.nl,EZ,ECP
saudi-arabie.nlambassade.org,BUZA,Postenweb
s-bb.nl,OCW,SBB
sboicm.nl,BZK,UBR
sbr-nl.nl,BZK,Logius
sbv-z.nl,VWS,CIBG
schadeschap.nl,IenM,RWS
schakeldagen.nl,IenM,RWS
schoolleidersregisterpo.nl,VWS,CAOP
schoolleidersregistervo.nl,VWS,
schoolrapporten.nl,OCW,IvhO
schooltoezicht.nl,OCW,IvhO
scp.nl,VWS,SCP
signalentest.nl,AZ,
signalerenkanjeleren.nl,VWS,
slimmeengezondestad.nl,IenM,BSK
slotcoordination.nl,IenM,SACN
sluispedia.nl,IenM,RWS
socialemediagidsbz.nl,BUZA,
socialemediagidsvenj.nl,VenJ,DV
ssc-campus.nl,VWS,RIVM
sscicthaaglanden.nl,BZK,SSC-ICT
sso-noord.nl,OCW,DUO
staatsieportretten-bestellen.nl,AZ,CKH
staatvenz.nl,VWS,RIVM
stagefondszorg.nl,VWS,
standaarden.overheid.nl,BZK,
startstuderen.nl,OCW,DUO
startstuderen.com,OCW,DUO
stimuleringsfondspers.nl,OCW,SVDP
stoffen-info.nl,IenM,RWS
strakszwangerworden.nl,VWS,RIVM
subsidieregeling-pg-opleidingen.nl,VWS,
switzerland.nlembassy.org,BUZA,Postenweb
techniekpact.nl,EZ,DGB&I
tenderned.nl,EZ,Pianoo
thedutchchallenge.nl,BUZA,
the-netherlands.org,BUZA,Postenweb
toegangocw.nl,OCW,
toezichtopboa.nl,VenJ,OM
toolkitmijnoverheid.nl,BZK,Logius
toolkits.loketgezondleven.nl,VWS,RIVM
toolkitvtv.nl,VWS,RIVM
topinkomens.nl,BZK,
tracemer.nl,IenM,Programmabureau Verkenning en Planuitwerking
transitieautoriteitjeugd.nl,VWS,
transparantiebenchmark.nl,EZ,DGB&I
transplantatiestichting.nl,VWS,NTS
transport-era.net,IenM,RWS
trendsinbeeldocw.nl,OCW,
tuchtcollege-gezondheidszorg.nl,VWS,
ubrijk.nl,BZK,UBR
uitvoeringafvalbeheer-tools.nl,IenM,RWS
usar.nl,VenJ,
uwkindenalcohol.nl,VWS,Trimbos
uwkindenblowen.nl,VWS,Stivoro
uwkindenroken.nl,VWS,Stivoro
uwkindenseks.nl,VWS,Trimbos
uziregister.nl,VWS,CIBG
varendoejesamen.nl,IenM,RWS
vastgoedvanhetrijk.nl,BZK,
venezuela.nlambassade.org,BUZA,Postenweb
venjinbeweging.nl,VenJ,
verkeersonderneming.nl,IenM,RWS
verspillingindezorg.nl,VWS,
vertrouwensinspecteur.nl,OCW,IvhO
vfpf.org,OCW,PF VF
vfpf.nl,OCW,PF VF
vfsvisaonline.com,BUZA,Postenweb
visa-inquiry.com,BUZA,
volksgezondheid.nl,VWS,
volksgezondheidenzorg.nl,VWS,RIVM
volksgezondheidtoekomstverkenning.nl,VWS,RIVM
voordejeugd.nl,VWS,
vooreenveiligthuis.nl,VWS,
vreemdelingenvisie.nl,VenJ,IND
vsvverkenner.nl,OCW,
watziterintabak.nl,VWS,RIVM
webrichtlijnen.nl,BZK,Logius
weekvanhetgeld.nl,FIN,Wijzer in geldzaken
weetjewatjijwaardbent.nl,SZW,
werfmijniet.nl,IenM,RWS
werkenbijdeoverheid.nl,BZK,UBR
werkenvoornederland.nl,BZK,UBR
wijzeringeldzaken.nl,FIN,Wijzer in geldzaken
windopzee.nl,IenM,RWS
wkotool.nl,IenM,RWS
wlz-overgangsrecht.nl,VWS,
wmowerkplaatsen.nl,VWS,
wodc-repris.nl,VenJ,
woningmarktbeleid.nl,BZK,
won-nl.org,EZ,RVO
wordookdonor.nl,VWS,
wtzi.nl,VWS,CIBG
zeeweringen.nl,IenM,RWS
zoekenvergelijkscholen.nl,OCW,IvhO
zoekuwenergielabel.nl,BZK,Dictu
zonmw.nl,VWS,ZONMW
zorgatlas.nl,VWS,RIVM
zorgcsp.nl,VWS,CIBG
zorggegevens.nl,VWS,RIVM
zorginstituutnederland.nl,VWS,CVZ
zorgopdekaart.nl,VWS,
zorgpact.nl,VWS,
zorgregister.nl,VWS,CIBG
zorgvoorinnoveren.nl,VWS,
zovar.nl,VWS,CIBG
