X,Y,gml_id,datum,tijd,identificatieNummeraanduiding,identificatieAdresseerbaarObject,straatnaam,huisnummer,postcode,plaats,activiteitCode,activiteitOmschrijving,huisletter
250057,566359,V_000013837273_85201,11111111,120150111,1680200000012392,1680010000000720,Greveling,137,9654PP,Annerveenschekanaal,85201,Basisonderwijs voor leerplichtigen,
247656,566042,V_000013837257_85201,11111111,120150111,1680200000007680,1680010000001497,Hunzeweg,22,9657PD,Nieuw Annerveen,85201,Basisonderwijs voor leerplichtigen,
233732.82,581978.599,V_000014839997_8411,11111111,120150111,14200010882554,14010011074149,Waagstraat,1,9712JX,Groningen,8411,Algemeen overheidsbestuur,
188053.605,428544.723,V_000007046561_8412,11111111,120150111,268200000063913,268010000075571,Mariënburg,75,6511PS,Nijmegen,8412,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",
240940,566029,V_000013837249_85201,11111111,120150111,1680200000005921,1680010000001631,Borgweg,15,9469PE,Schipborg,85201,Basisonderwijs voor leerplichtigen,
154320,472891,V_000021816115_8425,20110120,115509503,313200000199701,313010000199702,Prinses Irenestraat,8,3751DH,Bunschoten-Spakenburg,8425,Brandweer,a
147888,469646,V_000021816093_8425,20110120,115509503,308200000002081,308010000002537,Eemnesserweg,52,3741GB,Baarn,8425,Brandweer,
249404,554595,V_000013837192_85201,11111111,120150111,1680200000003140,1680010000009594,Achter de Brinken,6,9462RH,Gasselte,85201,Basisonderwijs voor leerplichtigen,c
256408,557609,V_000013837176_85201,11111111,120150111,1680200000003885,1680010000011142,Tweede Dwarsdiep,8,9515PR,Gasselternijveenschemond,85201,Basisonderwijs voor leerplichtigen,
253181.82,556670.725,V_000013837133_85201,11111111,120150111,1680200000007282,1680010000004786,Burg. Gaarlandtlaan,20,9514CM,Gasselternijveen,85201,Basisonderwijs voor leerplichtigen,
207474,474001,V_000007591349_8412,11111111,120150111,150200000017645,150010000000882,Grote Kerkhof,4,7411KT,Deventer,8412,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",
249869,563814,V_000013837222_85201,11111111,120150111,1680200000011147,1680010000008968,Dorpsstraat,54,9658PC,Eexterveen,85201,Basisonderwijs voor leerplichtigen,
207950.467,474486.809,V_000007591330_8412,11111111,120150111,150200000031404,150010000039311,Leeuwenbrug,85,7411TH,Deventer,8412,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",
188017.143,428643.518,V_000007046766_8412,11111111,120150111,268200000064946,268010000050636,Mariënburg,30,6511PS,Nijmegen,8412,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",
131320.124,496590.939,V_000020639392_8425,20100722,111958535,852200000005145,852010000004714,De Werf,5,1141HL,Monnickendam,8425,Brandweer,
236807,552461,V_000013837117_85201,11111111,120150111,1680200000004302,1680010000003291,Markeweg,10,9454PM,Ekehaar,85201,Basisonderwijs voor leerplichtigen,
131419,496706,V_000020639414_8411,20100722,111958535,852200000007459,852010000005570,Galgeriet,10,1141GM,Monnickendam,8411,Algemeen overheidsbestuur,A
151862.334,449812.028,V_000021816131_8425,20110120,115509503,1581200000115610,1581010000038979,Kampweg,55,3941HD,Doorn,8425,Brandweer,
128410.508,493900.441,V_000020639457_8425,20100722,111958535,852200000000459,852010000000341,Hellingweg,2,1151CS,Broek in Waterland,8425,Brandweer,
140334.048,458040.686,V_000021816123_8425,20110120,115509503,310200000709346,310010000709347,Henri Dunantplein,4,3731CL,De Bilt,8425,Brandweer,C
125432,496908,V_000020639422_8425,20100722,111958535,852200000001866,852010000001715,Nijverheidsweg,1,1452PA,Ilpendam,8425,Brandweer,
186806.254,436864.065,V_000021253153_8411,20101101,152734983,1734200000010047,1734010000006723,Dorpsstraat,8,6661EK,Elst,8411,Algemeen overheidsbestuur,
135835.198,496740.285,V_000020639465_8425,20100722,111958535,852200000002444,852010000002370,Buurterstraat,37,1156AP,Marken,8425,Brandweer,
233874.167,582097.978,V_000014840103_8412,11111111,120150111,14200010873564,14010011065688,Kreupelstraat,1,9712HW,Groningen,8412,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",
28830.008,385250.498,V_000021749418_8424,20110112,142724597,718200000003195,718010000003169,Breestraat,15,4381HZ,Vlissingen,8424,Politie,
51488,392074,V_000021749426_8424,20110112,142724597,664200000011113,664010000011113,Valckeslotlaan,6,4461SE,Goes,8424,Politie,
46109.472,388178.428,V_000021749434_8424,20110112,142724597,654200000022594,654010000000859,Stenevate,6,4451KB,Heinkenszand,8424,Politie,
31988,390828,V_000021749353_8424,20110112,142724597,687200000014292,687010000014292,Segeerssingel,8,4337LG,Middelburg,8424,Politie,
32276.913,390657.373,V_000021749361_8424,20110112,142724597,687200000024228,687010000024228,Buitenruststraat,237,4337ER,Middelburg,8424,Politie,
33477.42,390476.458,V_000021749388_8424,20110112,142724597,687200000019586,687010000019586,Torentijdweg,1,4337PE,Middelburg,8424,Politie,
30631,397025,V_000021749396_8424,20110112,142724597,717200000115527,717010000000507,Burgemeester Dregmansstraat,21,4353AG,Serooskerke,8424,Politie,
199559.92,309163.53,V_000001225863_8412,11111111,120150111,981200000078773,981010000000083,von Clermontplein,15,6291AT,Vaals,8412,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",
239468,555858,V_000013837087_85201,11111111,120150111,1680200000001915,1680010000002636,Menso Altinglaan,4,9451KE,Rolde,85201,Basisonderwijs voor leerplichtigen,
32011,390798,V_000021749329_8424,20110112,142724597,687200000014294,687010000014294,Segeerssingel,10,4337LG,Middelburg,8424,Politie,
33310,391223,V_000021749345_8424,20110112,142724597,687200000009202,687010000009202,Kuipersweg,19,4338PH,Middelburg,8424,Politie,
247152,557853,V_000013837079_85201,11111111,120150111,1680200000000611,1680010000012192,Spoorstraat,2,9461DA,Gieten,85201,Basisonderwijs voor leerplichtigen,
233675.049,581498.355,V_000014840138_8412,11111111,120150111,14200010873531,14010011065657,Gedempte Zuiderdiep,98,9711HL,Groningen,8412,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",
187990.909,428784.356,V_000007047037_8412,11111111,120150111,268200000083372,268010000074374,Korte Nieuwstraat,6,6511PP,Nijmegen,8412,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",
186526.101,436745.639,V_000021253056_8411,20101101,152135640,1734207000122463,1734010000006714,Dorpsstraat,67,6661EH,Elst,8411,Algemeen overheidsbestuur,
105273,387606,V_000000348945_8424,11111111,120150111,879200000005404,879010000005404,Hofdreef,22,4881DR,Zundert,8424,Politie,
100840.9,406188.11,V_000000348937_8424,11111111,120150111,1709200000445589,1709010000048908,Pastoor van Kessellaan,15,4761BJ,Zevenbergen,8424,Politie,
235030.479,581497.629,V_000014840146_8412,11111111,120150111,14200010792294,14010010989600,Europaweg,8,9723AS,Groningen,8412,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",
241157,550865,V_000013837095_85201,11111111,120150111,1680200000002242,1680010000010861,De Pol,4,9444XE,Grolloo,85201,Basisonderwijs voor leerplichtigen,a
91249.051,393195.375,V_000000348929_8424,11111111,120150111,1674200000070477,1674010000070477,Bovendonk,15,4707ZH,Roosendaal,8424,Politie,
110846.913,402055.225,V_000000348910_8424,11111111,120150111,758200000042757,758010000043641,Mijkenbroek,31,4824AR,Breda,8424,Politie,
78292.3,391984.1,V_000000348902_8424,11111111,120150111,748200000009808,748010000009808,Burgemeester Wittelaan,100,4614GR,Bergen op Zoom,8424,Politie,
248159,558489,V_000013837060_85201,11111111,120150111,1680200000009032,1680010000008985,Bonnen,29,9461AC,Gieten,85201,Basisonderwijs voor leerplichtigen,
81852.975,381539.546,V_000000348899_8424,11111111,120150111,873200000445185,873010000445186,Sportlaan,6,4631CR,Hoogerheide,8424,Politie,
31317.861,391421.0,V_000021749337_8424,20110112,142724597,687200000007049,687010000007049,Achter de Houttuinen,10,4331NJ,Middelburg,8424,Politie,
96972.837,400435.127,V_000000348864_8424,11111111,120150111,1655200000524202,1655010000524203,Bosschendijk,187,4731DD,Oudenbosch,8424,Politie,
90655.437,394170.658,V_000000348880_8424,11111111,120150111,1674200000048211,1674010000048211,Nieuwstraat,6,4701HS,Roosendaal,8424,Politie,
80991,399706,V_000000348856_8424,11111111,120150111,851200000006441,851010000008980,Molenweg,52,4651CM,Steenbergen,8424,Politie,
79088.4,389566.4,V_000000348848_8424,11111111,120150111,748200000007791,748010000007791,Jacob Obrechtlaan,9,4611AP,Bergen op Zoom,8424,Politie,
80166.3,389417.8,V_000000348821_8424,11111111,120150111,748200000021516,748010000021516,Rooseveltlaan,196,4624DG,Bergen op Zoom,8424,Politie,
203675.956,502677.457,V_000021140987_8411,20101014,104841343,193200000005736,193010000005736,Luttenbergstraat,2,8012EE,Zwolle,8411,Algemeen overheidsbestuur,
132335,411444,V_000000349089_8424,11111111,120150111,867200000043583,867010000059218,Taxandriaweg,3,5141PA,Waalwijk,8424,Politie,
122981.283,399653.751,V_000000349097_8424,11111111,120150111,784200000003606,784010000006698,Anne Frankplein,1,5122CB,Rijen,8424,Politie,
128076.216,424576.433,V_000000349062_8424,11111111,120150111,874200000036665,874010000006093,Baljuw,1,4285TE,Woudrichem,8424,Politie,
117502,412049,V_000000349070_8424,11111111,120150111,779200000000138,779010000000138,Amerweg,15,4931NC,Geertruidenberg,8424,Politie,
118457.92,404711.01,V_000000349046_8424,11111111,120150111,826200000006306,826010000006238,Europark,30,4904SX,Oosterhout,8424,Politie,
132645.353,396734.73,V_000000348813_8424,11111111,120150111,855200000020948,855010000078257,Ringbaan-West,232,5038KE,Tilburg,8424,Politie,
114276.386,398686.403,V_000000349038_8424,11111111,120150111,758200000083466,758010000063852,Blauwe Kei,220,4834AV,Breda,8424,Politie,
113248.952,400142.504,V_000000348996_8424,11111111,120150111,758200000004141,758010000002840,Chasséveld,3,4811DH,Breda,8424,Politie,
109083.043,402224.409,V_000000349003_8424,11111111,120150111,758200000004725,758010000090270,Hambroeklaan,3,4822ZZ,Breda,8424,Politie,
123129.411,420296.353,V_000000349054_8424,11111111,120150111,870200000038685,870010000003482,Doornseweg,2,4255GZ,Nieuwendijk,8424,Politie,
110096.465,401172.28,V_000000348953_8424,11111111,120150111,758200000020063,758010000000164,Hoeksteen,12,4815PR,Breda,8424,Politie,
112883.221,402650.29,V_000000348988_8424,11111111,120150111,758200000000747,758010000064455,Vlaanderenstraat,1,4826AG,Breda,8424,Politie,
111224.564,402762.926,V_000000349291_8424,11111111,120150111,758200000056177,758010000053412,Schapenweide,50,4824AN,Breda,8424,Politie,
172659,560322,V_000022087125_8425,20110223,165349459,91200000055084,91010000035723,Malta,1,8601GW,Sneek,8425,Brandweer,
232182.451,479918.668,V_000020751842_8411,20100917,110743122,1742200000044584,1742010000018350,Wijnand Zeeuwstraat,26,7462DE,Rijssen,8411,Algemeen overheidsbestuur,
133233.212,395014.306,V_000000349283_8424,11111111,120150111,855200000064270,855010000096813,Ringbaan-Zuid,498,5026PA,Tilburg,8424,Politie,a
171016,550960,V_000022087133_8425,20110223,165349459,683200000308939,683010000308940,Yndyksterleane,1,8551NR,Woudsend,8425,Brandweer,A
225589.959,477538.442,V_000020751826_8411,20100917,110743122,1742200000041982,1742010000005456,Smidsbelt,6,7451BL,Holten,8411,Algemeen overheidsbestuur,
132543.614,396979.288,V_000000349275_8424,11111111,120150111,855200000059725,855010000052773,Reitseplein,1,5037AA,Tilburg,8424,Politie,
160995.842,558570.267,V_000022087141_8425,20110223,165349459,710200000166498,710010000166499,Trekweg,116,8763MH,Parrega,8425,Brandweer,A
232394.317,480538.847,V_000020751818_8411,20100917,110743122,1742200000041698,1742010000012577,Schild,1,7461DD,Rijssen,8411,Algemeen overheidsbestuur,
132554,392263,V_000000349267_8424,11111111,120150111,785200000006954,785010000007591,Thomas van Diessenstraat,4,5051RK,Goirle,8424,Politie,
170594,558585,V_000022087168_8425,20110223,165349459,683200000311915,683010000311916,De Finne,2,8651CW,IJlst,8425,Brandweer,
170234,554234,V_000022087117_8411,20110223,165349459,683200000310763,683010000310764,De Draei,17,8621CZ,Heeg,8411,Algemeen overheidsbestuur,
170234,554234,V_000022087117_8425,20110223,165349459,683200000310763,683010000310764,De Draei,17,8621CZ,Heeg,8425,Brandweer,
239630,556017,V_000013837419_8425,11111111,120150111,1680200000007666,1680010000005562,Grote Brink,22,9451BR,Rolde,8425,Brandweer,
130406.18,406948.688,V_000000349127_8424,11111111,120150111,809200000002156,809010000002156,Europalaan,51,5172EB,Kaatsheuvel,8424,Politie,
141641,398704,V_000000349135_8424,11111111,120150111,824200000003806,824010000003806,Burgemeester Verwielstraat,59,5062GC,Oisterwijk,8424,Politie,
131931,408714,V_000000349119_8424,11111111,120150111,867200000043787,867010000063215,Tilburgseweg,23,5161ME,Sprang-Capelle,8424,Politie,b
118907.61,405574.49,V_000000349186_8424,11111111,120150111,826200000023379,826010000023102,Van Oldeneellaan,1,4902ZA,Oosterhout,8424,Politie,
110882.443,399680.137,V_000000349011_8424,11111111,120150111,758200000053132,758010000064454,Tuinzigtlaan,45,4814JW,Breda,8424,Politie,
99726.714,395442.651,V_000000349151_8424,11111111,120150111,840200000301631,840010000301632,Vinkenstraat,14,4711JZ,St. Willebrord,8424,Politie,
129824.383,398965.854,V_000000349216_8424,11111111,120150111,855200000061828,855010000079687,Karel Boddenweg,9,5044EL,Tilburg,8424,Politie,
134240.639,399468.111,V_000000349224_8424,11111111,120150111,855200000062192,855010000079756,Brucknerlaan,18,5011DM,Tilburg,8424,Politie,
118444.12,404654.54,V_000000349194_8424,11111111,120150111,826200000006298,826010000006231,Europark,21,4904SX,Oosterhout,8424,Politie,
246945.795,557821.037,V_000013837427_8425,11111111,120150111,1680200000014906,1680010000014287,Oelenboom,8,9461VA,Gieten,8425,Brandweer,a
137695.673,388929.347,V_000000349208_8424,11111111,120150111,798200000005195,798010000005196,Schuttersweg,42,5081PE,Hilvarenbeek,8424,Politie,
134497.45,396480.956,V_000000349259_8424,11111111,120150111,855200000092274,855010000096771,Heuvelring,130,5038CL,Tilburg,8424,Politie,
124012.243,405043.019,V_000000349100_8424,11111111,120150111,766200000000527,766010000000527,Bolkensteeg,15,5103AA,Dongen,8424,Politie,
245513.074,581734.301,V_000008820635_8412,11111111,120150111,40200000018217,40010000004926,Scharmer AE,1,9618PB,Woudbloem,8412,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",
133445.037,397646.202,V_000000349232_8424,11111111,120150111,855200000065145,855010000069303,Wilhelminapark,6,5041EA,Tilburg,8424,Politie,
182086,553783,V_000015527999_8411,11111111,120150111,51200001245328,51010001245329,Herema State,1,8501AA,Joure,8411,Algemeen overheidsbestuur,
146605,474251,V_000021816700_8425,20110120,121705593,317200000001832,317010000101925,Noordersingel,4,3755EZ,Eemnes,8425,Brandweer,A
136732.236,443588.608,V_000021816719_8425,20110120,121705593,620200000022505,620010000005254,Dorpsstraat,28,4124AM,Hagestein,8425,Brandweer,
103011.75,398635.02,V_000000349143_8424,11111111,120150111,777200000163795,777010000163796,Stationsplein,37,4872XL,Etten-Leur,8424,Politie,
81735.016,454735.1,V_000020821115_85592,20100614,142529895,518200000515720,518010000515721,Spui,184,2511BW,'s-Gravenhage,85592,Bedrijfsopleiding en -training,
74146.857,445695.093,V_000007932839_8412,11111111,120150111,1783200000006216,1783010000006216,Stokdijkkade,2,2671GW,Naaldwijk,8412,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",
257574.286,594527.226,V_000008820597_8412,11111111,120150111,10200000115062,10010000064617,Duurswoldlaan,4,9936HA,Farmsum,8412,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",
133889.892,396735.249,V_000000349240_8424,11111111,120150111,855200000046365,855010000065327,Stationsstraat,22,5038ED,Tilburg,8424,Politie,
83224.878,454983.226,V_000003476243_8412,11111111,120150111,518200000713449,518010000713450,Wilhelmina van Pruisenweg,52,2595AN,'s-Gravenhage,8412,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",
83172.417,428740.569,V_000023095415_8425,20110725,160738626,612200000006303,612010000006026,Schenkelweg,90,3203LE,Spijkenisse,8425,Brandweer,
93217.1,433986.0,V_000023095423_8425,20110725,160738626,599200000377046,599010000192024,Mijnsherenlaan,180,3081CM,Rotterdam,8425,Brandweer,
245458.108,560368.473,V_000013837346_85201,11111111,120150111,1680200000007625,1680010000006717,'t Witzand,22,9463PA,Eext,85201,Basisonderwijs voor leerplichtigen,
90570.3,432496.32,V_000023095431_8425,20110725,160738626,599200000413652,599010000192026,Pottumstraat,14,3088GP,Rotterdam,8425,Brandweer,
249679.69,548468.85,V_000008820570_8412,11111111,120150111,1681200000002363,1681010000002363,Eeserstraat,28,9531CM,Borger,8412,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",
75657.5,431084.0,V_000023095407_8425,20110725,160738626,568200000303987,568010000203987,Polyanderweg,1,3218XT,Heenvliet,8425,Brandweer,
265063,591854,V_000008820589_8412,11111111,120150111,10200000111875,10010000061735,Antoni Verburghwijk,2,9948PE,Termunterzijl,8412,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",B
240196,556414,V_000008820554_8412,11111111,120150111,1680200000010679,1680010000001723,Gieterstraat,45,9451TE,Rolde,8412,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",
244570,564098,V_000013837338_85201,11111111,120150111,1680200000009264,1680010000006808,Molenakkers,30,9468BM,Annen,85201,Basisonderwijs voor leerplichtigen,
243237,569724,V_000008820538_8412,11111111,120150111,1730200000014882,1730010000013398,Hunzeweg,4,9473TE,De Groeve,8412,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",
269565,562864,V_000008820465_8412,11111111,120150111,48200000007333,48010000007156,Wedderstraat,39,9541ED,Vlagtwedde,8412,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",
262398.34,546267.14,V_000008820511_8412,11111111,120150111,1681200000012487,1681010000012487,24e Laan,3,7876BL,Valthermond,8412,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",
140618.592,455754.088,V_000024414778_85322,20120215,101617023,344200000001532,344010000001780,Uppsalalaan,8,3584CT,Utrecht,85322,Educatie,
174521,444321,V_000024414735_85322,20120215,101617023,289200000003594,289010000003594,Droevendaalsesteeg,10,6708PB,Wageningen,85322,Educatie,
136275.287,455756.47,V_000024414743_869291,20120215,101617023,344200000127820,344010000007297,Catharijnesingel,52,3511GC,Utrecht,869291,"Overkoepelende organen, samenwerkings- en adviesorganen op het gebied van gezondheidszorg",
177541,309946,V_000021651248_8411,20110103,142059705,905200000108762,905010000021415,Breusterstraat,27,6245EH,Eijsden,8411,Algemeen overheidsbestuur,
185680.832,314630.208,V_000021651221_8411,20110103,142059705,936200000014802,936010000002676,Amerikaplein,1,6269DA,Margraten,8411,Algemeen overheidsbestuur,
121132.186,424317.651,V_000020715374_8411,20100928,143813238,870200000046175,870010000010933,Raadhuisplein,1,4251VZ,Werkendam,8411,Algemeen overheidsbestuur,
83578.039,455274.617,V_000024414697_85322,20120215,101617023,518200000850913,518010000850914,Anna van Saksenlaan,10,2593HT,'s-Gravenhage,85322,Educatie,
82327.487,455380.612,V_000024414689_85322,20120215,101617023,518200000604129,518010000604139,Prins Willem-Alexanderhof,5,2595BE,'s-Gravenhage,85322,Educatie,
136228.149,456728.677,V_000000299170_8411,20101005,104029258,344200000132489,344010000040865,Kaatstraat,1,3513BK,Utrecht,8411,Algemeen overheidsbestuur,
83598.048,455238.611,V_000024414700_85322,20120215,101617023,518200000749175,518010000749176,Anna van Saksenlaan,51,2593HW,'s-Gravenhage,85322,Educatie,
113128.422,400831.316,V_000000299286_8411,20101005,104029258,758200000001821,758010000003313,Stationsweg,1,4811AX,Breda,8411,Algemeen overheidsbestuur,C
161038.952,383325.124,V_000000299278_8411,20101005,104029258,772200000090807,772010000705361,Clausplein,6,5611XP,Eindhoven,8411,Algemeen overheidsbestuur,
190954.481,443663.826,V_000000299294_8411,20101005,104029258,202200000299441,202010000299442,Koningstraat,26,6811DG,Arnhem,8411,Algemeen overheidsbestuur,
117214,484868,V_000000299308_8411,20101005,104029258,363200000226626,363010000766406,Ottho Heldringstraat,5,1066AZ,Amsterdam,8411,Algemeen overheidsbestuur,
111619.73,516618.429,V_000000299316_8411,20101005,104029258,361200000068760,361010000054464,Mallegatsplein,12,1815AG,Alkmaar,8411,Algemeen overheidsbestuur,
93201.49,435769.09,V_000000299324_8411,20101005,104029258,599200000760243,599010000385474,Wilhelminakade,131,3072AP,Rotterdam,8411,Algemeen overheidsbestuur,A
187437.389,428244.943,V_000000299332_8411,20101005,104029258,268200000017329,268010000050633,Keizer Karelplein,32,6511NH,Nijmegen,8411,Algemeen overheidsbestuur,D
257646.57,471100.32,V_000000299340_8411,20101005,104029258,153200000462774,153010000462775,Ripperdastraat,13,7511JP,Enschede,8411,Algemeen overheidsbestuur,
92603.45,438144.96,V_000000299189_8411,20101005,104029258,599200000297057,599010000114787,Heer Bokelweg,157,3032AD,Rotterdam,8411,Algemeen overheidsbestuur,A
161379.778,383571.688,V_000000299197_8411,20101005,104029258,772200000075394,772010000709222,18 Septemberplein,24,5611AL,Eindhoven,8411,Algemeen overheidsbestuur,
247163,558415,V_000013837532_8411,11111111,120150111,1680200000000137,1680010000006632,Spiekersteeg,1,9461BH,Gieten,8411,Algemeen overheidsbestuur,
202927.101,501986.012,V_000000299219_8411,20101005,104029258,193200000039091,193010000039091,Hanzelaan,280,8017JJ,Zwolle,8411,Algemeen overheidsbestuur,
188508.87,334699.983,V_000000299235_8411,20101005,104029258,1883200000050502,1883010000050502,Walramstraat,11,6131BK,Sittard,8411,Algemeen overheidsbestuur,
181916.697,579598.633,V_000000299243_8411,20101005,104029258,80200000479549,80010000479550,Oldehoofsterkerkhof,2,8911DH,Leeuwarden,8411,Algemeen overheidsbestuur,
231192.623,584995.366,V_000000299359_8411,20101005,104029258,14200010884088,14010011075409,Zernikelaan,16,9747AA,Groningen,8411,Algemeen overheidsbestuur,
136408.866,455290.359,V_000000299227_8411,20101005,104029258,344200000098333,344010000085204,Herman Gorterstraat,40,3511EW,Utrecht,8411,Algemeen overheidsbestuur,
237185.554,581478.468,V_000000299375_8411,20101005,104029258,14200010888239,14010011079576,Kalmarweg,13,9723JG,Groningen,8411,Algemeen overheidsbestuur,
0,0,V_000000299391_8411,20101005,104029258,14200022189868,14010022189126,Kempkensberg,12,9722TB,Groningen,8411,Algemeen overheidsbestuur,
157297.974,501873.054,V_000020821476_8411,20100614,153239109,995200000796236,995010000796237,Oostvaardersdijk,8,8243PA,Lelystad,8411,Algemeen overheidsbestuur,A
161597.289,503453.726,V_000020821433_8411,20100614,153239109,995200000817679,995010000817678,Zuiderwagenplein,2,8224AD,Lelystad,8411,Algemeen overheidsbestuur,
