"Gemeente";"CBS";"Politie-eenheden";"Inwoneraantal van regio"
"Kaag en Braassem";"1884";"Den Haag";"1836384"
"Kampen";"0166";"Oost-Nederland";"3167052"
"Kapelle";"0678";"Zeeland - West-Brabant";"1471846"
"Katwijk";"0537";"Den Haag";"1836384"
"Kerkrade";"0928";"Limburg";"1118054"
"Koggenland";"1598";"Noord-Holland";"1506815"
"Kollumerland en Nieuwkruisland";"0079";"Noord-Nederland";"1719039"
"Korendijk";"0588";"Rotterdam";"1764400"
"Krimpen aan den IJssel";"0542";"Rotterdam";"1764400"
"Krimpenerwaard";"1931";"Den Haag";"1836384"
"Laarbeek";"1659";"Oost-Brabant";"1398196"
"Landerd";"1685";"Oost-Brabant";"1398196"
"Landgraaf";"0882";"Limburg";"1118054"
"Landsmeer";"0415";"Noord-Holland";"1506815"
"Langedijk";"0416";"Noord-Holland";"1506815"
"Lansingerland";"1621";"Rotterdam";"1764400"
"Laren";"0417";"Midden-Nederland";"1911552"
"Leek";"0022";"Noord-Nederland";"1719039"
"Leerdam";"0545";"Rotterdam";"1764400"
"Leeuwarden";"0080";"Noord-Nederland";"1719039"
"Leeuwarderadeel";"0081";"Noord-Nederland";"1719039"
"Leiden";"0546";"Den Haag";"1836384"
"Leiderdorp";"0547";"Den Haag";"1836384"
"Leidschendam-Voorburg";"1916";"Den Haag";"1836384"
"Lelystad";"0995";"Midden-Nederland";"1911552"
"Leudal";"1640";"Limburg";"1118054"
"Leusden";"0327";"Midden-Nederland";"1911552"
"Lingewaal";"0733";"Oost-Nederland";"3167052"
"Lingewaard";"1705";"Oost-Nederland";"3167052"
"Lisse";"0553";"Den Haag";"1836384"
"Littenseradiel";"0140";"Noord-Nederland";"1719039"
"Lochem";"0262";"Oost-Nederland";"3167052"
"Loon op Zand";"0809";"Zeeland - West-Brabant";"1471846"
"Lopik";"0331";"Midden-Nederland";"1911552"
"Loppersum";"0024";"Noord-Nederland";"1719039"
"Losser";"0168";"Oost-Nederland";"3167052"
"Maasdriel";"0263";"Oost-Nederland";"3167052"
"Maasgouw";"1641";"Limburg";"1118054"
"Maassluis";"0556";"Rotterdam";"1764400"
"Maastricht";"0935";"Limburg";"1118054"
"Marum";"0025";"Noord-Nederland";"1719039"
"Medemblik";"0420";"Noord-Holland";"1506815"
