"Gemeente";"CBS";"Regionaal Informatie en Expertise Centra";"Inwoneraantal van regio"
"Hof van Twente";"1735";"RIEC Oost-Nederland";"3167052"
"Hollands Kroon";"1911";"RIEC Noord-Holland";"1506815"
"Hoogeveen";"0118";"RIEC Noord";"1719039"
"Hoogezand-Sappemeer";"0018";"RIEC Noord";"1719039"
"Hoorn";"0405";"RIEC Noord-Holland";"1506815"
"Horst aan de Maas";"1507";"RIEC Limburg";"1118054"
"Houten";"0321";"RIEC Midden Nederland";"1911552"
"Huizen";"0406";"RIEC Midden Nederland";"1911552"
"Hulst";"0677";"RIEC Zuid-West Nederland";"1471846"
"IJsselstein";"0353";"RIEC Midden Nederland";"1911552"
"Kaag en Braassem";"1884";"RIEC Haaglanden / Hollands Midden";"1836384"
"Kampen";"0166";"RIEC Oost-Nederland";"3167052"
"Kapelle";"0678";"RIEC Zuid-West Nederland";"1471846"
"Katwijk";"0537";"RIEC Haaglanden / Hollands Midden";"1836384"
"Kerkrade";"0928";"RIEC Limburg";"1118054"
"Koggenland";"1598";"RIEC Noord-Holland";"1506815"
"Kollumerland en Nieuwkruisland";"0079";"RIEC Noord";"1719039"
"Korendijk";"0588";"RIEC Rotterdam";"1764400"
"Krimpen aan den IJssel";"0542";"RIEC Rotterdam";"1764400"
"Krimpenerwaard";"1931";"RIEC Haaglanden / Hollands Midden";"1836384"
"Laarbeek";"1659";"RIEC Oost Brabant";"1398196"
"Landerd";"1685";"RIEC Oost Brabant";"1398196"
"Landgraaf";"0882";"RIEC Limburg";"1118054"
"Landsmeer";"0415";"RIEC Noord-Holland";"1506815"
"Langedijk";"0416";"RIEC Noord-Holland";"1506815"
"Lansingerland";"1621";"RIEC Rotterdam";"1764400"
"Laren";"0417";"RIEC Midden Nederland";"1911552"
"Leek";"0022";"RIEC Noord";"1719039"
"Leerdam";"0545";"RIEC Rotterdam";"1764400"
"Leeuwarden";"0080";"RIEC Noord";"1719039"
"Leeuwarderadeel";"0081";"RIEC Noord";"1719039"
"Leiden";"0546";"RIEC Haaglanden / Hollands Midden";"1836384"
"Leiderdorp";"0547";"RIEC Haaglanden / Hollands Midden";"1836384"
"Leidschendam-Voorburg";"1916";"RIEC Haaglanden / Hollands Midden";"1836384"
"Lelystad";"0995";"RIEC Midden Nederland";"1911552"
"Leudal";"1640";"RIEC Limburg";"1118054"
"Leusden";"0327";"RIEC Midden Nederland";"1911552"
"Lingewaal";"0733";"RIEC Oost-Nederland";"3167052"
"Lingewaard";"1705";"RIEC Oost-Nederland";"3167052"
"Lisse";"0553";"RIEC Haaglanden / Hollands Midden";"1836384"
"Littenseradiel";"0140";"RIEC Noord";"1719039"
"Lochem";"0262";"RIEC Oost-Nederland";"3167052"
"Loon op Zand";"0809";"RIEC Zuid-West Nederland";"1471846"
"Lopik";"0331";"RIEC Midden Nederland";"1911552"
"Loppersum";"0024";"RIEC Noord";"1719039"
"Losser";"0168";"RIEC Oost-Nederland";"3167052"
"Maasdriel";"0263";"RIEC Oost-Nederland";"3167052"
"Maasgouw";"1641";"RIEC Limburg";"1118054"
"Maassluis";"0556";"RIEC Rotterdam";"1764400"
"Maastricht";"0935";"RIEC Limburg";"1118054"
"Marum";"0025";"RIEC Noord";"1719039"
"Medemblik";"0420";"RIEC Noord-Holland";"1506815"
"Meerssen";"0938";"RIEC Limburg";"1118054"
"Menameradiel";"1908";"RIEC Noord";"1719039"
"Menterwolde";"1987";"RIEC Noord";"1719039"
"Meppel";"0119";"RIEC Noord";"1719039"
"Middelburg";"0687";"RIEC Zuid-West Nederland";"1471846"
"Midden-Delfland";"1842";"RIEC Haaglanden / Hollands Midden";"1836384"
"Midden-Drenthe";"1731";"RIEC Noord";"1719039"
"Mill en Sint Hubert";"0815";"RIEC Oost Brabant";"1398196"
"Moerdijk";"1709";"RIEC Zuid-West Nederland";"1471846"
"Molenwaard";"1927";"RIEC Rotterdam";"1764400"
"Montferland";"1955";"RIEC Oost-Nederland";"3167052"
"Montfoort";"0335";"RIEC Midden Nederland";"1911552"
"Mook en Middelaar";"0944";"RIEC Limburg";"1118054"
"Neder-Betuwe";"1740";"RIEC Oost-Nederland";"3167052"
"Nederweert";"0946";"RIEC Limburg";"1118054"
"Neerijnen";"0304";"RIEC Oost-Nederland";"3167052"
"Nieuwegein";"0356";"RIEC Midden Nederland";"1911552"
"Nieuwkoop";"0569";"RIEC Haaglanden / Hollands Midden";"1836384"
"Nijkerk";"0267";"RIEC Oost-Nederland";"3167052"
"Nijmegen";"0268";"RIEC Oost-Nederland";"3167052"
"Nissewaard";"1930";"RIEC Rotterdam";"1764400"
"Noord-Beveland";"1695";"RIEC Zuid-West Nederland";"1471846"
"Noordenveld";"1699";"RIEC Noord";"1719039"
"Noordoostpolder";"0171";"RIEC Midden Nederland";"1911552"
"Noordwijk";"0575";"RIEC Haaglanden / Hollands Midden";"1836384"
"Noordwijkerhout";"0576";"RIEC Haaglanden / Hollands Midden";"1836384"
"Nuenen, Gerwen en Nederwetten";"0820";"RIEC Oost Brabant";"1398196"
"Nunspeet";"0302";"RIEC Oost-Nederland";"3167052"
"Nuth";"0951";"RIEC Limburg";"1118054"
"Oegstgeest";"0579";"RIEC Haaglanden / Hollands Midden";"1836384"
"Oirschot";"0823";"RIEC Oost Brabant";"1398196"
"Oisterwijk";"0824";"RIEC Zuid-West Nederland";"1471846"
"Oldambt";"1895";"RIEC Noord";"1719039"
"Oldebroek";"0269";"RIEC Oost-Nederland";"3167052"
"Oldenzaal";"0173";"RIEC Oost-Nederland";"3167052"
"Olst-Wijhe";"1773";"RIEC Oost-Nederland";"3167052"
"Ommen";"0175";"RIEC Oost-Nederland";"3167052"
"Onderbanken";"0881";"RIEC Limburg";"1118054"
"Oost Gelre";"1586";"RIEC Oost-Nederland";"3167052"
"Oosterhout";"0826";"RIEC Zuid-West Nederland";"1471846"
"Ooststellingwerf";"0085";"RIEC Noord";"1719039"
"Oostzaan";"0431";"RIEC Noord-Holland";"1506815"
"Opmeer";"0432";"RIEC Noord-Holland";"1506815"
"Opsterland";"0086";"RIEC Noord";"1719039"
"Oss";"0828";"RIEC Oost Brabant";"1398196"
"Oud-Beijerland";"0584";"RIEC Rotterdam";"1764400"
"Oude IJsselstreek";"1509";"RIEC Oost-Nederland";"3167052"
"Ouder-Amstel";"0437";"RIEC Amsterdam";"1008808"
"Oudewater";"0589";"RIEC Midden Nederland";"1911552"
"Overbetuwe";"1734";"RIEC Oost-Nederland";"3167052"
"Papendrecht";"0590";"RIEC Rotterdam";"1764400"
"Peel en Maas";"1894";"RIEC Limburg";"1118054"
"Pekela";"0765";"RIEC Noord";"1719039"
