adm_pin,naam,afkorting
02398,Gemeente Sint-Michielsgestel,GMKT
02400,Gemeente Sint-Oedenrode,GMKU
02408,Gemeente Soest,GMSO
02411,Gemeente Nissewaard,GMLD
02427,Gemeente Texel,TEX
02437,Gemeente Uithoorn,GMUH
02442,Gemeente Valkenswaard,GMVD
02451,Gemeente Vianen,GMMD
02453,Gemeente Vlagtwedde,GVW
02459,Gemeente Leidschendam-Voorburg,GMGW
02463,Vereniging van Nederlandse Gemeenten (VNG),VNG
02464,Gemeente Waddinxveen,GMWX
02474,Gemeente Waterland,GMMO
02478,Gemeente Werkendam,GWKD
02481,Gemeente Koggenland,GMKG
02485,Gemeente Wierden,GMWN
02492,Gemeente Winterswijk,GMWW
02495,Gemeente Woerden,GMWO
02501,Gemeente Zaanstad,GMNJ
02503,Gemeente Zandvoort,GMNL
02504,Gemeente Zederik,GMNM
02506,Gemeente Zeewolde,RTW
02507,Gemeente Zeist,GMNP
02517,Gemeente Zoeterwoude,GMZW
02529,Gemeente Pijnacker-Nootdorp,GMJP
02533,Stadsgewest Haaglanden,SGHL
02536,Veilligheidsregio Gelderland-Zuid,HVGZ
02547,Gemeente Maassluis,GMMS
02552,Brandweer Brabant-Noord,BRBN
02554,Veiligheidsregio Noord-Holland Noord,VNHN
02566,DCMR Milieudienst Rijnmond,DCMR
02569,Gemeente Midden-Delfland,GMHY
02583,Gemeente Haren,HARE
02596,Gemeente Wassenaar,GMMN
02598,Stadsregio Amsterdam,GSRA
02600,Gemeente Leiderdorp,GMLD
02601,Gemeente Arnhem,GMAM
02605,GGD Hart voor Brabant,GGDB
02606,Gemeente Katwijk,GMGI
02612,Gemeente Rotterdam,GMKG
02615,Veiligheidsregio Kennemerland,VRKL
02620,Gemeente Nijmegen,GMIO
02623,Veiligheidsregio Hollands Midden,VRFR
02632,Veiligheidsregio Zuid-Holland Zuid,VZHZ
02634,Veiligheidsregio Haaglanden,VRHL
02636,Gemeenschappelijke Regeling Avalex,GRAX
02637,Gemeente Montferland,MFL
02639,Gemeente Wijk bij Duurstede,GMOI
02642,Veiligheidsregio Midden- en West-Brabant,VRMB
02646,Kenniscentrum Europa decentraal,KED
02648,GGD Zuid-Holland West,GMOL
02652,Gemeente Leerdam,GMLE
02653,Gemeente Leiden,GML
02655,Gemeente Stichtse Vecht,GSV
02657,Het Utrechts Archief,DUOP
02658,Rekenkamer Utrecht,RKU
02666,Omgevingsdienst Midden-Holland,ODMH
02668,Werk en Inkomen Lekstroom (WIL),GWIL
02669,GGD West-Brabant,GGDW
02670,Omgevingsdienst Noordzeekanaalgebied,NZKG
02671,Veiligheidsregio Fryslân,VRFR
02674,Omgevingsdienst Haaglanden,ODH
02675,Werkorganisatie Duivenvoorde,WODV
02676,"Gemeenschappelijke Regeling Werkorganisatie CGM (Cuijk , Grave, Mill en Sint Hubert)",GCGM
02677,Gemeente Landerd,GML
02678,Avri,AVRI
02679,Delftse Rekenkamer,DRKR
02680,Omgevingsdienst Midden- en West-Brabant,OMWB
02681,Regionaal Informatie en Expertise Centrum Amsterdam Amstelland,DRKR
02682,Interreg Vlaanderen-Nederland,IRVN
02683,Gemeente Schagen,GMOB
02684,Gemeente Cranendonck,GMCD
02685,GGD Gelderland-Zuid,GGGZ
02686,Veiligheidsregio Groningen,VRGR
02687,Bedrijfsvoeringsorganisatie Jeugdzorg IJsselland,BJIJ
02688,Regio Twente,RTW
02689,Regionale Uitvoeringsdienst Noord-Holland Noord,RNHN
02690,Gemeente Amsterdam,ADAM
02691,Servicepunt71,SEP
02692,Gemeente Hardinxveld-Giessendam,GMHG
02693,Metropoolregio Rotterdam Den Haag,MRDH
02694,Avres Werk-Leerbedrijf,AVRS
02695,Gemeente Stein,GMS
02696,Omgevingsdienst Zuid-Holland Zuid,OZHZ
02697,ABG Gemeenten,ABG
02698,Duo+,DUOP
02710,Werken in Haaglanden,MBH
02711,Omgevingsdienst Brabant Noord,ODBN
02712,Fonds voor Cultuurparticipatie,FCP
02713,UW Samenwerking,UWS
02714,Wigo4it,WGIT
02715,Ferm Werk,FMWK
02998,A+O fonds Gemeenten,AOFG
02999,Werken bij Gemeenten,WBG
03000,Sector Wetenschappelijke instellingen,SWSI
03101,Technische Universiteit Eindhoven,TUE
