"Gemeente";"CBS";"Kamer van Koophandel";"Inwoneraantal van regio"
"Boekel";"0755";"Zuid";"3607379"
"Borger-Odoorn";"1681";"Noord";"1719039"
"Borne";"0147";"Oost";"3167052"
"Borsele";"0654";"Zuidwest";"3981501"
"Boxmeer";"0756";"Zuid";"3607379"
"Boxtel";"0757";"Zuid";"3607379"
"Breda";"0758";"Zuid";"3607379"
"Brielle";"0501";"Zuidwest";"3981501"
"Bronckhorst";"1876";"Oost";"3167052"
"Brummen";"0213";"Oost";"3167052"
"Brunssum";"0899";"Zuid";"3607379"
"Bunnik";"0312";"Noordwest";"4427175"
"Bunschoten";"0313";"Noordwest";"4427175"
"Buren";"0214";"Oost";"3167052"
"Capelle aan den IJssel";"0502";"Zuidwest";"3981501"
"Castricum";"0383";"Noordwest";"4427175"
"Coevorden";"0109";"Noord";"1719039"
"Cranendonck";"1706";"Zuid";"3607379"
"Cromstrijen";"0611";"Zuidwest";"3981501"
"Cuijk";"1684";"Zuid";"3607379"
"Culemborg";"0216";"Oost";"3167052"
"Dalfsen";"0148";"Oost";"3167052"
"Dantumadiel";"1891";"Noord";"1719039"
"De Bilt";"0310";"Noordwest";"4427175"
"De Fryske Marren";"1940";"Noord";"1719039"
"De Marne";"1663";"Noord";"1719039"
"De Ronde Venen";"0736";"Noordwest";"4427175"
"De Wolden";"1690";"Noord";"1719039"
"Delft";"0503";"Zuidwest";"3981501"
"Delfzijl";"0010";"Noord";"1719039"
"Den Helder";"0400";"Noordwest";"4427175"
"Deurne";"0762";"Zuid";"3607379"
"Deventer";"0150";"Oost";"3167052"
"Diemen";"0384";"Noordwest";"4427175"
"Dinkelland";"1774";"Oost";"3167052"
"Doesburg";"0221";"Oost";"3167052"
"Doetinchem";"0222";"Oost";"3167052"
"Dongen";"0766";"Zuid";"3607379"
"Dongeradeel";"0058";"Noord";"1719039"
"Dordrecht";"0505";"Zuidwest";"3981501"
"Drechterland";"0498";"Noordwest";"4427175"
"Drimmelen";"1719";"Zuid";"3607379"
"Dronten";"0303";"Noordwest";"4427175"
"Druten";"0225";"Oost";"3167052"
"Duiven";"0226";"Oost";"3167052"
"Echt-Susteren";"1711";"Zuid";"3607379"
"Edam-Volendam";"0385";"Noordwest";"4427175"
"Ede";"0228";"Oost";"3167052"
"Eemnes";"0317";"Noordwest";"4427175"
"Eemsmond";"1651";"Noord";"1719039"
"Eersel";"0770";"Zuid";"3607379"
"Eijsden-Margraten";"1903";"Zuid";"3607379"
"Eindhoven";"0772";"Zuid";"3607379"
"Elburg";"0230";"Oost";"3167052"
"Emmen";"0114";"Noord";"1719039"
"Enkhuizen";"0388";"Noordwest";"4427175"
"Enschede";"0153";"Oost";"3167052"
"Epe";"0232";"Oost";"3167052"
"Ermelo";"0233";"Oost";"3167052"
"Etten-Leur";"0777";"Zuid";"3607379"
"Ferwerderadiel";"1722";"Noord";"1719039"
"Franekeradeel";"0070";"Noord";"1719039"
"Geertruidenberg";"0779";"Zuid";"3607379"
"Geldermalsen";"0236";"Oost";"3167052"
"Geldrop-Mierlo";"1771";"Zuid";"3607379"
"Gemert-Bakel";"1652";"Zuid";"3607379"
"Gennep";"0907";"Zuid";"3607379"
"Giessenlanden";"0689";"Zuidwest";"3981501"
"Gilze en Rijen";"0784";"Zuid";"3607379"
"Goeree-Overflakkee";"1924";"Zuidwest";"3981501"
"Goes";"0664";"Zuidwest";"3981501"
"Goirle";"0785";"Zuid";"3607379"
"Gooise Meren";"1942";"Noordwest";"4427175"
"Gorinchem";"0512";"Zuidwest";"3981501"
"Gouda";"0513";"Zuidwest";"3981501"
"Grave";"0786";"Zuid";"3607379"
"'s-Gravenhage";"0518";"Zuidwest";"3981501"
"Groningen";"0014";"Noord";"1719039"
"Grootegast";"0015";"Noord";"1719039"
"Gulpen-Wittem";"1729";"Zuid";"3607379"
"Haaksbergen";"0158";"Oost";"3167052"
"Haaren";"0788";"Zuid";"3607379"
"Haarlem";"0392";"Noordwest";"4427175"
"Haarlemmerliede en Spaarnwoude";"0393";"Noordwest";"4427175"
"Haarlemmermeer";"0394";"Noordwest";"4427175"
"Halderberge";"1655";"Zuid";"3607379"
"Hardenberg";"0160";"Oost";"3167052"
"Harderwijk";"0243";"Oost";"3167052"
"Hardinxveld-Giessendam";"0523";"Zuidwest";"3981501"
"Haren";"0017";"Noord";"1719039"
"Harlingen";"0072";"Noord";"1719039"
"Hattem";"0244";"Oost";"3167052"
"Heemskerk";"0396";"Noordwest";"4427175"
"Heemstede";"0397";"Noordwest";"4427175"
"Heerde";"0246";"Oost";"3167052"
"Heerenveen";"0074";"Noord";"1719039"
"Heerhugowaard";"0398";"Noordwest";"4427175"
"Heerlen";"0917";"Zuid";"3607379"
"Heeze-Leende";"1658";"Zuid";"3607379"
"Heiloo";"0399";"Noordwest";"4427175"
"Hellendoorn";"0163";"Oost";"3167052"
"Hellevoetsluis";"0530";"Zuidwest";"3981501"
"Helmond";"0794";"Zuid";"3607379"
"Hendrik-Ido-Ambacht";"0531";"Zuidwest";"3981501"
"Hengelo (O)";"0164";"Oost";"3167052"
"'s-Hertogenbosch";"0796";"Zuid";"3607379"
"het Bildt";"0063";"Noord";"1719039"
"Heumen";"0252";"Oost";"3167052"
"Heusden";"0797";"Zuid";"3607379"
"Hillegom";"0534";"Zuidwest";"3981501"
"Hilvarenbeek";"0798";"Zuid";"3607379"
"Hilversum";"0402";"Noordwest";"4427175"
"Hof van Twente";"1735";"Oost";"3167052"
"Hollands Kroon";"1911";"Noordwest";"4427175"
"Hoogeveen";"0118";"Noord";"1719039"
"Hoogezand-Sappemeer";"0018";"Noord";"1719039"
"Hoorn";"0405";"Noordwest";"4427175"
"Horst aan de Maas";"1507";"Zuid";"3607379"
"Houten";"0321";"Noordwest";"4427175"
"Huizen";"0406";"Noordwest";"4427175"
"Hulst";"0677";"Zuidwest";"3981501"
"IJsselstein";"0353";"Noordwest";"4427175"
"Kaag en Braassem";"1884";"Zuidwest";"3981501"
"Kampen";"0166";"Oost";"3167052"
"Kapelle";"0678";"Zuidwest";"3981501"
"Katwijk";"0537";"Zuidwest";"3981501"
"Kerkrade";"0928";"Zuid";"3607379"
"Koggenland";"1598";"Noordwest";"4427175"
"Kollumerland en Nieuwkruisland";"0079";"Noord";"1719039"
"Korendijk";"0588";"Zuidwest";"3981501"
"Krimpen aan den IJssel";"0542";"Zuidwest";"3981501"
"Krimpenerwaard";"1931";"Zuidwest";"3981501"
"Laarbeek";"1659";"Zuid";"3607379"
"Landerd";"1685";"Zuid";"3607379"
"Landgraaf";"0882";"Zuid";"3607379"
"Landsmeer";"0415";"Noordwest";"4427175"
"Langedijk";"0416";"Noordwest";"4427175"
"Lansingerland";"1621";"Zuidwest";"3981501"
"Laren";"0417";"Noordwest";"4427175"
"Leek";"0022";"Noord";"1719039"
"Leerdam";"0545";"Zuidwest";"3981501"
"Leeuwarden";"0080";"Noord";"1719039"
"Leeuwarderadeel";"0081";"Noord";"1719039"
"Leiden";"0546";"Zuidwest";"3981501"
"Leiderdorp";"0547";"Zuidwest";"3981501"
"Leidschendam-Voorburg";"1916";"Zuidwest";"3981501"
"Lelystad";"0995";"Noordwest";"4427175"
"Leudal";"1640";"Zuid";"3607379"
"Leusden";"0327";"Noordwest";"4427175"
"Lingewaal";"0733";"Oost";"3167052"
"Lingewaard";"1705";"Oost";"3167052"
"Lisse";"0553";"Zuidwest";"3981501"
"Littenseradiel";"0140";"Noord";"1719039"
"Lochem";"0262";"Oost";"3167052"
"Loon op Zand";"0809";"Zuid";"3607379"
"Lopik";"0331";"Noordwest";"4427175"
"Loppersum";"0024";"Noord";"1719039"
"Losser";"0168";"Oost";"3167052"
"Maasdriel";"0263";"Oost";"3167052"
"Maasgouw";"1641";"Zuid";"3607379"
"Maassluis";"0556";"Zuidwest";"3981501"
"Maastricht";"0935";"Zuid";"3607379"
"Marum";"0025";"Noord";"1719039"
"Medemblik";"0420";"Noordwest";"4427175"
"Meerssen";"0938";"Zuid";"3607379"
"Menameradiel";"1908";"Noord";"1719039"
"Menterwolde";"1987";"Noord";"1719039"
"Meppel";"0119";"Noord";"1719039"
"Middelburg";"0687";"Zuidwest";"3981501"
"Midden-Delfland";"1842";"Zuidwest";"3981501"
"Midden-Drenthe";"1731";"Noord";"1719039"
"Mill en Sint Hubert";"0815";"Zuid";"3607379"
"Moerdijk";"1709";"Zuid";"3607379"
"Molenwaard";"1927";"Zuidwest";"3981501"
"Montferland";"1955";"Oost";"3167052"
"Montfoort";"0335";"Noordwest";"4427175"
"Mook en Middelaar";"0944";"Zuid";"3607379"
"Neder-Betuwe";"1740";"Oost";"3167052"
"Nederweert";"0946";"Zuid";"3607379"
"Neerijnen";"0304";"Oost";"3167052"
"Nieuwegein";"0356";"Noordwest";"4427175"
"Nieuwkoop";"0569";"Zuidwest";"3981501"
"Nijkerk";"0267";"Oost";"3167052"
"Nijmegen";"0268";"Oost";"3167052"
"Nissewaard";"1930";"Zuidwest";"3981501"
"Noord-Beveland";"1695";"Zuidwest";"3981501"
"Noordenveld";"1699";"Noord";"1719039"
"Noordoostpolder";"0171";"Noordwest";"4427175"
"Noordwijk";"0575";"Zuidwest";"3981501"
"Noordwijkerhout";"0576";"Zuidwest";"3981501"
"Nuenen, Gerwen en Nederwetten";"0820";"Zuid";"3607379"
"Nunspeet";"0302";"Oost";"3167052"
"Nuth";"0951";"Zuid";"3607379"
"Oegstgeest";"0579";"Zuidwest";"3981501"
"Oirschot";"0823";"Zuid";"3607379"
"Oisterwijk";"0824";"Zuid";"3607379"
"Oldambt";"1895";"Noord";"1719039"
"Oldebroek";"0269";"Oost";"3167052"
"Oldenzaal";"0173";"Oost";"3167052"
"Olst-Wijhe";"1773";"Oost";"3167052"
"Ommen";"0175";"Oost";"3167052"
"Onderbanken";"0881";"Zuid";"3607379"
"Oost Gelre";"1586";"Oost";"3167052"
"Oosterhout";"0826";"Zuid";"3607379"
"Ooststellingwerf";"0085";"Noord";"1719039"
"Oostzaan";"0431";"Noordwest";"4427175"
"Opmeer";"0432";"Noordwest";"4427175"
"Opsterland";"0086";"Noord";"1719039"
"Oss";"0828";"Zuid";"3607379"
"Oud-Beijerland";"0584";"Zuidwest";"3981501"
"Oude IJsselstreek";"1509";"Oost";"3167052"
"Ouder-Amstel";"0437";"Noordwest";"4427175"
"Oudewater";"0589";"Noordwest";"4427175"
"Overbetuwe";"1734";"Oost";"3167052"
"Papendrecht";"0590";"Zuidwest";"3981501"
"Peel en Maas";"1894";"Zuid";"3607379"
"Pekela";"0765";"Noord";"1719039"
"Pijnacker-Nootdorp";"1926";"Zuidwest";"3981501"
"Purmerend";"0439";"Noordwest";"4427175"
"Putten";"0273";"Oost";"3167052"
"Raalte";"0177";"Oost";"3167052"
"Reimerswaal";"0703";"Zuidwest";"3981501"
"Renkum";"0274";"Oost";"3167052"
"Renswoude";"0339";"Noordwest";"4427175"
"Reusel-De Mierden";"1667";"Zuid";"3607379"
"Rheden";"0275";"Oost";"3167052"
"Rhenen";"0340";"Noordwest";"4427175"
"Ridderkerk";"0597";"Zuidwest";"3981501"
"Rijnwaarden";"0196";"Oost";"3167052"
"Rijssen-Holten";"1742";"Oost";"3167052"
"Rijswijk";"0603";"Zuidwest";"3981501"
"Roerdalen";"1669";"Zuid";"3607379"
"Roermond";"0957";"Zuid";"3607379"
"Roosendaal";"1674";"Zuid";"3607379"
"Rotterdam";"0599";"Zuidwest";"3981501"
"Rozendaal";"0277";"Oost";"3167052"
"Rucphen";"0840";"Zuid";"3607379"
"Schagen";"0441";"Noordwest";"4427175"
"Scherpenzeel";"0279";"Oost";"3167052"
"Schiedam";"0606";"Zuidwest";"3981501"
"Schiermonnikoog";"0088";"Noord";"1719039"
"Schijndel";"0844";"Zuid";"3607379"
"Schinnen";"0962";"Zuid";"3607379"
"Schouwen-Duiveland";"1676";"Zuidwest";"3981501"
"Simpelveld";"0965";"Zuid";"3607379"
"Sint Anthonis";"1702";"Zuid";"3607379"
"Sint-Michielsgestel";"0845";"Zuid";"3607379"
"Sint-Oedenrode";"0846";"Zuid";"3607379"
"Sittard-Geleen";"1883";"Zuid";"3607379"
"Sliedrecht";"0610";"Zuidwest";"3981501"
"Slochteren";"0040";"Noord";"1719039"
"Sluis";"1714";"Zuidwest";"3981501"
"Smallingerland";"0090";"Noord";"1719039"
"Soest";"0342";"Noordwest";"4427175"
"Someren";"0847";"Zuid";"3607379"
"Son en Breugel";"0848";"Zuid";"3607379"
"Stadskanaal";"0037";"Noord";"1719039"
"Staphorst";"0180";"Oost";"3167052"
"Stede Broec";"0532";"Noordwest";"4427175"
"Steenbergen";"0851";"Zuid";"3607379"
"Steenwijkerland";"1708";"Oost";"3167052"
"Stein";"0971";"Zuid";"3607379"
"Stichtse Vecht";"1904";"Noordwest";"4427175"
"Strijen";"0617";"Zuidwest";"3981501"
"Súdwest Fryslân";"1900";"Noord";"1719039"
"Ten Boer";"0009";"Noord";"1719039"
"Terneuzen";"0715";"Zuidwest";"3981501"
"Terschelling";"0093";"Noord";"1719039"
"Texel";"0448";"Noordwest";"4427175"
"Teylingen";"1525";"Zuidwest";"3981501"
"Tholen";"0716";"Zuidwest";"3981501"
"Tiel";"0281";"Oost";"3167052"
"Tilburg";"0855";"Zuid";"3607379"
"Tubbergen";"0183";"Oost";"3167052"
"Twenterand";"1700";"Oost";"3167052"
"Tynaarlo";"1730";"Noord";"1719039"
"Tytsjerksteradiel";"0737";"Noord";"1719039"
"Uden";"0856";"Zuid";"3607379"
"Uitgeest";"0450";"Noordwest";"4427175"
"Uithoorn";"0451";"Noordwest";"4427175"
"Urk";"0184";"Noordwest";"4427175"
"Utrecht";"0344";"Noordwest";"4427175"
"Utrechtse Heuvelrug";"1581";"Noordwest";"4427175"
"Vaals";"0981";"Zuid";"3607379"
"Valkenburg aan de Geul";"0994";"Zuid";"3607379"
"Valkenswaard";"0858";"Zuid";"3607379"
"Veendam";"0047";"Noord";"1719039"
"Veenendaal";"0345";"Noordwest";"4427175"
"Veere";"0717";"Zuidwest";"3981501"
"Veghel";"0860";"Zuid";"3607379"
"Veldhoven";"0861";"Zuid";"3607379"
"Velsen";"0453";"Noordwest";"4427175"
"Venlo";"0983";"Zuid";"3607379"
"Venray";"0984";"Zuid";"3607379"
"Vianen";"0620";"Noordwest";"4427175"
"Vlaardingen";"0622";"Zuidwest";"3981501"
"Vlagtwedde";"0048";"Noord";"1719039"
"Vlieland";"0096";"Noord";"1719039"
"Vlissingen";"0718";"Zuidwest";"3981501"
"Voerendaal";"0986";"Zuid";"3607379"
"Voorschoten";"0626";"Zuidwest";"3981501"
"Voorst";"0285";"Oost";"3167052"
"Vught";"0865";"Zuid";"3607379"
"Waalre";"0866";"Zuid";"3607379"
"Waalwijk";"0867";"Zuid";"3607379"
"Waddinxveen";"0627";"Zuidwest";"3981501"
"Wageningen";"0289";"Oost";"3167052"
"Wassenaar";"0629";"Zuidwest";"3981501"
"Waterland";"0852";"Noordwest";"4427175"
"Weert";"0988";"Zuid";"3607379"
"Weesp";"0457";"Noordwest";"4427175"
"Werkendam";"0870";"Zuid";"3607379"
"West Maas en Waal";"0668";"Oost";"3167052"
"Westerveld";"1701";"Noord";"1719039"
"Westervoort";"0293";"Oost";"3167052"
"Westland";"1783";"Zuidwest";"3981501"
"Weststellingwerf";"0098";"Noord";"1719039"
"Westvoorne";"0614";"Zuidwest";"3981501"
"Wierden";"0189";"Oost";"3167052"
"Wijchen";"0296";"Oost";"3167052"
"Wijdemeren";"1696";"Noordwest";"4427175"
"Wijk bij Duurstede";"0352";"Noordwest";"4427175"
"Winsum";"0053";"Noord";"1719039"
"Winterswijk";"0294";"Oost";"3167052"
"Woensdrecht";"0873";"Zuid";"3607379"
"Woerden";"0632";"Noordwest";"4427175"
"Wormerland";"0880";"Noordwest";"4427175"
"Woudenberg";"0351";"Noordwest";"4427175"
"Woudrichem";"0874";"Zuid";"3607379"
"Zaanstad";"0479";"Noordwest";"4427175"
"Zaltbommel";"0297";"Oost";"3167052"
"Zandvoort";"0473";"Noordwest";"4427175"
"Zederik";"0707";"Zuidwest";"3981501"
"Zeewolde";"0050";"Noordwest";"4427175"
"Zeist";"0355";"Noordwest";"4427175"
"Zevenaar";"0299";"Oost";"3167052"
"Zoetermeer";"0637";"Zuidwest";"3981501"
"Zoeterwoude";"0638";"Zuidwest";"3981501"
"Zuidhorn";"0056";"Noord";"1719039"
"Zuidplas";"1892";"Zuidwest";"3981501"
"Zundert";"0879";"Zuid";"3607379"
"Zutphen";"0301";"Oost";"3167052"
"Zwartewaterland";"1896";"Oost";"3167052"
"Zwijndrecht";"0642";"Zuidwest";"3981501"
"Zwolle";"0193";"Oost";"3167052"
