"Gemeente";"CBS";"Veilig Thuis regio's";"Inwoneraantal van regio"
"Oost Gelre";"1586";"Noord- en Oost-Gelderland";"0"
"Oosterhout";"0826";"West-brabant";"0"
"Ooststellingwerf";"0085";"Friesland";"0"
"Oostzaan";"0431";"Zaanstreek-Waterland";"0"
"Opmeer";"0432";"Noord-Holland Noord";"0"
"Opsterland";"0086";"Friesland";"0"
"Oss";"0828";"Noord-Brabant Noord";"0"
"Oud-Beijerland";"0584";"Zuid-Holland-Zuid";"0"
"Oude IJsselstreek";"1509";"Noord- en Oost-Gelderland";"0"
"Ouder-Amstel";"0437";"Amsterdam-Amstelland";"0"
"Oudewater";"0589";"Utrecht";"0"
"Overbetuwe";"1734";"Gelderland-Midden";"0"
"Papendrecht";"0590";"Zuid-Holland-Zuid";"0"
"Peel en Maas";"1894";"Noord- en Midden Limburg";"0"
"Pekela";"0765";"Groningen";"0"
"Pijnacker-Nootdorp";"1926";"Haaglanden";"0"
"Purmerend";"0439";"Zaanstreek-Waterland";"0"
"Putten";"0273";"Noord- en Oost-Gelderland";"0"
"Raalte";"0177";"IJsselland";"0"
"Reimerswaal";"0703";"Zeeland";"0"
"Renkum";"0274";"Gelderland-Midden";"0"
"Renswoude";"0339";"Utrecht";"0"
"Reusel-De Mierden";"1667";"Zuidoost-Brabant";"0"
"Rheden";"0275";"Gelderland-Midden";"0"
"Rhenen";"0340";"Utrecht";"0"
"Ridderkerk";"0597";"Rotterdam-Rijnmond";"0"
"Rijnwaarden";"0196";"Gelderland-Midden";"0"
"Rijssen-Holten";"1742";"Twente";"0"
"Rijswijk";"0603";"Haaglanden";"0"
"Roerdalen";"1669";"Noord- en Midden Limburg";"0"
"Roermond";"0957";"Noord- en Midden Limburg";"0"
"Roosendaal";"1674";"West-brabant";"0"
"Rotterdam";"0599";"Rotterdam-Rijnmond";"0"
"Rozendaal";"0277";"Gelderland-Midden";"0"
"Rucphen";"0840";"West-brabant";"0"
"Schagen";"0441";"Noord-Holland Noord";"0"
"Scherpenzeel";"0279";"Gelderland-Midden";"0"
"Schiedam";"0606";"Rotterdam-Rijnmond";"0"
"Schiermonnikoog";"0088";"Friesland";"0"
"Schijndel";"0844";"Noord-Brabant Noord";"0"
"Schinnen";"0962";"Zuid-Limburg";"0"
"Schouwen-Duiveland";"1676";"Zeeland";"0"
"Simpelveld";"0965";"Zuid-Limburg";"0"
"Sint Anthonis";"1702";"Noord-Brabant Noord";"0"
"Sint-Michielsgestel";"0845";"Noord-Brabant Noord";"0"
"Sint-Oedenrode";"0846";"Noord-Brabant Noord";"0"
"Sittard-Geleen";"1883";"Zuid-Limburg";"0"
"Sliedrecht";"0610";"Zuid-Holland-Zuid";"0"
"Slochteren";"0040";"Groningen";"0"
"Sluis";"1714";"Zeeland";"0"
"Smallingerland";"0090";"Friesland";"0"
"Soest";"0342";"Utrecht";"0"
"Someren";"0847";"Zuidoost-Brabant";"0"
"Son en Breugel";"0848";"Zuidoost-Brabant";"0"
"Stadskanaal";"0037";"Groningen";"0"
"Staphorst";"0180";"IJsselland";"0"
"Stede Broec";"0532";"Noord-Holland Noord";"0"
"Steenbergen";"0851";"West-brabant";"0"
"Steenwijkerland";"1708";"IJsselland";"0"
"Stein";"0971";"Zuid-Limburg";"0"
"Stichtse Vecht";"1904";"Utrecht";"0"
"Strijen";"0617";"Zuid-Holland-Zuid";"0"
"Súdwest Fryslân";"1900";"Friesland";"0"
"Ten Boer";"0009";"Groningen";"0"
"Terneuzen";"0715";"Zeeland";"0"
"Terschelling";"0093";"Friesland";"0"
"Texel";"0448";"Noord-Holland Noord";"0"
"Teylingen";"1525";"Hollands-Midden";"0"
"Tholen";"0716";"Zeeland";"0"
"Tiel";"0281";"Gelderland-Zuid";"0"
"Tilburg";"0855";"Noord-Brabant Midden";"0"
"Tubbergen";"0183";"Twente";"0"
"Twenterand";"1700";"Twente";"0"
"Tynaarlo";"1730";"Drenthe";"0"
"Tytsjerksteradiel";"0737";"Friesland";"0"
"Uden";"0856";"Noord-Brabant Noord";"0"
"Uitgeest";"0450";"Noord-Holland Noord";"0"
"Uithoorn";"0451";"Amsterdam-Amstelland";"0"
"Urk";"0184";"Flevoland";"0"
"Utrecht";"0344";"Utrecht";"0"
"Utrechtse Heuvelrug";"1581";"Utrecht";"0"
"Vaals";"0981";"Zuid-Limburg";"0"
"Valkenburg aan de Geul";"0994";"Zuid-Limburg";"0"
"Valkenswaard";"0858";"Zuidoost-Brabant";"0"
"Veendam";"0047";"Groningen";"0"
"Veenendaal";"0345";"Utrecht";"0"
"Veere";"0717";"Zeeland";"0"
"Veghel";"0860";"Noord-Brabant Noord";"0"
"Veldhoven";"0861";"Zuidoost-Brabant";"0"
"Velsen";"0453";"Kennemerland";"0"
"Venlo";"0983";"Noord- en Midden Limburg";"0"
"Venray";"0984";"Noord- en Midden Limburg";"0"
"Vianen";"0620";"Utrecht";"0"
"Vlaardingen";"0622";"Rotterdam-Rijnmond";"0"
"Vlagtwedde";"0048";"Groningen";"0"
"Vlieland";"0096";"Friesland";"0"
"Vlissingen";"0718";"Zeeland";"0"
"Voerendaal";"0986";"Zuid-Limburg";"0"
"Voorschoten";"0626";"Hollands-Midden";"0"
"Voorst";"0285";"Noord- en Oost-Gelderland";"0"
"Vught";"0865";"Noord-Brabant Noord";"0"
"Waalre";"0866";"Zuidoost-Brabant";"0"
"Waalwijk";"0867";"Noord-Brabant Midden";"0"
"Waddinxveen";"0627";"Hollands-Midden";"0"
"Wageningen";"0289";"Gelderland-Midden";"0"
"Wassenaar";"0629";"Haaglanden";"0"
"Waterland";"0852";"Zaanstreek-Waterland";"0"
"Weert";"0988";"Noord- en Midden Limburg";"0"
"Weesp";"0457";"Utrecht";"0"
"Werkendam";"0870";"West-brabant";"0"
"West Maas en Waal";"0668";"Gelderland-Zuid";"0"
"Westerveld";"1701";"Drenthe";"0"
"Westervoort";"0293";"Gelderland-Midden";"0"
"Westland";"1783";"Haaglanden";"0"
"Weststellingwerf";"0098";"Friesland";"0"
"Westvoorne";"0614";"Rotterdam-Rijnmond";"0"
"Wierden";"0189";"Twente";"0"
"Wijchen";"0296";"Gelderland-Zuid";"0"
"Wijdemeren";"1696";"Utrecht";"0"
"Wijk bij Duurstede";"0352";"Utrecht";"0"
"Winsum";"0053";"Groningen";"0"
"Winterswijk";"0294";"Noord- en Oost-Gelderland";"0"
"Woensdrecht";"0873";"West-brabant";"0"
"Woerden";"0632";"Utrecht";"0"
"Wormerland";"0880";"Zaanstreek-Waterland";"0"
"Woudenberg";"0351";"Utrecht";"0"
"Woudrichem";"0874";"West-brabant";"0"
"Zaanstad";"0479";"Zaanstreek-Waterland";"0"
"Zaltbommel";"0297";"Gelderland-Zuid";"0"
"Zandvoort";"0473";"Kennemerland";"0"
"Zederik";"0707";"Zuid-Holland-Zuid";"0"
"Zeewolde";"0050";"Flevoland";"0"
"Zeist";"0355";"Utrecht";"0"
"Zevenaar";"0299";"Gelderland-Midden";"0"
"Zoetermeer";"0637";"Haaglanden";"0"
"Zoeterwoude";"0638";"Hollands-Midden";"0"
"Zuidhorn";"0056";"Groningen";"0"
"Zuidplas";"1892";"Hollands-Midden";"0"
"Zundert";"0879";"West-brabant";"0"
"Zutphen";"0301";"Noord- en Oost-Gelderland";"0"
"Zwartewaterland";"1896";"IJsselland";"0"
"Zwijndrecht";"0642";"Zuid-Holland-Zuid";"0"
"Zwolle";"0193";"IJsselland";"0"
