"Gemeente";"CBS";"Passend Onderwijs - Primair Onderwijs ";"Inwoneraantal van regio"
"Heumen";"0252";"PO-25-07";"412582"
"Heusden";"0797";"PO-30-10";"125736"
"Hillegom";"0534";"PO-28-12";"184575"
"Hilvarenbeek";"0798";"PO-30-04";"275373"
"Hilversum";"0402";"PO-27-09";"255347"
"Hof van Twente";"1735";"PO-23-02";"401365"
"Hollands Kroon";"1911";"PO-27-01";"163711"
"Hoogeveen";"0118";"PO-22-03";"173607"
"Hoogezand-Sappemeer";"0018";"PO-20-01";"615254"
"Hoorn";"0405";"PO-27-02";"208394"
"Horst aan de Maas";"1507";"PO-31-01";"280548"
"Houten";"0321";"PO-26-05";"177659"
"Huizen";"0406";"PO-27-09";"255347"
"Hulst";"0677";"PO-29-03";"105679"
"IJsselstein";"0353";"PO-26-05";"177659"
"Kaag en Braassem";"1884";"PO-28-01";"256274"
"Kampen";"0166";"PO-23-05";"321691"
"Kapelle";"0678";"PO-29-02";"161009"
"Katwijk";"0537";"PO-28-12";"184575"
"Kerkrade";"0928";"PO-31-06";"246735"
"Koggenland";"1598";"PO-27-02";"208394"
"Kollumerland en Nieuwkruisland";"0079";"PO-21-01";"646324"
"Korendijk";"0588";"PO-28-04";"84635"
"Krimpen aan den IJssel";"0542";"PO-28-18";"95409"
"Krimpenerwaard";"1931";"PO-28-14";"224887"
"Laarbeek";"1659";"PO-30-08";"279768"
"Landerd";"1685";"PO-30-06";"231641"
"Landgraaf";"0882";"PO-31-06";"246735"
"Landsmeer";"0415";"PO-27-06";"151879"
"Langedijk";"0416";"PO-27-03";"240522"
"Lansingerland";"1621";"PO-28-02";"229134"
"Laren";"0417";"PO-27-09";"255347"
"Leek";"0022";"PO-20-01";"615254"
"Leerdam";"0545";"PO-28-16";"182782"
"Leeuwarden";"0080";"PO-21-01";"646324"
"Leeuwarderadeel";"0081";"PO-21-01";"646324"
"Leiden";"0546";"PO-28-01";"256274"
"Leiderdorp";"0547";"PO-28-01";"256274"
"Leidschendam-Voorburg";"1916";"PO-28-15";"636804"
"Lelystad";"0995";"PO-24-03";"116737"
"Leudal";"1640";"PO-31-02";"169764"
"Leusden";"0327";"PO-26-02";"284500"
"Lingewaal";"0733";"PO-28-16";"182782"
"Lingewaard";"1705";"PO-25-06";"321434"
"Lisse";"0553";"PO-28-12";"184575"
"Littenseradiel";"0140";"PO-21-01";"646324"
"Lochem";"0262";"PO-25-01";"169355"
"Loon op Zand";"0809";"PO-30-10";"125736"
"Lopik";"0331";"PO-26-05";"177659"
"Loppersum";"0024";"PO-20-01";"615254"
"Losser";"0168";"PO-23-02";"401365"
"Maasdriel";"0263";"PO-30-05";"324064"
"Maasgouw";"1641";"PO-31-02";"169764"
"Maassluis";"0556";"PO-28-07";"180706"
"Maastricht";"0935";"PO-31-05";"207218"
"Marum";"0025";"PO-20-01";"615254"
"Medemblik";"0420";"PO-27-02";"208394"
"Meerssen";"0938";"PO-31-05";"207218"
"Menameradiel";"1908";"PO-21-01";"646324"
"Menterwolde";"1987";"PO-20-01";"615254"
"Meppel";"0119";"PO-22-03";"173607"
"Middelburg";"0687";"PO-29-01";"114029"
"Midden-Delfland";"1842";"PO-28-02";"229134"
"Midden-Drenthe";"1731";"PO-22-01";"158223"
"Mill en Sint Hubert";"0815";"PO-25-07";"412582"
"Moerdijk";"1709";"PO-30-02";"165408"
"Molenwaard";"1927";"PO-28-16";"182782"
"Montferland";"1955";"PO-25-03";"179264"
"Montfoort";"0335";"PO-26-04";"180773"
"Mook en Middelaar";"0944";"PO-31-01";"280548"
"Neder-Betuwe";"1740";"PO-25-08";"156328"
"Nederweert";"0946";"PO-31-03";"65702"
"Neerijnen";"0304";"PO-25-08";"156328"
"Nieuwegein";"0356";"PO-26-05";"177659"
"Nieuwkoop";"0569";"PO-28-13";"134524"
"Nijkerk";"0267";"PO-25-09";"240620"
"Nijmegen";"0268";"PO-25-07";"412582"
"Nissewaard";"1930";"PO-28-08";"154438"
"Noord-Beveland";"1695";"PO-29-02";"161009"
"Noordenveld";"1699";"PO-20-01";"615254"
"Noordoostpolder";"0171";"PO-24-02";"66190"
"Noordwijk";"0575";"PO-28-12";"184575"
"Noordwijkerhout";"0576";"PO-28-12";"184575"
"Nuenen, Gerwen en Nederwetten";"0820";"PO-30-08";"279768"
"Nunspeet";"0302";"PO-25-09";"240620"
"Nuth";"0951";"PO-31-06";"246735"
"Oegstgeest";"0579";"PO-28-01";"256274"
"Oirschot";"0823";"PO-30-09";"214552"
"Oisterwijk";"0824";"PO-30-04";"275373"
"Oldambt";"1895";"PO-20-01";"615254"
"Oldebroek";"0269";"PO-23-05";"321691"
"Oldenzaal";"0173";"PO-23-02";"401365"
"Olst-Wijhe";"1773";"PO-23-05";"321691"
"Ommen";"0175";"PO-23-04";"140142"
"Onderbanken";"0881";"PO-31-06";"246735"
"Oost Gelre";"1586";"PO-25-02";"85443"
"Oosterhout";"0826";"PO-30-03";"415316"
"Ooststellingwerf";"0085";"PO-21-01";"646324"
"Oostzaan";"0431";"PO-27-05";"176354"
"Opmeer";"0432";"PO-27-02";"208394"
"Opsterland";"0086";"PO-21-01";"646324"
"Oss";"0828";"PO-30-06";"231641"
"Oud-Beijerland";"0584";"PO-28-04";"84635"
"Oude IJsselstreek";"1509";"PO-25-03";"179264"
"Ouder-Amstel";"0437";"PO-27-08";"160203"
"Oudewater";"0589";"PO-26-04";"180773"
"Overbetuwe";"1734";"PO-25-06";"321434"
"Papendrecht";"0590";"PO-28-09";"150446"
"Peel en Maas";"1894";"PO-31-01";"280548"
"Pekela";"0765";"PO-20-01";"615254"
"Pijnacker-Nootdorp";"1926";"PO-28-02";"229134"
"Purmerend";"0439";"PO-27-06";"151879"
"Putten";"0273";"PO-25-09";"240620"
"Raalte";"0177";"PO-23-05";"321691"
"Reimerswaal";"0703";"PO-29-02";"161009"
"Renkum";"0274";"PO-25-06";"321434"
"Renswoude";"0339";"PO-25-10";"301271"
"Reusel-De Mierden";"1667";"PO-30-09";"214552"
"Rheden";"0275";"PO-25-06";"321434"
"Rhenen";"0340";"PO-25-10";"301271"
"Ridderkerk";"0597";"PO-28-05";"117829"
"Rijnwaarden";"0196";"PO-25-04";"83712"
"Rijssen-Holten";"1742";"PO-23-01";"224644"
"Rijswijk";"0603";"PO-28-15";"636804"
"Roerdalen";"1669";"PO-31-02";"169764"
"Roermond";"0957";"PO-31-02";"169764"
"Roosendaal";"1674";"PO-30-02";"165408"
"Rotterdam";"0599";"PO-28-06";"624710"
"Rozendaal";"0277";"PO-25-06";"321434"
"Rucphen";"0840";"PO-30-02";"165408"
"Schagen";"0441";"PO-27-01";"163711"
"Scherpenzeel";"0279";"PO-25-10";"301271"
"Schiedam";"0606";"PO-28-07";"180706"
"Schiermonnikoog";"0088";"PO-21-01";"646324"
"Schijndel";"0844";"PO-30-05";"324064"
"Schinnen";"0962";"PO-31-04";"148087"
"Schouwen-Duiveland";"1676";"PO-29-02";"161009"
"Simpelveld";"0965";"PO-31-06";"246735"
"Sint Anthonis";"1702";"PO-25-07";"412582"
"Sint-Michielsgestel";"0845";"PO-30-05";"324064"
"Sint-Oedenrode";"0846";"PO-30-06";"231641"
"Sittard-Geleen";"1883";"PO-31-04";"148087"
"Sliedrecht";"0610";"PO-28-09";"150446"
"Slochteren";"0040";"PO-20-01";"615254"
"Sluis";"1714";"PO-29-03";"105679"
"Smallingerland";"0090";"PO-21-01";"646324"
"Soest";"0342";"PO-26-02";"284500"
"Someren";"0847";"PO-30-08";"279768"
"Son en Breugel";"0848";"PO-30-07";"268288"
"Stadskanaal";"0037";"PO-20-01";"615254"
"Staphorst";"0180";"PO-23-05";"321691"
"Stede Broec";"0532";"PO-27-02";"208394"
"Steenbergen";"0851";"PO-30-01";"111591"
"Steenwijkerland";"1708";"PO-22-03";"173607"
"Stein";"0971";"PO-31-04";"148087"
"Stichtse Vecht";"1904";"PO-26-04";"180773"
"Strijen";"0617";"PO-28-04";"84635"
"Súdwest Fryslân";"1900";"PO-21-01";"646324"
"Ten Boer";"0009";"PO-20-01";"615254"
"Terneuzen";"0715";"PO-29-03";"105679"
"Terschelling";"0093";"PO-21-01";"646324"
"Texel";"0448";"PO-27-01";"163711"
"Teylingen";"1525";"PO-28-12";"184575"
"Tholen";"0716";"PO-29-02";"161009"
"Tiel";"0281";"PO-25-08";"156328"
"Tilburg";"0855";"PO-30-04";"275373"
"Tubbergen";"0183";"PO-23-01";"224644"
"Twenterand";"1700";"PO-23-01";"224644"
"Tynaarlo";"1730";"PO-22-01";"158223"
"Tytsjerksteradiel";"0737";"PO-21-01";"646324"
"Uden";"0856";"PO-30-06";"231641"
"Uitgeest";"0450";"PO-27-11";"194115"
"Uithoorn";"0451";"PO-27-08";"160203"
"Urk";"0184";"PO-24-02";"66190"
"Utrecht";"0344";"PO-26-01";"334139"
"Utrechtse Heuvelrug";"1581";"PO-26-03";"189919"
"Vaals";"0981";"PO-31-05";"207218"
"Valkenburg aan de Geul";"0994";"PO-31-05";"207218"
"Valkenswaard";"0858";"PO-30-09";"214552"
"Veendam";"0047";"PO-20-01";"615254"
"Veenendaal";"0345";"PO-25-10";"301271"
"Veere";"0717";"PO-29-01";"114029"
"Veghel";"0860";"PO-30-06";"231641"
"Veldhoven";"0861";"PO-30-09";"214552"
"Velsen";"0453";"PO-27-11";"194115"
"Venlo";"0983";"PO-31-01";"280548"
"Venray";"0984";"PO-31-01";"280548"
"Vianen";"0620";"PO-26-05";"177659"
"Vlaardingen";"0622";"PO-28-07";"180706"
"Vlagtwedde";"0048";"PO-20-01";"615254"
"Vlieland";"0096";"PO-21-01";"646324"
"Vlissingen";"0718";"PO-29-01";"114029"
"Voerendaal";"0986";"PO-31-06";"246735"
"Voorschoten";"0626";"PO-28-01";"256274"
"Voorst";"0285";"PO-25-01";"169355"
"Vught";"0865";"PO-30-05";"324064"
"Waalre";"0866";"PO-30-09";"214552"
"Waalwijk";"0867";"PO-30-10";"125736"
"Waddinxveen";"0627";"PO-28-14";"224887"
"Wageningen";"0289";"PO-25-10";"301271"
"Wassenaar";"0629";"PO-28-01";"256274"
"Waterland";"0852";"PO-27-06";"151879"
"Weert";"0988";"PO-31-03";"65702"
"Weesp";"0457";"PO-27-09";"255347"
"Werkendam";"0870";"PO-28-16";"182782"
"West Maas en Waal";"0668";"PO-25-07";"412582"
"Westerveld";"1701";"PO-22-03";"173607"
"Westervoort";"0293";"PO-25-04";"83712"
"Westland";"1783";"PO-28-03";"104275"
"Weststellingwerf";"0098";"PO-21-01";"646324"
"Westvoorne";"0614";"PO-28-08";"154438"
"Wierden";"0189";"PO-23-01";"224644"
"Wijchen";"0296";"PO-25-07";"412582"
"Wijdemeren";"1696";"PO-27-09";"255347"
"Wijk bij Duurstede";"0352";"PO-26-03";"189919"
"Winsum";"0053";"PO-20-01";"615254"
"Winterswijk";"0294";"PO-25-02";"85443"
"Woensdrecht";"0873";"PO-30-01";"111591"
"Woerden";"0632";"PO-26-04";"180773"
"Wormerland";"0880";"PO-27-05";"176354"
"Woudenberg";"0351";"PO-26-02";"284500"
"Woudrichem";"0874";"PO-28-16";"182782"
"Zaanstad";"0479";"PO-27-05";"176354"
"Zaltbommel";"0297";"PO-30-05";"324064"
"Zandvoort";"0473";"PO-27-04";"227658"
"Zederik";"0707";"PO-28-16";"182782"
"Zeewolde";"0050";"PO-25-09";"240620"
"Zeist";"0355";"PO-26-03";"189919"
"Zevenaar";"0299";"PO-25-04";"83712"
"Zoetermeer";"0637";"PO-28-17";"124024"
"Zoeterwoude";"0638";"PO-28-01";"256274"
"Zuidhorn";"0056";"PO-20-01";"615254"
"Zuidplas";"1892";"PO-28-14";"224887"
"Zundert";"0879";"PO-30-03";"415316"
"Zutphen";"0301";"PO-25-01";"169355"
"Zwartewaterland";"1896";"PO-23-05";"321691"
"Zwijndrecht";"0642";"PO-28-09";"150446"
"Zwolle";"0193";"PO-23-05";"321691"
