"Gemeente";"CBS";"Zorgkantoorregio's";"Inwoneraantal van regio"
"Sittard-Geleen";"1883";"Zorgkantoor Zuid-Limburg";"602040"
"Sliedrecht";"0610";"Zorgkantoor Waardenland";"400351"
"Slochteren";"0040";"Zorgkantoor Groningen";"584104"
"Sluis";"1714";"Zorgkantoor Zeeland";"380717"
"Smallingerland";"0090";"Zorgkantoor Friesland";"646324"
"Soest";"0342";"Zorgkantoor Utrecht";"1295565"
"Someren";"0847";"Zorgkantoor Zuid-Oost Brabant";"752485"
"Son en Breugel";"0848";"Zorgkantoor Zuid-Oost Brabant";"752485"
"Stadskanaal";"0037";"Zorgkantoor Groningen";"584104"
"Staphorst";"0180";"Zorgkantoor Zwolle";"542425"
"Stede Broec";"0532";"Zorgkantoor Noord-Holland Noord";"612627"
"Steenbergen";"0851";"Zorgkantoor West-Brabant";"694612"
"Steenwijkerland";"1708";"Zorgkantoor Zwolle";"542425"
"Stein";"0971";"Zorgkantoor Zuid-Limburg";"602040"
"Stichtse Vecht";"1904";"Zorgkantoor Utrecht";"1295565"
"Strijen";"0617";"Zorgkantoor Zuid-Hollandse Eilanden";"405111"
"Súdwest Fryslân";"1900";"Zorgkantoor Friesland";"646324"
"Ten Boer";"0009";"Zorgkantoor Groningen";"584104"
"Terneuzen";"0715";"Zorgkantoor Zeeland";"380717"
"Terschelling";"0093";"Zorgkantoor Friesland";"646324"
"Texel";"0448";"Zorgkantoor Noord-Holland Noord";"612627"
"Teylingen";"1525";"Zorgkantoor Zuid-Holland Noord";"549589"
"Tholen";"0716";"Zorgkantoor Zeeland";"380717"
"Tiel";"0281";"Zorgkantoor Nijmegen";"516743"
"Tilburg";"0855";"Zorgkantoor Midden-Brabant";"439653"
"Tubbergen";"0183";"Zorgkantoor Twente";"626009"
"Twenterand";"1700";"Zorgkantoor Twente";"626009"
"Tynaarlo";"1730";"Zorgkantoor Drenthe";"488611"
"Tytsjerksteradiel";"0737";"Zorgkantoor Friesland";"646324"
"Uden";"0856";"Zorgkantoor Noord-Oost Brabant";"654115"
"Uitgeest";"0450";"Zorgkantoor Kennemerland";"421773"
"Uithoorn";"0451";"Zorgkantoor Amstelland en De Meerlanden";"304385"
"Urk";"0184";"Zorgkantoor Flevoland";"204567"
"Utrecht";"0344";"Zorgkantoor Utrecht";"1295565"
"Utrechtse Heuvelrug";"1581";"Zorgkantoor Utrecht";"1295565"
"Vaals";"0981";"Zorgkantoor Zuid-Limburg";"602040"
"Valkenburg aan de Geul";"0994";"Zorgkantoor Zuid-Limburg";"602040"
"Valkenswaard";"0858";"Zorgkantoor Zuid-Oost Brabant";"752485"
"Veendam";"0047";"Zorgkantoor Groningen";"584104"
"Veenendaal";"0345";"Zorgkantoor Utrecht";"1295565"
