"Gemeente";"CBS";"GGD's";"Inwoneraantal van regio"
"Leidschendam-Voorburg";"1916";"GGD Haaglanden";"1045050"
"Lelystad";"0995";"GGD Flevoland";"401503"
"Leudal";"1640";"GGD Limburg-Noord";"516014"
"Leusden";"0327";"GGD Midden-Nederland";"1245265"
"Lingewaal";"0733";"GGD Gelderland-Zuid";"543245"
"Lingewaard";"1705";"Hulpverlening Gelderland-Midden";"670924"
"Lisse";"0553";"GGD Hollands-Midden";"774476"
"Littenseradiel";"0140";"GGD Fryslân";"646324"
"Lochem";"0262";"GGD Noord- en Oost-Gelderland";"812224"
"Loon op Zand";"0809";"GGD Hart voor Brabant";"1042228"
"Lopik";"0331";"GGD Midden-Nederland";"1245265"
"Loppersum";"0024";"GGD Groningen";"584104"
"Losser";"0168";"GGD Regio Twente";"626009"
"Maasdriel";"0263";"GGD Gelderland-Zuid";"543245"
"Maasgouw";"1641";"GGD Limburg-Noord";"516014"
"Maassluis";"0556";"GGD Rotterdam-Rijnmond";"1279414"
"Maastricht";"0935";"GGD Zuid-Limburg";"602040"
"Marum";"0025";"GGD Groningen";"584104"
"Medemblik";"0420";"GGD Hollands-Noorden";"646991"
"Meerssen";"0938";"GGD Zuid-Limburg";"602040"
"Menameradiel";"1908";"GGD Fryslân";"646324"
"Menterwolde";"1987";"GGD Groningen";"584104"
"Meppel";"0119";"GGD Drenthe";"488611"
"Middelburg";"0687";"GGD Zeeland";"380717"
"Midden-Delfland";"1842";"GGD Haaglanden";"1045050"
"Midden-Drenthe";"1731";"GGD Drenthe";"488611"
"Mill en Sint Hubert";"0815";"GGD Hart voor Brabant";"1042228"
"Moerdijk";"1709";"GGD West-Brabant";"694612"
"Molenwaard";"1927";"Dienst Gezondheid & Jeugd Zuid-Holland Zuid ";"483290"
"Montferland";"1955";"GGD Noord- en Oost-Gelderland";"812224"
"Montfoort";"0335";"GGD Midden-Nederland";"1245265"
"Mook en Middelaar";"0944";"GGD Limburg-Noord";"516014"
"Neder-Betuwe";"1740";"GGD Gelderland-Zuid";"543245"
"Nederweert";"0946";"GGD Limburg-Noord";"516014"
"Neerijnen";"0304";"GGD Gelderland-Zuid";"543245"
"Nieuwegein";"0356";"GGD Midden-Nederland";"1245265"
"Nieuwkoop";"0569";"GGD Hollands-Midden";"774476"
"Nijkerk";"0267";"Hulpverlening Gelderland-Midden";"670924"
"Nijmegen";"0268";"GGD Gelderland-Zuid";"543245"
"Nissewaard";"1930";"GGD Rotterdam-Rijnmond";"1279414"
"Noord-Beveland";"1695";"GGD Zeeland";"380717"
"Noordenveld";"1699";"GGD Drenthe";"488611"
"Noordoostpolder";"0171";"GGD Flevoland";"401503"
"Noordwijk";"0575";"GGD Hollands-Midden";"774476"
"Noordwijkerhout";"0576";"GGD Hollands-Midden";"774476"
"Nuenen, Gerwen en Nederwetten";"0820";"GGD Brabant-Zuidoost";"752485"
"Nunspeet";"0302";"GGD Noord- en Oost-Gelderland";"812224"
"Nuth";"0951";"GGD Zuid-Limburg";"602040"
"Oegstgeest";"0579";"GGD Hollands-Midden";"774476"
"Oirschot";"0823";"GGD Brabant-Zuidoost";"752485"
"Oisterwijk";"0824";"GGD Hart voor Brabant";"1042228"
"Oldambt";"1895";"GGD Groningen";"584104"
"Oldebroek";"0269";"GGD Noord- en Oost-Gelderland";"812224"
"Oldenzaal";"0173";"GGD Regio Twente";"626009"
"Olst-Wijhe";"1773";"GGD IJsselland";"514650"
"Ommen";"0175";"GGD IJsselland";"514650"
"Onderbanken";"0881";"GGD Zuid-Limburg";"602040"
"Oost Gelre";"1586";"GGD Noord- en Oost-Gelderland";"812224"
"Oosterhout";"0826";"GGD West-Brabant";"694612"
"Ooststellingwerf";"0085";"GGD Fryslân";"646324"
"Oostzaan";"0431";"GGD Zaanstreek/Waterland";"328233"
"Opmeer";"0432";"GGD Hollands-Noorden";"646991"
"Opsterland";"0086";"GGD Fryslân";"646324"
"Oss";"0828";"GGD Hart voor Brabant";"1042228"
"Oud-Beijerland";"0584";"Dienst Gezondheid & Jeugd Zuid-Holland Zuid ";"483290"
"Oude IJsselstreek";"1509";"GGD Noord- en Oost-Gelderland";"812224"
"Ouder-Amstel";"0437";"GGD Amsterdam";"1008808"
"Oudewater";"0589";"GGD Midden-Nederland";"1245265"
"Overbetuwe";"1734";"Hulpverlening Gelderland-Midden";"670924"
"Papendrecht";"0590";"Dienst Gezondheid & Jeugd Zuid-Holland Zuid ";"483290"
"Peel en Maas";"1894";"GGD Limburg-Noord";"516014"
"Pekela";"0765";"GGD Groningen";"584104"
"Pijnacker-Nootdorp";"1926";"GGD Haaglanden";"1045050"
"Purmerend";"0439";"GGD Zaanstreek/Waterland";"328233"
"Putten";"0273";"GGD Noord- en Oost-Gelderland";"812224"
"Raalte";"0177";"GGD IJsselland";"514650"
"Reimerswaal";"0703";"GGD Zeeland";"380717"
"Renkum";"0274";"Hulpverlening Gelderland-Midden";"670924"
"Renswoude";"0339";"GGD Midden-Nederland";"1245265"
"Reusel-De Mierden";"1667";"GGD Brabant-Zuidoost";"752485"
"Rheden";"0275";"Hulpverlening Gelderland-Midden";"670924"
"Rhenen";"0340";"GGD Midden-Nederland";"1245265"
"Ridderkerk";"0597";"GGD Rotterdam-Rijnmond";"1279414"
"Rijnwaarden";"0196";"Hulpverlening Gelderland-Midden";"670924"
"Rijssen-Holten";"1742";"GGD Regio Twente";"626009"
"Rijswijk";"0603";"GGD Haaglanden";"1045050"
"Roerdalen";"1669";"GGD Limburg-Noord";"516014"
"Roermond";"0957";"GGD Limburg-Noord";"516014"
"Roosendaal";"1674";"GGD West-Brabant";"694612"
"Rotterdam";"0599";"GGD Rotterdam-Rijnmond";"1279414"
"Rozendaal";"0277";"Hulpverlening Gelderland-Midden";"670924"
"Rucphen";"0840";"GGD West-Brabant";"694612"
"Schagen";"0441";"GGD Hollands-Noorden";"646991"
"Scherpenzeel";"0279";"Hulpverlening Gelderland-Midden";"670924"
"Schiedam";"0606";"GGD Rotterdam-Rijnmond";"1279414"
"Schiermonnikoog";"0088";"GGD Fryslân";"646324"
"Schijndel";"0844";"GGD Hart voor Brabant";"1042228"
"Schinnen";"0962";"GGD Zuid-Limburg";"602040"
"Schouwen-Duiveland";"1676";"GGD Zeeland";"380717"
"Simpelveld";"0965";"GGD Zuid-Limburg";"602040"
"Sint Anthonis";"1702";"GGD Hart voor Brabant";"1042228"
"Sint-Michielsgestel";"0845";"GGD Hart voor Brabant";"1042228"
"Sint-Oedenrode";"0846";"GGD Hart voor Brabant";"1042228"
"Sittard-Geleen";"1883";"GGD Zuid-Limburg";"602040"
