"Gemeente";"CBS";"Sociale Werkvoorziening";"Inwoneraantal van regio"
"Deurne";"0762";"Atlant Groep";"245395"
"Deventer";"0150";"Sallcon / Deventer Werktalent";"116330"
"Diemen";"0384";"Pantar Amsterdam / Reintegratiebedrijf Amsterdam";"824490"
"Dinkelland";"1774";"Top-Craft BV ";"80810"
"Doesburg";"0221";"Presikhaaf Bedrijven";"385090"
"Doetinchem";"0222";"WEDEO";"131187"
"Dongen";"0766";"Diamant-groep";"310855"
"Dongeradeel";"0058";"GR NEF (NoardEast Fryslân)";"69130"
"Dordrecht";"0505";"Drechtwerk";"360525"
"Drechterland";"0498";"Op/maat";"208394"
"Drimmelen";"1719";"!GO";"155814"
"Dronten";"0303";"IMpact";"91811"
"Druten";"0225";"Breed";"324295"
"Duiven";"0226";"Presikhaaf Bedrijven";"385090"
"Echt-Susteren";"1711";"Westrom";"169764"
"Edam-Volendam";"0385";"Baanstede";"328233"
"Ede";"0228";"Permar WS";"244971"
"Eemnes";"0317";"Tomingroep B.V.";"452283"
"Eemsmond";"1651";"Ability";"50140"
"Eersel";"0770";"WVK-groep";"69205"
"Eijsden-Margraten";"1903";"MTB";"166412"
"Eindhoven";"0772";"Ergon";"364000"
"Elburg";"0230";"Inclusief Groep";"209764"
"Emmen";"0114";"EMCO-groep";"144155"
"Enkhuizen";"0388";"Op/maat";"208394"
"Enschede";"0153";"Programma Economie en Werk / DCW-bedrijven";"158625"
"Epe";"0232";"Felua-groep";"208798"
"Ermelo";"0233";"Inclusief Groep";"209764"
"Etten-Leur";"0777";"WVS-groep";"340858"
"Ferwerderadiel";"1722";"GR NEF (NoardEast Fryslân)";"69130"
"Franekeradeel";"0070";"Empatec NV";"222777"
"Geertruidenberg";"0779";"!GO";"155814"
"Geldermalsen";"0236";"Lander Werk & Integratie";"207868"
"Geldrop-Mierlo";"1771";"Atlant Groep";"245395"
"Geldrop-Mierlo";"1771";"Ergon";"364000"
"Geldrop-Mierlo";"1771";"Ergon / Atlant Groep";"38876"
"Gemert-Bakel";"1652";"Atlant Groep";"245395"
"Gennep";"0907";"INTOS";"25038"
"Giessenlanden";"0689";"Avelingen Groep";"141941"
"Gilze en Rijen";"0784";"Diamant-groep";"310855"
"Goeree-Overflakkee";"1924";"Gemeentelijk Uitvoeringsbedrijf Wsw / WeBeGo BV";"48260"
"Goes";"0664";"De Betho";"127193"
"Goirle";"0785";"Diamant-groep";"310855"
"Gooise Meren";"1942";"Tomingroep B.V.";"452283"
"Gorinchem";"0512";"Avelingen Groep";"141941"
"Gouda";"0513";"Promen";"287090"
"Grave";"0786";"IBN-groep";"312109"
"'s-Gravenhage";"0518";"Haeghe Groep";"514644"
"Groningen";"0014";"Iederz";"200453"
"Grootegast";"0015";"Novatec";"91799"
"Gulpen-Wittem";"1729";"WOZL / WVS Oostelijk Zuid-Limburg ";"290895"
"Haaksbergen";"0158";"Hameland";"155005"
"Haaren";"0788";"WSD-Groep";"251117"
"Haarlem";"0392";"Paswerk";"227658"
"Haarlemmerliede en Spaarnwoude";"0393";"Paswerk";"227658"
"Haarlemmermeer";"0394";"AM Groep";"304385"
"Halderberge";"1655";"WVS-groep";"340858"
"Hardenberg";"0160";"Larcom";"76908"
"Harderwijk";"0243";"Inclusief Groep";"209764"
"Hardinxveld-Giessendam";"0523";"Avelingen Groep";"141941"
"Haren";"0017";"BWRi/ Bedrijf voor Werk, Re-integratie en Inkomen";"68780"
"Harlingen";"0072";"Empatec NV";"222777"
"Hattem";"0244";"Wezo groep nv";"222163"
"Heemskerk";"0396";"De Meergroep";"159751"
"Heemstede";"0397";"Paswerk";"227658"
"Heerde";"0246";"Felua-groep";"208798"
"Heerenveen";"0074";"CAPARIS NV";"354417"
"Heerhugowaard";"0398";"WNK Bedrijven";"274886"
"Heerlen";"0917";"WOZL / WVS Oostelijk Zuid-Limburg ";"290895"
"Heeze-Leende";"1658";"Ergon";"364000"
"Heiloo";"0399";"WNK Bedrijven";"274886"
"Hellendoorn";"0163";"Soweco N.V.";"224644"
"Hellevoetsluis";"0530";"De Welplaat";"154438"
"Helmond";"0794";"Atlant Groep";"245395"
"Hendrik-Ido-Ambacht";"0531";"Drechtwerk";"360525"
"Hengelo (O)";"0164";"SWB Groep";"137966"
"'s-Hertogenbosch";"0796";"Weener XL";"142815"
"het Bildt";"0063";"Empatec NV";"222777"
"Heumen";"0252";"Breed";"324295"
"Heusden";"0797";"Baanbrekers";"112760"
"Hillegom";"0534";"MareGroep";"233360"
"Hilvarenbeek";"0798";"Diamant-groep";"310855"
"Hilversum";"0402";"Tomingroep B.V.";"452283"
"Hof van Twente";"1735";"SWB Groep";"137966"
"Hollands Kroon";"1911";"Noorderkwartier N.V.";"150129"
"Hoogeveen";"0118";"Alescon";"213084"
"Hoogezand-Sappemeer";"0018";"BWRi/ Bedrijf voor Werk, Re-integratie en Inkomen";"68780"
"Hoorn";"0405";"Op/maat";"208394"
"Horst aan de Maas";"1507";"NLW Groep NV";"128145"
"Houten";"0321";"UW Holding BV";"382767"
"Huizen";"0406";"Tomingroep B.V.";"452283"
"Hulst";"0677";"Dethon";"105679"
"IJsselstein";"0353";"PAUW Bedrijven";"235559"
"Kaag en Braassem";"1884";"SWA";"160365"
"Kampen";"0166";"IMpact";"91811"
"Kapelle";"0678";"De Betho";"127193"
"Katwijk";"0537";"MareGroep";"233360"
"Kerkrade";"0928";"WOZL / WVS Oostelijk Zuid-Limburg ";"290895"
"Koggenland";"1598";"Op/maat";"208394"
"Kollumerland en Nieuwkruisland";"0079";"GR NEF (NoardEast Fryslân)";"69130"
"Korendijk";"0588";"WHW-bedrijven";"84635"
"Krimpen aan den IJssel";"0542";"Promen";"287090"
"Krimpenerwaard";"1931";"Promen";"287090"
"Laarbeek";"1659";"Atlant Groep";"245395"
"Landerd";"1685";"IBN-groep";"312109"
"Landgraaf";"0882";"WOZL / WVS Oostelijk Zuid-Limburg ";"290895"
"Landsmeer";"0415";"Baanstede";"328233"
"Langedijk";"0416";"WNK Bedrijven";"274886"
"Lansingerland";"1621";"Werkse";"224305"
"Laren";"0417";"Tomingroep B.V.";"452283"
"Leek";"0022";"Novatec";"91799"
"Leerdam";"0545";"Avelingen Groep";"141941"
"Leeuwarden";"0080";"CAPARIS NV";"354417"
"Leeuwarderadeel";"0081";"Empatec NV";"222777"
"Leiden";"0546";"DZB Leiden";"181648"
"Leiderdorp";"0547";"DZB Leiden";"181648"
"Leidschendam-Voorburg";"1916";"DSW Rijswijk en omstreken";"246184"
"Lelystad";"0995";"Concern voor Werk N.V.";"164185"
"Leudal";"1640";"Westrom";"169764"
"Leusden";"0327";"Amfors Groep";"284500"
"Lingewaal";"0733";"Avelingen Groep";"141941"
"Lingewaard";"1705";"Presikhaaf Bedrijven";"385090"
"Lisse";"0553";"MareGroep";"233360"
"Littenseradiel";"0140";"Empatec NV";"222777"
"Lochem";"0262";"Delta";"161695"
"Loon op Zand";"0809";"Baanbrekers";"112760"
"Lopik";"0331";"PAUW Bedrijven";"235559"
"Loppersum";"0024";"Fivelingo";"55038"
"Losser";"0168";"Top-Craft BV ";"80810"
"Maasdriel";"0263";"Lander Werk & Integratie";"207868"
"Maasgouw";"1641";"Westrom";"169764"
"Maassluis";"0556";"Stroomopwaarts MVS";"179105"
"Maastricht";"0935";"MTB";"166412"
"Marum";"0025";"Novatec";"91799"
"Medemblik";"0420";"Op/maat";"208394"
"Meerssen";"0938";"MTB";"166412"
"Menameradiel";"1908";"Empatec NV";"222777"
"Menterwolde";"1987";"Wedeka Bedrijven";"114960"
"Meppel";"0119";"Reestmond";"91957"
"Middelburg";"0687";"Orionis Walcheren";"114029"
"Midden-Delfland";"1842";"Werkse";"224305"
"Midden-Drenthe";"1731";"Alescon";"213084"
"Mill en Sint Hubert";"0815";"IBN-groep";"312109"
"Moerdijk";"1709";"WVS-groep";"340858"
"Molenwaard";"1927";"Avelingen Groep";"141941"
"Montferland";"1955";"WEDEO";"131187"
"Montfoort";"0335";"Ferm Werk";"106650"
"Mook en Middelaar";"0944";"INTOS";"25038"
"Neder-Betuwe";"1740";"Lander Werk & Integratie";"207868"
"Nederweert";"0946";"De Risse Groep";"85700"
"Neerijnen";"0304";"Lander Werk & Integratie";"207868"
"Nieuwegein";"0356";"PAUW Bedrijven";"235559"
"Nieuwkoop";"0569";"SWA";"160365"
"Nijkerk";"0267";"Inclusief Groep";"209764"
"Nijmegen";"0268";"Breed";"324295"
"Nissewaard";"1930";"De Welplaat";"154438"
"Noord-Beveland";"1695";"De Betho";"127193"
"Noordenveld";"1699";"Novatec";"91799"
"Noordoostpolder";"0171";"Concern voor Werk N.V.";"164185"
"Noordwijk";"0575";"MareGroep";"233360"
"Noordwijkerhout";"0576";"MareGroep";"233360"
"Nuenen, Gerwen en Nederwetten";"0820";"WSD-Groep";"251117"
"Nunspeet";"0302";"Inclusief Groep";"209764"
"Nuth";"0951";"WOZL / WVS Oostelijk Zuid-Limburg ";"290895"
"Oegstgeest";"0579";"MareGroep";"233360"
"Oirschot";"0823";"WSD-Groep";"251117"
"Oisterwijk";"0824";"WSD-Groep";"251117"
"Oldambt";"1895";"Synergon";"60266"
"Oldebroek";"0269";"Inclusief Groep";"209764"
"Oldenzaal";"0173";"Top-Craft BV ";"80810"
"Olst-Wijhe";"1773";"Sallcon / Deventer Werktalent";"116330"
"Ommen";"0175";"Larcom";"76908"
"Onderbanken";"0881";"WOZL / WVS Oostelijk Zuid-Limburg ";"290895"
"Oost Gelre";"1586";"Hameland";"155005"
"Oosterhout";"0826";"!GO";"155814"
"Ooststellingwerf";"0085";"CAPARIS NV";"354417"
"Oostzaan";"0431";"Baanstede";"328233"
"Opmeer";"0432";"Op/maat";"208394"
"Opsterland";"0086";"CAPARIS NV";"354417"
"Oss";"0828";"IBN-groep";"312109"
"Oud-Beijerland";"0584";"WHW-bedrijven";"84635"
"Oude IJsselstreek";"1509";"WEDEO";"131187"
"Ouder-Amstel";"0437";"AM Groep";"304385"
"Oudewater";"0589";"Ferm Werk";"106650"
"Overbetuwe";"1734";"Presikhaaf Bedrijven";"385090"
"Papendrecht";"0590";"Drechtwerk";"360525"
"Peel en Maas";"1894";"NLW Groep NV";"128145"
"Pekela";"0765";"Synergon";"60266"
"Pijnacker-Nootdorp";"1926";"Werkse";"224305"
"Purmerend";"0439";"Baanstede";"328233"
"Putten";"0273";"Inclusief Groep";"209764"
"Raalte";"0177";"Wezo groep nv";"222163"
"Reimerswaal";"0703";"De Betho";"127193"
"Renkum";"0274";"Permar WS";"244971"
"Renswoude";"0339";"IW4 Beheer NV";"87712"
"Reusel-De Mierden";"1667";"WVK-groep";"69205"
"Rheden";"0275";"Presikhaaf Bedrijven";"385090"
"Rhenen";"0340";"IW4 Beheer NV";"87712"
"Ridderkerk";"0597";"Drechtwerk";"360525"
"Rijnwaarden";"0196";"Presikhaaf Bedrijven";"385090"
"Rijssen-Holten";"1742";"Soweco N.V.";"224644"
"Rijswijk";"0603";"DSW Rijswijk en omstreken";"246184"
"Roerdalen";"1669";"Westrom";"169764"
"Roermond";"0957";"Westrom";"169764"
"Roosendaal";"1674";"WVS-groep";"340858"
"Rotterdam";"0599";"SoZaWe / Roteb / Robedrijf";"641395"
"Rozendaal";"0277";"Presikhaaf Bedrijven";"385090"
"Rucphen";"0840";"WVS-groep";"340858"
"Schagen";"0441";"Noorderkwartier N.V.";"150129"
"Scherpenzeel";"0279";"Permar WS";"244971"
"Schiedam";"0606";"Stroomopwaarts MVS";"179105"
"Schiermonnikoog";"0088";"GR NEF (NoardEast Fryslân)";"69130"
"Schijndel";"0844";"WSD-Groep";"251117"
"Schinnen";"0962";"Vixia bv";"148087"
"Schouwen-Duiveland";"1676";"De Zuidhoek";"33816"
"Simpelveld";"0965";"WOZL / WVS Oostelijk Zuid-Limburg ";"290895"
"Sint Anthonis";"1702";"IBN-groep";"312109"
"Sint-Michielsgestel";"0845";"WSD-Groep";"251117"
"Sint-Oedenrode";"0846";"WSD-Groep";"251117"
"Sittard-Geleen";"1883";"Vixia bv";"148087"
"Sliedrecht";"0610";"Drechtwerk";"360525"
"Slochteren";"0040";"BWRi/ Bedrijf voor Werk, Re-integratie en Inkomen";"68780"
"Sluis";"1714";"Dethon";"105679"
"Smallingerland";"0090";"CAPARIS NV";"354417"
"Soest";"0342";"Amfors Groep";"284500"
"Someren";"0847";"Atlant Groep";"245395"
"Son en Breugel";"0848";"WSD-Groep";"251117"
"Stadskanaal";"0037";"Wedeka Bedrijven";"114960"
"Staphorst";"0180";"Reestmond";"91957"
"Stede Broec";"0532";"Op/maat";"208394"
"Steenbergen";"0851";"WVS-groep";"340858"
"Steenwijkerland";"1708";"NoordWestGroep N.V. / IGSD Steenwijkerland en Westerveld";"43435"
"Stein";"0971";"Vixia bv";"148087"
"Stichtse Vecht";"1904";"PAUW Bedrijven";"235559"
"Strijen";"0617";"WHW-bedrijven";"84635"
"Súdwest Fryslân";"1900";"Empatec NV";"222777"
"Ten Boer";"0009";"Fivelingo";"55038"
"Terneuzen";"0715";"Dethon";"105679"
"Terschelling";"0093";"Empatec NV";"222777"
"Texel";"0448";"De Bolder";"13582"
"Teylingen";"1525";"MareGroep";"233360"
"Tholen";"0716";"De Betho";"127193"
"Tiel";"0281";"Lander Werk & Integratie";"207868"
"Tilburg";"0855";"Diamant-groep";"310855"
"Tubbergen";"0183";"Soweco N.V.";"224644"
"Twenterand";"1700";"Soweco N.V.";"224644"
"Tynaarlo";"1730";"Alescon";"213084"
"Tytsjerksteradiel";"0737";"CAPARIS NV";"354417"
"Uden";"0856";"IBN-groep";"312109"
"Uitgeest";"0450";"De Meergroep";"159751"
"Uithoorn";"0451";"AM Groep";"304385"
"Urk";"0184";"Concern voor Werk N.V.";"164185"
"Utrecht";"0344";"UW Holding BV";"382767"
"Utrechtse Heuvelrug";"1581";"BIGA Groep BV";"189135"
"Vaals";"0981";"WOZL / WVS Oostelijk Zuid-Limburg ";"290895"
"Valkenburg aan de Geul";"0994";"WOZL / WVS Oostelijk Zuid-Limburg ";"290895"
"Valkenswaard";"0858";"Ergon";"364000"
"Veendam";"0047";"Wedeka Bedrijven";"114960"
"Veenendaal";"0345";"IW4 Beheer NV";"87712"
"Veere";"0717";"Orionis Walcheren";"114029"
"Veghel";"0860";"IBN-groep";"312109"
"Veldhoven";"0861";"Ergon";"364000"
"Velsen";"0453";"De Meergroep";"159751"
"Venlo";"0983";"WAA groep n.v.";"127120"
"Venray";"0984";"NLW Groep NV";"128145"
"Vianen";"0620";"PAUW Bedrijven";"235559"
"Vlaardingen";"0622";"Stroomopwaarts MVS";"179105"
"Vlagtwedde";"0048";"Wedeka Bedrijven";"114960"
"Vlieland";"0096";"Empatec NV";"222777"
"Vlissingen";"0718";"Orionis Walcheren";"114029"
"Voerendaal";"0986";"WOZL / WVS Oostelijk Zuid-Limburg ";"290895"
"Voorschoten";"0626";"DZB Leiden";"181648"
"Voorst";"0285";"Delta";"161695"
"Vught";"0865";"WSD-Groep";"251117"
"Waalre";"0866";"Ergon";"364000"
"Waalwijk";"0867";"Baanbrekers";"112760"
"Waddinxveen";"0627";"Promen";"287090"
"Wageningen";"0289";"Permar WS";"244971"
"Wassenaar";"0629";"MareGroep";"233360"
"Waterland";"0852";"Baanstede";"328233"
"Weert";"0988";"De Risse Groep";"85700"
"Weesp";"0457";"Tomingroep B.V.";"452283"
"Werkendam";"0870";"!GO";"155814"
"West Maas en Waal";"0668";"Breed";"324295"
"Westerveld";"1701";"Reestmond";"91957"
"Westervoort";"0293";"Presikhaaf Bedrijven";"385090"
"Westland";"1783";"Patijnenburg";"104275"
"Weststellingwerf";"0098";"CAPARIS NV";"354417"
"Westvoorne";"0614";"De Welplaat";"154438"
"Wierden";"0189";"Soweco N.V.";"224644"
"Wijchen";"0296";"Breed";"324295"
"Wijdemeren";"1696";"Tomingroep B.V.";"452283"
"Wijk bij Duurstede";"0352";"BIGA Groep BV";"189135"
"Winsum";"0053";"Ability";"50140"
"Winterswijk";"0294";"Hameland";"155005"
"Woensdrecht";"0873";"WVS-groep";"340858"
"Woerden";"0632";"Ferm Werk";"106650"
"Wormerland";"0880";"Baanstede";"328233"
"Woudenberg";"0351";"Amfors Groep";"284500"
"Woudrichem";"0874";"!GO";"155814"
"Zaanstad";"0479";"Baanstede";"328233"
"Zaltbommel";"0297";"Lander Werk & Integratie";"207868"
"Zandvoort";"0473";"Paswerk";"227658"
"Zederik";"0707";"Avelingen Groep";"141941"
"Zeewolde";"0050";"Concern voor Werk N.V.";"164185"
"Zeist";"0355";"BIGA Groep BV";"189135"
"Zevenaar";"0299";"Presikhaaf Bedrijven";"385090"
"Zoetermeer";"0637";"DSW Rijswijk en omstreken";"246184"
"Zoeterwoude";"0638";"DZB Leiden";"181648"
"Zuidhorn";"0056";"Novatec";"91799"
"Zuidplas";"1892";"Promen";"287090"
"Zundert";"0879";"WVS-groep";"340858"
"Zutphen";"0301";"Delta";"161695"
"Zwartewaterland";"1896";"Wezo groep nv";"222163"
"Zwijndrecht";"0642";"Drechtwerk";"360525"
"Zwolle";"0193";"Wezo groep nv";"222163"
