"Gemeente";"CBS";"Ressorten";"Inwoneraantal van regio"
"Delft";"0503";"Den Haag";"3600784"
"Delfzijl";"0010";"Arnhem-Leeuwarden";"6797643"
"Den Helder";"0400";"Amsterdam";"2515623"
"Deurne";"0762";"'s-Hertogenbosch";"3988096"
"Deventer";"0150";"Arnhem-Leeuwarden";"6797643"
"Diemen";"0384";"Amsterdam";"2515623"
"Dinkelland";"1774";"Arnhem-Leeuwarden";"6797643"
"Doesburg";"0221";"Arnhem-Leeuwarden";"6797643"
"Doetinchem";"0222";"Arnhem-Leeuwarden";"6797643"
"Dongen";"0766";"'s-Hertogenbosch";"3988096"
"Dongeradeel";"0058";"Arnhem-Leeuwarden";"6797643"
"Dordrecht";"0505";"Den Haag";"3600784"
"Drechterland";"0498";"Amsterdam";"2515623"
"Drimmelen";"1719";"'s-Hertogenbosch";"3988096"
"Dronten";"0303";"Arnhem-Leeuwarden";"6797643"
"Druten";"0225";"Arnhem-Leeuwarden";"6797643"
"Duiven";"0226";"Arnhem-Leeuwarden";"6797643"
"Echt-Susteren";"1711";"'s-Hertogenbosch";"3988096"
"Edam-Volendam";"0385";"Amsterdam";"2515623"
"Ede";"0228";"Arnhem-Leeuwarden";"6797643"
"Eemnes";"0317";"Arnhem-Leeuwarden";"6797643"
"Eemsmond";"1651";"Arnhem-Leeuwarden";"6797643"
"Eersel";"0770";"'s-Hertogenbosch";"3988096"
"Eijsden-Margraten";"1903";"'s-Hertogenbosch";"3988096"
"Eindhoven";"0772";"'s-Hertogenbosch";"3988096"
"Elburg";"0230";"Arnhem-Leeuwarden";"6797643"
"Emmen";"0114";"Arnhem-Leeuwarden";"6797643"
"Enkhuizen";"0388";"Amsterdam";"2515623"
"Enschede";"0153";"Arnhem-Leeuwarden";"6797643"
"Epe";"0232";"Arnhem-Leeuwarden";"6797643"
"Ermelo";"0233";"Arnhem-Leeuwarden";"6797643"
"Etten-Leur";"0777";"'s-Hertogenbosch";"3988096"
"Ferwerderadiel";"1722";"Arnhem-Leeuwarden";"6797643"
"Franekeradeel";"0070";"Arnhem-Leeuwarden";"6797643"
"Geertruidenberg";"0779";"'s-Hertogenbosch";"3988096"
"Geldermalsen";"0236";"Arnhem-Leeuwarden";"6797643"
"Geldrop-Mierlo";"1771";"'s-Hertogenbosch";"3988096"
"Gemert-Bakel";"1652";"'s-Hertogenbosch";"3988096"
"Gennep";"0907";"'s-Hertogenbosch";"3988096"
"Giessenlanden";"0689";"Den Haag";"3600784"
"Gilze en Rijen";"0784";"'s-Hertogenbosch";"3988096"
"Goeree-Overflakkee";"1924";"Den Haag";"3600784"
"Goes";"0664";"'s-Hertogenbosch";"3988096"
"Goirle";"0785";"'s-Hertogenbosch";"3988096"
"Gooise Meren";"1942";"Arnhem-Leeuwarden";"6797643"
"Gorinchem";"0512";"Den Haag";"3600784"
"Gouda";"0513";"Den Haag";"3600784"
"Grave";"0786";"'s-Hertogenbosch";"3988096"
"'s-Gravenhage";"0518";"Den Haag";"3600784"
"Groningen";"0014";"Arnhem-Leeuwarden";"6797643"
"Grootegast";"0015";"Arnhem-Leeuwarden";"6797643"
"Gulpen-Wittem";"1729";"'s-Hertogenbosch";"3988096"
"Haaksbergen";"0158";"Arnhem-Leeuwarden";"6797643"
"Haaren";"0788";"'s-Hertogenbosch";"3988096"
"Haarlem";"0392";"Amsterdam";"2515623"
"Haarlemmerliede en Spaarnwoude";"0393";"Amsterdam";"2515623"
"Haarlemmermeer";"0394";"Amsterdam";"2515623"
"Halderberge";"1655";"'s-Hertogenbosch";"3988096"
"Hardenberg";"0160";"Arnhem-Leeuwarden";"6797643"
"Harderwijk";"0243";"Arnhem-Leeuwarden";"6797643"
"Hardinxveld-Giessendam";"0523";"Den Haag";"3600784"
"Haren";"0017";"Arnhem-Leeuwarden";"6797643"
"Harlingen";"0072";"Arnhem-Leeuwarden";"6797643"
"Hattem";"0244";"Arnhem-Leeuwarden";"6797643"
"Heemskerk";"0396";"Amsterdam";"2515623"
"Heemstede";"0397";"Amsterdam";"2515623"
"Heerde";"0246";"Arnhem-Leeuwarden";"6797643"
"Heerenveen";"0074";"Arnhem-Leeuwarden";"6797643"
"Heerhugowaard";"0398";"Amsterdam";"2515623"
"Heerlen";"0917";"'s-Hertogenbosch";"3988096"
"Heeze-Leende";"1658";"'s-Hertogenbosch";"3988096"
"Heiloo";"0399";"Amsterdam";"2515623"
"Hellendoorn";"0163";"Arnhem-Leeuwarden";"6797643"
"Hellevoetsluis";"0530";"Den Haag";"3600784"
"Helmond";"0794";"'s-Hertogenbosch";"3988096"
"Hendrik-Ido-Ambacht";"0531";"Den Haag";"3600784"
"Hengelo (O)";"0164";"Arnhem-Leeuwarden";"6797643"
"'s-Hertogenbosch";"0796";"'s-Hertogenbosch";"3988096"
"het Bildt";"0063";"Arnhem-Leeuwarden";"6797643"
"Heumen";"0252";"Arnhem-Leeuwarden";"6797643"
"Heusden";"0797";"'s-Hertogenbosch";"3988096"
"Hillegom";"0534";"Den Haag";"3600784"
"Hilvarenbeek";"0798";"'s-Hertogenbosch";"3988096"
"Hilversum";"0402";"Arnhem-Leeuwarden";"6797643"
"Hof van Twente";"1735";"Arnhem-Leeuwarden";"6797643"
"Hollands Kroon";"1911";"Amsterdam";"2515623"
"Hoogeveen";"0118";"Arnhem-Leeuwarden";"6797643"
"Hoogezand-Sappemeer";"0018";"Arnhem-Leeuwarden";"6797643"
"Hoorn";"0405";"Amsterdam";"2515623"
"Horst aan de Maas";"1507";"'s-Hertogenbosch";"3988096"
"Houten";"0321";"Arnhem-Leeuwarden";"6797643"
"Huizen";"0406";"Arnhem-Leeuwarden";"6797643"
"Hulst";"0677";"'s-Hertogenbosch";"3988096"
"IJsselstein";"0353";"Arnhem-Leeuwarden";"6797643"
"Kaag en Braassem";"1884";"Den Haag";"3600784"
"Kampen";"0166";"Arnhem-Leeuwarden";"6797643"
"Kapelle";"0678";"'s-Hertogenbosch";"3988096"
"Katwijk";"0537";"Den Haag";"3600784"
"Kerkrade";"0928";"'s-Hertogenbosch";"3988096"
"Koggenland";"1598";"Amsterdam";"2515623"
"Kollumerland en Nieuwkruisland";"0079";"Arnhem-Leeuwarden";"6797643"
"Korendijk";"0588";"Den Haag";"3600784"
"Krimpen aan den IJssel";"0542";"Den Haag";"3600784"
"Krimpenerwaard";"1931";"Den Haag";"3600784"
"Laarbeek";"1659";"'s-Hertogenbosch";"3988096"
"Landerd";"1685";"'s-Hertogenbosch";"3988096"
"Landgraaf";"0882";"'s-Hertogenbosch";"3988096"
"Landsmeer";"0415";"Amsterdam";"2515623"
"Langedijk";"0416";"Amsterdam";"2515623"
"Lansingerland";"1621";"Den Haag";"3600784"
"Laren";"0417";"Arnhem-Leeuwarden";"6797643"
"Leek";"0022";"Arnhem-Leeuwarden";"6797643"
"Leerdam";"0545";"Den Haag";"3600784"
"Leeuwarden";"0080";"Arnhem-Leeuwarden";"6797643"
"Leeuwarderadeel";"0081";"Arnhem-Leeuwarden";"6797643"
"Leiden";"0546";"Den Haag";"3600784"
"Leiderdorp";"0547";"Den Haag";"3600784"
"Leidschendam-Voorburg";"1916";"Den Haag";"3600784"
"Lelystad";"0995";"Arnhem-Leeuwarden";"6797643"
"Leudal";"1640";"'s-Hertogenbosch";"3988096"
"Leusden";"0327";"Arnhem-Leeuwarden";"6797643"
"Lingewaal";"0733";"Arnhem-Leeuwarden";"6797643"
"Lingewaard";"1705";"Arnhem-Leeuwarden";"6797643"
"Lisse";"0553";"Den Haag";"3600784"
"Littenseradiel";"0140";"Arnhem-Leeuwarden";"6797643"
"Lochem";"0262";"Arnhem-Leeuwarden";"6797643"
"Loon op Zand";"0809";"'s-Hertogenbosch";"3988096"
"Lopik";"0331";"Arnhem-Leeuwarden";"6797643"
"Loppersum";"0024";"Arnhem-Leeuwarden";"6797643"
"Losser";"0168";"Arnhem-Leeuwarden";"6797643"
"Maasdriel";"0263";"Arnhem-Leeuwarden";"6797643"
"Maasgouw";"1641";"'s-Hertogenbosch";"3988096"
"Maassluis";"0556";"Den Haag";"3600784"
"Maastricht";"0935";"'s-Hertogenbosch";"3988096"
"Marum";"0025";"Arnhem-Leeuwarden";"6797643"
"Medemblik";"0420";"Amsterdam";"2515623"
"Meerssen";"0938";"'s-Hertogenbosch";"3988096"
"Menameradiel";"1908";"Arnhem-Leeuwarden";"6797643"
"Menterwolde";"1987";"Arnhem-Leeuwarden";"6797643"
"Meppel";"0119";"Arnhem-Leeuwarden";"6797643"
"Middelburg";"0687";"'s-Hertogenbosch";"3988096"
"Midden-Delfland";"1842";"Den Haag";"3600784"
"Midden-Drenthe";"1731";"Arnhem-Leeuwarden";"6797643"
"Mill en Sint Hubert";"0815";"'s-Hertogenbosch";"3988096"
"Moerdijk";"1709";"'s-Hertogenbosch";"3988096"
"Molenwaard";"1927";"Den Haag";"3600784"
"Montferland";"1955";"Arnhem-Leeuwarden";"6797643"
"Montfoort";"0335";"Arnhem-Leeuwarden";"6797643"
"Mook en Middelaar";"0944";"'s-Hertogenbosch";"3988096"
"Neder-Betuwe";"1740";"Arnhem-Leeuwarden";"6797643"
"Nederweert";"0946";"'s-Hertogenbosch";"3988096"
"Neerijnen";"0304";"Arnhem-Leeuwarden";"6797643"
"Nieuwegein";"0356";"Arnhem-Leeuwarden";"6797643"
"Nieuwkoop";"0569";"Den Haag";"3600784"
"Nijkerk";"0267";"Arnhem-Leeuwarden";"6797643"
"Nijmegen";"0268";"Arnhem-Leeuwarden";"6797643"
"Nissewaard";"1930";"Den Haag";"3600784"
"Noord-Beveland";"1695";"'s-Hertogenbosch";"3988096"
"Noordenveld";"1699";"Arnhem-Leeuwarden";"6797643"
"Noordoostpolder";"0171";"Arnhem-Leeuwarden";"6797643"
"Noordwijk";"0575";"Den Haag";"3600784"
"Noordwijkerhout";"0576";"Den Haag";"3600784"
"Nuenen, Gerwen en Nederwetten";"0820";"'s-Hertogenbosch";"3988096"
"Nunspeet";"0302";"Arnhem-Leeuwarden";"6797643"
"Nuth";"0951";"'s-Hertogenbosch";"3988096"
"Oegstgeest";"0579";"Den Haag";"3600784"
"Oirschot";"0823";"'s-Hertogenbosch";"3988096"
"Oisterwijk";"0824";"'s-Hertogenbosch";"3988096"
"Oldambt";"1895";"Arnhem-Leeuwarden";"6797643"
"Oldebroek";"0269";"Arnhem-Leeuwarden";"6797643"
"Oldenzaal";"0173";"Arnhem-Leeuwarden";"6797643"
"Olst-Wijhe";"1773";"Arnhem-Leeuwarden";"6797643"
"Ommen";"0175";"Arnhem-Leeuwarden";"6797643"
"Onderbanken";"0881";"'s-Hertogenbosch";"3988096"
"Oost Gelre";"1586";"Arnhem-Leeuwarden";"6797643"
"Oosterhout";"0826";"'s-Hertogenbosch";"3988096"
"Ooststellingwerf";"0085";"Arnhem-Leeuwarden";"6797643"
"Oostzaan";"0431";"Amsterdam";"2515623"
"Opmeer";"0432";"Amsterdam";"2515623"
"Opsterland";"0086";"Arnhem-Leeuwarden";"6797643"
"Oss";"0828";"'s-Hertogenbosch";"3988096"
"Oud-Beijerland";"0584";"Den Haag";"3600784"
"Oude IJsselstreek";"1509";"Arnhem-Leeuwarden";"6797643"
"Ouder-Amstel";"0437";"Amsterdam";"2515623"
"Oudewater";"0589";"Arnhem-Leeuwarden";"6797643"
"Overbetuwe";"1734";"Arnhem-Leeuwarden";"6797643"
"Papendrecht";"0590";"Den Haag";"3600784"
"Peel en Maas";"1894";"'s-Hertogenbosch";"3988096"
"Pekela";"0765";"Arnhem-Leeuwarden";"6797643"
"Pijnacker-Nootdorp";"1926";"Den Haag";"3600784"
"Purmerend";"0439";"Amsterdam";"2515623"
"Putten";"0273";"Arnhem-Leeuwarden";"6797643"
"Raalte";"0177";"Arnhem-Leeuwarden";"6797643"
"Reimerswaal";"0703";"'s-Hertogenbosch";"3988096"
"Renkum";"0274";"Arnhem-Leeuwarden";"6797643"
"Renswoude";"0339";"Arnhem-Leeuwarden";"6797643"
"Reusel-De Mierden";"1667";"'s-Hertogenbosch";"3988096"
"Rheden";"0275";"Arnhem-Leeuwarden";"6797643"
"Rhenen";"0340";"Arnhem-Leeuwarden";"6797643"
"Ridderkerk";"0597";"Den Haag";"3600784"
"Rijnwaarden";"0196";"Arnhem-Leeuwarden";"6797643"
"Rijssen-Holten";"1742";"Arnhem-Leeuwarden";"6797643"
"Rijswijk";"0603";"Den Haag";"3600784"
"Roerdalen";"1669";"'s-Hertogenbosch";"3988096"
"Roermond";"0957";"'s-Hertogenbosch";"3988096"
"Roosendaal";"1674";"'s-Hertogenbosch";"3988096"
"Rotterdam";"0599";"Den Haag";"3600784"
"Rozendaal";"0277";"Arnhem-Leeuwarden";"6797643"
"Rucphen";"0840";"'s-Hertogenbosch";"3988096"
"Schagen";"0441";"Amsterdam";"2515623"
"Scherpenzeel";"0279";"Arnhem-Leeuwarden";"6797643"
"Schiedam";"0606";"Den Haag";"3600784"
"Schiermonnikoog";"0088";"Arnhem-Leeuwarden";"6797643"
"Schijndel";"0844";"'s-Hertogenbosch";"3988096"
"Schinnen";"0962";"'s-Hertogenbosch";"3988096"
"Schouwen-Duiveland";"1676";"'s-Hertogenbosch";"3988096"
"Simpelveld";"0965";"'s-Hertogenbosch";"3988096"
"Sint Anthonis";"1702";"'s-Hertogenbosch";"3988096"
"Sint-Michielsgestel";"0845";"'s-Hertogenbosch";"3988096"
"Sint-Oedenrode";"0846";"'s-Hertogenbosch";"3988096"
"Sittard-Geleen";"1883";"'s-Hertogenbosch";"3988096"
"Sliedrecht";"0610";"Den Haag";"3600784"
"Slochteren";"0040";"Arnhem-Leeuwarden";"6797643"
"Sluis";"1714";"'s-Hertogenbosch";"3988096"
"Smallingerland";"0090";"Arnhem-Leeuwarden";"6797643"
"Soest";"0342";"Arnhem-Leeuwarden";"6797643"
"Someren";"0847";"'s-Hertogenbosch";"3988096"
"Son en Breugel";"0848";"'s-Hertogenbosch";"3988096"
"Stadskanaal";"0037";"Arnhem-Leeuwarden";"6797643"
"Staphorst";"0180";"Arnhem-Leeuwarden";"6797643"
"Stede Broec";"0532";"Amsterdam";"2515623"
"Steenbergen";"0851";"'s-Hertogenbosch";"3988096"
"Steenwijkerland";"1708";"Arnhem-Leeuwarden";"6797643"
"Stein";"0971";"'s-Hertogenbosch";"3988096"
"Stichtse Vecht";"1904";"Arnhem-Leeuwarden";"6797643"
"Strijen";"0617";"Den Haag";"3600784"
"Súdwest Fryslân";"1900";"Arnhem-Leeuwarden";"6797643"
"Ten Boer";"0009";"Arnhem-Leeuwarden";"6797643"
"Terneuzen";"0715";"'s-Hertogenbosch";"3988096"
"Terschelling";"0093";"Arnhem-Leeuwarden";"6797643"
"Texel";"0448";"Amsterdam";"2515623"
"Teylingen";"1525";"Den Haag";"3600784"
"Tholen";"0716";"'s-Hertogenbosch";"3988096"
"Tiel";"0281";"Arnhem-Leeuwarden";"6797643"
"Tilburg";"0855";"'s-Hertogenbosch";"3988096"
"Tubbergen";"0183";"Arnhem-Leeuwarden";"6797643"
"Twenterand";"1700";"Arnhem-Leeuwarden";"6797643"
"Tynaarlo";"1730";"Arnhem-Leeuwarden";"6797643"
"Tytsjerksteradiel";"0737";"Arnhem-Leeuwarden";"6797643"
"Uden";"0856";"'s-Hertogenbosch";"3988096"
"Uitgeest";"0450";"Amsterdam";"2515623"
"Uithoorn";"0451";"Amsterdam";"2515623"
"Urk";"0184";"Arnhem-Leeuwarden";"6797643"
"Utrecht";"0344";"Arnhem-Leeuwarden";"6797643"
"Utrechtse Heuvelrug";"1581";"Arnhem-Leeuwarden";"6797643"
"Vaals";"0981";"'s-Hertogenbosch";"3988096"
"Valkenburg aan de Geul";"0994";"'s-Hertogenbosch";"3988096"
"Valkenswaard";"0858";"'s-Hertogenbosch";"3988096"
"Veendam";"0047";"Arnhem-Leeuwarden";"6797643"
"Veenendaal";"0345";"Arnhem-Leeuwarden";"6797643"
"Veere";"0717";"'s-Hertogenbosch";"3988096"
"Veghel";"0860";"'s-Hertogenbosch";"3988096"
"Veldhoven";"0861";"'s-Hertogenbosch";"3988096"
"Velsen";"0453";"Amsterdam";"2515623"
"Venlo";"0983";"'s-Hertogenbosch";"3988096"
"Venray";"0984";"'s-Hertogenbosch";"3988096"
"Vianen";"0620";"Arnhem-Leeuwarden";"6797643"
"Vlaardingen";"0622";"Den Haag";"3600784"
"Vlagtwedde";"0048";"Arnhem-Leeuwarden";"6797643"
"Vlieland";"0096";"Arnhem-Leeuwarden";"6797643"
"Vlissingen";"0718";"'s-Hertogenbosch";"3988096"
"Voerendaal";"0986";"'s-Hertogenbosch";"3988096"
"Voorschoten";"0626";"Den Haag";"3600784"
"Voorst";"0285";"Arnhem-Leeuwarden";"6797643"
"Vught";"0865";"'s-Hertogenbosch";"3988096"
"Waalre";"0866";"'s-Hertogenbosch";"3988096"
"Waalwijk";"0867";"'s-Hertogenbosch";"3988096"
"Waddinxveen";"0627";"Den Haag";"3600784"
"Wageningen";"0289";"Arnhem-Leeuwarden";"6797643"
"Wassenaar";"0629";"Den Haag";"3600784"
"Waterland";"0852";"Amsterdam";"2515623"
"Weert";"0988";"'s-Hertogenbosch";"3988096"
"Weesp";"0457";"Arnhem-Leeuwarden";"6797643"
"Werkendam";"0870";"'s-Hertogenbosch";"3988096"
"West Maas en Waal";"0668";"Arnhem-Leeuwarden";"6797643"
"Westerveld";"1701";"Arnhem-Leeuwarden";"6797643"
"Westervoort";"0293";"Arnhem-Leeuwarden";"6797643"
"Westland";"1783";"Den Haag";"3600784"
"Weststellingwerf";"0098";"Arnhem-Leeuwarden";"6797643"
"Westvoorne";"0614";"Den Haag";"3600784"
"Wierden";"0189";"Arnhem-Leeuwarden";"6797643"
"Wijchen";"0296";"Arnhem-Leeuwarden";"6797643"
"Wijdemeren";"1696";"Arnhem-Leeuwarden";"6797643"
"Wijk bij Duurstede";"0352";"Arnhem-Leeuwarden";"6797643"
"Winsum";"0053";"Arnhem-Leeuwarden";"6797643"
"Winterswijk";"0294";"Arnhem-Leeuwarden";"6797643"
"Woensdrecht";"0873";"'s-Hertogenbosch";"3988096"
"Woerden";"0632";"Arnhem-Leeuwarden";"6797643"
"Wormerland";"0880";"Amsterdam";"2515623"
"Woudenberg";"0351";"Arnhem-Leeuwarden";"6797643"
"Woudrichem";"0874";"'s-Hertogenbosch";"3988096"
"Zaanstad";"0479";"Amsterdam";"2515623"
"Zaltbommel";"0297";"Arnhem-Leeuwarden";"6797643"
"Zandvoort";"0473";"Amsterdam";"2515623"
"Zederik";"0707";"Den Haag";"3600784"
"Zeewolde";"0050";"Arnhem-Leeuwarden";"6797643"
"Zeist";"0355";"Arnhem-Leeuwarden";"6797643"
"Zevenaar";"0299";"Arnhem-Leeuwarden";"6797643"
"Zoetermeer";"0637";"Den Haag";"3600784"
"Zoeterwoude";"0638";"Den Haag";"3600784"
"Zuidhorn";"0056";"Arnhem-Leeuwarden";"6797643"
"Zuidplas";"1892";"Den Haag";"3600784"
"Zundert";"0879";"'s-Hertogenbosch";"3988096"
"Zutphen";"0301";"Arnhem-Leeuwarden";"6797643"
"Zwartewaterland";"1896";"Arnhem-Leeuwarden";"6797643"
"Zwijndrecht";"0642";"Den Haag";"3600784"
"Zwolle";"0193";"Arnhem-Leeuwarden";"6797643"
