"Gemeente";"CBS";"Regionale Uitvoeringsdiensten - BRZO";"Inwoneraantal van regio"
"Beverwijk";"0375";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Binnenmaas";"0585";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Bladel";"1728";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Blaricum";"0376";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Bloemendaal";"0377";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Bodegraven-Reeuwijk";"1901";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Boekel";"0755";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Borger-Odoorn";"1681";"BRZO-RUD Groningen";"1719039"
"Borne";"0147";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Borsele";"0654";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Boxmeer";"0756";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Boxtel";"0757";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Breda";"0758";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Brielle";"0501";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Bronckhorst";"1876";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Brummen";"0213";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Brunssum";"0899";"BRZO-RUD Limburg Zuid";"1118054"
"Bunnik";"0312";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Bunschoten";"0313";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Buren";"0214";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Capelle aan den IJssel";"0502";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Castricum";"0383";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Coevorden";"0109";"BRZO-RUD Groningen";"1719039"
"Cranendonck";"1706";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Cromstrijen";"0611";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Cuijk";"1684";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Culemborg";"0216";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Dalfsen";"0148";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Dantumadiel";"1891";"BRZO-RUD Groningen";"1719039"
"De Bilt";"0310";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"De Fryske Marren";"1940";"BRZO-RUD Groningen";"1719039"
"De Marne";"1663";"BRZO-RUD Groningen";"1719039"
"De Ronde Venen";"0736";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"De Wolden";"1690";"BRZO-RUD Groningen";"1719039"
"Delft";"0503";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Delfzijl";"0010";"BRZO-RUD Groningen";"1719039"
"Den Helder";"0400";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Deurne";"0762";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Deventer";"0150";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Diemen";"0384";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Dinkelland";"1774";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Doesburg";"0221";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Doetinchem";"0222";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Dongen";"0766";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Dongeradeel";"0058";"BRZO-RUD Groningen";"1719039"
"Dordrecht";"0505";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Drechterland";"0498";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Drimmelen";"1719";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Dronten";"0303";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Druten";"0225";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Duiven";"0226";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Echt-Susteren";"1711";"BRZO-RUD Limburg Zuid";"1118054"
"Edam-Volendam";"0385";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Ede";"0228";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Eemnes";"0317";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Eemsmond";"1651";"BRZO-RUD Groningen";"1719039"
"Eersel";"0770";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Eijsden-Margraten";"1903";"BRZO-RUD Limburg Zuid";"1118054"
"Eindhoven";"0772";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Elburg";"0230";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Emmen";"0114";"BRZO-RUD Groningen";"1719039"
"Enkhuizen";"0388";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Enschede";"0153";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Epe";"0232";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Ermelo";"0233";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Etten-Leur";"0777";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Ferwerderadiel";"1722";"BRZO-RUD Groningen";"1719039"
"Franekeradeel";"0070";"BRZO-RUD Groningen";"1719039"
"Geertruidenberg";"0779";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Geldermalsen";"0236";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Geldrop-Mierlo";"1771";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Gemert-Bakel";"1652";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Gennep";"0907";"BRZO-RUD Limburg Zuid";"1118054"
"Giessenlanden";"0689";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Gilze en Rijen";"0784";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Goeree-Overflakkee";"1924";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Goes";"0664";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Goirle";"0785";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Gooise Meren";"1942";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Gorinchem";"0512";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Gouda";"0513";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Grave";"0786";"BRZO-RUD Midden- en West-Brabant";"2489325"
"'s-Gravenhage";"0518";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Groningen";"0014";"BRZO-RUD Groningen";"1719039"
"Grootegast";"0015";"BRZO-RUD Groningen";"1719039"
"Gulpen-Wittem";"1729";"BRZO-RUD Limburg Zuid";"1118054"
"Haaksbergen";"0158";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Haaren";"0788";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Haarlem";"0392";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Haarlemmerliede en Spaarnwoude";"0393";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Haarlemmermeer";"0394";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Halderberge";"1655";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Hardenberg";"0160";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Harderwijk";"0243";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Hardinxveld-Giessendam";"0523";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Haren";"0017";"BRZO-RUD Groningen";"1719039"
"Harlingen";"0072";"BRZO-RUD Groningen";"1719039"
"Hattem";"0244";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Heemskerk";"0396";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Heemstede";"0397";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Heerde";"0246";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Heerenveen";"0074";"BRZO-RUD Groningen";"1719039"
"Heerhugowaard";"0398";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Heerlen";"0917";"BRZO-RUD Limburg Zuid";"1118054"
"Heeze-Leende";"1658";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Heiloo";"0399";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Hellendoorn";"0163";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Hellevoetsluis";"0530";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Helmond";"0794";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Hendrik-Ido-Ambacht";"0531";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Hengelo (O)";"0164";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"'s-Hertogenbosch";"0796";"BRZO-RUD Midden- en West-Brabant";"2489325"
"het Bildt";"0063";"BRZO-RUD Groningen";"1719039"
"Heumen";"0252";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Heusden";"0797";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Hillegom";"0534";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Hilvarenbeek";"0798";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Hilversum";"0402";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Hof van Twente";"1735";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Hollands Kroon";"1911";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Hoogeveen";"0118";"BRZO-RUD Groningen";"1719039"
"Hoogezand-Sappemeer";"0018";"BRZO-RUD Groningen";"1719039"
"Hoorn";"0405";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Horst aan de Maas";"1507";"BRZO-RUD Limburg Zuid";"1118054"
"Houten";"0321";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Huizen";"0406";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Hulst";"0677";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"IJsselstein";"0353";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Kaag en Braassem";"1884";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Kampen";"0166";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Kapelle";"0678";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Katwijk";"0537";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Kerkrade";"0928";"BRZO-RUD Limburg Zuid";"1118054"
"Koggenland";"1598";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Kollumerland en Nieuwkruisland";"0079";"BRZO-RUD Groningen";"1719039"
"Korendijk";"0588";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Krimpen aan den IJssel";"0542";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Krimpenerwaard";"1931";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Laarbeek";"1659";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Landerd";"1685";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Landgraaf";"0882";"BRZO-RUD Limburg Zuid";"1118054"
"Landsmeer";"0415";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Langedijk";"0416";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Lansingerland";"1621";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Laren";"0417";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Leek";"0022";"BRZO-RUD Groningen";"1719039"
"Leerdam";"0545";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Leeuwarden";"0080";"BRZO-RUD Groningen";"1719039"
"Leeuwarderadeel";"0081";"BRZO-RUD Groningen";"1719039"
"Leiden";"0546";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Leiderdorp";"0547";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Leidschendam-Voorburg";"1916";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Lelystad";"0995";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Leudal";"1640";"BRZO-RUD Limburg Zuid";"1118054"
"Leusden";"0327";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Lingewaal";"0733";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Lingewaard";"1705";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Lisse";"0553";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Littenseradiel";"0140";"BRZO-RUD Groningen";"1719039"
"Lochem";"0262";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Loon op Zand";"0809";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Lopik";"0331";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Loppersum";"0024";"BRZO-RUD Groningen";"1719039"
"Losser";"0168";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Maasdriel";"0263";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Maasgouw";"1641";"BRZO-RUD Limburg Zuid";"1118054"
"Maassluis";"0556";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Maastricht";"0935";"BRZO-RUD Limburg Zuid";"1118054"
"Marum";"0025";"BRZO-RUD Groningen";"1719039"
"Medemblik";"0420";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Meerssen";"0938";"BRZO-RUD Limburg Zuid";"1118054"
"Menameradiel";"1908";"BRZO-RUD Groningen";"1719039"
"Menterwolde";"1987";"BRZO-RUD Groningen";"1719039"
"Meppel";"0119";"BRZO-RUD Groningen";"1719039"
"Middelburg";"0687";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Midden-Delfland";"1842";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Midden-Drenthe";"1731";"BRZO-RUD Groningen";"1719039"
"Mill en Sint Hubert";"0815";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Moerdijk";"1709";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Molenwaard";"1927";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Montferland";"1955";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Montfoort";"0335";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Mook en Middelaar";"0944";"BRZO-RUD Limburg Zuid";"1118054"
"Neder-Betuwe";"1740";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Nederweert";"0946";"BRZO-RUD Limburg Zuid";"1118054"
"Neerijnen";"0304";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Nieuwegein";"0356";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Nieuwkoop";"0569";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Nijkerk";"0267";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Nijmegen";"0268";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Nissewaard";"1930";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Noord-Beveland";"1695";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Noordenveld";"1699";"BRZO-RUD Groningen";"1719039"
"Noordoostpolder";"0171";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Noordwijk";"0575";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Noordwijkerhout";"0576";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Nuenen, Gerwen en Nederwetten";"0820";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Nunspeet";"0302";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Nuth";"0951";"BRZO-RUD Limburg Zuid";"1118054"
"Oegstgeest";"0579";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Oirschot";"0823";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Oisterwijk";"0824";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Oldambt";"1895";"BRZO-RUD Groningen";"1719039"
"Oldebroek";"0269";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Oldenzaal";"0173";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Olst-Wijhe";"1773";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Ommen";"0175";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Onderbanken";"0881";"BRZO-RUD Limburg Zuid";"1118054"
"Oost Gelre";"1586";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Oosterhout";"0826";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Ooststellingwerf";"0085";"BRZO-RUD Groningen";"1719039"
"Oostzaan";"0431";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Opmeer";"0432";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Opsterland";"0086";"BRZO-RUD Groningen";"1719039"
"Oss";"0828";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Oud-Beijerland";"0584";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Oude IJsselstreek";"1509";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Ouder-Amstel";"0437";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Oudewater";"0589";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Overbetuwe";"1734";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Papendrecht";"0590";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Peel en Maas";"1894";"BRZO-RUD Limburg Zuid";"1118054"
"Pekela";"0765";"BRZO-RUD Groningen";"1719039"
"Pijnacker-Nootdorp";"1926";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Purmerend";"0439";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Putten";"0273";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Raalte";"0177";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Reimerswaal";"0703";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Renkum";"0274";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Renswoude";"0339";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Reusel-De Mierden";"1667";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Rheden";"0275";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Rhenen";"0340";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Ridderkerk";"0597";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Rijnwaarden";"0196";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Rijssen-Holten";"1742";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Rijswijk";"0603";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Roerdalen";"1669";"BRZO-RUD Limburg Zuid";"1118054"
"Roermond";"0957";"BRZO-RUD Limburg Zuid";"1118054"
"Roosendaal";"1674";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Rotterdam";"0599";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Rozendaal";"0277";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Rucphen";"0840";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Schagen";"0441";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Scherpenzeel";"0279";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Schiedam";"0606";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Schiermonnikoog";"0088";"BRZO-RUD Groningen";"1719039"
"Schijndel";"0844";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Schinnen";"0962";"BRZO-RUD Limburg Zuid";"1118054"
"Schouwen-Duiveland";"1676";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Simpelveld";"0965";"BRZO-RUD Limburg Zuid";"1118054"
"Sint Anthonis";"1702";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Sint-Michielsgestel";"0845";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Sint-Oedenrode";"0846";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Sittard-Geleen";"1883";"BRZO-RUD Limburg Zuid";"1118054"
"Sliedrecht";"0610";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Slochteren";"0040";"BRZO-RUD Groningen";"1719039"
"Sluis";"1714";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Smallingerland";"0090";"BRZO-RUD Groningen";"1719039"
"Soest";"0342";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Someren";"0847";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Son en Breugel";"0848";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Stadskanaal";"0037";"BRZO-RUD Groningen";"1719039"
"Staphorst";"0180";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Stede Broec";"0532";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Steenbergen";"0851";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Steenwijkerland";"1708";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Stein";"0971";"BRZO-RUD Limburg Zuid";"1118054"
"Stichtse Vecht";"1904";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Strijen";"0617";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Súdwest Fryslân";"1900";"BRZO-RUD Groningen";"1719039"
"Ten Boer";"0009";"BRZO-RUD Groningen";"1719039"
"Terneuzen";"0715";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Terschelling";"0093";"BRZO-RUD Groningen";"1719039"
"Texel";"0448";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Teylingen";"1525";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Tholen";"0716";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Tiel";"0281";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Tilburg";"0855";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Tubbergen";"0183";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Twenterand";"1700";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Tynaarlo";"1730";"BRZO-RUD Groningen";"1719039"
"Tytsjerksteradiel";"0737";"BRZO-RUD Groningen";"1719039"
"Uden";"0856";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Uitgeest";"0450";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Uithoorn";"0451";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Urk";"0184";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Utrecht";"0344";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Utrechtse Heuvelrug";"1581";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Vaals";"0981";"BRZO-RUD Limburg Zuid";"1118054"
"Valkenburg aan de Geul";"0994";"BRZO-RUD Limburg Zuid";"1118054"
"Valkenswaard";"0858";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Veendam";"0047";"BRZO-RUD Groningen";"1719039"
"Veenendaal";"0345";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Veere";"0717";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Veghel";"0860";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Veldhoven";"0861";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Velsen";"0453";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Venlo";"0983";"BRZO-RUD Limburg Zuid";"1118054"
"Venray";"0984";"BRZO-RUD Limburg Zuid";"1118054"
"Vianen";"0620";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Vlaardingen";"0622";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Vlagtwedde";"0048";"BRZO-RUD Groningen";"1719039"
"Vlieland";"0096";"BRZO-RUD Groningen";"1719039"
"Vlissingen";"0718";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Voerendaal";"0986";"BRZO-RUD Limburg Zuid";"1118054"
"Voorschoten";"0626";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Voorst";"0285";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Vught";"0865";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Waalre";"0866";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Waalwijk";"0867";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Waddinxveen";"0627";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Wageningen";"0289";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Wassenaar";"0629";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Waterland";"0852";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Weert";"0988";"BRZO-RUD Limburg Zuid";"1118054"
