"Gemeente";"CBS";"Omgevingsdiensten (Regionale uitvoeringsdiensten)";"Inwoneraantal van regio"
"De Wolden";"1690";"RUD Drenthe";"488611"
"Delft";"0503";"Omgevingsdienst Haaglanden";"1087050"
"Delfzijl";"0010";"Omgevingsdienst Groningen";"584104"
"Den Helder";"0400";"RUD Noord-Holland Noord";"646991"
"Deurne";"0762";"Omgevingsdienst Zuidoost-Brabant";"752485"
"Deventer";"0150";"RUD IJsselland";"514650"
"Diemen";"0384";"Omgevingsdienst Noordzeekanaalgebied";"1304419"
"Dinkelland";"1774";"RUD Twente";"626009"
"Doesburg";"0221";"Omgevingsdienst Regio Arnhem";"416502"
"Doetinchem";"0222";"Omgevingsdienst Achterhoek";"377810"
"Dongen";"0766";"Omgevingsdienst Midden- en West-Brabant";"1091129"
"Dongeradeel";"0058";"Fryske Utfieringstsjinst Miljeu en Omjouwing";"646324"
"Dordrecht";"0505";"Omgevingsdienst Zuid-Holland-Zuid";"484986"
"Drechterland";"0498";"RUD Noord-Holland Noord";"646991"
"Drimmelen";"1719";"Omgevingsdienst Midden- en West-Brabant";"1091129"
"Dronten";"0303";"Omgevingsdienst Flevoland & Gooi en Vechtstreek";"648043"
"Druten";"0225";"Omgevingsdienst Regio Nijmegen";"305727"
"Duiven";"0226";"Omgevingsdienst Regio Arnhem";"416502"
"Echt-Susteren";"1711";"RUD Limburg Noord";"516014"
"Edam-Volendam";"0385";"Omgevingsdienst IJmond";"580267"
"Ede";"0228";"Omgevingsdienst De Vallei";"254422"
"Eemnes";"0317";"RUD Utrecht";"751435"
"Eemsmond";"1651";"Omgevingsdienst Groningen";"584104"
"Eersel";"0770";"Omgevingsdienst Zuidoost-Brabant";"752485"
"Eijsden-Margraten";"1903";"RUD Zuid Limburg";"602040"
"Eindhoven";"0772";"Omgevingsdienst Zuidoost-Brabant";"752485"
"Elburg";"0230";"Omgevingsdienst Noord-Veluwe";"199237"
"Emmen";"0114";"RUD Drenthe";"488611"
"Enkhuizen";"0388";"RUD Noord-Holland Noord";"646991"
"Enschede";"0153";"RUD Twente";"626009"
"Epe";"0232";"Omgevingsdienst Veluwe IJssel";"235177"
"Ermelo";"0233";"Omgevingsdienst Noord-Veluwe";"199237"
"Etten-Leur";"0777";"Omgevingsdienst Midden- en West-Brabant";"1091129"
"Ferwerderadiel";"1722";"Fryske Utfieringstsjinst Miljeu en Omjouwing";"646324"
"Franekeradeel";"0070";"Fryske Utfieringstsjinst Miljeu en Omjouwing";"646324"
"Geertruidenberg";"0779";"Omgevingsdienst Midden- en West-Brabant";"1091129"
"Geldermalsen";"0236";"Omgevingsdienst Rivierenland";"237518"
"Geldrop-Mierlo";"1771";"Omgevingsdienst Zuidoost-Brabant";"752485"
"Gemert-Bakel";"1652";"Omgevingsdienst Zuidoost-Brabant";"752485"
"Gennep";"0907";"RUD Limburg Noord";"516014"
"Giessenlanden";"0689";"Omgevingsdienst Zuid-Holland-Zuid";"484986"
"Gilze en Rijen";"0784";"Omgevingsdienst Midden- en West-Brabant";"1091129"
"Goeree-Overflakkee";"1924";"DCMR Milieudienst Rijnmond";"1279414"
"Goes";"0664";"RUD Zeeland";"380717"
"Goirle";"0785";"Omgevingsdienst Midden- en West-Brabant";"1091129"
"Gooise Meren";"1942";"Omgevingsdienst Flevoland & Gooi en Vechtstreek";"648043"
"Gorinchem";"0512";"Omgevingsdienst Zuid-Holland-Zuid";"484986"
"Gouda";"0513";"Omgevingsdienst Midden-Holland";"224887"
"Grave";"0786";"Omgevingsdienst Brabant Noord";"645711"
"'s-Gravenhage";"0518";"Omgevingsdienst Haaglanden";"1087050"
"Groningen";"0014";"Omgevingsdienst Groningen";"584104"
"Grootegast";"0015";"Omgevingsdienst Groningen";"584104"
"Gulpen-Wittem";"1729";"RUD Zuid Limburg";"602040"
"Haaksbergen";"0158";"RUD Twente";"626009"
"Haaren";"0788";"Omgevingsdienst Brabant Noord";"645711"
"Haarlem";"0392";"Omgevingsdienst IJmond";"580267"
"Haarlemmerliede en Spaarnwoude";"0393";"Omgevingsdienst IJmond";"580267"
"Haarlemmermeer";"0394";"Omgevingsdienst Noordzeekanaalgebied";"1304419"
"Halderberge";"1655";"Omgevingsdienst Midden- en West-Brabant";"1091129"
"Hardenberg";"0160";"RUD IJsselland";"514650"
"Harderwijk";"0243";"Omgevingsdienst Noord-Veluwe";"199237"
"Hardinxveld-Giessendam";"0523";"Omgevingsdienst Zuid-Holland-Zuid";"484986"
"Haren";"0017";"Omgevingsdienst Groningen";"584104"
"Harlingen";"0072";"Fryske Utfieringstsjinst Miljeu en Omjouwing";"646324"
"Hattem";"0244";"Omgevingsdienst Noord-Veluwe";"199237"
"Heemskerk";"0396";"Omgevingsdienst IJmond";"580267"
"Heemstede";"0397";"Omgevingsdienst IJmond";"580267"
"Heerde";"0246";"Omgevingsdienst Noord-Veluwe";"199237"
"Heerenveen";"0074";"Fryske Utfieringstsjinst Miljeu en Omjouwing";"646324"
"Heerhugowaard";"0398";"RUD Noord-Holland Noord";"646991"
"Heerlen";"0917";"RUD Zuid Limburg";"602040"
"Heeze-Leende";"1658";"Omgevingsdienst Zuidoost-Brabant";"752485"
"Heiloo";"0399";"RUD Noord-Holland Noord";"646991"
"Hellendoorn";"0163";"RUD Twente";"626009"
"Hellevoetsluis";"0530";"DCMR Milieudienst Rijnmond";"1279414"
"Helmond";"0794";"Omgevingsdienst Zuidoost-Brabant";"752485"
"Hendrik-Ido-Ambacht";"0531";"Omgevingsdienst Zuid-Holland-Zuid";"484986"
"Hengelo (O)";"0164";"RUD Twente";"626009"
"'s-Hertogenbosch";"0796";"Omgevingsdienst Brabant Noord";"645711"
"het Bildt";"0063";"Fryske Utfieringstsjinst Miljeu en Omjouwing";"646324"
"Heumen";"0252";"Omgevingsdienst Regio Nijmegen";"305727"
"Heusden";"0797";"Omgevingsdienst Brabant Noord";"645711"
"Hillegom";"0534";"Omgevingsdienst West-Holland";"508393"
"Hilvarenbeek";"0798";"Omgevingsdienst Midden- en West-Brabant";"1091129"
"Hilversum";"0402";"Omgevingsdienst Flevoland & Gooi en Vechtstreek";"648043"
"Hof van Twente";"1735";"RUD Twente";"626009"
"Hollands Kroon";"1911";"RUD Noord-Holland Noord";"646991"
"Hoogeveen";"0118";"RUD Drenthe";"488611"
"Hoogezand-Sappemeer";"0018";"Omgevingsdienst Groningen";"584104"
"Hoorn";"0405";"RUD Noord-Holland Noord";"646991"
"Horst aan de Maas";"1507";"RUD Limburg Noord";"516014"
"Houten";"0321";"RUD Utrecht";"751435"
"Huizen";"0406";"Omgevingsdienst Flevoland & Gooi en Vechtstreek";"648043"
"Hulst";"0677";"RUD Zeeland";"380717"
"IJsselstein";"0353";"Omgevingsdienst Regio Utrecht";"512074"
"Kaag en Braassem";"1884";"Omgevingsdienst West-Holland";"508393"
"Kampen";"0166";"RUD IJsselland";"514650"
"Kapelle";"0678";"RUD Zeeland";"380717"
"Katwijk";"0537";"Omgevingsdienst West-Holland";"508393"
"Kerkrade";"0928";"RUD Zuid Limburg";"602040"
"Koggenland";"1598";"RUD Noord-Holland Noord";"646991"
"Kollumerland en Nieuwkruisland";"0079";"Fryske Utfieringstsjinst Miljeu en Omjouwing";"646324"
"Korendijk";"0588";"Omgevingsdienst Zuid-Holland-Zuid";"484986"
"Krimpen aan den IJssel";"0542";"DCMR Milieudienst Rijnmond";"1279414"
"Krimpenerwaard";"1931";"Omgevingsdienst Midden-Holland";"224887"
"Laarbeek";"1659";"Omgevingsdienst Zuidoost-Brabant";"752485"
"Landerd";"1685";"Omgevingsdienst Brabant Noord";"645711"
"Landgraaf";"0882";"RUD Zuid Limburg";"602040"
"Landsmeer";"0415";"Omgevingsdienst IJmond";"580267"
"Langedijk";"0416";"RUD Noord-Holland Noord";"646991"
"Lansingerland";"1621";"DCMR Milieudienst Rijnmond";"1279414"
"Laren";"0417";"Omgevingsdienst Flevoland & Gooi en Vechtstreek";"648043"
"Leek";"0022";"Omgevingsdienst Groningen";"584104"
"Leerdam";"0545";"Omgevingsdienst Zuid-Holland-Zuid";"484986"
"Leeuwarden";"0080";"Fryske Utfieringstsjinst Miljeu en Omjouwing";"646324"
"Leeuwarderadeel";"0081";"Fryske Utfieringstsjinst Miljeu en Omjouwing";"646324"
"Leiden";"0546";"Omgevingsdienst West-Holland";"508393"
"Leiderdorp";"0547";"Omgevingsdienst West-Holland";"508393"
"Leidschendam-Voorburg";"1916";"Omgevingsdienst Haaglanden";"1087050"
"Lelystad";"0995";"Omgevingsdienst Flevoland & Gooi en Vechtstreek";"648043"
"Leudal";"1640";"RUD Limburg Noord";"516014"
"Leusden";"0327";"RUD Utrecht";"751435"
"Lingewaal";"0733";"Omgevingsdienst Rivierenland";"237518"
"Lingewaard";"1705";"Omgevingsdienst Regio Arnhem";"416502"
"Lisse";"0553";"Omgevingsdienst West-Holland";"508393"
"Littenseradiel";"0140";"Fryske Utfieringstsjinst Miljeu en Omjouwing";"646324"
"Lochem";"0262";"Omgevingsdienst Achterhoek";"377810"
"Loon op Zand";"0809";"Omgevingsdienst Midden- en West-Brabant";"1091129"
"Lopik";"0331";"RUD Utrecht";"751435"
"Loppersum";"0024";"Omgevingsdienst Groningen";"584104"
"Losser";"0168";"RUD Twente";"626009"
"Maasdriel";"0263";"Omgevingsdienst Rivierenland";"237518"
"Maasgouw";"1641";"RUD Limburg Noord";"516014"
"Maassluis";"0556";"DCMR Milieudienst Rijnmond";"1279414"
"Maastricht";"0935";"RUD Zuid Limburg";"602040"
"Marum";"0025";"Omgevingsdienst Groningen";"584104"
"Medemblik";"0420";"RUD Noord-Holland Noord";"646991"
"Meerssen";"0938";"RUD Zuid Limburg";"602040"
"Menameradiel";"1908";"Fryske Utfieringstsjinst Miljeu en Omjouwing";"646324"
"Menterwolde";"1987";"Omgevingsdienst Groningen";"584104"
"Meppel";"0119";"RUD Drenthe";"488611"
"Middelburg";"0687";"RUD Zeeland";"380717"
"Midden-Delfland";"1842";"Omgevingsdienst Haaglanden";"1087050"
"Midden-Drenthe";"1731";"RUD Drenthe";"488611"
"Mill en Sint Hubert";"0815";"Omgevingsdienst Brabant Noord";"645711"
"Moerdijk";"1709";"Omgevingsdienst Midden- en West-Brabant";"1091129"
"Molenwaard";"1927";"Omgevingsdienst Zuid-Holland-Zuid";"484986"
"Montferland";"1955";"Omgevingsdienst Achterhoek";"377810"
"Montfoort";"0335";"Omgevingsdienst Regio Utrecht";"512074"
"Mook en Middelaar";"0944";"RUD Limburg Noord";"516014"
"Neder-Betuwe";"1740";"Omgevingsdienst Rivierenland";"237518"
"Nederweert";"0946";"RUD Limburg Noord";"516014"
"Neerijnen";"0304";"Omgevingsdienst Rivierenland";"237518"
"Nieuwegein";"0356";"RUD Utrecht";"751435"
"Nieuwkoop";"0569";"Omgevingsdienst West-Holland";"508393"
"Nijkerk";"0267";"Omgevingsdienst De Vallei";"254422"
"Nijmegen";"0268";"Omgevingsdienst Regio Nijmegen";"305727"
"Nissewaard";"1930";"DCMR Milieudienst Rijnmond";"1279414"
"Noord-Beveland";"1695";"RUD Zeeland";"380717"
"Noordenveld";"1699";"RUD Drenthe";"488611"
"Noordoostpolder";"0171";"Omgevingsdienst Flevoland & Gooi en Vechtstreek";"648043"
"Noordwijk";"0575";"Omgevingsdienst West-Holland";"508393"
"Noordwijkerhout";"0576";"Omgevingsdienst IJmond";"580267"
"Nuenen, Gerwen en Nederwetten";"0820";"Omgevingsdienst Zuidoost-Brabant";"752485"
"Nunspeet";"0302";"Omgevingsdienst Noord-Veluwe";"199237"
"Nuth";"0951";"RUD Zuid Limburg";"602040"
"Oegstgeest";"0579";"Omgevingsdienst West-Holland";"508393"
"Oirschot";"0823";"Omgevingsdienst Zuidoost-Brabant";"752485"
"Oisterwijk";"0824";"Omgevingsdienst Midden- en West-Brabant";"1091129"
"Oldambt";"1895";"Omgevingsdienst Groningen";"584104"
"Oldebroek";"0269";"Omgevingsdienst Noord-Veluwe";"199237"
"Oldenzaal";"0173";"RUD Twente";"626009"
"Olst-Wijhe";"1773";"RUD IJsselland";"514650"
"Ommen";"0175";"RUD IJsselland";"514650"
"Onderbanken";"0881";"RUD Zuid Limburg";"602040"
"Oost Gelre";"1586";"Omgevingsdienst Achterhoek";"377810"
"Oosterhout";"0826";"Omgevingsdienst Midden- en West-Brabant";"1091129"
"Ooststellingwerf";"0085";"Fryske Utfieringstsjinst Miljeu en Omjouwing";"646324"
"Oostzaan";"0431";"Omgevingsdienst IJmond";"580267"
"Opmeer";"0432";"RUD Noord-Holland Noord";"646991"
"Opsterland";"0086";"Fryske Utfieringstsjinst Miljeu en Omjouwing";"646324"
"Oss";"0828";"Omgevingsdienst Brabant Noord";"645711"
"Oud-Beijerland";"0584";"Omgevingsdienst Zuid-Holland-Zuid";"484986"
"Oude IJsselstreek";"1509";"Omgevingsdienst Achterhoek";"377810"
"Ouder-Amstel";"0437";"Omgevingsdienst Noordzeekanaalgebied";"1304419"
"Oudewater";"0589";"Omgevingsdienst Regio Utrecht";"512074"
"Overbetuwe";"1734";"Omgevingsdienst Regio Arnhem";"416502"
"Papendrecht";"0590";"Omgevingsdienst Zuid-Holland-Zuid";"484986"
"Peel en Maas";"1894";"RUD Limburg Noord";"516014"
"Pekela";"0765";"Omgevingsdienst Groningen";"584104"
"Pijnacker-Nootdorp";"1926";"Omgevingsdienst Haaglanden";"1087050"
"Purmerend";"0439";"Omgevingsdienst IJmond";"580267"
"Putten";"0273";"Omgevingsdienst Noord-Veluwe";"199237"
"Raalte";"0177";"RUD IJsselland";"514650"
"Reimerswaal";"0703";"RUD Zeeland";"380717"
"Renkum";"0274";"Omgevingsdienst Regio Arnhem";"416502"
"Renswoude";"0339";"Omgevingsdienst Regio Utrecht";"512074"
"Reusel-De Mierden";"1667";"Omgevingsdienst Zuidoost-Brabant";"752485"
"Rheden";"0275";"Omgevingsdienst Regio Arnhem";"416502"
"Rhenen";"0340";"Omgevingsdienst Regio Utrecht";"512074"
"Ridderkerk";"0597";"DCMR Milieudienst Rijnmond";"1279414"
"Rijnwaarden";"0196";"Omgevingsdienst Regio Arnhem";"416502"
"Rijssen-Holten";"1742";"RUD Twente";"626009"
"Rijswijk";"0603";"Omgevingsdienst Haaglanden";"1087050"
"Roerdalen";"1669";"RUD Limburg Noord";"516014"
"Roermond";"0957";"RUD Limburg Noord";"516014"
"Roosendaal";"1674";"Omgevingsdienst Midden- en West-Brabant";"1091129"
"Rotterdam";"0599";"DCMR Milieudienst Rijnmond";"1279414"
"Rozendaal";"0277";"Omgevingsdienst Regio Arnhem";"416502"
"Rucphen";"0840";"Omgevingsdienst Midden- en West-Brabant";"1091129"
"Schagen";"0441";"RUD Noord-Holland Noord";"646991"
"Scherpenzeel";"0279";"Omgevingsdienst De Vallei";"254422"
"Schiedam";"0606";"DCMR Milieudienst Rijnmond";"1279414"
"Schiermonnikoog";"0088";"Fryske Utfieringstsjinst Miljeu en Omjouwing";"646324"
"Schijndel";"0844";"Omgevingsdienst Brabant Noord";"645711"
"Schinnen";"0962";"RUD Zuid Limburg";"602040"
"Schouwen-Duiveland";"1676";"RUD Zeeland";"380717"
"Simpelveld";"0965";"RUD Zuid Limburg";"602040"
"Sint Anthonis";"1702";"Omgevingsdienst Brabant Noord";"645711"
"Sint-Michielsgestel";"0845";"Omgevingsdienst Brabant Noord";"645711"
"Sint-Oedenrode";"0846";"Omgevingsdienst Brabant Noord";"645711"
"Sittard-Geleen";"1883";"RUD Zuid Limburg";"602040"
"Sliedrecht";"0610";"Omgevingsdienst Zuid-Holland-Zuid";"484986"
"Slochteren";"0040";"Omgevingsdienst Groningen";"584104"
"Sluis";"1714";"RUD Zeeland";"380717"
"Smallingerland";"0090";"Fryske Utfieringstsjinst Miljeu en Omjouwing";"646324"
"Soest";"0342";"RUD Utrecht";"751435"
"Someren";"0847";"Omgevingsdienst Zuidoost-Brabant";"752485"
"Son en Breugel";"0848";"Omgevingsdienst Zuidoost-Brabant";"752485"
"Stadskanaal";"0037";"Omgevingsdienst Groningen";"584104"
"Staphorst";"0180";"RUD IJsselland";"514650"
"Stede Broec";"0532";"RUD Noord-Holland Noord";"646991"
"Steenbergen";"0851";"Omgevingsdienst Midden- en West-Brabant";"1091129"
"Steenwijkerland";"1708";"RUD IJsselland";"514650"
"Stein";"0971";"RUD Zuid Limburg";"602040"
"Stichtse Vecht";"1904";"Omgevingsdienst Regio Utrecht";"512074"
"Strijen";"0617";"Omgevingsdienst Zuid-Holland-Zuid";"484986"
"Súdwest Fryslân";"1900";"Fryske Utfieringstsjinst Miljeu en Omjouwing";"646324"
"Ten Boer";"0009";"Omgevingsdienst Groningen";"584104"
"Terneuzen";"0715";"RUD Zeeland";"380717"
"Terschelling";"0093";"Fryske Utfieringstsjinst Miljeu en Omjouwing";"646324"
"Texel";"0448";"RUD Noord-Holland Noord";"646991"
"Teylingen";"1525";"Omgevingsdienst West-Holland";"508393"
"Tholen";"0716";"RUD Zeeland";"380717"
"Tiel";"0281";"Omgevingsdienst Rivierenland";"237518"
"Tilburg";"0855";"Omgevingsdienst Midden- en West-Brabant";"1091129"
"Tubbergen";"0183";"RUD Twente";"626009"
"Twenterand";"1700";"RUD Twente";"626009"
"Tynaarlo";"1730";"RUD Drenthe";"488611"
"Tytsjerksteradiel";"0737";"Fryske Utfieringstsjinst Miljeu en Omjouwing";"646324"
"Uden";"0856";"Omgevingsdienst Brabant Noord";"645711"
"Uitgeest";"0450";"Omgevingsdienst IJmond";"580267"
"Uithoorn";"0451";"Omgevingsdienst Noordzeekanaalgebied";"1304419"
"Urk";"0184";"Omgevingsdienst Flevoland & Gooi en Vechtstreek";"648043"
"Utrecht";"0344";"RUD Utrecht";"751435"
"Utrechtse Heuvelrug";"1581";"Omgevingsdienst Regio Utrecht";"512074"
"Vaals";"0981";"RUD Zuid Limburg";"602040"
"Valkenburg aan de Geul";"0994";"RUD Zuid Limburg";"602040"
"Valkenswaard";"0858";"Omgevingsdienst Zuidoost-Brabant";"752485"
"Veendam";"0047";"Omgevingsdienst Groningen";"584104"
"Veenendaal";"0345";"Omgevingsdienst Regio Utrecht";"512074"
"Veere";"0717";"RUD Zeeland";"380717"
"Veghel";"0860";"Omgevingsdienst Brabant Noord";"645711"
"Veldhoven";"0861";"Omgevingsdienst Zuidoost-Brabant";"752485"
"Velsen";"0453";"Omgevingsdienst IJmond";"580267"
"Venlo";"0983";"RUD Limburg Noord";"516014"
"Venray";"0984";"RUD Limburg Noord";"516014"
"Vianen";"0620";"Omgevingsdienst Regio Utrecht";"512074"
"Vlaardingen";"0622";"DCMR Milieudienst Rijnmond";"1279414"
"Vlagtwedde";"0048";"Omgevingsdienst Groningen";"584104"
"Vlieland";"0096";"Fryske Utfieringstsjinst Miljeu en Omjouwing";"646324"
"Vlissingen";"0718";"RUD Zeeland";"380717"
"Voerendaal";"0986";"RUD Zuid Limburg";"602040"
"Voorschoten";"0626";"Omgevingsdienst Haaglanden";"1087050"
"Voorst";"0285";"Omgevingsdienst Veluwe IJssel";"235177"
"Vught";"0865";"Omgevingsdienst Brabant Noord";"645711"
"Waalre";"0866";"Omgevingsdienst Zuidoost-Brabant";"752485"
"Waalwijk";"0867";"Omgevingsdienst Midden- en West-Brabant";"1091129"
"Waddinxveen";"0627";"Omgevingsdienst Midden-Holland";"224887"
"Wageningen";"0289";"Omgevingsdienst De Vallei";"254422"
"Wassenaar";"0629";"Omgevingsdienst Haaglanden";"1087050"
"Waterland";"0852";"Omgevingsdienst IJmond";"580267"
"Weert";"0988";"RUD Limburg Noord";"516014"
"Weesp";"0457";"Omgevingsdienst Flevoland & Gooi en Vechtstreek";"648043"
"Werkendam";"0870";"Omgevingsdienst Midden- en West-Brabant";"1091129"
"West Maas en Waal";"0668";"Omgevingsdienst Rivierenland";"237518"
"Westerveld";"1701";"RUD Drenthe";"488611"
"Westervoort";"0293";"Omgevingsdienst Regio Arnhem";"416502"
"Westland";"1783";"Omgevingsdienst Haaglanden";"1087050"
"Weststellingwerf";"0098";"Fryske Utfieringstsjinst Miljeu en Omjouwing";"646324"
"Westvoorne";"0614";"DCMR Milieudienst Rijnmond";"1279414"
"Wierden";"0189";"RUD Twente";"626009"
"Wijchen";"0296";"Omgevingsdienst Regio Nijmegen";"305727"
"Wijdemeren";"1696";"Omgevingsdienst Flevoland & Gooi en Vechtstreek";"648043"
"Wijk bij Duurstede";"0352";"Omgevingsdienst Regio Utrecht";"512074"
"Winsum";"0053";"Omgevingsdienst Groningen";"584104"
"Winterswijk";"0294";"Omgevingsdienst Achterhoek";"377810"
"Woensdrecht";"0873";"Omgevingsdienst Midden- en West-Brabant";"1091129"
"Woerden";"0632";"Omgevingsdienst Regio Utrecht";"512074"
"Wormerland";"0880";"Omgevingsdienst IJmond";"580267"
"Woudenberg";"0351";"RUD Utrecht";"751435"
"Woudrichem";"0874";"Omgevingsdienst Midden- en West-Brabant";"1091129"
"Zaanstad";"0479";"Omgevingsdienst Noordzeekanaalgebied";"1304419"
"Zaltbommel";"0297";"Omgevingsdienst Rivierenland";"237518"
"Zandvoort";"0473";"Omgevingsdienst IJmond";"580267"
"Zederik";"0707";"Omgevingsdienst Zuid-Holland-Zuid";"484986"
"Zeewolde";"0050";"Omgevingsdienst Flevoland & Gooi en Vechtstreek";"648043"
"Zeist";"0355";"Omgevingsdienst Regio Utrecht";"512074"
"Zevenaar";"0299";"Omgevingsdienst Regio Arnhem";"416502"
"Zoetermeer";"0637";"Omgevingsdienst Haaglanden";"1087050"
"Zoeterwoude";"0638";"Omgevingsdienst West-Holland";"508393"
"Zuidhorn";"0056";"Omgevingsdienst Groningen";"584104"
"Zuidplas";"1892";"Omgevingsdienst Midden-Holland";"224887"
"Zundert";"0879";"Omgevingsdienst Midden- en West-Brabant";"1091129"
"Zutphen";"0301";"Omgevingsdienst Achterhoek";"377810"
"Zwartewaterland";"1896";"RUD IJsselland";"514650"
"Zwijndrecht";"0642";"Omgevingsdienst Zuid-Holland-Zuid";"484986"
"Zwolle";"0193";"RUD IJsselland";"514650"
