Deelnemer,Gemeenschappelijke regeling,Postcode,Plaats,Provincie
Onderbanken,Belastingsamenwerking Gemeenten en Waterschappen (BsGW),6040 KG,Roermond,Provincie Limburg
Peel en Maas,Belastingsamenwerking Gemeenten en Waterschappen (BsGW),6040 KG,Roermond,Provincie Limburg
Roerdalen,Belastingsamenwerking Gemeenten en Waterschappen (BsGW),6040 KG,Roermond,Provincie Limburg
Roermond,Belastingsamenwerking Gemeenten en Waterschappen (BsGW),6040 KG,Roermond,Provincie Limburg
Schinnen,Belastingsamenwerking Gemeenten en Waterschappen (BsGW),6040 KG,Roermond,Provincie Limburg
Simpelveld,Belastingsamenwerking Gemeenten en Waterschappen (BsGW),6040 KG,Roermond,Provincie Limburg
Sittard-Geleen,Belastingsamenwerking Gemeenten en Waterschappen (BsGW),6040 KG,Roermond,Provincie Limburg
Stein,Belastingsamenwerking Gemeenten en Waterschappen (BsGW),6040 KG,Roermond,Provincie Limburg
Vaals,Belastingsamenwerking Gemeenten en Waterschappen (BsGW),6040 KG,Roermond,Provincie Limburg
Valkenburg aan de Geul,Belastingsamenwerking Gemeenten en Waterschappen (BsGW),6040 KG,Roermond,Provincie Limburg
Venlo,Belastingsamenwerking Gemeenten en Waterschappen (BsGW),6040 KG,Roermond,Provincie Limburg
Voerendaal,Belastingsamenwerking Gemeenten en Waterschappen (BsGW),6040 KG,Roermond,Provincie Limburg
Waterschap Peel en Maasvallei,Belastingsamenwerking Gemeenten en Waterschappen (BsGW),6040 KG,Roermond,Provincie Limburg
Waterschap Roer en Overmaas,Belastingsamenwerking Gemeenten en Waterschappen (BsGW),6040 KG,Roermond,Provincie Limburg
Weert,Belastingsamenwerking Gemeenten en Waterschappen (BsGW),6040 KG,Roermond,Provincie Limburg
Boekel,Belastingsamenwerking Oost-Brabant (BSOB),5340 AD,Oss,Provincie Noord-Brabant
Deurne,Belastingsamenwerking Oost-Brabant (BSOB),5340 AD,Oss,Provincie Noord-Brabant
Oss,Belastingsamenwerking Oost-Brabant (BSOB),5340 AD,Oss,Provincie Noord-Brabant
Uden,Belastingsamenwerking Oost-Brabant (BSOB),5340 AD,Oss,Provincie Noord-Brabant
Veghel,Belastingsamenwerking Oost-Brabant (BSOB),5340 AD,Oss,Provincie Noord-Brabant
Waterschap Aa en Maas,Belastingsamenwerking Oost-Brabant (BSOB),5340 AD,Oss,Provincie Noord-Brabant
Culemborg,Belastingsamenwerking Rivierenland (BSR),4003 BX,Tiel,Provincie Gelderland
