"actorenId","actorenName","actorenComment"
"10648/72db48f3-daa6-4f7e-b066-47e5035f4365","Directoraat-Generaal Participatie en Inkomenswaarborg (SZW)","2009-2015"
"10648/80b3933d-84f9-41e4-82b7-051db2f6272a","Directoraat-Generaal Werk (SZW)","2009"
"10648/ff46694c-4a59-4961-96d8-46a3e7c3c7ed","Directie Coördinatie Auditbeleid Departementen (Financiën)","1993-2008"
"10648/e70656fa-4d72-485f-9b78-5f12b2fa866d","Auditdienst Rijk (Financiën)","2008"
"10648/97d07a06-a980-4230-b7ba-c452f37bddf8","Centrale Accountantsdienst (Financiën)","1975-1993"
"10648/1c5208de-fc72-4280-bc7a-e162999ab088","Auditdienst Financiën (Financiën)","2004-2008"
"10648/a29a3b03-139f-4030-a7d4-fc0ae853534d","Inspectie der Rijksfinanciën (Financiën)","1975"
"10648/5379e9e3-1f38-4b5e-b1dc-70dbedf169dd","Adviescollege Toetsing Administratieve Lasten (Financiën, EZ)","2000-2011"
"10648/ae167026-5c57-4173-84de-9e53c3e46aeb","Inspecteur-Generaal (SZW)","2010"
"10648/bebc981d-12cc-429c-b6b6-eade2af751d0","Directie Financiële Markten (Financiën)","1975"
"10648/ee57f141-d8fd-40bb-8672-a6a952291695","Platform Wijzer in Geldzaken (Financiën)","2006"
"10648/3cdd6323-be0a-409b-b259-d4a95f4a678e","Regiegroep Regeldruk (Financiën)","2007-2011"
"10648/b826a53c-6c9c-4ea4-95a3-c840b7092938","Stichting Exploitatie Nederlandse Staatsloterij (Financiën)","1992"
"10648/86f07a17-f907-473c-8114-e84d6b53e8d1","Directie Bestuursondersteuning (SZW)","2009"
"10648/261d3a4d-cbfb-4d2d-92c1-b01f4171ee3d","Centrale Afdeling Kabinets- en Administratieve Zaken (SZW)","1975-1987"
"10648/23b061f2-a68b-4d37-bd95-87274f1c3e7b","Stichting Holland Financial Centre (Financiën)","2007"
"10648/caf6430c-76e4-4259-9ba3-8758dfb81c46","Centrale Afdeling Gebouwen en Materiaal (SZW)","1975-1987"
"10648/d6299240-a9a4-4661-b6fc-69763680a307","Stichting Waarborgfonds Motorverkeer (Financiën)","1963"
"10648/5ee57066-8409-4caa-8a56-1dba526fb5e5","Rijksacademie voor Financiën en Economie en Bedrijfsvoering (Financiën)","2003"
"10648/f051c839-70cf-4023-beca-695b04d509ac","Directoraat-Generaal Uitvoeringsbeleid Werk en Inkomen (SZW)","2002-2003"
"10648/f74de66a-c729-43d0-8b7f-960f1c26f96b","Directoraat-Generaal Uitvoering, Handhaving en Bedrijfsvoering (SZW)","2009-2009"
"10648/ac5b01b1-7fdf-4256-ae9d-35b3d7cfbc84","Waarderingskamer (Financiën)","1995"
"10648/ff317b2b-82da-46c0-82cd-31d33304ff72","Voorlopige Waarderingskamer (Financiën)","1991-1995"
"10648/2bf125bc-5be2-49ca-aeee-3141bb363925","Stichting Afwikkeling Maror-gelden Overheid (Financiën)","2000"
"10648/d25d5816-64e5-4cff-92c6-bb1a4d84919b","Stichting Joods Humanitair Fonds (Financiën)","2000"
"10648/e6ab2a92-cf03-44e6-ab29-b2952e922fa8","Commissie Eindtermen Accountantsopleiding (Financiën)","2006"
"10648/6ef0c272-177b-49ee-9f1a-37b8430b632c","Agentschap van de Generale Thesaurie (Financiën)","1841"
"10648/b0239b45-22f9-4c2f-8889-4466ffb5cd8e","Directie Re-integratie en Participatie (SZW)","2009-2015"
"10648/b06c7e19-58eb-4277-b5da-8443484b7ae5","Autoriteit Financiële Markten (Financiën)","1989"
"10648/bd60dbc1-9b7c-4cc5-861e-7e667aba55c8","Directie Relatiebeheer, Uitvoeringsontwikkeling en Aansturing (SZW)","2009-2012"
"10648/4931df84-85f4-4cd4-8947-ecb7c354e3ca","Bureau Control en Managementondersteuning DGW (SZW)","2009"
"10648/a66f2e75-d45c-428c-a175-6715044f5e13","Directie Arbeidsmarkt en Sociaal-Economische Aangelegenheden (SZW)","1995"
"10648/75e89df4-02fd-41e9-855a-c8c07e9d15ab","Directie Arbeidsverhoudingen (SZW)","1975"
"10648/b3228cd4-ed75-4097-97c5-e18f60e38f77","Directie Gezond en Veilig Werken (SZW)","2009"
"10648/7cb07323-d4e8-492f-8183-ad795631b3d2","Directie Internationale Zaken (SZW)","1975"
"10648/6e73222c-a979-4fb1-9a9f-0bab69b4c59c","De Nederlandsche Bank (Financiën)","1814"
"10648/87be936f-55e4-4a86-8a9f-53a700011fe0","Directie Uitvoeringstaken Arbeidsvoorwaardenwetgeving (SZW)","2004"
"10648/809262e3-6336-4930-adf7-62752f389ede","Projectdirectie Leren en Werken SZW en OCW (OCW)","2005-2010"
"10648/107407fb-88b6-4b22-ac1e-96d865f9cbf1","Directie Algemene Financiële en Economische Politiek (Financiën)","1975"
"10648/ae5fd595-723d-43b3-bb3b-d448bd2ff6ff","Directie Buitenlandse Financiële Betrekkingen (Financiën)","1975"
"10648/3bb81096-7040-4bf1-8408-0d5e0339a916","Directie Financieringen (Financiën)","1975"
"10648/23f96f61-2d99-43c7-bedc-ff7b087aa463","Staatsloterij (Financiën)","1726-1992"
"10648/9059a477-914e-455c-aa1d-1f4b52f45747","Douane Landelijk Kantoor (Financiën)","2010"
"10648/470ee444-0499-4cff-aa54-14fc511dad16","Arbeidsinspectie (SZW)","1975-2010"
"10648/dd5c4a8d-94c6-47b9-8be3-2f6dbab3b908","Directie Arbeidsomstandigheden (SZW)","1994-2001"
"10648/243c53ca-7456-411a-8000-5a266155969a","Directie Arbeidsmarktfraude (SZW)","2003"
"10648/12e4df7c-5309-4c0f-aa15-9167f5786e37","Directie Major Hazard Control (SZW)","2003"
"10648/4dd61ff6-9273-4a43-8a74-36798633ff3d","Agentschap SZW (SZW)","2002"
"10648/8cb9ce85-1199-41a8-ba88-ec7ce92b910c","Inspectie Werk en Inkomen (SZW)","2002-2013"
"10648/20a96392-ba27-4899-9168-6fa7443c78c4","Sociale Inlichtingen en Opsporingsdienst (SZW)","2002-2010"
"10648/77ca6296-c387-48f3-ac36-eea60d7a7518","Interne Accountsantsdienst Belastingen (Financiën)","1987-2004"
"10648/e47fc9bf-f76b-45a8-99f3-45e94fc87b13","Departementale Accountantsdienst Financiën (Financiën)","1984-2004"
"10648/e7d8cd9c-db68-4018-9d36-4b5ef6377d4d","Commissie Beleggingsbeleid en Risicobeheer (SZW)","2009"
"10648/f0fe2894-e71c-4b78-a727-169be4eb103c","Commissie Toekomstbestendigheid Aanvullende Pensioenregelingen (SZW)","2009"
"10648/3485701a-c9a6-48ee-ba37-10f0028d2b51","Belastingdienst/Toeslagen (Financiën)","2004"
"10648/ee3c4570-0404-4dea-a4a5-4b6550d1d991","Directie Toezicht Gemeenten (SZW)","2002"
"10648/1532876c-acd8-4665-ae6a-84d06f49d317","Directie Toezicht Zelfstandige en Overige Bestuursorganen (SZW)","2004"
"10648/624e2f52-e9b3-4329-988a-3dd778f9d0fa","Cluster Uitvoeringsbeleid (Financiën)","2012"
"10648/06165fe5-4cc0-40c5-bb46-d416994d9db6","Cluster Fiscaliteit (Financiën)","2012"
"10648/59c477d0-e5b0-49ff-aef9-b7b11c06f803","Cluster Bedrijf (Financiën)","2012"
"10648/102f4926-a64c-4681-9ed3-04eb712bd5d5","Cluster Informatie Voorzieningen-beleid (Financiën)","2012"
"10648/0ae7cbc3-8941-4e8d-a22f-0a29e7eb125f","Team IV-Beleid (Financiën)","2010-2012"
"10648/69d99f46-c54a-406f-b03f-3bb3423b7206","Team Ondersteuning en Faciliteiten (Financiën)","2002-2010"
"10648/22a3a216-e9aa-45b1-b633-157130ba82b2","Team Bedrijfsvoering (Financiën)","2002-2012"
"10648/29269068-b23f-4700-8417-18537e35d4c8","Directoraat-Generaal Arbeidsmarktbeleid en Bijstand (SZW)","2002-2008"
"10648/b826bff6-454c-4b26-af18-f659a467b595","Team Ondersteuning Managementteam (Financiën)","2002-2012"
"10648/d85cd7c7-1872-409a-8b04-8a04068f91a8","Team Personeel (Financiën)","2002-2012"
"10648/16b6fc31-4c8a-4b6d-84df-8498fa5a6a06","Directie Arbeidsmarkt (SZW)","1975-2008"
"10648/8965d042-76bd-4389-bef1-8915fc2dd267","Team Juridische Zaken (Financiën)","2002-2012"
"10648/0ba6d070-8946-4271-9bdc-6c468bb3f48a","Directie Werk en Bijstand (SZW)","2004-2008"
"10648/fd241d35-b8ef-480d-8fb4-162adee87fa0","Directoraat-Generaal Arbeidsomstandigheden en Sociale Verzekeringen (SZW)","2002-2008"
"10648/2db9d9bc-7f26-4fde-9764-d3546d0c3c2f","Eenheid Integriteit en Compliance (Financiën)","2003-2007"
"10648/cfd6b600-4ac5-4a55-964c-84962bebdae9","Coördinatiepunt handhaving en vermindering administratieve lasten (SZW)","2002-2008"
"10648/c9af7278-f572-447f-bc2a-fe48a26fdba2","Sociale Verzekeringsbank (SZW)","1975"
"10648/ec0bd2e6-e18f-456f-ab23-20001d384950","Uitvoeringsinstituut Werknemersverzekeringen (SZW)","2002"
"10648/0915cd77-dc16-4d01-b4c9-09c737f36221","Stichting Het Inlichtingenbureau (SZW)","2001"
"10648/49d58a3d-aa31-4f25-8f84-ca742eb5bf41","Team Handhavingsbeleid (Financiën)","2002-2012"
"10648/d612a009-01be-4f55-a998-fc84c00d30dc","Team Cassatie (Financiën)","2002-2012"
"10648/fc1b7cd3-0265-4143-a183-68650cdb3d94","Team Ondernemingen (Financiën)","2002-2012"
"10648/ddad50ce-109a-415e-9f68-8a6ef25a591f","Team Internationaal (Financiën)","2002-2012"
"10648/d8cf29ca-0e4d-4636-9190-ba657f6e3a23","Team Particulieren en Formeel Recht (Financiën)","2002-2012"
"10648/e1603c54-ae3a-4ba8-a97a-a4909ce43f30","Directie Communicatie (Financiën)","2010"
"10648/3381fe2e-a3e0-41f3-bc9f-f0c1cee935d7","Directie Bedrijfsvoering (Financiën)","2010"
"10648/1524eff0-8a94-46dc-a8f3-caede5afdb24","Directie Bestuurlijke en Juridische Zaken (Financiën)","1975"
"10648/ba5e5d57-54c3-4161-9cd9-ba4688d0b8dd","Directie Financieel-Economische Zaken (Financiën)","1975"
"10648/530730a4-56a6-45e3-97dc-459e78bc048c","Bedrijfsbureau Centrale Directies (Financiën)","1991-2005"
"10648/84da7acc-b929-41a3-ae2b-4f32aa2a3bfc","Directie Bijstandszaken (CRM, SZW)","1975-2001"
"10648/89f2fda2-66e0-4e0a-b47b-bc1dcbfc2fea","Directie Sociale Verzekeringen (SZW)","1975-2008"
"10648/aa8d9605-bce8-4094-b0eb-d932a7456f6f","Centrale Directie Voorlichting (Financiën)","1975-2005"
"10648/5b5c3bd1-4d2a-434d-bb61-2a0e826d30db","Directoraat-Generaal voor Algemene Beleidsaangelegenheden (SZW)","1975-1994"
"10648/c2cd4a1a-ea4f-4161-afdf-609f274265a7","Directoraat-Generaal van de Arbeid (SZW)","1975-1994"
"10648/cd1212e4-bffc-4d5a-b984-e2ac204879c6","Directoraat-Generaal Sociale Zekerheid (SZW)","1975-1994"
"10648/613d41ab-b259-4799-bc48-62b5395f3970","Centrale Directie Algemeen Beheer (Financiën)","1975-1982"
"10648/92f29d57-9c0d-492f-a7f7-6ed30e09b269","Directoraat-Generaal Arbeidsvoorziening (SZW)","1975-1989"
"10648/d1e26b9a-3bb0-4113-867a-972309e4baa2","Directie Informatievoorziening en Algemene Zaken (Financiën)","1995-2005"
"10648/dbe0b472-d8a3-4bab-889b-54ed81deced9","Directie Personeel en Organisatie (Financiën)","1995-2005"
"10648/36d4fbe3-2df2-4e83-8a02-61b926f2be3c","Centrale Directie Personeel en Management (Financiën)","1988-1995"
"10648/34ee601c-6900-4148-892e-d88c55085394","Centrale Directie Personeel (Financiën)","1975-1988"
"10648/6322f802-027b-4cb3-8b4e-553cd900b328","Centrale Directie Organisatie (Financiën)","1983-1988"
"10648/5d3c5198-1276-4d4c-ba06-ee7ad5dca6f7","Stafbureau (SZW)","2009-2009"
"10648/18bb877d-d90e-48ec-8251-d17562e11809","Centrale Afdeling Algemene Zaken (Financiën)","1975-1983"
"10648/8b7fe148-d864-44a9-9ae6-a42de38485d1","Directoraat-Generaal Cultuur en Media (OCW)","2005"
"10648/02d0b561-6a6c-41c3-b7bb-e9133f0edfe0","Algemene Leiding (OCW)","1994"
"10648/2611d4a0-9f17-4549-b93a-9cae57f82b1e","Directoraat-Generaal Hoger Onderwijs, Beroepsonderwijs, Wetenschap en Emancipatie (OCW)","2009"
"10648/c01ef195-8744-4699-874c-434042d0401e","Bureau Inspecteur-Generaal  (SZW)","2004"
"10648/2cd7386a-8a5b-427e-ae6d-41d8a17f3198","Directoraat-Generaal Primair en Voortgezet Onderwijs (OCW)","2005"
"10648/458106e2-2006-45ed-b969-cca32931bc72","Ministerie van Volksgezondheid, Welzijn en Sport","1994"
"10648/ebb8adf8-c6b2-4412-9217-3f5398e30b20","Bureau Control en Managementondersteuning DGPI (SZW)","2009-2015"
"10648/1b023e9c-3084-403a-9fbe-556e19edcc7b","Programmaministerie voor Jeugd en Gezin","2007-2010"
"10648/4ab64617-46e4-430e-9f43-a48e817c6f0b","Algemene Leiding (VWS)","1994"
"10648/d6a05df6-8dda-490f-822e-6b8602b285f2","Directoraat-Generaal Arbeidsverhoudingen en Internationale Betrekkingen (SZW)","2002-2008"
"10648/f37ea60c-587f-4870-b316-3e2e1f297391","Nederlands Vaccin Instituut (VWS)","2003-2011"
"10648/0d6ad953-ad9a-43a1-9af0-1f99b896a93e","Rijksinstituut voor Volksgezondheid en Milieu (VWS)","2003"
"10648/161cd75b-b342-405d-8cba-397fee8d2866","Rijksinstituut voor Volksgezondheid en Milieu (VWS)","1984-2003"
"10648/b94abf63-a39e-4921-bacb-292e1e343233","Inspectie Jeugdzorg (WVC, VWS)","1988"
"10648/0eb9fb02-9c7d-43fe-8319-f5f134289dad","Inspectie voor de Gezondheidszorg (VWS)","1995"
"10648/5b55d3d2-4a02-400d-8357-3c6e5cb60e3e","Centraal Informatiepunt Beroepen Gezondheidszorg (VWS)","2001"
"10648/bf397f1f-b535-4d94-97ee-a9b0efbec026","Directie Algemene Economische Aangelegenheden (SZW)","1975-1980"
"10648/a67a6198-837a-46f3-a334-7c7e641ece2a","Directie Macro-Economische Aangelegenheden (SZW)","1981-1986"
"10648/9d25d3aa-2de3-4c5f-8484-31cf4cddc6e5","Directie Algemeen Economisch en Inkomensbeleid (SZW)","1987-1994"
"10648/97f1c38b-695b-436d-972d-047bcfeb9889","Directie Algemene Sociale Aangelegenheden (SZW)","1975-1980"
"10648/e9ff2ebe-b756-438d-8e70-6b6dcadf2c6a","Sociaal en Cultureel Planbureau (CRM, WVC, VWS)","1973"
"10648/303684b4-2534-436e-bee7-0e8696e25f91","Directoraat-Generaal Volksgezondheid (VWS)","2008"
"10648/4deffa24-d735-4103-993c-39b1e7d3e527","Directoraat-Generaal Jeugd en Maatschappelijke Zorg (VWS)","2008-2011"
"10648/d5ca9bee-e42f-4230-b73f-ce17bf0d55ce","Stichting Beheer Certificatieregeling Arbodiensten (SZW)","1998"
"10648/9e62df15-7d33-4d33-b744-4b1c0d6ba99b","Directie Bestuurlijke en Politieke Zaken (VWS)","2012"
"10648/1f3158ba-f9ac-495a-89bd-06e270b64e62","Directie Financieel-Economische Zaken (VWS)","1994"
"10648/3661a431-785b-472c-9be2-bda069b52d49","Stichting Beheer Certificatie Liften (SZW)","2002"
"10648/b4d50be6-383a-4c42-bc02-6e37f7e913f8","Stichting Beheer Certificatie van Deskundigen (SZW)","2008"
"10648/725ddaec-270f-4fcc-bcaa-b24c5cab1f9d","Stichting Beheer Certificering Vuurwerk en Explosieven (SZW)","2007"
"10648/04158fc4-df01-4c3a-96d8-3f70a5852387","Stichting Blik op Werk (SZW)","2006"
"10648/91ae7061-fbfb-41a3-ba88-ee80da3f4fc7","Stichting Centraal College van Deskundigen Drukapparatuur (SZW)","2005"
"10648/a6ad7465-fcdd-4e42-b155-e7f5f4ae9789","Stichting Certificatie Asbest (SZW)","2005"
"10648/0705649d-7406-49a6-bffa-2ef1b8493725","Stichting Persoonscertificatie Elektrotechniek (SZW)","1998"
"10648/2effbcf1-909b-4b03-adfc-1cbb771292e5","Stichting Stimulansz (SZW)","2000"
"10648/0c8fac2a-49e2-4135-9325-bd02150448bc","Stichting Toezicht Certificatie Verticaal Transport (SZW)","1999"
"10648/3379a2b9-6c7e-4744-879f-a7f6dc75a6b0","Stichting Werken onder Overdruk (SZW)","2008"
"10648/7d57f7c4-b781-4a16-8d82-61e444bdc7f4","Directie Wetgeving en Juridische Zaken (VWS)","1994"
"10648/a19a2077-c2b3-4097-a482-8e77fe6b66aa","Centrale Directie Organisatie en Informatievoorziening (Financiën)","1975-1983"
"10648/6ccc4dcf-0479-422e-9e9b-cffc5b8acd9c","Team ICT-Regie en Architectuur (Financiën)","2008-2012"
"10648/da0b1472-31fe-4a6b-a147-f9b37f716836","Team Innovatie en Ontwikkeling (Financiën)","2002-2012"
"10648/0648682a-1ec1-49bc-8b62-2dfe5d37db68","Directie Douane-aangelegenheden (Financiën)","1975-2000"
"10648/110d8ad9-23cd-4d30-9224-3c7bce2f7c74","Directie Rechtstoepassingsbeleid Belastingdienst (Financiën)","2000-2002"
"10648/0831fb15-7efc-4a4d-8dd4-bff47a878f4e","Directie Inkomensverzekeringen en –Voorzieningen (SZW)","2009-2015"
"10648/82466b72-f2a6-4c05-960e-41f8c2ab9929","Team Douane en Milieu (Financiën)","2002-2007"
"10648/9462c79f-5417-4f02-83a3-e192b9be3c8e","Directie Bedrijfsvoering en Beleid Klantbehandeling (Financiën)","2000-2002"
"10648/06fa70e6-f158-467f-b6a7-24a8e52ce7ed","Directie Personeels- en Arbeidsvoorwaardenbeleid Belastingdienst (Financiën)","2000-2002"
"10648/3a64d3e1-5d37-4234-8298-18f47e32036d","Directie Bestuursondersteuning Belastingdienst (Financiën)","2000-2002"
"10648/4629b759-4b35-492e-9c39-baae0700f0bb","Directie Directe Belastingen (Financiën)","1975-2000"
"10648/4dd16587-7f82-4d6b-a101-c0eab667021e","Directie Verbruiksbelastingen (Financiën)","1975-2000"
"10648/deb4658f-ddc3-4313-a2f1-c2cbb9d243c1","Directie Indirecte Belastingen (Financiën)","1975-1990"
"10648/6e986578-309b-43f8-8279-f5595baf3819","Directie Planning, Financiën en Control (Financiën)","1989-2000"
"10648/43294d8d-aa35-446e-b1de-a1468823efa8","Directie Algemene Fiscale Zaken (Financiën)","1979-2000"
"10648/651e71c2-3eaf-49b4-9e5e-63c832721fbe","Directie Personeel en Organisatie van de Belastingdienst (Financiën)","1990-2000"
"10648/074d3a2c-c14d-4687-8c79-f7b5e048fa4e","Directie Personeel van de Belastingdienst (Financiën)","1975-1990"
"10648/a348e727-45cd-4f48-94bb-90e237206575","Directie Organisatie van de Belastingdienst (Financiën)","1975-1989"
"10648/b76feae0-f1ad-46f2-b666-1682090d8ae4","Directie Algemene en Juridische Zaken van de Belastingdienst (Financiën)","1975-1979"
"10648/ecb1fc21-a929-49c5-b76e-c6caf5a99c65","Belastingdienst Landelijk Kantoor Belastingregio's (Financiën)","2010"
"10648/69c59176-0691-43e8-b633-7d68292b27f8","Directie Bijstand en Gemeentelijk Activeringsbeleid (SZW)","2002-2003"
"10648/1dd4e11a-def5-470d-bdaf-65efe9678d15","Afdeling Rijksbetalingsdienst (Financiën)","1975-1980"
"10648/33d82c92-9548-4e9a-aa2c-ec38eb419c7c","Bureau Controle Kostwinnersvergoeding (Financiën)","1975-1983"
"10648/47dfafa1-a2cb-4967-aa8a-d178d9d273ae","Secretariaat van de Commissie voor de Ontwikkeling van Beleidsanalyse (Financiën)","1971-1983"
"10648/30394e0e-1cee-4995-9db7-f165a854c80e","Rijksinkoopbureau (Financiën)","1921-1990"
"10648/a34eb5ad-14f4-4fda-af68-91ed19c1b54e","Douane (Financiën)","1975"
"10648/5942fca5-9357-4699-88e2-e9d07861275a","Buitenlandse Vertegenwoordiging (Financiën)","1975"
"10648/ba522d64-de96-4d33-9894-6615a1a6ea48","'s-Rijks Munt (Financiën)","1814-1994"
"10648/fa833720-d0b3-4dcf-b792-152b25ef97b8","Directie Financiën Publiekrechtelijke Lichamen (Financiën)","1953-2004"
"10648/fe8f0323-2959-42c2-858b-e35f62df18ed","Fiscale Inlichtingen- en Opsporingsdienst (Financiën)","1975"
"10648/41d1d359-1051-4292-b1f7-991e25dde247","Team Internationaal Belastingrecht (Financiën)","2010-2012"
"10648/b8e2b218-22b9-40f0-a425-f3141f04f623","Projectdirectie Eigentijds Werken (Financiën)","2001-2009"
"10648/742e520e-4a6d-4899-aeac-e54147cbd0eb","BelastingTelefoon (Financiën)","2005"
"10648/cce7a30b-c27c-4bb1-977e-03f78a1b99c4","Verzekeringskamer (Justitie, Financiën)","1923-1992"
"10648/c3e2e34c-7597-42e1-b546-d4b63a298fc2","Stichting Pensioen- en Verzekeringskamer (Financiën)","1992-2004"
"10648/5720641b-75aa-45d5-8791-981bac75f50a","Directie Exportkredietverzekering en Investeringsgaranties (Financiën)","1981"
"10648/b2395b8d-fe19-4d55-80cc-36a26e1eac0e","Bureau Schade-afwikkeling (Financiën)","1975-1997"
"10648/3c0ff97b-c75f-468a-a5a6-e8868114b704","Bureau Interbestuurlijke Verhoudingen en Communicatie (SZW)","2002-2008"
"10648/74325859-b700-4991-b2bb-9844f61dd83a","Ministerie van Cultuur, Recreatie en Maatschappelijk Werk","1965-1982"
"10648/3a3e0447-3c02-41fd-81dc-e2c7a04b430f","Directie Bouw (SZW)","2003-2008"
"10648/ca3ccea5-c067-4af8-ad9c-c0af5cc6ed55","Directie Dienstverlening (SZW)","2007-2008"
"10648/32a03ee4-349b-48ce-b875-3ab7fe7a12cd","Directie Industrie (SZW)","2003-2008"
"10648/4a7d922f-6431-4d47-95fa-34470bba1c10","Directie Inspectieondersteuning (SZW)","2003-2008"
"10648/afc2398a-58cf-4c9e-8ad7-fbd53505c980","Ministerie van Welzijn, Volksgezondheid en Cultuur","1982-1994"
"10648/b1d91d64-b82f-4453-9628-ea85c84c2358","Projectbureau Teamgericht Werken (SZW)","2004-2008"
"10648/657e9bff-6bd2-45b6-a1aa-6555e715f5d7","Ministerie van Volksgezondheid en Milieuhygiëne","1971-1982"
"10648/bfb429ac-4e93-48c7-8168-99ddb63536d9","Directie Publieke Dienstverlening (SZW)","2003-2006"
"10648/634298a1-cac4-4673-b2f1-c63c1dc70f87","Directie Commerciele Dienstverlening (SZW)","2004-2006"
"10648/235af5f4-6f8a-420b-8597-6d40232feafc","Projectdirectie Taskforce Jeugdwerkloosheid (SZW)","2004-2008"
"10648/ea055bac-4ede-4821-b2a8-77ae1d1a2be9","Directie Emancipatie (CRM, SZW, OCW)","1978"
"10648/32734bd7-3814-4341-b511-73fda3dba463","Directie Toezicht Algemeen (SZW)","2004-2006"
"10648/08766f89-1583-4621-8394-8ee99915eb77","Directoraat-Generaal Curatieve Zorg (VWS)","2008"
"10648/706c9076-1e9e-4785-a95b-f2f002b24e9c","Directoraat-Generaal Langdurige Zorg (VWS)","2008"
