collection_time,source_url,name,url_nationale_ombudsman
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,CBS (Centraal Bureau voor Statistiek),https://www.nationaleombudsman.nl/instanties/cbs-centraal-bureau-voor-statistiek
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Centraal College Farmacie,https://www.nationaleombudsman.nl/instanties/centraal-college-farmacie
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Centraal College Medische Specialismen (CCMS) van de KNMG,https://www.nationaleombudsman.nl/instanties/centraal-college-medische-specialismen-ccms-van-de-knmg
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Centraal College Tandheelkunde,https://www.nationaleombudsman.nl/instanties/centraal-college-tandheelkunde
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Centraal Fonds voor de Volkshuisvesting (CFV),https://www.nationaleombudsman.nl/instanties/centraal-fonds-voor-de-volkshuisvesting-cfv
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Centrale Commissie Mensgebonden Onderzoek (CCMO),https://www.nationaleombudsman.nl/instanties/centrale-commissie-mensgebonden-onderzoek-ccmo
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Centrale Commissie voor de Statistiek,https://www.nationaleombudsman.nl/instanties/centrale-commissie-voor-de-statistiek
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Centrale Landinrichtingscommissie,https://www.nationaleombudsman.nl/instanties/centrale-landinrichtingscommissie
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Centrale Raad van Beroep (CRvB) (alleen griffiepersoneel),https://www.nationaleombudsman.nl/instanties/centrale-raad-van-beroep-crvb-alleen-griffiepersoneel
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Centrale Verwerking Openbaar Ministerie (CVOM),https://www.nationaleombudsman.nl/instanties/centrale-verwerking-openbaar-ministerie-cvom
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Centrum voor Jeugd en Gezin,https://www.nationaleombudsman.nl/instanties/centrum-voor-jeugd-en-gezin
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,CIBG (Centraal Informatiepunt Beroepen Gezondheidszorg),https://www.nationaleombudsman.nl/instanties/cibg-centraal-informatiepunt-beroepen-gezondheidszorg
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,CIZ (Centrum Indicatiestelling Zorg),https://www.nationaleombudsman.nl/instanties/ciz-centrum-indicatiestelling-zorg
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,CJIB (Centraal Justitieel Incassobureau),https://www.nationaleombudsman.nl/instanties/cjib-centraal-justitieel-incassobureau
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,COA (Centraal orgaan opvang asielzoekers),https://www.nationaleombudsman.nl/instanties/coa-centraal-orgaan-opvang-asielzoekers
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Cocensus (gemeenschappelijke regeling),https://www.nationaleombudsman.nl/instanties/cocensus-gemeenschappelijke-regeling
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,College ter Beoordeling van Geneesmiddelen (CBG),https://www.nationaleombudsman.nl/instanties/college-ter-beoordeling-van-geneesmiddelen-cbg
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,College van Beroep voor het Bedrijfsleven (CBB) (alleen griffiepersoneel),https://www.nationaleombudsman.nl/instanties/college-van-beroep-voor-het-bedrijfsleven-cbb-alleen-griffiepersoneel
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,College van Huisartsgeneeskunde en Verpleeghuisgeneeskunde (CHV) van de KNMG,https://www.nationaleombudsman.nl/instanties/college-van-huisartsgeneeskunde-en-verpleeghuisgeneeskunde-chv-van-de-knmg
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,College van toezicht auteurs- en naburige rechten,https://www.nationaleombudsman.nl/instanties/college-van-toezicht-auteurs-en-naburige-rechten
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,College voor de toelating van gewasbeschermingsmiddelen,https://www.nationaleombudsman.nl/instanties/college-voor-de-toelating-van-gewasbeschermingsmiddelen
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,College voor Examens,https://www.nationaleombudsman.nl/instanties/college-voor-examens
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,College voor Sociale Geneeskunde (CSG) van de KNMG,https://www.nationaleombudsman.nl/instanties/college-voor-sociale-geneeskunde-csg-van-de-knmg
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Commissariaat voor de Media,https://www.nationaleombudsman.nl/instanties/commissariaat-voor-de-media
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Commissie Algemene Oorlogsongevallenregelingen (AOR/CAOR),https://www.nationaleombudsman.nl/instanties/commissie-algemene-oorlogsongevallenregelingen-aorcaor
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Commissie Beheer Landbouwgronden (CBL),https://www.nationaleombudsman.nl/instanties/commissie-beheer-landbouwgronden-cbl
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Commissie eindtermen accountantsopleiding,https://www.nationaleombudsman.nl/instanties/commissie-eindtermen-accountantsopleiding
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Commissie Integriteit Overheid,https://www.nationaleombudsman.nl/instanties/commissie-integriteit-overheid
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Commissie Milieuhygiëne Luchtvaartterrein Eelde,https://www.nationaleombudsman.nl/instanties/commissie-milieuhygiene-luchtvaartterrein-eeldenbsp
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Commissie regionaal overleg luchthaven Schiphol,https://www.nationaleombudsman.nl/instanties/commissie-regionaal-overleg-luchthaven-schiphol
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Commissie Sanering Ziekenhuisvoorzieningen,https://www.nationaleombudsman.nl/instanties/commissie-sanering-ziekenhuisvoorzieningen
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Commissie van beroep voor het examen van rij-instructeur,https://www.nationaleombudsman.nl/instanties/commissie-van-beroep-voor-het-examen-van-rij-instructeur
