"cbsId", "cbsName", "cbsComment"
"GM0074", "Heerenveen", "Gemeentelijke herindeling per 01-01-2014. <br>Begindatum 01-07-1934"
"GM0398", "Heerhugowaard", "Begindatum voor 1830"
"GM0917", "Heerlen", "Begindatum 02-01-1839"
"GM1658", "Heeze-Leende", "Ontstaan per 01-01-1997"
"GM0399", "Heiloo", "Begindatum voor 1830"
"GM0400", "Den Helder", "Begindatum voor 1830"
"GM0163", "Hellendoorn", "Begindatum voor 1830"
"GM0530", "Hellevoetsluis", "Begindatum voor 1830"
"GM0794", "Helmond", "Begindatum voor 1830"
"GM0531", "Hendrik-Ido-Ambacht", "Begindatum voor 1830"
"GM0164", "Hengelo (O.)", "Begindatum voor 1830"
"GM0796", "'s-Hertogenbosch", "Gemeentelijke herindeling per 01-01-2015. <br>Gemeentelijke herindeling per 01-01-1996. <br>Begindatum voor 1830"
"GM0252", "Heumen", "Begindatum voor 1830"
"GM0797", "Heusden", "Gemeentelijke herindeling per 01-01-1997. <br>Begindatum voor 1830"
"GM0534", "Hillegom", "Begindatum voor 1830"
"GM0798", "Hilvarenbeek", "Gemeentelijke herindeling per 01-01-1997. <br>Begindatum voor 1830"
"GM0402", "Hilversum", "Begindatum voor 1830"
"GM1735", "Hof van Twente", "Ontstaan per 01-01-2001"
"GM1911", "Hollands Kroon", "Ontstaan per 01-01-2012"
"GM0118", "Hoogeveen", "Begindatum voor 1830"
"GM0018", "Hoogezand-Sappemeer", "Ontstaan per 01-04-1949"
"GM0405", "Hoorn", "Begindatum voor 1830"
"GM1507", "Horst aan de Maas", "Gemeentelijke herindeling per 01-01-2010. <br>Ontstaan per 01-01-2001"
"GM0321", "Houten", "Begindatum voor 1830"
"GM0406", "Huizen", "Begindatum voor 1830"
"GM0677", "Hulst", "Gemeentelijke herindeling per 01-01-2003. <br>Begindatum voor 1830"
"GM0353", "IJsselstein", "Begindatum voor 1830"
"GM1884", "Kaag en Braassem", "Ontstaan per 01-01-2009"
"GM0166", "Kampen", "Gemeentelijke herindeling per 01-01-2001. <br>Begindatum voor 1830"
"GM0678", "Kapelle", "Begindatum voor 1830"
"GM0537", "Katwijk", "Gemeentelijke herindeling per 01-01-2006. <br>Begindatum voor 1830"
"GM0928", "Kerkrade", "Begindatum 02-01-1839"
"GM1598", "Koggenland", "Ontstaan per 01-01-2007"
"GM0079", "Kollumerland en Nieuwkruisland", "Begindatum voor 1830"
"GM0588", "Korendijk", "Ontstaan per 01-01-1984"
"GM0542", "Krimpen aan den IJssel", "Begindatum voor 1830"
"GM1659", "Laarbeek", "Ontstaan per 01-01-1997"
"GM1685", "Landerd", "Ontstaan per 01-01-1994"
"GM0882", "Landgraaf", "Ontstaan per 01-01-1982"
"GM0415", "Landsmeer", "Gemeentelijke herindeling per 01-01-1991. <br>Begindatum voor 1830"
"GM0416", "Langedijk", "Ontstaan per 01-08-1941"
"GM1621", "Lansingerland", "Ontstaan per 01-01-2007"
"GM0417", "Laren (NH.)", "Begindatum voor 1830"
"GM0022", "Leek", "Begindatum voor 1830"
"GM0545", "Leerdam", "Begindatum voor 1830"
"GM0080", "Leeuwarden", "Gemeentelijke herindeling per 01-01-2014. <br>Begindatum voor 1830"
"GM0081", "Leeuwarderadeel", "Begindatum voor 1830"
"GM0546", "Leiden", "Begindatum voor 1830"
"GM0547", "Leiderdorp", "Begindatum voor 1830"
"GM1916", "Leidschendam-Voorburg", "Ontstaan per 01-01-2002"
"GM0995", "Lelystad", "Ontstaan per 01-01-1980"
"GM0082", "Lemsterland", "Opgeheven per 01-01-2014. <br>Begindatum voor 1830"
"GM1640", "Leudal", "Ontstaan per 01-01-2007"
"GM0327", "Leusden", "Begindatum voor 1830"
"GM0694", "Liesveld", "Opgeheven per 01-01-2013. <br>Ontstaan per 01-01-1986"
"GM0733", "Lingewaal", "Naamswijziging per 03-01-1987"
"GM1705", "Lingewaard", "Naamswijziging per 01-01-2003"
"GM0553", "Lisse", "Begindatum voor 1830"
"GM0140", "Littenseradiel", "Naamswijziging per 26-01-1985"
"GM0262", "Lochem", "Gemeentelijke herindeling per 01-01-2005. <br>Begindatum voor 1830"
"GM0809", "Loon op Zand", "Begindatum voor 1830"
"GM0331", "Lopik", "Begindatum voor 1830"
"GM0024", "Loppersum", "Begindatum voor 1830"
"GM0168", "Losser", "Begindatum voor 1830"
"GM1671", "Maasdonk", "Opgeheven per 01-01-2015. <br>Ontstaan per 01-01-1993"
"GM0263", "Maasdriel", "Gemeentelijke herindeling per 01-01-1999. <br>Naamswijziging per 01-08-1944"
"GM1641", "Maasgouw", "Ontstaan per 01-01-2007"
"GM0556", "Maassluis", "Begindatum voor 1830"
"GM0935", "Maastricht", "Begindatum voor 1830"
"GM1663", "De Marne", "Naamswijziging per 01-01-1992"
"GM0025", "Marum", "Begindatum voor 1830"
"GM0420", "Medemblik", "Gemeentelijke herindeling per 01-01-2011. <br>Gemeentelijke herindeling per 01-01-2007. <br>Begindatum voor 1830"
"GM0938", "Meerssen", "Begindatum 02-01-1839"
"GM1908", "Menameradiel", "Naamswijziging per 01-01-2011"
"GM1987", "Menterwolde", "Naamswijziging per 01-02-1991"
