"cbsId","cbsIdCount","cbsName","cbsComment","cbsShort","cbsShortCount","cbsLong","cbsLongCount"
"PV21","7","Friesland (PV)","PV = Provincie. <br>. <br>Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.","","","",""
"PV22","7","Drenthe (PV)","PV = Provincie. <br>. <br>Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.","","","",""
"PV23","7","Overijssel (PV)","PV = Provincie. <br>. <br>Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.","","","",""
"PV24","7","Flevoland (PV)","PV = Provincie. <br>. <br>Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.","","","",""
"PV25","7","Gelderland (PV)","PV = Provincie. <br>. <br>Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.","","","",""
"PV26","7","Utrecht (PV)","PV = Provincie. <br>. <br>Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.","","","",""
"PV27","7","Noord-Holland (PV)","PV = Provincie. <br>. <br>Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.","","","",""
"PV28","7","Zuid-Holland (PV)","PV = Provincie. <br>. <br>Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.","","","",""
"PV29","7","Zeeland (PV)","PV = Provincie. <br>. <br>Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.","","","",""
"PV30","7","Noord-Brabant (PV)","PV = Provincie. <br>. <br>Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.","","","",""
"PV31","7","Limburg (PV)","PV = Provincie. <br>. <br>Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.","","","",""
"WS01","6","Waterschap Groot Salland","Waterschap Groot Salland","","","",""
"WS02","7","Waterschap Rijn en IJssel","Waterschap Rijn en IJssel","","","",""
"WS03","3","Waterschap Veluwe","Waterschap Veluwe","","","",""
"WS04","3","Waterschap Vallei En Eem","Waterschap Vallei En Eem","","","",""
"WS05","7","Hoogheemraadschap Amstel, Gooi en Vecht","Hoogheemraadschap Amstel, Gooi en Vecht","","","",""
"WS06","4","Waterschap Regge En Dinkel","Waterschap Regge En Dinkel","","","",""
"WS07","7","Hoogheemraadschap van Delfland","Hoogheemraadschap van Delfland","","","",""
"WS08","1","Waterschap Zeeuwsch Vlaanderen","Waterschap Zeeuwsch Vlaanderen","","","",""
"WS09","1","Waterschap Zeeuwse Eilanden","Waterschap Zeeuwse Eilanden","","","",""
"WS10","7","Waterschap De Dommel","Waterschap De Dommel","","","",""
"WS11","7","Waterschap Roer en Overmaas","Waterschap Roer en Overmaas","","","",""
"WS12","7","Hoogheemraadschap van Rijnland","Hoogheemraadschap van Rijnland","","","",""
"WS13","7","Waterschap Rivierenland","Waterschap Rivierenland","","","",""
"WS14","7","Hoogheemraadschap De Stichtse Rijnlanden","Hoogheemraadschap De Stichtse Rijnlanden","","","",""
"WS15","7","Waterschap Peel en Maasvallei","Waterschap Peel en Maasvallei","","","",""
"WS16","7","Waterschap Hunze en Aa's","Waterschap Hunze en Aa's","","","",""
"WS17","7","Waterschap Noorderzijlvest","Waterschap Noorderzijlvest","","","",""
"WS18","6","Waterschap Reest en Wieden","Waterschap Reest en Wieden","","","",""
"WS19","4","Waterschap Velt En Vecht","Waterschap Velt En Vecht","","","",""
"WS20","7","Waterschap Zuiderzeeland","Waterschap Zuiderzeeland","","","",""
"WS21","7","Hhs Hollands Noorderkwartier","Hoogheemraadschap Hollands Noorderkwartier.","","","",""
"WS22","7","Waterschap Brabantse Delta","Waterschap Brabantse Delta","","","",""
"WS23","7","Wetterskip Fryslân","Wetterskip Fryslân","","","",""
"WS24","7","Waterschap Aa en Maas","Waterschap Aa en Maas","","","",""
"WS25","7","Waterschap Hollandse Delta","Waterschap Hollandse Delta","","","",""
"WS26","7","Hhs van Schieland en Krimpenerwaard","Hoogheemraadschap van Schieland en Krimpenerwaard","","","",""
"WS27","6","Waterschap Scheldestromen","Waterschap Scheldestromen","","","",""
"WS28","4","Waterschap Vallei en Veluwe","Waterschap Vallei en Veluwe","","","",""
"WS29","3","Waterschap Vechtstromen","Waterschap Vechtstromen","","","",""
"GR0001","7","Stadsregio Amsterdam","Stadsregio Amsterdam","","","",""
"GR0005","7","Regio Twente","Regio Twente","","","",""
"GR0006","7","Gewest Gooi En Vechtstreek","Gewest Gooi En Vechtstreek","","","",""
"GR0010","5","Stadsgewest Haaglanden","Stadsgewest Haaglanden","","","",""
"GR0011","4","Intergem Samenwerkingsorgaan Midden Ho..","Intergem Samenwerkingsorgaan Midden Holland","","","",""
"GR0015","5","Stadsregio Rotterdam","Stadsregio Rotterdam","","","",""
"GR0022","6","Bestuur Regio Utrecht","Bestuur Regio Utrecht","","","",""
"GR0024","7","Regio Noord Veluwe","Regio Noord Veluwe","","","",""
"GR0026","6","Regio Rivierenland","Regio Rivierenland","","","",""
"GR0028","6","Servicebureau Gemeenten","Servicebureau Gemeenten","","","",""
"GR0030","7","Regio Zuid-Holland Zuid","Regio Zuid-Holland Zuid","","","",""
"GR0039","6","Samenwerkingsverband Regio Eindhoven","Samenwerkingsverband Regio Eindhoven","","","",""
"GR0233","7","WEDEKA","WEDEKA","","","",""
"GR0234","7","Synergon","Synergon","","","",""
"GR0240","7","Alescon","Alescon","","","",""
"GR0241","7","Werkvoorzieningsschap Reestmond","Werkvoorzieningsschap Reestmond","","","",""
"GR0245","7","GR Sociaal Werkleerbedrijf Midden Twente","GR Sociaal Werkleerbedrijf Midden Twente","","","",""
"GR0249","6","Werkvoorziening Zwolle Eo","Werkvoorziening Zwolle Eo","","","",""
"GR0250","7","Hamelandgroep","Hamelandgroep","","","",""
"GR0251","7","Presikhaaf Bedrijven","Presikhaaf Bedrijven","","","",""
"GR0252","6","Lander","Lander","","","",""
"GR0253","7","Felua Groep","Felua Groep","","","",""
"GR0254","7","Permar","Permar","","","",""
"GR0255","7","Werkvoorzieningsschap De Oude IJsselst..","Werkvoorzieningsschap De Oude IJsselst..","","","",""
"GR0256","6","Werkvoorzieningsschap Nijmegen Eo (Bre..","Werkvoorzieningsschap Nijmegen Eo (Breed)","","","",""
"GR0257","7","Delta","Delta","","","",""
"GR0258","7","Rwa Bedrijven","Rwa Bedrijven","","","",""
"GR0262","7","Tomingroep","Tomingroep","","","",""
"GR0263","7","Wnk Bedrijven","Wnk Bedrijven","","","",""
"GR0266","5","Op/Maat","Op/Maat","","","",""
"GR0267","7","Werkvoorzieningsschap Zuid- Kennemerland","Werkvoorzieningsschap Zuid- Kennemerland","","","",""
"GR0273","7","Dienst Sociale Werkvoorziening Rijswij..","Dienst Sociale Werkvoorziening Rijswijk E O","","","",""
"GR0281","3","Léte","Léte","","","",""
"GR0282","7","Sociaal Werkvoorzieningsschap Dethon","Sociaal Werkvoorzieningsschap Dethon","","","",""
"GR0283","3","Werkbedrijf Midden-Langstraat","Werkbedrijf Midden-Langstraat","","","",""
"GR0284","7","Wvs groep","Wvs groep","","","",""
"GR0287","7","Werkvoorzieningsschap Noord Limburg West","Werkvoorzieningsschap Noord Limburg West","","","",""
"GR0292","7","Werkvoorzieningschap De Dommel  (WSD)","Werkvoorzieningschap De Dommel  (WSD)","","","",""
"GR0293","7","Emco-Groep","Emco-Groep","","","",""
"GR0296","7","Sociale Werkvoorziening Fryslan","Sociale Werkvoorziening Fryslan","","","",""
"GR0298","7","Drechtwerk","Drechtwerk","","","",""
"GR0299","7","Regeling WVK-groep","Regeling WVK-groep","","","",""
"GR0316","7","Afvalbeheer Regio Centraal Groningen","Afvalbeheer Regio Centraal Groningen","","","",""
"GR0328","7","Openbaar Lichaam Afvalstoffenverwijder..","Openbaar Lichaam Afvalstoffenverwijdering","","","",""
"GR0329","7","Afvalverwijdering Utrecht","Afvalverwijdering Utrecht","","","",""
