collection_time,source_url,organisatienaam,oin,afgifte_datum
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeente Aalburg,00000001002008038000,20-06-2014
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeente Aalsmeer,00000001001900675000,30-07-2012
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeente Aalten,00000001813584784000,14-06-2013
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeente Achtkarspelen,00000001001949251000,10-05-2010
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeente Alblasserdam,00000001001918412000,21-10-2009
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeente Albrandswaard,00000001006825515000,20-08-2010
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeente Alkmaar,00000001001721926000,17-11-2010
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeente Almelo,00000001001584108000,13-02-2014
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeente Almere,00000001006462583000,23-04-2010
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeente Alphen aan den Rijn,00000001001490394000,06-02-2014
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeente Alphen-Chaam,00000001805640101000,03-10-2011
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeente Ameland,00000001002017441000,22-10-2013
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeente Amersfoort,00000001002508369000,19-08-2011
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeente Amstelveen,00000001001900663000,24-12-2010
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeente Amsterdam,00000001002564440000,29-10-2009
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeente Apeldoorn,00000001001299918000,29-06-2010
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeente Appingedam,00000001001220469000,08-06-2012
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeente Arnhem,00000001001825112000,19-07-2010
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeente Assen,00000001001587936000,14-09-2010
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeente Asten,00000001001600230000,10-07-2013
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeente Baarle Nassau,00000001001172657000,16-10-2013
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Baarn,00000001001739657000,18-10-2012
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Barendrecht,00000001001876946000,18-06-2010
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Barneveld,00000001001831112000,07-05-2010
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Bedum,00000001001608204000,10-07-2013
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Beek,00000001001732304000,18-05-2011
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Beemster,00000001001801284000,29-04-2014
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Beesel,00000001001567548000,13-09-2011
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Bellingwedde,00000001001086017000,01-09-2010
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Berg en Dal,00000001001479209000,30-10-2013
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Bergeijk,00000001001902611000,08-11-2011
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Bergen (L),00000001001681047000,23-02-2011
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Bergen (NH),00000001809584803000,06-11-2013
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Bergen op Zoom,00000001001725038000,07-10-2010
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Berkelland,00000001813585922000,11-08-2014
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Bernheze,00000001001160771000,04-04-2012
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Best,00000001001902623000,04-03-2010
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Beuningen,00000001001094920000,04-06-2013
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Beverwijk,00000001001999266000,14-03-2014
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Binnenmaas,00000001816963216000,01-03-2013
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Bladel,00000001001902659000,28-10-2011
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Blaricum,00000001002794056000,18-01-2011
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Bloemendaal,00000001001509822000,19-09-2013
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Bodegraven-Reeuwijk,00000001823181522000,17-06-2013
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Boekel,00000001001160710000,16-05-2012
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Borger-Odoorn,00000001002119687000,18-06-2012
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Borne,00000001001888468000,13-09-2010
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Borsele,00000001001598752000,25-11-2009
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Boxmeer,00000001806385297000,10-12-2013
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Boxtel,00000001001708958000,05-02-2013
06/09/2016 23:06:58,https://register.digikoppeling.nl/overview/index?searchText=&offset=120&max=30&sort=sortName&order=asc,Gemeente Breda,00000001001336071000,29-12-2008
06/09/2016 23:07:01,https://register.digikoppeling.nl/overview/index?searchText=&offset=150&max=30&sort=sortName&order=asc,Gemeente Brielle,00000001001911193000,17-07-2014
06/09/2016 23:07:01,https://register.digikoppeling.nl/overview/index?searchText=&offset=150&max=30&sort=sortName&order=asc,Gemeente Bronckhorst,00000001813647290000,30-05-2011
06/09/2016 23:07:01,https://register.digikoppeling.nl/overview/index?searchText=&offset=150&max=30&sort=sortName&order=asc,Gemeente Brummen,00000001001046561000,02-01-2013
06/09/2016 23:07:01,https://register.digikoppeling.nl/overview/index?searchText=&offset=150&max=30&sort=sortName&order=asc,Gemeente Brunssum,00000001001733035000,03-01-2014
