gemeente,provincie,stand op 01/01/2016,taakstelling 1e helft 2016,taakstelling 1e helft 2016 inclusief voor/achter,realisatie januari 2016,realisatie februari 2016,realisatie maart 2016,realisatie april 2016,realisatie mei 2016,realisatie juni 2016,realisatie tot 1 juli 2016,achter/voor realisatie tot juli 2016,achterstand tot 1 juli 2016,voorsprong realisatie tot 1 juli 2016
De Ronde Venen,Provincie Utrecht,-1,51,50,10,6,10,6,5,3,40,10,10,
Eemnes,Provincie Utrecht,3,11,14,0,0,0,1,0,0,1,13,13,
Houten,Provincie Utrecht,12,58,70,7,7,6,1,11,21,53,17,17,
IJsselstein,Provincie Utrecht,6,40,46,3,5,-1,16,0,6,29,17,17,
Leusden,Provincie Utrecht,10,35,45,12,1,2,10,2,7,34,11,11,
Lopik,Provincie Utrecht,-8,17,9,6,0,2,0,0,0,8,1,1,
Montfoort,Provincie Utrecht,1,17,18,0,5,2,1,0,1,9,9,9,
Nieuwegein,Provincie Utrecht,7,72,79,14,0,33,30,2,26,105,-26,,-26
Oudewater,Provincie Utrecht,4,12,16,5,0,1,1,5,1,13,3,3,
Renswoude,Provincie Utrecht,1,6,7,0,4,0,0,1,0,5,2,2,
Rhenen,Provincie Utrecht,-3,23,20,0,6,1,4,3,2,16,4,4,
Soest,Provincie Utrecht,10,54,64,14,15,2,1,7,2,41,23,23,
Stichtse Vecht,Provincie Utrecht,37,76,113,13,23,16,16,16,7,91,22,22,
Utrecht,Provincie Utrecht,13,393,406,71,45,33,41,51,47,288,118,118,
