Datum aanvraag,Consent nummer,Aantal,Goederen omschrijving,land van herkomst,land van bestemming (**),Ad-hoc J/N (***),VP/AN (****),Vervoermiddel,Plaats van uitgang
02/03/2005,25387899,100,Oefengranaten,VS,Israël,N,,Vliegtuig,Schiphol
02/04/2005,25422775,240000,Kogelpatronen in diverse kalibers,Tsjechië,Jordanië,N,,Auto/vliegtuig,Maastricht
02/10/2005,25463005,39900,"Patronen kal. 5,7x28",VS,Israël,N,,Vliegtuig,Schiphol
02/10/2005,melding,24,Accu's voor MIG vliegtuigen,Rusland,Eritrea,,AN,Vliegtuig,Schiphol
02/14/2005,25471962,768000,Jachtpatronen,Spanje,VS,N,,Schip,Rotterdam
02/14/2005,25471830,1225,Semi-automatische kogelgeweren,Portugal,VS,N,,Schip,Rotterdam
02/14/2005,25466772,1000,Patronen met explosieve lading,VK,Brunei,N,,Schip,Rotterdam
02/15/2005,25476417,3,2 machinegeweren + delen / toebehoren,Duitsland,VK,N,,Auto/schip,Rotterdam
02/15/2005,25476425,1,Zending delen / toebehoren,Duitsland,VK,N,,Auto/schip,Rotterdam
02/15/2005,25476395,4,Pistolen,België,VK,N,,Auto/vliegtuig,Schiphol
02/15/2005,25476697,2350,Training patronen,Duitsland,VK,N,,Auto/schip,Rotterdam
02/16/2005,25473302,12500000,Slaghoedjes,VS,Israël,N,,Vliegtuig,Schiphol
02/17/2005,25480872,10000,Slaghoedjes,VS,Israël,N,,Vliegtuig,Schiphol
02/18/2005,25480856,60,"20 pistolen kal. 5.7mm, 40 magazijnen",VS,België,N,,Schip/auto,Rotterdam
02/18/2005,melding,77,Pantservoertuigen,Luxemburg,Egypte,N,,Schip,Rotterdam
02/22/2005,25487141,11600,kg.D2 nitrocellulose,Zwitserland,VK,N,,Truck/schip,Rotterdam
02/22/2005,25487133,2350,Training patronen,Duitsland,VK,N,,Truck/schip,Rotterdam
02/22/2005,25491971,432000,Jachtpatronen,Spanje,VS,N,,Schip,Rotterdam
02/22/2005,25491866,408000,Jachtpatronen,Spanje,VS,N,,Schip,Rotterdam
02/22/2005,25491963,478000,Jachtpatronen,Spanje,VS,N,,Schip,Rotterdam
02/23/2005,25496183,264,Kogelgeweren,VS,Spanje,N,,Schip,Rotterdam
02/25/2005,25502035,439750,Jachtpatronen,Spanje,VS,N,,Schip,Rotterdam
02/25/2005,25504534,400,"Granaatwerpers, delen / toebehoren vuurwapens",Duitsland,VK,N,,Auto/schip,Rotterdam
02/25/2005,25504526,2,"Pistoolmitrailleurs, zending delen / toebehoren vuurwapens",Duitsland,VK,N,,Auto/schip,Rotterdam
03/02/2005,25513436,1250000,Slaghoedjes,VS,Israël,N,,Vliegtuig,Schiphol
03/02/2005,25513428,3013,Ontstekers voor 108mm tankmunitie,VS,Israël,N,,Vliegtuig,Schiphol
03/03/2005,25515315,10,Oefenmijnen,Italië,VK,N,,Auto/schip,Rotterdam
03/04/2005,25522109,250200,"Patronen kal. 5,56 Ball",VK,Duitsland,N,,Auto,Rotterdam
03/04/2005,25522125,64,Patronen kal. 155 mm,VK,Duitsland,N,,Auto,Rotterdam
03/08/2005,25522613,8332,"Geweergranaten kal. 5,56mm",België,Griekenland,N,,Auto,Rotterdam
03/08/2005,25528158,2096,Ontstekers,VS,België,N,,Vliegtuig/auto,Schiphol
03/09/2005,25530853,2350,Munitie,Duitsland,VK,N,,Vrachtauto/schip,Rotterdam
03/10/2005,25530403,8750000,Slaghoedjes,VS,Israël,N,,Vliegtuig,Schiphol
03/10/2005,25531477,1,Zending munitie,VS,België,N,,Schip,Rotterdam
03/10/2005,25531469,1,Zending munitie,VS,België,N,,Schip,Rotterdam
03/10/2005,25533585,4,Motoren voor geleideraket,VS,Israël,N,,Vliegtuig,Schiphol
03/11/2005,25534506,5000000,Slaghoedjes,VS,Israël,N,,Vliegtuig,Schiphol
03/14/2005,25539737,253,"150 machinepistolen, 103 lopen + toebehoren",Duitsland,VK,N,,Auto/schip,Rotterdam
03/15/2005,25542282,1122000,Munitie,Brazilië,Spanje,N,,Schip,Rotterdam
03/15/2005,25542266,500,Patronen kal. 37mm,VK,Duitsland,N,,Auto,Rotterdam
03/15/2005,25542258,1,"Machinegeweer kal. 7,62mm",VK,Duitsland,N,,Auto,Rotterdam
03/16/2005,25546067,350000,Slaghoedjes,VS,Israël,N,,Vliegtuig,Schiphol
03/16/2005,25545966,20,Patronen,VS,Israël,N,,Vliegtuig,Schiphol
03/16/2005,melding,8,MIG-29 motoren,Rusland,Maleisië v.v.,N,,Vliegtuig,Schiphol
03/17/2005,25545974,249000,Patronen ,VS,Portugal,N,,Schip,Rotterdam
03/17/2005,25550234,45,Kogelgeweren,VS,België,N,,Schip,Rotterdam
03/17/2005,25550226,40600,Kogelpatronen,VS,België,N,,Schip,Rotterdam
03/17/2005,25550218,804,Onstekers,VS,België,N,,Vliegtuig,Schiphol
03/18/2005,25550242,47,Automatische kogelgeweren + delen,Duitsland,VK,N,,Auto,Rotterdam
03/18/2005,25553357,2000,Oorlogskoppen (rockets with burster),België,Zuid-Afrika,N,,Auto/schip,Rotterdam
03/18/2005,25553365,2076,"2038 Motoren voor geleideraket, 38 oorlogskoppen",België,Zuid-Afrika,N,,Auto/schip,Rotterdam
03/18/2005,25553373,4000,Ontstekers,Zuid-Afrika,Denemarken,N,,Auto,Bad Bentheim
03/22/2005,25555899,210000,Jachtpatronen,Spanje,Japan,N,,Schip,Rotterdam
03/22/2005,25550692,1,Zending delen / toebehoren van diverse geweren en pistolen,België,Australië,N,,Schip,Rotterdam
03/22/2005,25557948,504000,"Patronen kal. 7,62mm",België,Australië,N,,Schip,Rotterdam
03/22/2005,25557956,504000,"Patronen kal. 7,62mm",België,Australië,N,,Schip,Rotterdam
03/22/2005,25558065,504000,"Patronen kal. 7,62mm",België,Australië,N,,Schip,Rotterdam
03/22/2005,25557964,504000,"Patronen kal. 7,62mm",België,Australië,N,,Schip,Rotterdam
03/22/2005,25557913,10,Patronen,VS,Denemarken,N,,Schip/auto,Vlissingen
03/24/2005,25562720,86800,Patronen,VS,België,N,,Schip,Rotterdam
03/24/2005,25562860,15000,Overdrachtsladingen,Zwitserland,VK,N,,Auto/schip,Rotterdam
03/24/2005,25562909,1000,"Patronen (12,7x99Nato)",Israël,Zweden,N,,Vliegtuig/schip,Schiphol
03/25/2005,25566033,210000,Jachtpatronen,Spanje,Japan,N,,Schip,Rotterdam
03/29/2005,25566041,430010,Hagel-/kogelpatronen,Tsjechië,Jordanië,N,,Auto/vliegtuig,Maastricht
03/30/2005,25567951,140,Patronen kal. .50,Israël,VS,N,,Vliegtuig,Schiphol
03/30/2005,25570081,420,Pistolen + delen / toebehoren,Israël,Guatemala,J,AN,Schip,Rotterdam
03/30/2005,25570073,600,Pistolen + delen / toebehoren,Israël,Guatemala,J,AN,Schip,Rotterdam
03/30/2005,25567811,11600,kg. Nitrocellulose,Zwitserland,VK,N,,Auto/schip,Rotterdam
03/30/2005,25569954,4850,"2350 munitie, 2500 delen van munitie",Duitsland,VK,N,,Auto/schip,Rotterdam
04/07/2004,25583027,5400,Ontstekers,VS,Israël,N,,Vliegtuig,Schiphol
04/07/2005,25588304,2350,Munitie,Duitsland,VK,N,,Vrachtauto/schip,Rotterdam
04/07/2005,25570065,451,Granaatwerpers,Duitsland,VK,N,,Vrachtauto,Rotterdam
04/12/2005,melding,12,"4 Granaatwerpers, 8 mitrailleurs",Singapore,Nigeria,J,AN,Vliegtuig,Schiphol
04/15/2005,25597206,1,Kogelgeweer kal. .300,VS,Zuid-Afrika v.v.,N,,Vliegtuig,Schiphol
04/15/2005,25605489,187,Kogelgeweren,Portugal,Duitsland,N,,Schip,Rotterdam
04/20/2005,25611772,2565000,Slaghoedjes,VS,Israël,N,,Vliegtuig,Schiphol
04/20/2005,25613309,1,Kogelgeweer kal. .375 + 40 patronen kal. .375,VS,Zuid-Afrika v.v.,N,,Vliegtuig,Schiphol
04/21/2005,25610660,2,Kogelgeweren kal. .30-06 en kal. .300,VS,Zuid-Afrika v.v.,N,,Vliegtuig,Schiphol
04/25/2005,25620305,456000,Jachtpatronen,Spanje,VS,N,,Schip,Rotterdam
04/25/2005,25620275,480000,Jachtpatronen,Spanje,VS,N,,Schip,Rotterdam
04/25/2005,25620283,1005000,"480.000 Jachtpatronen, 525.000 slaghoedjes",Spanje,VS,N,,Schip,Rotterdam
04/25/2005,25620291,452000,Jachtpatronen,Spanje,VS,N,,Schip,Rotterdam
04/26/2005,25613287,360300,"360.000 Patronen, 300 kogelgeweren 36 crts",VS,Frankrijk,N,,Schip,Rotterdam
04/26/2005,25625781,400,Ontstekers,VS,Israël,N,,Vliegtuig,Schiphol
04/27/2005,melding,25,2 Afwerpbare tanks voor MIG29 + 23 delen,Rusland,Maleisië,N,,Vliegtuig,Schiphol
04/27/2005,25627377,200,Electrische ontstekers,VS,België,N,,Vliegtuig/auto,Schiphol
04/27/2005,25627482,135000,Centraalvuurpatronen kal. .17 tot kal. .458,VS,Spanje,N,,Schip,Rotterdam
04/27/2005,25627415,118,"80 Pistoolmitr., 36 aut.geweren, 2 granaatwerpers, toebeh.",Duitsland,VK,N,,Auto,Rotterdam
04/28/2005,25628136,3000,Kogelgeweren kal. .308 Win,Zwitserland,VS,N,,Schip,Rotterdam
04/28/2005,25629698,38,Ontstekers,VS,Frankrijk,N,,Schip/auto,Rotterdam
04/28/2005,25631056,3000000,Slaghoedjes,VS,Israël,N,,Vliegtuig,Schiphol
04/29/2005,25632877,1000,200 Ontstekers en 800m veiligheidskoord,VK,Irak,N,,Schip/auto,Rotterdam
05/02/2005,25632893,5000,"Kogelgeweren kal. 7,62x39mm",Tsjechië,VS,N,,Schip,Rotterdam
05/04/2005,25638026,280,Pistolen kal. 9 mm + onderdelen,België,Australië,N,,Auto/schip,Rotterdam
05/09/2005,melding,2,"Helikopters in delen Mi-17, retour na reparatie",Rusland,Colombia,J,VP,Schip/auto/schip,Moerdijk
05/09/2005,25632869,8850,Rookgranaten,VS,Israël,N,,Vliegtuig,Schiphol
05/10/2005,25644085,2,Kogelgeweren,Canada,Noorwegen,N,,Vliegtuig,Schiphol
05/11/2005,25642619,3000,kg. Nitrocellulose,Zwitserland,VK,N,,Auto/feeder,Rotterdam
05/12/2005,25647319,797,Kogelgeweren,Portugal,VS,N,,Schip,Rotterdam
05/12/2005,25647300,190,Pistolen kal. 9mm,Portugal,VS,N,,Schp,Rotterdam
05/13/2005,25651367,1473000,"423.000 Jachtpatronen, 1.050.000 slaghoedjes",Spanje,VS,N,,Schip,Rotterdam
05/13/2005,25652754,2350,Patronen,Duitsland,VK,N,,Auto/feeder,Rotterdam
05/18/2005,25655931,865000,Slaghoedjes,VS,Israël,N,,Vliegtuig,Schiphol
05/18/2005,25651782,693125,Slaghoedjes,VS,Israël,N,,Vliegtuig,Schiphol
05/18/2005,25651774,1400000,Slaghoedjes,VS,Israël,N,,Vliegtuig,Schiphol
05/18/2005,25653009,50000,"Patronen kal. 5,7x28",België,Turkije,N,,Vliegtuig,Maastricht
05/19/2005,25657659,150000,"Kogelpatronen kal. 7,62x51mm",Rusland,Portugal,N,,Schip,Rotterdam
05/19/2005,25657616,2,Kogelgeweren kal. .470,Zuid-Afrika,België,N,,Vliegtuig,Schiphol
05/19/2005,25657594,350000,"Kogelpatronen kal. 7,62 mm",VK,Duitsland,N,,Auto/schip,Rotterdam
05/23/2005,25667069,75,"1 Pist.mitrailleur, 37 receivers SA, 37 receivers compl.",VK,Duitsland,N,,Auto/schip,Rotterdam
05/23/2005,25667204,734,"727 Granaatwerpers, 7 pistoolmitrailleurs",Duitsland,VK,N,,Auto/schip,Rotterdam
05/24/2005,25672135,1,Kogelgeweer,VS,Zimbabwe,N,,Vliegtuig,Schiphol
05/24/2005,25672151,1,Kogelgeweer,Zimbabwe,VS,N,,Vliegtuig,Schiphol
05/24/2005,25672127,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
05/24/2005,25672143,1,Kogelgeweer,Tanzania,VS,N,,Vliegtuig,Schiphol
05/24/2005,25668669,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig ,Schiphol
05/25/2005,25668537,26,"1 Machinegeweer, 10 granaatwerpers, 15 machinepistolen",VK,Duitsland,N,,Auto/schip,Rotterdam
05/25/2005,25674103,2,Kogelgeweren + munitie,VS,Zuid-Afrika,N,,Vliegtuig,Schiphol
05/25/2005,25674049,1,Kogelgeweer,Zwitserland,VS,N,,Schip,Rotterdam
05/25/2005,25675908,2,Kogelgeweren,Zuid-Afrika,VS,N,,Vliegtuig,Schiphol
05/26/2005,25674030,2350,Munitie,Duitsland,VK,N,,Vrachtauto,Rotterdam
05/26/2005,25679423,21750,Rookgranaten,VS,Israël,N,,Vliegtuig,Schiphol
05/27/2005,25679903,1000,Ontstekers,VS,Israël,N,,Vliegtuig,Schiphol
05/30/2005,25683935,455000,Hagel-/ kogelpatronen,Tsjechië,Jordanië,N,,Auto/vliegtuig,Maastricht
05/30/2005,25683099,2,Kogelgeweren,VS,Zuid-Afrika,N,,Vliegtuig,Schiphol
05/30/2005,25683080,2,Kogelgeweren,Zuid-Afrika,VS,N,,Vliegtuig,Schiphol
05/30/2005,25684001,14000,Rookgranaten,VS,Israël,N,,Vliegtuig,Schiphol
05/30/2005,25683056,41,1 kogelgeweer + 40 patronen,VS,Namibië,N,,Vliegtuig,Schiphol
05/30/2005,25683153,1,Kogelgeweer + (resterende) patronen,Namibië,VS,N,,Vliegtuig,Schiphol
06/01/2005,25688686,797,"Kogelgeweren, delen en toeb.",Portugal,VS,N,,Schip,Rotterdam
06/02/2005,25685512,4200,Ontstekers,VS,België,N,,Vliegtuig,Schiphol
06/02/2005,25694090,230,Patronen voor technische doeleinden,VK,Malta,N,,Auto/schip/vliegtuig,Frankfurt
06/07/2005,25699351,92128,"14998 Machinepistolen, 77130 magazijnen",Hongarije,VS,N,,Schip,Rotterdam
06/08/2005,25696689,2,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/08/2005,25696697,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/08/2005,25696662,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/08/2005,25696654,2,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/08/2005,25696867,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
06/08/2005,25696875,1,Kogelgeweer,Tanzania,VS,N,,Vliegtuig,Schiphol
06/08/2005,25688716,3,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/08/2005,25688473,3,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/08/2005,25693698,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
06/08/2005,25693965,1,Kogelgeweer,Tanzania,VS,N,,Vliegtuig,Schiphol
06/08/2005,2693957,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
06/08/2005,25693701,1,Kogelgeweer,Tanzania,VS,N,,Vliegtuig,Schiphol
06/08/2005,25700392,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/08/2005,25700406,2,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/08/2005,25700376,3,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/08/2005,25700384,3,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/08/2005,25700341,3,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/08/2005,25700368,3,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/08/2005,25705807,556,Kogelgeweren en delen,Portugal,VS,N,,Schip,Rotterdam
06/08/2005,25699572,123,"3 Kogelgeweren, 120 munitie",VS,Turkije,N,,Vliegtuig,Schiphol
06/08/2005,25699254,3,Kogelgeweren,Turkije,VS,N,,Vliegtuig,Schiphol
06/09/2005,25708784,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/09/2005,25708792,2,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/09/2005,25700244,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
06/09/2005,25700279,1,Kogelgeweer,Tanzania,VS,N,,Vliegtuig,Schiphol
06/09/2005,25700252,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/09/2005,25700260,2,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/09/2005,25709063,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/09/2005,25709071,1,Kogelgeweer,VS,Turkije,N,,Vliegtuig,Schiphol
06/09/2005,25711602,1,Kogelgeweer,Turkije,VS,N,,Vliegtuig,Schiphol
06/09/2005,25708318,985600,Patronen div.kal.,VS,Spanje,N,,Schip,Rotterdam
06/09/2005,25704738,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/09/2005,25704746,2,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/09/2005,25709101,20,Machinegeweren,België,Bahrein,N,,Vliegtuig,Maastricht
06/10/2005,25715047,3,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/10/2005,25715047,3,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/10/2005,25693787,4,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/10/2005,25693558,4,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/10/2005,25696832,2,Kogelgeweren,VS,Zuid-Afrika,N,,Vliegtuig,Schiphol
06/10/2005,25696824,2,Kogelgeweren,Zuid-Afrika,VS,N,,Vliegtuig,Schiphol
06/10/2005,25704738,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/10/2005,25704746,2,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/10/2005,25709063,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/13/2005,25693515,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/13/2005,25693531,2,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/13/2005,25717422,2,Kogelgeweren,VS,Tanzania,N,,Viegtuig,Schiphol
06/13/2005,25717384,2,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/13/2005,25717376,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/13/2005,25717414,2,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/13/2005,25717406,2,Kogelgeweren,Mexico,Tanzania,N,,Vliegtuig,Schiphol
06/13/2005,25717392,2,Kogelgeweren,Tanzania,Mexico,N,,Vliegtuig,Schiphol
06/13/2005,25696840,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/13/2005,25696859,2,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/13/2005,25704835,1,Kogelgeweer,VS,Zuid-Afrika,N,,Vliegtuig,Schiphol
06/13/2005,25704843,1,Kogelgeweer,Zuid-Afrika,VS,N,,Vliegtuig,Schiphol
06/14/2005,25704819,1,Kogelgeweer,VS,Zuid-Afrika,N,,Vliegtuig,Schiphol
06/14/2005,25704827,1,Kogelgeweer,Zuid-Afrika,VS,N,,Vliegtuig,Schiphol
06/14/2005,25704754,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/14/2005,25704762,2,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/14/2005,25704797,1,Kogelgeweer,VS,Zuid-Afrika,N,,Vliegtuig,Schiphol
06/14/2005,25704800,1,Kogelgeweer,Zuid-Afrika,VS,N,,Vliegtuig,Schiphol
06/14/2005,25704711,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/14/2005,25704703,2,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/14/2005,25704681,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/14/2005,25704673,2,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/14/2005,25704630,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/14/2005,25704649,2,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/14/2005,25693523,1,Kogelgeweer,VS,Zimbabwe,N,,Vliegtuig,Schiphol
06/14/2005,25714407,1,Kogelgeweer,Zimbabwe,VS,N,,Vliegtuig,Schiphol
06/14/2005,25721799,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
06/14/2005,25714431,1,Kogelgeweer,Tanzania,VS,N,,Vliegtuig,Schiphol
06/14/2005,25721802,2350,Munitie en delen,Duitsland,VK,N,,Auto/schip,Rotterdam
06/15/2005,25721896,2,Kogelgeweren,VS,Zuid-Afrika,N,,Vliegtuig,Schiphol
06/15/2005,25715020,2,Kogelgeweren,Zuid-Afrika,VS,N,,Vliegtuig,Schiphol
06/15/2005,25721713,2,Kogelgeweren,VS,Zuid-Afrika,N,,Vliegtuig,Schiphol
06/15/2005,25721721,2,Kogelgeweren,Namibië,VS,N,,Vliegtuig,Schiphol
06/15/2005,25721691,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/15/2005,25721705,2,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/15/2005,25626179,4,Pistolen,VS,Noorwegen,N,,Vliegtuig,Schiphol
06/15/2005,25718313,2,Kogelgeweren,VS,Zuid-Afrika,N,,Vliegtuig,Schiphol
06/15/2005,25718305,2,Kogelgeweren,Zuid-Afrika,VS,N,,Vliegtuig,Schiphol
06/16/2005,25704665,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/16/2005,25704657,2,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/16/2005,25704770,2,Kogelgeweren,VS,Zuid-Afrika,N,,Vliegtuig,Schiphol
06/16/2005,25704789,2,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/16/2005,25729382,1,Kogelgeweer,VS,Zuid-Afrika,N,,Vliegtuig,Schiphol
06/16/2005,25729390,1,Kogelgeweer,Zuid-Afrika,VS,N,,Vliegtuig,Schiphol
06/14/2005,25725506,2414000,Patronen div.kal.,VS,Spanje,N,,Schip,Rotterdam
06/16/2005,25700228,2,Kogelgeweren,Duitsland,Tanzania,N,,Vliegtuig,Schiphol
06/16/2005,25700309,2,Kogelgeweren,Tanzania,Duitsland,N,,Vliegtuig,Schiphol
06/16/2005,25700317,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/16/2005,25700325,2,Kogelgewern,Tanzania,VS,N,,Vliegtuig,Schiphol
06/16/2005,25718291,2,Kogelgeweren,Denemarken,Tanzania,N,,Vliegtuig,Schiphol
06/16/2005,25718259,2,Kogelgeweren,Tanzania,Denemarken,N,,Vliegtuig,Schiphol
06/16/2005,25726421,462000,Patronen div.kal.,Spanje,VS,N,,Schip,Rotterdam
06/16/2005,25725492,200,Kogelgeweren semi-automatisch,Portugal,Duitsland,N,,Schip,Rotterdam
06/17/2005,25725514,2,Kogelgeweren,VS,Zuid-Afrika,N,,Vliegtuig,Schiphol
06/17/2005,25725522,2,Kogelgeweren,Zuid-Afrika,VS,N,,Vliegtuig,Schiphol
06/17/2005,25725530,1,Kogelgeweer,VS,Zuid-Afrika,N,,Vliegtuig,Schiphol
06/17/2005,25725549,1,Kogelgeweer,Zuid-Afrika,VS,N,,Vliegtuig,Schiphol
06/17/2005,25725565,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/17/2005,25725557,2,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/17/2005,25725573,2,Kogelgeweren,VS,Zuid-Afrika,N,,Vliegtuig,Schiphol
06/17/2005,25725581,2,Kogelgeweren,Zuid-Afrika,VS,N,,Vliegtuig,Schiphol
06/17/2005,25725611,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/17/2005,25725638,2,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/17/2005,25732685,2,Kogelgeweren,Zuid-Afrika,VS,N,,Vliegtuig,Schiphol
06/17/2005,25725700,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/17/2005,25725719,2,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/17/2005,25725743,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/17/2005,25725751,2,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/17/2005,25733509,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
06/17/2005,25732693,2,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
06/17/2005,25732677,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
