afgifte datum,nummer,SGP,CAT,goederen omschrijving,D/T,Verl.,V/N,U/D,T.v.v.,land van bestemming,land van eindbestemming,oorsprong /herkomst,land van oorsprong,waarde (€),verval datum
09/24/2008,28139705,ML5b,A10,Delen rondzoekradarsystemen,D,N,N,2,0,FRANKRIJK,SAOEDI-ARABIË,NEDERLAND,,2121,09/30/2009
09/24/2008,28158203,ML6,A10,Loopwielen voor pantservoertuigen,D,N,N,2,0,DENEMARKEN,DENEMARKEN,NEDERLAND,,397383,09/30/2009
09/24/2008,28158238,ML3,A09,Munitie kal. 35mm,D,N,N,2,0,ZWEDEN,ZWEDEN,NEDERLAND,,50598,09/30/2009
09/24/2008,28168160,ML3,A09,Patronen kaliber 9x19mm,T,N,N,2,0,ZWITSERLAND,ZWITSERLAND,ONBEKEND,,1,09/30/2009
09/24/2008,28168152,ML1a,A08,Pistolen  en machinepistolen ,T,N,N,2,0,ZWITSERLAND,ZWITSERLAND,DUITSLAND,,1,09/30/2009
09/25/2008,28155158,ML5b,A10,Delen voor long range rondzoekradar,D,N,N,2,0,INDIA,INDIA,NEDERLAND,,118881,09/30/2009
09/25/2008,28162812,ML10a,A10,Lagerbussen voor Tiger gevechtshelikopters,D,N,N,2,0,FRANKRIJK,FRANKRIJK,NEDERLAND,,1850,09/30/2009
09/29/2008,28120486,ML6,A02,Pantservoertuig,T,N,N,2,0,FINLAND,FINLAND,FINLAND,,1000000,09/30/2009
09/29/2008,28165943,ML5b,B10,Delen periscopen tbv pantservoertuigen,D,N,N,2,0,GRIEKENLAND,GRIEKENLAND,NEDERLAND,,750,09/30/2009
09/29/2008,28165420,ML5b,A10,Deel van radarvuurleidingsysteem,D,N,N,2,0,ZUID-KOREA,ZUID-KOREA,NEDERLAND,,2645,09/30/2009
09/29/2008,28165412,ML5b,A10,Deel voor rondzoekradar systeem,D,J,N,2,0,ZUID-KOREA,ZUID-KOREA,NEDERLAND,,29195,09/30/2009
09/29/2008,28165404,ML5b,A10,Delen voor radar- en C3-systemen,D,N,N,2,0,VK,OMAN,ONBEKEND,,33684,09/30/2009
09/29/2008,28165390,ML15d,B10,Koelers voor warmtebeeld camera's,D,N,V,2,28138830,FRANKRIJK,FRANKRIJK,NEDERLAND,,70800,09/30/2009
09/29/2008,28166206,ML6,A10,Delen voor verkenningsvoertuigen,D,N,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,2400,09/30/2009
09/29/2008,28166192,ML6,A10,Delen voor verkenningsvoertuigen,D,N,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,158,09/30/2009
09/29/2008,28167245,ML6,A10,Delen voor pantservoertuigen,D,N,N,2,0,ZWITSERLAND,ZWITSERLAND,NEDERLAND,,10913,09/30/2009
09/29/2008,28167237,ML6,A10,Delen voor pantservoertuigen,D,N,N,2,0,ZWITSERLAND,ZWITSERLAND,NEDERLAND,,3000,09/30/2009
09/29/2008,28172478,ML10b,B10,Delen voor countermeasuresystemen in vliegtuigen,D,N,N,2,0,ZWEDEN,ZWEDEN,NEDERLAND,,10000,09/30/2009
09/30/2008,28085508,ML10b,B10,Delen van NH90 transporthelikopters,D,N,V,2,27088953,NAVO+,OMAN,NEDERLAND,,5000000,09/30/2009
09/30/2008,28090056,ML15b,B10,TV camera voor nachtzichtsysteem marine,D,N,N,2,0,ZWEDEN,BAHREIN,NEDERLAND,,28700,09/30/2009
09/30/2008,28098553,ML10a,A10,Landingsgestel voor een F-16 gevechtsvliegtuig,D,N,N,2,0,INDONESIË,INDONESIË,NEDERLAND,,113709,09/30/2009
09/30/2008,28108265,"ML2,6",A10,Delen van CV9035 gevechtsvoertuigen,T,N,V,2,27215211,"NOORWEGEN, ZWITSERLAND, ZUID-AFRIKA, VS","NOORWEGEN, ZWITSERLAND, ZUID-AFRIKA, VS",ONBEKEND,,2910360,09/30/2009
09/30/2008,28155670,ML3,A09,Munitie,D,N,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,39984,09/30/2009
09/30/2008,28162928,ML1a,A08,"Pistool, kaliber 9mm",D,N,N,2,0,DUITSLAND,DUITSLAND,ONBEKEND,,500,10/31/2008
09/30/2008,28172451,ML10a,A10,Delen countermeasures voor gevechtsvliegtuigen,D,N,N,2,0,ZWEDEN,ZWEDEN,NEDERLAND,,20000,09/30/2009
09/30/2008,28172621,ML1a,A08,"Pistool, kaliber 9x19 mm",D,N,N,2,0,DUITSLAND,DUITSLAND,ONBEKEND,,400,09/30/2009
09/30/2008,28175620,ML5b,B10,Deel van periscoop voor pantservoertuig,T,N,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,780,09/30/2009
09/30/2008,28178247,ML17l,B10,Container voor militair gebruik,T,N,N,2,0,VS,VS,NEDERLAND,,150000,09/30/2009
10/01/2008,27192149,ML21a,B09,Software modules voor gevechtssystemen,D,J,N,2,0,ZUID-AFRIKA,ZUID-AFRIKA,NEDERLAND,,1000000,10/31/2009
10/01/2008,27298745,ML21a,B09,Programmatuur voor C3-consoles,D,J,V,2,26566444,TURKIJE,TURKIJE,NEDERLAND,,3000000,10/31/2009
10/01/2008,27295169,ML6,A10,Loopwielen voor pantservoertuigen,T,J,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,50000,11/30/2009
10/01/2008,27300235,ML5b,B10,Delen van Multi Functional Radar (MRF),D,J,N,2,0,FRANKRIJK,FRANKRIJK,NEDERLAND,,394402,10/31/2009
10/01/2008,27303013,ML5b,B10,Delen voor luchtafweer- en rondzoek radarsystemen,T,J,V,2,26095913,VAE,VAE,ONBEKEND,,373878,10/31/2009
10/01/2008,27303021,ML5b,B10,Delen voor radarvuurleidingsystemen,T,J,V,2,26073693,OMAN,OMAN,NEDERLAND,,511323,10/31/2009
10/01/2008,27303048,ML5b,B10,Delen rondzoekradar- en radarvuurleidingsystemen,D,J,V,2,26095921,PORTUGAL,PORTUGAL,ONBEKEND,,150031,10/31/2009
10/01/2008,27309194,ML15d,B10,Delen voor warmtebeeldcamera's,D,J,N,2,0,ZWEDEN,ZWEDEN,NEDERLAND,,175000,10/31/2009
10/01/2008,27309208,ML15d,B10,Delen voor warmtebeeldcamera's,D,J,N,2,0,ZWEDEN,ZWEDEN,NEDERLAND,,180000,10/31/2009
10/01/2008,27310311,ML6,A10,Loopwielen voor Leopard II tanks,T,J,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,165000,11/30/2009
10/01/2008,27322093,ML1d,A10,Vizierkijkers,D,J,N,2,0,ZWEDEN,ZWEDEN,ZUID-KOREA,,30000,10/31/2009
10/01/2008,27254829,ML1d,A10,Vizierkijkers,D,J,N,2,0,DENEMARKEN,DENEMARKEN,ZUID-KOREA,,30750,10/31/2009
10/01/2008,27322077,ML1a,A08,"Kogelgeweer, kal. .30-06",D,J,N,2,0,ZWEDEN,ZWEDEN,VS,,400,12/31/2008
10/01/2008,27322840,ML1a,A08,"Revolver, kal. .38Sp",D,J,N,2,0,DUITSLAND,DUITSLAND,ONBEKEND,,100,12/31/2008
10/01/2008,27316719,ML21a,A10,Software voor Combat Management System,D,J,N,2,0,POLEN,POLEN,NEDERLAND,,60000,10/31/2009
10/01/2008,27332463,ML5b,B10,Delen van radarvuurleidingsystemen,D,J,N,2,0,DUITSLAND,DUITSLAND,ONBEKEND,,389167,10/31/2009
10/01/2008,27332471,ML5b,A10,Delen van radarvuurleidingsystemen,D,J,N,2,0,THAILAND,THAILAND,ONBEKEND,,230390,10/31/2009
10/01/2008,27332552,ML9a,A10,Apparatuur voor Sea Dragon onderzeeboten,D,J,N,2,0,TAIWAN,TAIWAN,NEDERLAND,,1612936,10/31/2009
10/01/2008,27333303,ML6,A10,Loopwielen van Leopard I tanks,T,J,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,60000,11/30/2009
10/01/2008,27333311,ML6,A10,Loopwielen van Leopard II tanks,T,J,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,66000,11/30/2009
10/01/2008,27333346,ML14,B10,Delen voor houwitser trainingssimulatoren,D,J,N,2,0,ZWITSERLAND,ZWITSERLAND,NEDERLAND,,32191,10/31/2009
10/01/2008,27263747,ML5b,B04,Short range draagbare rondzoekradar,T,J,V,2,26037301,DOM. REPUBLIEK,DOM. REPUBLIEK,NEDERLAND,,250000,10/31/2009
10/01/2008,27328938,ML5b,A10,Delen voor  radar- en C3-systemen,D,J,N,2,0,PORTUGAL,PORTUGAL,NEDERLAND,,440000,10/31/2009
10/01/2008,27334008,ML10b,B10,Fuelpanels voor NH-90 helikopters,T,J,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,1000000,10/31/2009
10/01/2008,27334059,ML1d,A10,Delen van vizieren,D,J,N,2,0,ZWEDEN,ZWEDEN,NEDERLAND,,988086,10/31/2009
10/01/2008,27275532,ML5b,A10,Delen voor radar- en C3-systemen,T,J,N,2,0,INDONESIË,INDONESIË,NEDERLAND,,6000000,10/31/2009
10/01/2008,27303005,ML5b,B10,Delen voor C3-consoles,D,J,N,2,0,VS,EGYPTE,NEDERLAND,,14644151,10/31/2009
10/01/2008,27335462,ML6,A10,Delen van pantservoertuigen,D,J,N,2,0,OOSTENRIJK,OOSTENRIJK,NEDERLAND,,2500,10/31/2009
10/01/2008,27343996,ML8b6,A09,Rookzwak buskruit,D,J,N,2,0,DUITSLAND,DUITSLAND,ONBEKEND,,42000,10/31/2009
10/01/2008,28157886,ML1a,A08,"Revolver, kal. 11mm",D,N,N,2,0,VS,VS,OOSTENRIJK,,600,10/31/2009
10/01/2008,28162995,ML1a,A08,"Pistolen, kal. 9mm en .45 en kogelgeweer, kal30-06",D,N,N,2,0,DUITSLAND,DUITSLAND,ONBEKEND,,9317,10/31/2009
10/01/2008,28176619,ML6,A02,Pantservoertuigen,D,N,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,5797742,09/30/2009
10/01/2008,28177429,ML1a,A08,"Kogelgeweer, kaliber .223 ",T,N,N,2,0,DUITSLAND,DUITSLAND,DUITSLAND,,500,10/31/2009
10/01/2008,28180144,ML4a,A10,Delen van luchtdoelraketten,D,N,N,2,0,DUITSLAND,NAVO,ONBEKEND,,21028233,10/31/2009
10/01/2008,28180136,ML4a,A10,Delen van luchtdoelraketten,D,N,N,2,0,VS,NAVO,ONBEKEND,,4062466,10/31/2009
10/01/2008,28179677,ML5b,A10,Deel van waarnemingsperiscoop,D,N,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,165,10/31/2009
10/01/2008,28179774,ML1a,A08,"Kogelgeweer, kaliber 7x75R ",D,N,N,2,0,DUITSLAND,DUITSLAND,DUITSLAND,,1370,11/30/2008
10/01/2008,28181876,ML16,A10,Halffabrikaten voor Iris T raketten,D,N,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,2082,10/31/2009
10/01/2008,28150237,ML1a,A08,"Kogelgeweer, kaliber 7x64 mm",D,N,N,2,0,DUITSLAND,DUITSLAND,OOSTENRIJK,,100,11/30/2008
10/02/2008,28153171,ML1a,A08,"Machinegeweer, kaliber 7,92x57 mm",D,N,N,2,0,NOORWEGEN,NOORWEGEN,ONBEKEND,,1250,10/31/2009
10/02/2008,28175604,ML10a,A10,Delen van F-16 gevechtsvliegtuigen,T,N,N,2,0,"NAVO, ZUID AFRIKA, JAPAN","NAVO, ZUID AFRIKA, JAPAN",VS,,4500000,10/31/2009
10/02/2008,28175612,ML10a,A10,Delen van F-16 gevechtsvliegtuigen,T,N,N,2,0,NAVO+,NAVO+,VS,,4500000,10/31/2009
10/02/2008,28174225,ML3,A09,"Patronen, kaliber .308 ",D,N,N,2,0,DUITSLAND,DUITSLAND,ONBEKEND,,245,10/31/2009
10/02/2008,28180179,ML5b,A10,Delen van radar-optisch vuurleidingsysteem,D,N,N,2,0,ARGENTINIË,ARGENTINIË,NEDERLAND,,34830,10/31/2009
10/02/2008,28180160,ML5b,B10,Delen voor C3-console,T,N,N,2,0,VS,VS,NEDERLAND,,15215,10/31/2009
10/02/2008,28180152,ML5b,B10,Delen voor C3-console,D,N,N,2,0,VS,VS,NEDERLAND,,15215,10/31/2009
10/03/2008,28189265,ML5b,A10,Delen van radarvuurleidingsystemen,D,N,N,2,0,TURKIJE,TURKIJE,ONBEKEND,,193722,10/31/2009
10/03/2008,28189273,ML5b,B10,Optische kijkers voor CV90 gevechtsvoertuigen,D,N,N,2,0,ZWEDEN,NEDERLAND,NEDERLAND,,418500,10/31/2009
10/03/2008,28189281,ML5b,A10,Delen van rondzoekradarsystemen,D,N,N,2,0,TURKIJE,TURKIJE,NEDERLAND,,546,10/31/2009
10/03/2008,28189303,ML15d,B10,Cryogene koelers,D,N,N,2,0,VS,VS,NEDERLAND,,29374,10/31/2009
10/03/2008,28189311,ML15d,B10,Converters,D,N,N,2,0,VS,VS,NEDERLAND,,34679,10/31/2009
10/03/2008,28189338,ML5b,A10,Delen van rondzoekradar- en luchtafweersystemen,D,N,N,2,0,QATAR,QATAR,NEDERLAND,,510170,10/31/2009
10/03/2008,28189818,ML16,B10,Delen van behuizingen voor vuurcontrolesystemen,D,N,N,2,0,NOORWEGEN,NOORWEGEN,NEDERLAND,,4025,10/31/2009
10/03/2008,28189826,ML10a,A10,Delen voor gevechtsvliegtuigen,T,N,N,2,0,DUITSLAND,DUITSLAND,DUITSLAND,,15000,10/31/2009
10/03/2008,28189354,ML15d,B10,Halffabrikaten voor warmtebeeldcamera's,D,N,N,2,0,FRANKRIJK,FRANKRIJK,NEDERLAND,,857,10/31/2009
10/06/2008,28194692,ML5b,B10,Delen van periscopen voor pantservoertuigen,D,N,N,2,0,ZWITSERLAND,ZWITSERLAND,NEDERLAND,,15500,10/31/2009
10/06/2008,28194684,ML5b,B10,Delen van periscopen voor pantservoeruigen,D,N,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,2790,10/31/2009
10/06/2008,28194676,ML5b,B10,Deel van periscoop voor pantservoertuig,T,N,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,10598,10/31/2009
10/06/2008,28194668,ML9e,A10,Delen van onderzeebootperiscopen,D,N,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,24713,10/31/2009
10/06/2008,28194641,ML5b,B10,Delen van camera's voor pantservoertuigen,D,N,N,2,0,DUITSLAND,ZWITSERLAND,NEDERLAND,,1305,10/31/2009
10/07/2008,28155867,ML10,B10,Delen van MI-8 en MI-17 transporthelikopters,D,N,N,3,0,PERU,PERU,RUSLAND,,169743,10/31/2009
10/07/2008,28161506,ML1a,A08,Semi automatisch pistool,D,N,N,2,0,TURKIJE,TURKIJE,OOSTENRIJK,,750,10/31/2009
10/07/2008,28179766,ML10a,A10,Delen van Tiger gevechtshelikopters,D,N,N,2,0,FRANKRIJK,FRANKRIJK,NEDERLAND,,1850,10/31/2009
10/07/2008,28181353,ML6,A10,Delen van pantservoertuigen,D,N,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,46000,10/31/2009
10/07/2008,28181159,ML6,A10,Delen van pantservoertuigen,D,N,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,20000,10/31/2009
10/07/2008,28194633,ML6,A10,Delen voor pantservoertuigen,D,N,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,6298,10/31/2009
10/07/2008,28194706,ML8b6,A09,Rookzwak buskruit,D,N,V,2,26320550,DUITSLAND,DUITSLAND,ONBEKEND,,6700,10/31/2009
10/07/2008,28197837,ML10d,A10,Delen van vliegtuigmotoren,T,N,N,2,0,VK,VK,ONBEKEND,,189120,10/31/2009
10/07/2008,28198213,ML16,B10,Halffabrikaten voor uitrustingen,D,N,N,2,0,FRANKRIJK,FRANKRIJK,NEDERLAND,,31933,10/31/2009
10/08/2008,28136188,ML6,A10,Delen voor M113 pantservoertuigen,D,N,N,2,0,TURKIJE,TURKIJE,VS,,1740,10/31/2009
10/08/2008,28179987,ML1a,A08,"Kogelgeweer, kaliber 7x64 mm",D,N,N,2,0,DUITSLAND,DUITSLAND,DUITSLAND,,500,11/30/2008
10/08/2008,28197926,ML5b,A10,Deel van radar- en C3-systeem,T,N,N,2,0,ZUID-KOREA,ZUID-KOREA,NEDERLAND,,7850,10/31/2009
10/08/2008,28197896,ML11,B10,Delen van communicatiesystemen,D,N,N,2,0,FRANKRIJK,FRANKRIJK,NEDERLAND,,30715,10/31/2009
10/08/2008,28197888,ML5b,A10,Delen van radar- en C3-systemen,T,N,N,2,0,TAIWAN,TAIWAN,Diverse landen,,4000,10/31/2009
10/08/2008,28199643,ML1a,A08,"Dubbelloops kogelgeweer, kaliber 8x57",D,N,N,2,0,DUITSLAND,DUITSLAND,ONBEKEND,,2000,11/30/2008
10/09/2008,28195362,ML1a,A08,"Kogelgeweer, kaliber .30-06 ",D,N,N,2,0,DUITSLAND,DUITSLAND,DUITSLAND,,1995,10/31/2009
10/09/2008,28203829,ML5b,A10,Delen van radarvuurleidingsystemen,T,N,N,2,0,TAIWAN,TAIWAN,VS,,4000,10/31/2009
10/10/2008,28198752,ML1a,A08,"Kogelgeweer, kaliber .30-06 ",D,N,N,2,0,DUITSLAND,DUITSLAND,VS,,1000,11/30/2008
10/13/2008,28150113,ML5b,B04,Short range draagbare rondzoekradar en toebehoren,T,N,N,2,0,KAZACHSTAN,KAZACHSTAN,NEDERLAND,,300000,10/31/2009
10/13/2008,28154909,ML3,A09,Munitie en fakkels,D,N,N,3,0,BRAZILIË,BRAZILIË,ZUID-AFRIKA,,138319,10/31/2009
10/13/2008,28197152,ML5b,A10,Deel van periscoop voor pantservoertuig,D,N,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,2350,10/31/2009
10/13/2008,28205619,ML6,A10,Delen voor pantservoertuigen,D,N,N,2,0,SPANJE,SPANJE,VS,,17534,10/31/2009
10/13/2008,28205589,ML6,A10,Delen voor pantservoertuigen,D,N,N,2,0,SPANJE,SPANJE,VS,,30237,10/31/2009
10/13/2008,28206038,ML6,A10,Delen voor pantservoertuigen,D,N,N,2,0,SPANJE,SPANJE,VS,,15225,10/31/2009
10/14/2008,28202210,ML6,A10,Delen van pantservoertuigen,D,N,N,2,0,ZWITSERLAND,ZWITSERLAND,NEDERLAND,,4290,10/31/2009
10/14/2008,28205597,ML6,A10,Delen voor pantservoertuigen,D,N,N,2,0,"VS, CANADA                          ","VS, CANADA                          ",VS,,271480,10/31/2009
10/14/2008,28203187,ML3,A10,Kogelpunten en slaghoedjes,D,N,N,2,0,ZWEDEN,ZWEDEN,ONBEKEND,,3669,10/31/2009
10/14/2008,28204965,ML3,A09,"Patronen, kaliber .308 ",D,N,N,2,0,DUITSLAND,DUITSLAND,ONBEKEND,,3525,10/31/2009
10/14/2008,28207441,ML3,A09,"Patronen, kalibers 5,56x45, 7,62x33, .338 en .50",D,N,N,2,0,VS,VS,ONBEKEND,,35,11/30/2008
10/14/2008,28209592,ML1a,A08,"Kogelgeweer, kaliber .30-06",D,N,N,3,0,TANZANIA,TANZANIA,ONBEKEND,,500,11/30/2008
10/14/2008,28209584,ML1a,A08,"Kogelgeweer, kaliber 9,3x62 mm",D,N,N,3,0,TANZANIA,TANZANIA,OEKRAÏNE,,500,11/30/2008
10/14/2008,28213557,ML1a,A08,"Kogelgeweer, kaliber .375 H&H",D,N,N,3,0,TANZANIA ,TANZANIA ,OEKRAÏNE,,600,11/30/2008
10/14/2008,28213549,ML1a,A08,"Kogelgeweer, kaliber 9,3x62 mm",D,N,N,3,0,TANZANIA,TANZANIA,OEKRAÏNE,,500,11/30/2008
10/14/2008,28213875,ML15d,B10,Koeler,T,N,N,2,0,ZUID-KOREA,ZUID-KOREA,FRANKRIJK,,3150,10/31/2009
10/15/2008,28206046,ML9e,A10,Delen van onderzeebootperiscopen,D,N,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,12000,10/31/2009
10/15/2008,28205961,ML15d,B10,Converters,D,N,N,2,0,FRANKRIJK,FRANKRIJK,NEDERLAND,,8750,10/31/2009
10/15/2008,28205953,ML11,B10,Headsets voor communicatiesystemen,D,N,N,2,0,DUITSLAND,DUITSLAND,VS,,38752,10/31/2009
10/15/2008,28205929,ML15d,B10,Converter,D,N,N,2,0,FRANKRIJK,FRANKRIJK,NEDERLAND,,1750,10/31/2009
10/15/2008,28205910,ML21a,B10,Software voor thermische camera's,D,N,N,2,0,ZWEDEN,ZWEDEN,NEDERLAND,,104894,10/31/2009
10/15/2008,28205902,ML5a,B10,Delen van optische kijkers,D,N,N,2,0,ZWEDEN,NEDERLAND,NEDERLAND,,162709,10/31/2009
10/15/2008,28205899,ML15d,B04,Thermische camera,D,N,N,2,0,ZWEDEN,NEDERLAND,NEDERLAND,,87788,10/31/2009
10/15/2008,28213530,ML1a,A08,"Pistool, kaliber 9 mm ",D,N,N,2,0,DUITSLAND,DUITSLAND,DUITSLAND,,400,10/31/2009
10/16/2008,28208499,ML5b,A10,Delen van periscopen voor pantservoertuigen,D,N,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,698,10/31/2009
10/16/2008,28207506,ML5b,A10,Deel van een periscoop voor pantservoertuig,D,N,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,2350,10/31/2009
10/16/2008,28205171,ML1a,A08,"Pistolen, kalibers 9mm, .45 , .22 LR en .38 S&W",D,N,N,2,0,MALTA,MALTA,ONBEKEND,,1320,10/31/2009
10/17/2008,28216165,ML10a,A10,Lagerbussen voor gevechtshelikopters,D,N,N,2,0,FRANKRIJK,FRANKRIJK,NEDERLAND,,11144,10/31/2009
10/20/2008,28205988,ML10b,B10,Delen voor NH90 transporthelikopters,D,N,V,2,27283020,NAVO+,NAVO+,NEDERLAND,,3700000,10/31/2009
10/20/2008,28212240,ML11,B10,Delen van communicatiesystemen,T,N,N,2,0,KOEWEIT,KOEWEIT,NEDERLAND,,26400,10/31/2009
10/20/2008,28218486,ML16,A10,Halffabrikaten voor NSM-raketten,D,N,N,2,0,NOORWEGEN,NOORWEGEN,NEDERLAND,,111000,10/31/2009
10/20/2008,28218478,ML16,A10,Halffabrikaten voor Fennek verkenningsvoertuigen,D,N,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,1716,10/31/2009
10/20/2008,28218451,ML6,A10,Delen voor Leopard II tanks,D,N,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,2444,10/31/2009
10/20/2008,28218443,ML6,A10,Delen voor pantservoertuigen,D,N,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,726,10/31/2009
10/20/2008,28222416,ML5b,A10,Combat Direction System en elektro-optische sensor,D,N,V,2,26580811,DUITSLAND,DUITSLAND,NEDERLAND,,4487342,10/31/2009
10/21/2008,28143591,ML5b,B10,Optische componenten voor observatiekijkers,D,N,N,2,0,ZUID-AFRIKA,ZUID-AFRIKA,ONBEKEND,,147300,10/31/2009
10/21/2008,28175582,ML10c,A10,Delen voor F-16 gevechtsvliegtuigen,T,N,V,2,26478316,THAILAND,THAILAND,VS,,30542,10/31/2009
10/21/2008,28175590,ML10c,A10,Delen voor motoren van F-16 gevechtsvliegtuigen,T,N,V,2,26459230,THAILAND,THAILAND,VS,,56161,10/31/2009
10/21/2008,28181108,ML5b,B10,Golfgeleiders voor mobiele radarsystemen,D,N,N,2,0,TURKIJE,TURKIJE,NEDERLAND,,8368,10/31/2009
10/21/2008,28197918,ML15c,B04,Nachtzichtkijkers en toebehoren,D,N,N,2,0,MALEISIË,MALEISIË,NEDERLAND,,1698500,10/31/2009
10/21/2008,28213670,ML1a,A08,"Kogelgeweer, kaliber 7x66 mm ",D,N,N,2,0,DUITSLAND,DUITSLAND,DUITSLAND,,700,11/30/2008
10/21/2008,28218516,ML16,A10,Halffabrikaten voor anti-raketsystemen,D,N,N,2,0,ZWEDEN,ZWEDEN,NEDERLAND,,7000,10/31/2009
10/21/2008,28218435,ML6,A10,Delen voor M1A Abrams tanks,D,N,N,2,0,DUITSLAND,VS,NEDERLAND,,13018,10/31/2009
10/21/2008,28222394,ML15d,B10,Delen van militaire nachtkijkers,D,N,N,2,0,NOORWEGEN,NOORWEGEN,NEDERLAND,,7200,10/31/2009
10/22/2008,28178077,ML5b,A10,Delen voor radar- en C3-systemen,T,N,V,2,27275524,INDONESIË,INDONESIË,NEDERLAND,,5987295,10/31/2009
10/22/2008,28212453,ML6,A01,Leopard II A4 tanks,D,N,N,2,0,CANADA,CANADA,DUITSLAND,,21850023,10/31/2009
10/22/2008,28218532,ML10a,A10,Delen van F-16 gevechtsvliegtuigen,D,N,M,2,27295150,SINGAPORE,SINGAPORE,VS,,4930,10/31/2009
10/22/2008,28222440,ML5b,B10,Delen voor luchtafweersystemen,D,N,V,2,26440130,VENEZUELA,VENEZUELA,ONBEKEND,,287901,10/31/2009
10/22/2008,28222432,ML22,B10,Combat Direction System (CDS) software,D,N,V,2,26580838,DUITSLAND,DUITSLAND,NEDERLAND,,26000,10/31/2009
10/22/2008,28224540,ML6,B01,Militaire voertuigen,D,N,N,2,0,ESTLAND,ESTLAND,NEDERLAND,,2044000,10/31/2009
10/22/2008,28224559,ML6,A01,Leopard II A6 tanks,D,N,N,2,0,DUITSLAND,CANADA,DUITSLAND,,4400000,10/31/2009
10/22/2008,28231113,ML5b,A10,Deel van een periscoop voor pantservoertuig,T,N,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,8799,10/31/2009
10/23/2008,28205678,ML11,A10,Delen voor navigatie/communicatieapparatuur tanks,D,N,N,2,0,ZWEDEN,ZWEDEN,NEDERLAND,,371620,10/31/2009
10/23/2008,28224516,ML15d,B10,Halffabrikaten voor warmtebeeldcamera's,D,N,N,2,0,FRANKRIJK,FRANKRIJK,NEDERLAND,,26963,10/31/2009
10/23/2008,28224524,ML16,A10,Halffabrikaten voor Leopard II tanks,D,N,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,3215,10/31/2009
10/23/2008,28231369,ML1a,A08,"Pistool, kaliber 9mm ",D,N,N,2,0,ZWEDEN,ZWEDEN,ZWITSERLAND,,1460,10/31/2009
10/23/2008,28237278,ML1a,A08,"Revolvers, kaliber .357 ",D,N,N,2,0,DUITSLAND,DUITSLAND,ONBEKEND,,2000,11/30/2008
10/24/2008,28222483,ML6,A10,Delen voor Leopard II tanks,D,N,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,14552,10/31/2009
10/24/2008,28224532,ML16,B10,Halffabrikaten voor generatoren,D,J,N,2,0,ZWITSERLAND,ZWITSERLAND,NEDERLAND,,23610,10/31/2009
10/24/2008,28231830,ML9e,A10,Deel voor onderzeebootperiscoop,T,N,N,2,0,DUITSLAND,DUITSLAND,NEDERLAND,,1377,10/31/2009
10/27/2008,28222459,ML22,B09,Radartechnologie ,D,N,V,2,26606950,FRANKRIJK,FRANKRIJK,NEDERLAND,,1197500,10/31/2009
10/27/2008,28228910,ML9e,A10,Militaire CCD-camera,D,N,N,2,0,ZWEDEN,ZWEDEN,NEDERLAND,,37000,10/31/2009
10/27/2008,28237731,ML5b,A10,Delen van long range radar,D,N,N,2,0,VK,VK,NEDERLAND,,2140,10/31/2009
10/27/2008,28237723,ML15d,B10,Cryogene koelers voor warmtebeeldcamera's,D,N,N,2,0,FRANKRIJK,FRANKRIJK,NEDERLAND,,14200,10/31/2009
10/28/2008,28190638,ML1a,A08,"Kogelgeweer, kaliber 6,5x53R",D,N,N,2,0,OOSTENRIJK,OOSTENRIJK,OOSTENRIJK,,225,10/31/2009
10/28/2008,28240791,ML1a,A08,"Kogelgeweer, kaliber .303 ",D,N,N,2,0,DUITSLAND,DUITSLAND,ONBEKEND,,50,11/30/2008
10/28/2008,28240805,ML1a,A08,"Revolver, kaliber .357 ",T,N,N,2,0,DUITSLAND,DUITSLAND,VS,,500,10/31/2009
