Datum afgifte,nummer,SG-Post,Omschrijving goederen,Opgegeven eindgebruik,D/T,Land van eindbestemming,Land van herkomst,Waarde(€),Datum verval
06/30/2008,27693520,2B350i,Pompen (onderdelen voor),Verpompen van (organische) zuren,D,China,Onbekend,"2,633,300",06/30/2009
06/30/2008,27693539,2B350i,Pompen (onderdelen voor),Verpompen van (organische) zuren,D,China,Onbekend,"1,053,948",06/30/2009
06/30/2008,27818412,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv medische doeleinden                                                       ,D,China,Onbekend,"13,136",06/30/2009
06/30/2008,27764096,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik,D,India via Frankrijk,Onbekend,"3,727,200",07/31/2009
07/01/2008,27693849,2B350i,Pompen (onderdelen voor),Verpompen van (organische) zuren,D,China,Onbekend,"414,000",07/31/2009
07/02/2008,27870554,1C350-24,Waterstoffluoride,Onderzoek,D,Turkije,Onbekend,356,07/31/2009
07/02/2008,27870562,1C350-43,Natriumfluoride,Onderzoek,D,Turkije,Onbekend,97,07/31/2009
07/02/2008,27824404,1C350-47,Fosforpentasulfide,Vervaardiging van pesticiden,D,India,Onbekend,"1,333,080",07/31/2009
07/02/2008,27851258,1C350-47,Fosforpentasulfide,Tbv de mijnbouw,D,Mexico,Onbekend,"380,880",07/31/2009
07/02/2008,27824447,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Retour na reparatie,T,Taiwan,Onbekend,"12,730",07/31/2009
07/02/2008,27826733,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik (luchtmacht),D,Thailand,Onbekend,"11,250",07/31/2009
07/03/2008,27861067,0B001b,Besturings- en monitoringsysteem,Vervaardigen van een verrijkingsinstallatie,D,Frankrijk,Onbekend,"423,584",05/31/2009
07/03/2008,27861075,0B001b,Besturings- en monitoringsysteem,Vervaardigen van een verrijkingsinstallatie,D,Verenigd Koninkrijk,Onbekend,"249,225",06/30/2009
