Datum afgifte,nummer,SG-Post,Omschrijving goederen,Opgegeven eindgebruik,D/T,Land van eindbestemming,Land van herkomst,Waarde(€),Datum verval
09/30/2010,28672896,3A001,Analoog/digitaalomzetters,Diversen (zie toelichting),D,Wereld muv gevoelige landen,Frankrijk,"1,400,000",10/31/2011
09/30/2010,28683944,6A003b    ,Camera's,Reparatie en onderhoud,T,Verenigde Arabische Emiraten,Verenigde Staten van Amerika,"11,646",09/30/2011
09/30/2010,28688636,6A003b4   ,Camera's,Surveillance en beveiligingsdoeleinden (civiel),D,Rusland,Zweden,"80,000",09/30/2011
09/30/2010,28691076,3C003     ,"Trimethylgallium, triethylgallium, trimethylindium en trimethylaluminium",Semiconductor- en verlichtingindustrie                                      ,D,Taiwan,Verenigde Staten van Amerika,"60,559,200",09/30/2011
10/01/2010,28679068,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Montage in astronomische telescoop,T,China,Nederland                          ,"30,000",09/30/2011
10/01/2010,28681755,3A001a5 ,gascentrifuge,Montage in radio-ontvangers                                                     ,D,Verenigde Staten van Amerika,Zuid-Korea,"1,714",09/30/2011
10/04/2010,28675909,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik (marine),D,Brazilië via Israël                            ,Nederland                          ,"307,020",10/31/2011
10/04/2010,28684789,6A003b4   ,Camera's,Tbv de olie-industrie,D,Qatar,Zweden,"34,024",10/31/2011
10/04/2010,28691262,6A003b3   ,Camera's,Surveillance en beveiligingsdoeleinden,D,Rusland,Nederland                          ,"490,000",10/31/2011
10/05/2010,28695349,0B002,Buizen,Uraniumverrijking                                                               ,D,Verenigde Staten van Amerika,Onbekend,"4,326,000",10/31/2011
10/05/2010,28696582,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Tbv civiel gebruik,D,China,Nederland                          ,"250,800",10/31/2011
10/05/2010,28698259,1C450b8   ,Methyldiethanolamine,Verwerking in cement,D,Turkjje,België,5,10/31/2011
10/05/2010,28698267,1C450b8   ,Methyldiethanolamine,Verwerking in cement,D,Turkjje,België,5,10/31/2011
10/06/2010,28668422,6A003b4   ,Camera's,Surveillance en beveiligingsdoeleinden                                          ,D,Saoedi-Arabië                        ,Zweden,"7,969,797",10/31/2011
10/06/2010,28679300,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik                                         ,D,Zuid-Korea,Nederland                          ,"7,572,000",10/31/2011
10/06/2010,28679319,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik                                         ,D,Zuid-Korea,Nederland                          ,"2,271,600",10/31/2011
10/06/2010,28679327,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik                                         ,D,Zuid-Korea,Nederland                          ,"4,353,900",10/31/2011
10/06/2010,28685157,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik                                         ,T,Zuid-Korea,Nederland                          ,"24,160",10/31/2011
10/06/2010,28691572,1C450b8   ,Methyldiethanolamine,Tbv de gasindustrie,D,Turkmensistan,Onbekend,"14,966",10/31/2011
10/07/2010,28692692,,Productie-apparatuur en software,Vervaardiging van halfgeleiderelementen of -materialen,D,Diverse landen                          ,Onbekend,"51,272,044",10/31/2013
10/08/2010,28677308,1C002b    ,Aluminium,Vervaardiging van contactlenzen                        ,D,Taiwan,Nederland                          ,"71,300",10/31/2011
10/08/2010,28689578,7A003c    ,Traagheidsnavigatiesystemen,Plaatsbepalingsdiensten,T,Diverse landen                          ,Verenigde Staten van Amerika,"300,000",11/30/2011
10/11/2010,28697589,5A002a    ,Apparatuur voor informatiebeveiliging,Informatiebeveiliging                                                           ,D,Pakistan                               ,Verenigde Staten van Amerika,"27,320",10/31/2011
10/11/2010,28702787,6A003b    ,Camera's,Surveillance en beveiligingsdoeleinden,D,Nederland via Zuid Afrika,Bulgarije,"9,350",10/31/2011
10/12/2010,28689780,6A003b4   ,Camera's,Inspectie van elektrische installaties,D,Rusland,Zweden,"6,265",10/31/2011
10/12/2010,28695985,5A002a1   ,Apparatuur voor informatiebeveiliging,Informatiebeveiliging                                                           ,T,Libië,Onbekend,"170,000",10/31/2011
10/12/2010,28695993,5A002a1   ,Apparatuur voor informatiebeveiliging,Informatiebeveiliging                                                           ,T,Jordanië ,Onbekend,"78,850",10/31/2011
10/14/2010,28667736,5A002     ,Apparatuur voor informatiebeveiliging,Informatiebeveiliging                                                           ,D,Maleisië,Nederland                          ,"3,654",10/31/2011
10/14/2010,28676808,3A231     ,Neutronengeneratorsysteem,Tbv de olie- en gasindustrie,D,Italië                           ,Verenigde Staten van Amerika,"34,357",08/31/2011
10/14/2010,28684916,6A003b4   ,Camera's,Inspectie van elektrische installaties,D,Pakistan                               ,Zweden,"34,617",10/31/2011
10/14/2010,28693478,1C350-46   ,Triethanolamine,Tbv de olie-industrie,D,Argentinië        ,Onbekend,"100,430",10/31/2011
10/14/2010,28695446,,Navigatieapparatuur,Diversen (zie toelichting),D,Diverse landen                          ,Verenigde Staten van Amerika,"1,000,000",10/31/2011
10/18/2010,28676387,2B350g    ,Kleppen,Bierbrouwen                                                          ,D,Zuid-Afrika,Onbekend,760,10/31/2011
10/18/2010,28681887,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik (landmacht),D,Brazilië,Nederland                          ,"146,397",10/31/2011
10/18/2010,28701926,,Apparatuur en software voor informatiebeveiliging,Informatiebeveiliging,D,Diverse landen                          ,Onbekend,"6,000,000",11/01/2012
10/18/2010,28702027,,Diverse goederen,Diversen (zie toelichting),D,Diverse landen                          ,Onbekend,"200,000",11/01/2012
10/19/2010,28677294,1C002b    ,Aluminium,Tbv matrijzen,D,Singapore ,Nederland                          ,"12,943",10/31/2011
10/19/2010,28681623,6A003b3   ,Camera's,Wetenschappelijk onderzoek,T,China,Nederland                          ,"37,330",10/31/2011
10/19/2010,28701306,2B352b    ,Fermentoren,Vervaardiging van vaccins                                                               ,D,Rusland via Duitsland,Nederland                          ,"90,000",10/31/2011
10/19/2010,28707576,1C002b    ,Aluminium,Vervaardiging van flessen,D,Venezuela,Onbekend,"3,360",09/30/2011
10/20/2010,28686889,1C350-47   ,Fosforpentasulfide,Vervaardiging van gewasbeschermingsmiddelen,D,India,Duitsland ,"484,646",10/31/2011
10/20/2010,28701314,2B352b    ,Fermentoren,Vervaardiging van farmaceutische producten,D,China,Nederland                          ,"2,155,046",10/31/2011
10/21/2010,28676204,2B350g    ,Kleppen,Tbv de petrochemische industrie                                                ,D,Zuid-Afrika,Onbekend,149,10/31/2011
10/21/2010,28676212,2B350g    ,Kleppen,Bierbrouwen                                                          ,D,Zuid-Afrika,Onbekend,509,10/31/2011
10/21/2010,28676360,2B350g    ,Kleppen,Bierbrouwen                                                          ,D,Zuid-Afrika,Onbekend,75,10/31/2011
10/21/2010,28676379,2B350g    ,Kleppen,Bierbrouwen                                                          ,D,Zuid-Afrika,Onbekend,577,10/31/2011
10/22/2010,28686765,2B350g,Kleppen,Tbv de olie- en gasindustrie,D,Jordanië ,Verenigde Staten van Amerika,"2,250",10/31/2011
10/25/2010,28675976,0E001,Technologie tbv uraniumverrijking mbv ultra gascentrifuge,Vervaardigen van een verrijkingsinstallatie,D,Verenigde Staten van Amerika,Onbekend,"500,000",10/31/2011
10/25/2010,28676085,0B002c    ,Opvangsystemen voor verarmd en verrijkt uraan,Uraniumverrijking,D,Verenigde Staten van Amerika,Onbekend,"19,260,000",10/31/2011
10/28/2010,28695721,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen,D,Duitsland via Israël                            ,EU,"22,360",10/31/2011
10/28/2010,28701241,6A003b4   ,Camera's,Inspectie van elektrische installaties,T,Zuid-Afrika,Verenigde Staten van Amerika,"9,363",10/31/2011
10/28/2010,28701438,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik (luchtmacht)                                                ,D,Turkjje,EU,"230,755",10/31/2011
10/28/2010,28703228,1C350-16   ,Dimethylamine,Vervaardiging van pesticiden                                                    ,D,Guatemala                            ,Roemenië,"312,781",10/31/2011
10/28/2010,28706103,5A002,Apparatuur en software voor informatiebeveiliging,Informatiebeveiliging                                                           ,D,Diverse landen                          ,Verenigde Staten van Amerika,"261,898",10/31/2013
10/29/2010,28693842,1C350-47   ,Fosforpentasulfide,Vervaardiging van gewasbeschermingsmiddelen,D,India,Duitsland ,"656,616",10/31/2011
10/29/2010,28702701,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Tbv civiel gebruik,D,Rusland,Nederland                          ,"6,000",10/31/2011
10/29/2010,28702728,6A003b4   ,Camera's,Nachtzichtsystemen tbv civiel gebruik,D,Rusland,Zwitserland,"60,000",10/31/2011
11/02/2010,28702183,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Demonstratie,D,Zuid-Afrika,EU,"24,650",11/30/2011
11/03/2010,28695756,5A002a1   ,Apparatuur voor informatiebeveiliging,Informatiebeveiliging                                                           ,T,Jordanië ,Onbekend,"25,000",11/30/2011
11/03/2010,28706693,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Tbv elektriciteitscentrales,T,China,Nederland                          ,"42,636",11/30/2011
11/03/2010,28706707,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden,T,Hongkong,Nederland                          ,"22,230",11/30/2011
11/03/2010,28707509,6A003b4   ,Camera's,Reparatie en onderhoud,T,Zuid-Afrika,Verenigde Staten van Amerika,"10,054",11/30/2011
11/03/2010,28707606,2B352b    ,Fermentoren,Vervaardiging van vaccins                                                               ,D,China,Nederland                          ,"838,750",11/30/2011
11/03/2010,28709552,2B352b    ,Fermentoren,Vervaardiging van farmaceutische producten,D,Israël              ,Nederland                          ,"45,000",11/30/2011
11/04/2010,28694350,0B001b,(delen van) Ultra gascentrifuges,Uraniumverrijking                                                               ,D,Verenigde Staten van Amerika,Onbekend,"152,470,140",11/30/2011
11/08/2010,28693486,1C350-46   ,Triethanolamine,Tbv de olie-industrie,D,Oman,Duitsland ,"721,450",11/30/2011
11/08/2010,28714319,1C350-02    ,Fosforoxychloride,Vervaardiging van farmaceutische producten,D,India,Duitsland ,"238,000",11/30/2011
11/08/2010,28714327,1C350-02    ,Fosforoxychloride,Vervaardiging van farmaceutische producten,D,India,Duitsland ,"577,160",11/30/2011
11/10/2010,28719353,2B350i    ,Pompen (onderdelen voor),Verpompen van (organische) zuren,D,China,Nederland                          ,"9,200",11/30/2011
11/12/2010,28693893,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik                                         ,D,Afghanistan                            ,Nederland                          ,"267,708",11/30/2011
11/12/2010,28702124,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik                                         ,D,Maleisië,India,"29,000",11/30/2011
11/12/2010,28702140,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik                                         ,D,Maleisië,EU,"13,290",11/30/2011
11/12/2010,28711336,1C350-46   ,Triethanolamine,Tbv de olie-industrie,D,Ghana               ,Rusland,"73,121",11/30/2011
11/15/2010,28698372,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik (luchtmacht)                                                ,D,Thailand,EU,"9,000",11/30/2011
11/15/2010,28708394,2B350g,Kleppen,Tbv waterdistributie,D,Zuid-Korea,Nederland                          ,"1,531",11/30/2011
11/15/2010,28714300,1C350-02    ,Fosforoxychloride,Vervaardiging van farmaceutische producten,D,India,Duitsland ,"1,215,499",11/30/2011
11/17/2010,28705158,1C350-46   ,Triethanolamine,Vervaardiging van reinigingsmiddelen,D,Panama,EU,"15,554",11/30/2011
11/17/2010,28716680,6A003a3   ,Camera's,Controle bij aanleggen van pijpleidingen,D,Rusland,Verenigde Staten van Amerika,"155,714",11/30/2011
11/18/2010,28709811,1C350-02    ,Fosforoxychloride,Vervaardiging van UV-absorberende stof,D,Zuid-Korea,Duitsland ,"162,326",11/30/2013
11/19/2010,28705190,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik (luchtmacht)                                                ,D,Oman via Noorwegen,EU,"13,210",11/30/2011
11/19/2010,28711905,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Tbv de jacht,T,Kroatië            ,EU,"2,100",11/30/2011
11/19/2010,28711913,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Tbv de jacht,T,Kroatië            ,EU,"3,150",11/30/2011
11/23/2010,28689543,3A001b2d  ,Programmatuur ,Dataverwerking,D,Taiwan,Nederland                          ,"10,000",11/30/2011
11/23/2010,28725728,1C350-02    ,Fosforoxychloride,Vervaardiging van UV-absorberende stof,D,Zuid-Korea,Duitsland ,"162,326",11/30/2013
11/24/2010,28714335,1C350-47   ,Fosforpentasulfide,Vervaardiging van gewasbeschermingsmiddelen,D,India,Duitsland ,"1,082,175",11/30/2011
11/26/2010,28703147,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik                                         ,D,Israël              ,EU,"18,250",11/30/2011
11/26/2010,28703163,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik (landmacht)                                                ,D,Ecuador via Zuid Korea                        ,EU,"110,045",11/30/2011
11/30/2010,28709765,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik                                         ,D,Singapore ,EU,"182,700",11/30/2011
11/30/2010,28711344,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik (landmacht)                                                ,D,Zuid-Korea,EU,"99,985",11/30/2011
11/30/2010,28711921,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik                                         ,D,Singapore ,EU,"5,090",11/30/2011
11/30/2010,28711948,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik                                         ,D,Singapore,EU,"73,805",11/30/2011
12/01/2010,28703198,1C350-47   ,Fosforpentasulfide,Vervaardiging van additieven voor motorolie,D,Rusland,Duitsland ,"240,337",12/31/2011
12/02/2010,28726732,,Apparatuur en software voor informatiebeveiliging,Informatiebeveiliging                                                           ,D,Diverse landen                          ,Onbekend,"25,000,000",12/31/2013
12/03/2010,28681542,6A003b4   ,Camera's,Surveillance en beveiligingsdoeleinden (mijnbouw),D,Zuid-Afrika,Zweden,"4,399",12/31/2011
12/06/2010,28711239,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik                                         ,D,Egypte via Griekenland               ,EU,"385,000",12/31/2011
12/06/2010,28720017,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,tbv industrieel gebruik,D,China,Nederland                          ,"359,000",12/31/2011
12/06/2010,28720092,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv boswachterij (civiel),D,China,Nederland                          ,"15,000",12/31/2011
12/06/2010,28734190,,Navigatieapparatuur,Diversen (zie toelichting),T,Diverse landen                          ,Verenigde Staten van Amerika,"10,000,000",12/31/2011
12/07/2010,28715048,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik (landmacht),T,Turkjje,Nederland                          ,"13,300",12/31/2011
12/07/2010,28715056,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik                                         ,T,Turkjje,Nederland                          ,"45,382",12/31/2011
12/08/2010,28717954,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Wetenschappelijk onderzoek,D,Zuid-Korea,Nederland                          ,"37,727",12/31/2011
12/08/2010,28730977,5A002a1   ,Apparatuur voor informatiebeveiliging,Informatiebeveiliging                                                           ,T,Libanon                    ,Onbekend,"20,000",12/31/2011
12/09/2010,28710453,1A007     ,Ontstekingsmechanismen ,Tbv de olie- en gasindustrie,T,Polen ,Verenigde Staten van Amerika,"3,000",12/31/2011
12/09/2010,28710461,3A231     ,Neutronengeneratorsystemen,Tbv de olie- en gasindustrie                                                             ,T,Polen,Verenigde Staten van Amerika,"137,426",12/31/2011
12/09/2010,28712707,6A003b4   ,Camera's,Surveillance en beveiligingsdoeleinden (grensbewaking),D,Turkjje,Zweden,"328,235",12/31/2011
12/09/2010,28713177,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik (marine),D,India,Nederland                          ,"10,000",12/31/2011
12/09/2010,28722958,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Wetenschappelijk onderzoek,D,China,Nederland                          ,"14,600",12/31/2011
12/09/2010,28723903,2B350d    ,Warmtewisselaars,Tbv de olie- en gasindustrie,D,Taiwan,Verenigd Koninkrijk ,"81,580",12/31/2011
12/09/2010,28725922,6A003b4   ,Camera's,Surveillance en beveiligingsdoeleinden (havens en luchthavens),D,Rusland,Zweden,"222,924",12/31/2011
12/09/2010,28732066,1C350-46   ,Triethanolamine,Tbv de olie-industrie,D,Libië,Rusland,"27,212",12/31/2011
12/10/2010,28707479,2B350i    ,Pompen (onderdelen voor),Verpompen van (organische) zuren,D,China,Onbekend,"12,129",12/31/2011
12/10/2010,28709404,2B350d,Warmtewisselaars,Tbv de petrochemische industrie                                             ,D,Thailand via België,Frankrijk,"45,560",12/31/2011
12/10/2010,28711301,0B001b,(delen van) Ultra gascentrifuges,Autopsie en vernietiging                                                        ,D,Duitsland,Onbekend,"1,000",12/31/2011
12/10/2010,28722923,0B001b,(delen van) Ultra gascentrifuges,Uraniumverrijking                                                               ,D,Duitsland,Nederland,"31,592",12/31/2011
12/10/2010,28728425,2B350i    ,Pompen (onderdelen voor),Verpompen van (organische) zuren,D,Zuid-Korea,EU,"17,595",12/31/2011
12/10/2010,28728514,2B350i    ,Pompen (onderdelen voor),Verpompen van (organische) zuren,D,Zuid-Korea,EU,"8,534",12/31/2011
12/10/2010,28729928,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden,T,Zuid-Afrika,EU,"1,500",12/31/2011
12/10/2010,28729960,1C002b    ,Aluminium ,Vervaardiging van contactlenzen,D,Taiwan,Nederland                          ,"230,000",12/31/2011
12/10/2010,28733399,1C350-07    ,Fosfortrichloride,Vervaardiging van fosfieten,D,Taiwan,Duitsland ,"424,595",12/31/2011
12/10/2010,28741170,2B350g    ,Kleppen,Vervaardiging van verpakkingsmiddelen,D,Thailand,Zwitserland,"8,044",12/31/2011
12/13/2010,28702159,0B002 ,Pompen ,Uraniumverrijking                                                               ,T,Diverse landen                          ,Onbekend,"10,560,000",12/31/2013
12/13/2010,28733402,1C010     ,Koolstofvezel,Tbv de auto-industrie,D,Zuid-Korea,Nederland                          ,"4,451",12/31/2011
12/14/2010,28730225,1C350-47   ,Fosforpentasulfide,Vervaardiging van insecticiden,D,India,Duitsland ,"5,421,225",12/31/2011
12/14/2010,28730888,2B350g,Kleppen,Tbv de galvano-industrie,D,Zuid-Korea,Nederland                          ,"6,698",12/31/2011
12/14/2010,28731957,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv civiel gebruik,T,Canada via Israël                                ,EU,"3,270",12/31/2011
12/16/2010,28707525,0C004     ,Grafiet,Hoogoven,D,Australië,Duitsland ,"1,464,000",12/31/2011
12/16/2010,28715099,2B350g    ,Kleppen,Vervaardiging van (organische) zuren,D,Zuid-Afrika,Nederland                          ,299,12/31/2011
12/16/2010,28715102,2B350g    ,Kleppen,Bierbrouwen                                                          ,D,Zuid-Afrika,India,"2,289",12/31/2011
12/16/2010,28715366,2B350g    ,Kleppen,Bierbrouwen                                                          ,D,Zuid-Afrika,Onbekend,148,12/31/2011
12/16/2010,28731337,1C350-02    ,Fosforoxychloride,Vervaardiging van farmaceutische producten,D,Kroatië            ,Duitsland ,"28,000",12/31/2013
12/16/2010,28733291,1C350-16   ,Dimethylamine,Vervaardiging van gewasbeschermingsmiddelen,D,Thailand,Roemenië,"192,863",12/31/2011
12/16/2010,28735340,1C101     ,Anti-reflectieverf,Beperken van de zichtbaarheid,D,Verenigde Staten van Amerika,Nederland                          ,"1,504",12/31/2011
12/16/2010,28735383,1C101     ,Anti-reflectieverf,Beperken van de zichtbaarheid,D,Verenigde Staten van Amerika,Nederland                          ,"1,596",12/31/2011
12/16/2010,28735405,1C101     ,Anti-reflectieverf,Beperken van de zichtbaarheid,D,Verenigde Staten van Amerika,Nederland                          ,456,12/31/2011
12/17/2010,28715021,6A003b3   ,Camera's,Onderzoek,D,Israël              ,EU,100,12/31/2011
12/17/2010,28723008,0C002     ,"Uraniumhexafluoride (U-235 < 5,0%)",Energie-opwekking                                                               ,D,Brazilië,Onbekend,"88,061,000",12/31/2011
12/20/2010,28709188,6A003b4   ,Camera's,Surveillance en beveiligingsdoeleinden (civiel),D,Rusland,Frankrijk,"2,149,743",12/31/2011
12/21/2010,28712022,6A003b4   ,Camera's,Surveillance en beveiligingsdoeleinden                                          ,D,Saoedi-Arabië                        ,Zweden,"288,029",12/31/2011
12/21/2010,28715331,2B350g    ,Kleppen,Tbv de mijnbouw,D,Zuid-Afrika,Diverse landen                          ,"3,290",12/31/2011
12/21/2010,28718586,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik                                         ,D,Zuid-Korea via Frankrijk,EU,"106,642",12/31/2011
12/21/2010,28725000,0B002c    ,Opvangsystemen voor verarmd en verrijkt uraan,Uraniumverrijking,D,Verenigde Staten van Amerika,Nederland                          ,"4,564,672",12/31/2011
12/21/2010,28735146,0E001,Technologie tbv uraniumverrijking mbv ultra gascentrifuge,Vervaardigen van een verrijkingsinstallatie,D,Verenigde Staten van Amerika,Nederland,"500,000",12/31/2011
12/22/2010,28703155,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik (marine)                                        ,D,Zuid-Korea via Israël,EU,"15,400",12/31/2011
12/22/2010,28723660,5A002a1   ,Apparatuur voor informatiebeveiliging,Informatiebeveiliging                                                           ,T,Irak            ,Onbekend,"175,000",12/31/2011
12/23/2010,28726015,0E001,Technologie,Uraniumverrijking,D,Diverse landen                          ,Onbekend,"250,000",01/31/2012
12/23/2010,28726023,0B001b,(delen van) Ultra gascentrifuges,Uraniumverrijking                                                               ,D,Frankrijk,Nederland,"175,975,075",02/29/2012
12/23/2010,28737041,5A002a1   ,Apparatuur voor informatiebeveiliging,Informatiebeveiliging                                                           ,D,Diverse landen                          ,Onbekend,"301,225,761",12/31/2013
12/23/2010,28738277,1C002b    ,Aluminium ,Vervaardiging van contactlenzen,D,Hongkong    ,Nederland                          ,267,12/31/2011
12/24/2010,28714343,0B001b,(delen van) Ultra gascentrifuges,Uraniumverrijking                                                               ,D,Verenigd Koninkrijk,Nederland,"400,000",12/31/2011
12/24/2010,28731752,1C350-02    ,Fosforoxychloride,Vervaardiging van farmaceutische producten,D,Kroatië            ,Duitsland ,"28,000",12/31/2013
12/27/2010,28690371,1A227     ,Stralingafschermende ramen,Tbv de verwerking van radiofamaceutische producten,D,Singapore ,Nederland                          ,"118,000",12/31/2011
12/27/2010,28696515,2B201a    ,Ultraprecisie CNC gestuurde draaibank,Draaien van precisie onderdelen,D,China,Nederland                          ,"438,000",12/31/2011
12/27/2010,28722990,6A003b4   ,Camera's,Diversen (zie toelichting),D,Diverse landen                          ,Estland,"10,425,000",12/31/2011
12/27/2010,28724829,0E001,Technologie tbv uraniumverrijking mbv ultra gascentrifuge,Vervaardigen van een verrijkingsinstallatie,D,Verenigd Koninkrijk,Onbekend,"500,000",12/31/2011
12/27/2010,28724993,0E001,Technologie tbv uraniumverrijking mbv ultra gascentrifuge,Vervaardigen van een verrijkingsinstallatie,D,Verenigd Koninkrijk,Onbekend,"500,000",12/31/2011
12/27/2010,28727178,0D001     ,Programmatuur,Aansturing van een verrijkingsinstallatie,D,Diverse landen                          ,Onbekend,"250,000",12/31/2011
12/27/2010,28730233,5A002a1   ,Apparatuur voor informatiebeveiliging,Informatiebeveiliging                                                           ,T,Qatar via Verenigde Arabische Emiraten ,Verenigde Staten van Amerika,"23,066",12/31/2011
12/27/2010,28731841,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik                                         ,D,Zuid-Korea,EU,"24,160",12/31/2011
12/27/2010,28737211,2B005a    ,CVD productie-apparatuur,Vervaardiging van zonnecellen,D,China,Duitsland ,"29,250",12/31/2011
12/27/2010,28738285,1C350-07    ,Fosfortrichloride,Vervaardiging van brandvertragers,D,Taiwan,Duitsland ,"565,798",12/31/2011
12/29/2010,28720386,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden,T,Zuid-Korea,EU,"3,560",12/31/2011
12/29/2010,28720815,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Demonstratie tbv militair gebruik                 ,T,Israël              ,Onbekend,"1,500",12/31/2011
12/29/2010,28727534,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik                                         ,D,Nederland via Israël                  ,Nederland                          ,"5,390",12/31/2011
12/29/2010,28729987,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik                                         ,T,Jordanië ,EU,"9,000",12/31/2011
01/04/2011,28728417,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv civiel gebruik,T,Koeweit             ,Nederland                          ,"6,000",01/31/2012
01/05/2011,28729979,1C350-50   ,Natriumsulfide,Ontharen en behandelen van huiden en vellen,D,Verenigde Arabische Emiraten,België,"14,200",01/31/2012
01/05/2011,28740085,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Demonstratie,T,Verenigde Arabische Emiraten,Onbekend,"3,000",01/31/2012
01/06/2011,28737467,6A003b4   ,Camera's,Surveillance en beveiligingsdoeleinden (civiel),T,Rusland,Frankrijk,"217,836",01/31/2012
01/07/2011,28737130,1C350-46   ,Triethanolamine,Tbv de galvano-industrie,D,Servië  ,Onbekend,"7,675",01/31/2012
01/10/2011,28751257,3B001f1   ,Delen van lasermodules voor wafersteppers,Vervaardiging van microchips                                                    ,D,Zuid-Korea,Onbekend,"11,439,900",01/31/2012
01/11/2011,28743831,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Tbv de jacht,D,Kroatië            ,EU,"5,760",01/31/2012
01/11/2011,28743947,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik,D,Indonesië via Singapore,EU,"2,545",01/31/2012
01/12/2011,28728530,2B351a    ,Controle-apparatuur voor giftige gassen,Verrichten van metingen aan giftige gassen,T,Verenigde Arabische Emiraten,Canada,"10,191",01/31/2012
01/12/2011,28743009,3B001c2   ,Deel van productie-apparatuur voor halfgeleiderelementen of -materialen,Vervaardiging van halfgeleiderelementen of -materialen,D,Verenigde Staten van Amerika,Verenigde Staten van Amerika,"30,000",01/31/2012
01/12/2011,28753349,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Tbv de jacht,D,Rusland,Nederland                          ,"321,800",01/31/2012
01/13/2011,28735812,2B350g    ,Kleppen,Vervaardiging van verpakkingsmiddelen,D,Thailand,Zwitserland,"68,528",01/31/2012
01/13/2011,28742142,6A002a2a  ,(Tweede generatie) beeldversterkerbuizen,Retour na reparatie,T,China,China,76,01/31/2012
