"almanakId","cbsId"
,"WS21"
,"WS26"
,"WS05"
,"WS14"
,"WS07"
,"WS12"
,"WS22"
,"WS10"
,"WS30"
,"WS01"
,"WS25"
,"WS16"
,"WS17"
,"WS15"
,"WS18"
,"WS06"
,"WS02"
,"WS13"
,"WS11"
,"WS27"
,"WS04"
,"WS28"
,"WS29"
,"WS19"
,"WS03"
,"WS08"
,"WS09"
,"WS20"
,"GR0001"
,"GR0005"
,"GR0006"
,"GR0010"
,"GR0011"
,"GR0015"
,"GR0022"
,"GR0024"
,"GR0026"
,"GR0028"
,"GR0030"
,"GR0039"
,"GR0233"
,"GR0234"
,"GR0240"
,"GR0241"
,"GR0245"
,"GR0249"
,"GR0250"
,"GR0251"
,"GR0252"
,"GR0253"
,"GR0254"
,"GR0255"
,"GR0256"
,"GR0257"
,"GR0258"
,"GR0262"
,"GR0263"
,"GR0266"
,"GR0267"
,"GR0273"
,"GR0281"
,"GR0282"
,"GR0283"
,"GR0284"
,"GR0287"
,"GR0292"
,"GR0293"
,"GR0296"
,"GR0298"
,"GR0299"
,"GR0316"
,"GR0328"
,"GR0329"
,"GR0335"
,"GR0400"
,"GR0401"
,"GR0412"
,"GR0413"
,"GR0421"
,"GR0425"
,"GR0435"
,"GR0442"
,"GR0446"
,"GR0448"
,"GR0458"
,"GR0462"
,"GR0466"
,"GR0471"
,"GR0472"
,"GR0476"
,"GR0485"
,"GR0487"
,"GR0494"
,"GR0506"
,"GR0508"
,"GR0510"
,"GR0516"
,"GR0520"
,"GR0528"
,"GR0533"
,"GR0539"
,"GR0542"
,"GR0587"
,"GR0588"
,"GR0594"
,"GR0604"
,"GR0613"
,"GR0615"
,"GR0617"
,"GR0620"
,"GR0621"
,"GR0622"
,"GR0624"
,"GR0636"
,"GR0640"
,"GR0644"
,"GR0044"
,"GR0639"
,"GR0660"
,"GR0662"
,"GR0663"
,"GR0669"
,"GR0076"
,"GR0084"
,"GR0358"
,"GR0440"
,"GR0447"
,"GR0460"
,"GR0461"
,"GR0511"
,"GR0518"
,"GR0522"
,"GR0526"
,"GR0544"
,"GR0682"
,"GR0695"
,"GR0698"
,"GR0700"
,"GR0702"
,"GR0703"
,"GR0710"
,"GR0066"
,"GR0098"
,"GR0137"
,"GR0244"
,"GR0264"
,"GR0270"
,"GR0285"
,"GR0340"
,"GR0444"
,"GR0497"
,"GR0525"
,"GR0552"
,"GR0579"
,"GR0605"
,"GR0638"
,"GR0645"
,"GR0666"
,"GR0676"
,"GR0681"
,"GR0705"
,"GR0708"
,"GR0712"
,"GR0713"
,"GR0714"
,"GR0828"
,"GR0834"
,"GR0829"
,"GR0830"
,"GR0831"
,"GR0832"
,"GR0833"
,"GR0835"
,"GM1940"
,"GR0861"
,"GR0717"
,"GR0857"
,"GR0842"
,"GR0845"
,"GR0855"
,"GR0540"
,"GR0684"
,"GR0853"
,"GR0614"
,"GR0603"
,"GR0840"
,"GR0691"
,"GR0616"
,"GR0637"
,"GR0823"
,"GR0679"
,"GR0619"
,"GR0706"
,"GR0719"
,"GR0269"
,"WS23"
"1",
"2",
"25",
"123",
"269",
"312",
"63106",
"616",
"617",
"623",
"686",
"695",
"704",
"130332",
"1923",
"1924",
"1950",
"2515",
"2516",
"2517",
"2551",
"4958",
"6776",
"6835",
"8591",
"8592",
"9632",
"9659",
"99056",
"10613",
"10621",
"90396",
"11906",
"12368",
"12414",
"12415",
"14289",
"62423",
"67286",
"14867",
"58730",
"58731",
"58737",
"15633",
"15956",
"15957",
"15958",
"16404",
"16408",
"16413",
"16772",
"64582",
"17467",
"18167",
"18404",
"18405",
"18417",
"18490",
"18491",
"18498",
"18558",
"18559",
"18595",
"92654",
"65010",
"19087",
"57830",
"19432",
"118718",
"97117",
"21098",
"41915",
"41916",
"59421",
"68820",
"68821",
"69746",
"70587",
"70625",
"133814",
"71852",
"71977",
"128586",
"128592",
"96682",
"112011",
"112012",
"112013",
"112773",
"112991",
"118697",
"118698",
"95591",
"95592",
"95593",
,"GM0480"
,"GM0483"
,"GM1679"
,"GM0306"
,"GM0199"
,"GM0885"
,"GM0650"
,"GM0144"
,"GM0206"
,"GM0372"
,"GM0207"
,"GM0492"
,"GM0493"
,"GM0495"
,"GM0211"
,"GM0065"
,"GM0149"
,"GM0218"
,"GM0219"
,"GM0315"
,"GM0316"
,"GM0902"
,"GM0229"
,"GM0781"
,"GM0237"
,"GM0239"
,"GM0517"
,"GM0519"
,"GM0240"
,"GM0914"
,"GM1937"
,"GM0526"
,"GM0918"
,"GM0248"
,"GM0920"
,"GM0675"
,"GM0256"
,"GM0925"
,"GM0645"
,"GM0929"
,"GM0258"
,"GM0326"
,"GM0260"
,"GM1673"
,"GM0552"
,"GM0332"
,"GM0933"
,"GM0934"
,"GM0555"
,"GM0993"
,"GM0941"
,"GM0814"
,"GM0562"
,"GM0563"
,"GM0565"
,"GM0266"
,"GM0567"
,"GM0529"
,"GM0429"
,"GM0174"
,"GM0692"
,"GM0835"
,"GM1661"
,"GM0602"
,"GM0178"
,"GM1670"
,"GM0278"
,"GM0704"
,"GM0604"
,"GM0039"
,"GM0607"
,"GM0964"
,"GM1698"
,"GM0280"
,"GM0181"
,"GM0974"
,"GM0975"
,"GM0977"
,"GM0619"
,"GM0454"
,"GM0625"
,"GM0286"
,"GM0186"
,"GM0628"
,"GM0291"
,"GM0630"
,"GM0292"
,"GM0558"
,"GM0052"
,"GM0295"
,"GM0466"
,"GM0298"
,"GM1666"
,"GM0360"
,"WS89"
